Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Baked Potato ,https://www.trailjournals.com//journal/entry/528115,Tonight is my last night before I start the trail. I am so excited to be starting the adventure. I know that it is going to be tough but I am ready for the challenge. I have had an amazing trip in Atlanta and got to spend a great week with Laura before starting the trail. We spent two amazing days in the lodge at Amicolola Fall State Park. It made me think about the Walk in the Woods movie when they stay in the lodge before starting the trail. A little over a year ago I decided I was going to hike the Appalachian trail. I started to read so many different blogs. I was overwhelmed with all of the information but I knew that I could do it. There were so many questions that I had to answer. I had to figure out what gear I was going to buy and how I was going to do it. I decided that I was going to hike the whole trail with a hammock. This is brand new to me and I am excited to not be sleeping on the ground every night.  I was so out of shape for the trail and started to really work so hard to make sure I was in better shape for the trail. In a little over a year I lost over 50 pounds. It has been tough to get to this point but I focused on my goals which kept me pushing forward. I am looking forward to my start tomorrow. Dan,"
",Amicolola Falls Lodge,"Apr 15, Fri",0
Baked Potato ,https://www.trailjournals.com//journal/entry/528267,What a first day on the trip. I started at the lodge and had to complete the approach trail. It was a tough start since it was all up hill to get to the top of springer mountain. You get so excited since you are starting the Appalachian trail and then you realize you still have to hike 8 miles just to get to the start. It is a little bit of a mood killer first thing in the morning.I reached the top of springer mountain and I was dripping in sweat. It has been a while since I really backpacked much. I am still getting used to all of the gear and getting my body all used to hiking and the gear. After leaving springer I decided I was going to hike to hawk mountain. It was about 8.1 miles away. I really had to start moving since I wanted to make sure I got there before sunset. I was not too bad a first since most of it was down hill but I realized I had to start going back up again to reach the shelter. About half way to the shelter I could start feeling my body hurting a little. It had been awhile and I was pushing myself on the first day. I finally reached the shelter and had about an hour to dark. I was able to cook dinner which I had cheesy pasta side and cubed chicken. It was supposed to be a pasta but it turned into a soup which was so good after the long day. It really warmed me up. I realize I need to back my bag a little different so I am able to reach everything that I need during the day. I am excited for my next day and we will see how far I go. Dan,"Akmicolola Falls Lodge
",hawk mountain shelter ,"Apr 16, Sat",16.70
Baked Potato ,https://www.trailjournals.com//journal/entry/528479,"Day 2. Last night was great. I setup my hammock up and decided to not set up the tarp. I did not set up the tarp mostly for the reason that I has not used it yet and was nervous about setting it up in front of a group. It was nice since the moon was out and there were stars everywhere. Today was a long day. There was so many up and downs. The worst had to be sassafras mountain. The up section felt like it was straight up which was not too bad, but the down was. It was all rock and it was tough to get a solid footing and it was a killer on the knees. The rest of the day was not too badAs I only had a few miles left to get to woods gap the sun went over the side of the mountain and the wind picked up. I was so cold due to my sweaty shirt. I thought with starting the trail so late in the year there will only be a few thru hikers but I am starting to realize that there are a lot of us. I have not really found a group yet to hike will all day. It seems like I am always at a different speed and I have been hiking a lone mostly so far which is not too bad. The one thing I keep hearing is the percent of people that finish. I know that it is a tough adventure but it really brings you down when it is said all of the time. Tomorrow I head towards blood mountain and then on to Neal's Gap. I don't need to stop for food since I still have like 4 more days of it. Depending on how I feel I am looking at doing 15 miles tomorrow. Dan","hawk mountain shelter 
",woody gap,"Apr 17, Sun",13
Baked Potato ,https://www.trailjournals.com//journal/entry/528634,,"woody gap
",wolf laural gap,"Apr 18, Mon",15.40
Baked Potato ,https://www.trailjournals.com//journal/entry/528843,Sorry about yesterday. It was a long day of hiking. Last night we camped out on top of Wolf Laural top from the suggestion of Lost who attempted to thru hike in 2014. It was a beautiful spot on top of the ridge and the sunset was amazing. Waking up the next morning to the sunrise was beautiful. You were able to see it thru the trees as it rised over the mountain range. I decided that after a long day the previous day I was going to relax in camp. I did not leave til like 10 am. After hiking down into the first gap there was a surprise of some trail magic. There were two older guys who had all these tables setup and chairs. I was able to get a bag of chips and a cold soda. It was great to have something cold since usually my water is warm after I filter it. After the magic I had to hike up to the top of Wildcat mountain. It was tough. It did not help that I drank a can of soda right before I started up the mountain. It is not always the elevation that is bad but it is always the rocks. There is never a flat surface and when you are climbing up and down on the mountains you have to put so much more effort to lift up your feet. I was taking my time today and was working my way to low gap. There was a beautiful stream that was moving so fast. I thought about staying but it was only 4pm and I thought that I could hike another 7 miles to the next shelter. I was told that it was a somewhat flat hike. As I started up it was not too bad just a long 7 miles at the end of the day. When I got about half way there started to be a lot more steep ups and downs. It was starting to get windy and the sun was on the other side of the mountain. We finally reached the shelter and there were about 12 people already here. Most of the thru hikers. The worst part of the site was the water source. It was a little trickle out the side of a rock. It would take so long to fill up a 1 liter bottle. At one point we had a line of people to get water. Today I meet a person who was planning on stopping their adventure to Maine. He was having really bad knee problems and was not able to move quick. It really made me think about everything. An injury can happen at any point. You work so hard to plan and prepare that an injury could stop all of thatTomorrow I hope to have an easy day. I have been saying that everyday but that is the plan. Have a great nightDan,"wolf laural gap
",Blue Mountain Shelter ,"Apr 19, Tue",15.60
Baked Potato ,https://www.trailjournals.com//journal/entry/529176,"So I work up at the Blue Mountain shelter. There was about 15 people there at night and when I got up there was only 3 people left. I was so tired from the previous hike that I wanted a relaxing morning. 
After hitting the trail I hiked down from Blue Mountain to unicoi gap. On the way down the switch backs I was able to see a tent in the distance. I got excited that there might be some more trail magic. When I finally got down to the bottom of the gap I was right. I could start to smell the hot dogs and hamburgers. The group welcomed me at the bottom of the trail and there was so much food. I found out I was the first one to show up so I guess it was a benefit for sleeping in. I had a hamburger and a hotdog. I have noticed that I really enjoy a cold soda after a long hike. I spent about a half hour with the group talking about college football and hiking. 
After a great start with some trail magic I had to start making the long hike to the top of Tray mountain. It was a tough hike to the top. Once on top the view was amazing. You were able to see all of the different mountains and landscapes. I spent about an hour on top just relaxing and enjoying the view. I was able to talk to Laura for a while which was amazing and a great pick me up. I still wanted to get some good miles in so I started to head down the mountain. The rest of the hike was not too bad. There were a few ups and down but nothing was too steep. I went thru an area that was called the swag of the blue ridge. I was a relatively flat area and I was able to move quickly. It was starting to get late in the day and I knew that I wanted to get to sassafras gap to setup camp since there was water there. I kept on hiking and I thought I was getting closer but I was not finding the gap. Finally when I was getting tired I saw over the ridge the site and there was about 10 different tents setup. The biggest problem with arriving late to a site with a hammock is finding some good hammock trees. I was able to find a spot and by the time that I got water and setup camp it was dark. I was sitting in the dirt with my headlamp cooking my pasta side with summer sausage. After cooking the food it was amazing to just lay in the hammock and enjoy the hot food. 
What a day
Dan","Blue Mountain Shelter 
",Sassafras Gap,"Apr 20, Wed",12.80
Baked Potato ,https://www.trailjournals.com//journal/entry/529182,Today was a good day. I started in Sassafras Gap and had a short hike into town today to reapply. It was a super windy night and was knocking my hammock and trap all around last night. I still slept great and did not want to get out of bed since it was so comfortable and relaxing. There was a good climb today to the top of Kelly Knob which was straight up then right back down. After the climb up it was a nice relaxing hike to the bottom of the gap. On the way to the gap I knew that I was going to be staying in town for the night and called the budget inn motel. I was lucky since I was able to get the last room. The only problem was that I was going to get to the gap at 1230 and the next shuttle was not coming til 3. It was a 12 mile hike into town. I did not want to wait so I started to hike into town and I figured I would hitch hike. I guess I was not good looking enough to get a ride. After about a mile hike down the road I figured I would hike back up to the gap since I knew that the shuttle would take me. I wanted to make sure that I had a ride. When I got back up to the gap I saw Lone Star and he asked me what happened. He was going to stay with his aunt and uncle for the night and were nice enough to take me into town. I sat in the back of the pick up to town and saw the beautiful landscape that surrounds Hiawassee. Once in town I arrived at the budget inn. It was a small little motel. It was great to get a nice room with a shower for the night. I was able to resupply in town and got enough food for 6 days which should get me to Fontana Dam right before the smoky mountains.   Well it has been a long day and tomorrow I am back on the adventure north. Dan.,"Sassafras Gap
",Dick Creek Gap,"Apr 21, Thu",6.30
Baked Potato ,https://www.trailjournals.com//journal/entry/529352,Today was a tough day mentally. I was not able to charge my powerpack in town last night. For some reason it did not want to charge so I have very little battery for 5 days. Once I left the town back to the trail head it started to rain on the trail. It rained all day. I was so wet and cold. I thought so many times if this for me. I was just thinking how nice it would be to be in a bed under the covers. It was tough to get excited today cMost of the day was rain. I was excited that I officially finished Georgia. It is the fist state down I crossed over and set up camp on the NC side. It was nice to have finish a state and tells you that you are reaching your goals. They say that about 25 % of people do not cross into NC and finish those hike before that point. I was so happy to cross the state but I still know that there is so much to go I am going to keep it short so I can go to bedNightDan,"Dick Creek Gap
",Bly Gap. ,"Apr 22, Fri",9
Baked Potato ,https://www.trailjournals.com//journal/entry/529852,,"Bly Gap. 
",Standing Indian Mountain,"Apr 23, Sat",9.20
Baked Potato ,https://www.trailjournals.com//journal/entry/529853,,"Standing Indian Mountain
",Rock Gap Shelter,"Apr 24, Sun",18.20
Baked Potato ,https://www.trailjournals.com//journal/entry/529854,"Sorry about the delay in my journal. I have not had much battery life the past few days. I am lucky that my amazing girlfriend is going to send me some extra powerpacks to make sure I always have battery. 
This morning I woke up early to get a good start and I was still one of the last people in camp. I am not sure what time people are starting their hikes. There is usually always one person who is still at camp cooking a high end meal as I walk out with my brown sugar pop tarts. First thing in the morning I had to climb and down winding stairs. It was a tough climb because my ankle is still bothering me and the blister on my heel has not healed yet. Once I got going and my body loosen up I felt better. I was able to talk to Laura around mid morning which was a great pick me up. I finished in winding stair gap there was a lot of people waiting for the shuttle into town for a resupply. I still had three days of food so I did not need to go to town. 
What I noticed today was that everyone I have been seeing over the past week must have gone into town and I was hiking with a totally different crowd. It was weird. Today was mostly uphill. For the first part of the day it was a nice up hill with gradual slopes. Not too bad. The second part was rough. It was straight up hill and there were so many loose rocks. It was tough to get a solid steps. 
Once on top it was great. There was this amazing view that overlooked the whole valley. There was a map that showed all of the peaks. The farthest peaks where the smoky mountains. It was crazy how far away they still are. Tomorrow is another day
Dan","Rock Gap Shelter
",Wayah Bald Shelter,"Apr 25, Mon",14.80
Baked Potato ,https://www.trailjournals.com//journal/entry/532041,,"Wayah Bald Shelter
",Rufus Morgan Shelter ,"Apr 26, Tue",15.50
Baked Potato ,https://www.trailjournals.com//journal/entry/532042,,"Rufus Morgan Shelter 
",Sassafras Gap Shelter,"Apr 27, Wed",7.70
Baked Potato ,https://www.trailjournals.com//journal/entry/532044,,"Sassafras Gap Shelter
",Cable Gap Shelter,"Apr 28, Thu",15.20
Baked Potato ,https://www.trailjournals.com//journal/entry/532046,,"Cable Gap Shelter
",Fontana Dam Shelter,"Apr 29, Fri",6.70
Baked Potato ,https://www.trailjournals.com//journal/entry/532047,,"Fontana Dam Shelter
",Russell Field Shelter,"Apr 30, Sat",14.50
Baked Potato ,https://www.trailjournals.com//journal/entry/532048,,"Russell Field Shelter
",Silers Bald Shelter,"May 01, Sun",14.60
Baked Potato ,https://www.trailjournals.com//journal/entry/532049,,"Silers Bald Shelter
",Icewater Spring Shelter,"May 02, Mon",15.10
Baked Potato ,https://www.trailjournals.com//journal/entry/532051,,"Icewater Spring Shelter
",Tricorner Knob Shelter,"May 03, Tue",11.10
Baked Potato ,https://www.trailjournals.com//journal/entry/532053,,"Tricorner Knob Shelter
",Standing Bear Farm ,"May 04, Wed",18.10
Baked Potato ,https://www.trailjournals.com//journal/entry/532055,,"Standing Bear Farm 
",Roaring Fork Shelter,"May 05, Thu",15.40
Baked Potato ,https://www.trailjournals.com//journal/entry/532056,,"Roaring Fork Shelter
",Hot Springs,"May 06, Fri",18
Baked Potato ,https://www.trailjournals.com//journal/entry/532057,,"Hot Springs
",Hot Springs,"May 07, Sat",0
