Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Blazer,https://www.trailjournals.com//journal/entry/505349,"I knew it would call, or soon or late, as it calls the whirring wings; It's the olden lure, it's the golden lure, it's the lure of the timeless things,And to-night, oh, God of the trails untrod, how it whines in my heartstrings!From ""The Heart of the Sourdough,"" by Robert W. ServiceI hit the AT Sunday morning.....",,Call of the Trail,"Jul 14, Tue",0
Blazer,https://www.trailjournals.com//journal/entry/505528,"One of my favorite locations just off the AT in the Great Smoky Mtns. - Mt. Cammerer fire tower.   Built by the CCC back in 1937. They built things to last in those days! The work crew used nearby rock and timber for materials. In a really rugged setting. Path to it is strewn with boulders. The fire tower was manned until the mid-1960s, then abandoned. Refurbished in 1996. Bit of a walk thru time to come upon it. Have been there twice. Hope to get there again during the last week of my month-long trek on the AT. After bidding adieu to my daughter Becca and nephew Ben at end of week 3, willswing down to Great Smoky Mtns Nat'l Park. Want to do the whole stretch of the AT along the spine of those Mtns.",,Mt. Cammerer,"Jul 15, Wed",0
Blazer,https://www.trailjournals.com//journal/entry/505550,"Thought I'd introduce my hiking partners - my youngest daughter and my nephew, Becca and Ben.   Long time buddies themselves! Will be spending the better part of a week with them on AT. Of course, they won't look quite so well groomed. And they'll look a bit older. Both are kicking age 30 in the butt this year. Should be a fun outing with them!",,Hiking Partners,"Jul 15, Wed",0
Blazer,https://www.trailjournals.com//journal/entry/506334,"Life at Calf Mtn hut. Got there about 2:30 pm after starting at Waynesboro. Two women thru-hikers already there, Lil Bean (pictured) and Gaget Girl. Get used to it, everyone uses a trail name in lieu of their real one on the AT. 
Anyway, Lil Bean and Gaget Girl had started out at Springer Mtn, GA, in mid-April. Planning to flip at Harpers Ferry. Will get off trail and travel to Kathadin in Maine, then finish in Maryland. Avoid the colder and more variable Fall weather in northeast that way.The young man pictured (aka Native) humbled us all. He started at Springer in mid-May after finishing his CPA exam. That means he covered almost 1,000 miles in just over 60 days. He was planning a 26 mile hike the next day (ouch!). Great stories from them all about life on the trail.Got to go. Am covering 13 miles today myself. Just stopped for break and had 2 bars on my phone!","Hiking Partners
",First Day,"Jul 19, Sun",8
Blazer,https://www.trailjournals.com//journal/entry/506737,"Got a nice early start on the trail Monday morning. The only one to beat me out of camp was Native. He spoke of hiking 26 miles today. The two young hikers who blew into camp late Sunday (Wheels and Unusual) were still asleep as I left. Gadget Girl felt ill, delaying her start with Lil' Bean. Quiet forest as I hiked along - punctuated at intervals by one beautiful songbird. I had no idea of the variety, but who cares? Sun rays penetrated at odd angles thru the trees. Almost surreal image of trail and surroundings as result. Had the trail to myself for a few hours.Had to hike a full 13 miles to the next shelter, Blackrock Hut. No water source along the way, so I had to carry a full supply, plus a little extra. You see, it was supposed to be another hot one with high humidity. Same as Sunday when I started. The humidity made the air thick. The photo was taken by day hiker in late morning. My clothes were already soaked thru with sweat. And I mean soaked! Glad I brought electrolyte tablets. Also glad that all section and thru hikers stink - because I sure did. But that is part of the experience!Got to Blackrock Hut in late afternoon after arduous climb. Did I mention that Blackrock Hut is a half mile shy of the Blackrock Mtn summit? Steep climb. Had the hut to myself until almost 8:00 in the evening. Then Lil' Bean and the 2 young guys, Wheels and Unusual blew in. Put on headlamps and made their dinners after setting up their own tents. I preferred the shelter (hut), even though a previous hiker had found a copperhead around his shoes in the shelter just a couple of weeks before. No one since had complained of that in the hut's log book.....","Call of the Trail
",Blackrock Hut,"Jul 20, Mon",13
Blazer,https://www.trailjournals.com//journal/entry/507048,"Started out early from Blackrock Hut with Lil' Bean, a thru-hiker. Trail north from this hut goes straight up steeply to summit of Blackrock Mtn. Lil' Bean is a full head shorter than me, and a woman and carrying a pack weighing as much as mine. I figured this would be a good test of my hiking abilities. She'd been out on the AT going north since mid-April.At the main trail I bent over to tighten my shoelaces. When I looked up again Lil' Bean was gone. And I mean gone! Figured I'd catch up with her, or at least catch sight of her. The trail up to Blackrock summit goes straight up - no switchbacks. Wrong! A humbling experience as I chugged along the trail.Blackrock summit was awesome! Rocky crest and 270 degree view. Hard to capture that in a photo. And I can only post one photo per journal entry, so I posted one from another overlook.Was headed to Loft Mtn Campground and wayside (read - short order grill) for lunch. The trail along the way got fairly overgrown in parts. The trail maintenance workers hadn't been there in a while. I came upon a plump deer munching the foliage. Darn thing didn't move as I approached. Got within 10 feet of the deer and it finally stepped off the trail - just barely. Then it stared at me as I went past it. Seems deer in this nat'l park are pretty tame. We'll see about the bears.Came to The edge of Loft Mtn Campground and there sat Lil' Bean taking a break at an overlook. While we were chatting, another woman backpacker came up the trail. She started to choke, then cry and feel to the ground sobbing. Of course we went to assist.Seems this other young woman (whom I won't name) had been stung by a wasp on the AT near Waynesboro. Went into anaphylactic shock and was rushed to ER. Was her second day on trail after recovering from that ordeal. Going thru the high grass brought on a panic attack - thinking a wasp would attack her. And she was no hiking novice afraid of her shadow - she was a thru-hiker who had started in GA.We talked her thru it and got her calm. Then we all went to the roadside grill for lunch - hamburgers, fries and a blackberry milkshake. The young lady was still nervous about returning to the trail immediately, so Lil' Bean and I talked her into walking a few miles down Skyline Drive to an intersection with the AT.Did you know that the original AT thru Shennandoah Nat'l Pk was expropriated for Skyline Dr? The current AT is an alternate route that was developed. So it wasn't like we really weren't on the AT when walking on the Drive. While we walked along I took the photo pictured. Caption says all.At the intersection of the AT with the drive, the young woman was prepared to carry on. She and Lil' Bean took the lead. They were out of sight shortly and I resumed my solo hike to Pinefield Hut.","Blackrock Hut
",Pinefield Hut,"Jul 21, Tue",13
Blazer,https://www.trailjournals.com//journal/entry/507206,"Last Wednesday, I was heading north on the AT in Shenandoah NP, going downhill just before Powell Gap. Had left Pinefield Hut early that morning. Came upon a small rocky outcrop with fantastic view of hollow and valley beyond. Startled an older bearded guy sitting on the rocks just getting ready to bite off a chew of ""tabbacy.""I apologized for the start, then sat next to him to savor the view and have a trail snack and some water. Nice to get that heavy pack off my back, too. Another hot day on the trail.We exchanged pleasantries. He wore a shirt indicating he was an AT trail maintenance worker. Talked a bit about his work. From his accent, I knew the man was a local.I made mention of the beautiful view of the valley below us. ""Bacon Holler,"" he said while pointing that way. Then he leaned over and said in a gravelly voice, ""Want'a hear a story?""Of course I said yes. He told me the point had been a popular place to camp. He gestured towards some small level clearings on the other side of the trail opposite the rock outcrop. The old man went on to say a couple of years earlier a hiker had come up to this point and found a dead man stretched out on the rock outcrop. The dead man was clutching a flashlight. His eyes and mouth were both still wide open. The corpse had both hands on the flashlight pointing it towards Bacon Holler - uh, Hollow.The spooked hiker had fled back down the trail to find a Ranger. The NP service brought in an expert to investigate (or ""vestigate"" as the old man would say) this strange death.Seems the dead man had been camping at the same point during a moonless night (new moon). He was a young man, age 32, and not from the area. The young man had no history of major medical problems. Yet, the autopsy revealed he had died of a massive heart attack.During questioning, the locals in ""Bacon Holler"" below the rocky point had some interesting observations. Some claimed to have seen a small flashing light up on the point the night of the young man's death. One man, the trail worker's father, claimed the light flashed at different speeds - some short and some long.The ""vestigator,"" said the old man, never could determine what caused the young man's heart attack. So the case was closed.Later that same year, someone secretly came and erected a kind of memorial in the vicinity of the old campsite near that rock outcrop. They cleared an area, then set heavy flat stones on the ground, forming a crude circle. Then they arranged heavy rocks atop the flat stones in the design of a pentacle. The rangers at first wanted to remove the stone design, but were overruled by orders from Washington, DC. No one ever found out who gave the order. The Rangers did, however, let the memorial area overgrow with forest brush.Naive campers who went to that beautiful spot to camp were known to change plans and leave abruptly just as night came. They would scurry down the rugged, rock strewn path using whatever light source they could- often leaving their belongings behind. Those campers would later complain of growling, howling and groaning noises unlike any they'd heard before in the forest. Some complained that their flashlight would start to blink on and off by itself and not stop.The old fellow looked me right in the eye. Then he said the people in ""Bacon Holler"" see a light flashing from that rock outcrop whenever there is a new moon. Happens well after dark. And that started right after the young man's death. No one from Bacon Holler has had the will to go up and investigate during the nighttime when its occurring. As the old man said, ""those happenin's best left 'lone.""There was a pause after he said that to me. Then I boldly asked, ""Is all of that really true, or just a load of bull? I mean, flashing lights from this point every new moon? A pentacle on government land?""The old man turned and spat a large volume of ""tabbacy"" juice on the rocks in front of us.   Then he wiped his chin with his hand, turned back to me and with a stern look on his face said, ""Jez y'all go ask any dem good folks in Bacon Holler - they'll tell ya' true."" He pointed to the few houses far below us.I thanked him for the story, got up, shouldered my heavy backpack and bid him adieu. I had to complete a 12 mile solo trek on the AT that hot summer day. And a lot of it was still in front of me.","Pinefield Hut
",Swift Run Gap,"Jul 22, Wed",12
Blazer,https://www.trailjournals.com//journal/entry/507913,"Stayed the night in small motel near Elkton, VA. Had arranged mail drop of food. Too many deserts in my inventory though. Gave away a few to a local in Elkton. She was thrilled.Paid another local for a ride to the trailhead and started my journey. Not a very long hike today to Bearfence Mtn Hut - only 9 miles. Few water stops were again available along this part of the AT. In fact, my map showed only one - a picnic area just off the trail about 3 miles ahead. It was another hot day, so I planned to carry full water bottles from the picnic area forward. A full load of water combined with all the new food provisions made for a heavy pack. I would notice that load towards the end of my journey.I had a couple of 800 ft climbs along the way to Bearfence Mtn Hut. One would think with all that climbing there would be at least one decent overlook on the AT. There were none to be had. The only benefit of the trail today was that thick canopy of trees overhead. It managed to block out most direct sunlight and make the heat a little more bearable.Don't be fooled by the photo. It was taken yesterday along the AT. I'd run into a small family day hiking to some fine overlooks. The backdrop of the photo was one of them. The dad agreed to snap the photo of me. Can you tell it was hot yesterday too?I arrived at the hut early. Two hikers were just finishing their lunch as I arrived around 1:30 pm. Husband and wife from FL on an extended vacation. Nice people. After they left I was alone with my thoughts. I realized why the thru-hikers put in so many miles every day. Not much to do at a hut or campsite in mid-afternoon - especially when you are alone.But ""alone"" didn't last long. A troop of young adults descended on the hut and campsite. Four guys and one gal arrived about 4:00 pm. Seems they all worked for the same adventure ride company in NC. The outing was part of a self-imposed team bonding exercise. That included sharing the excitement of seeing a copperhead on the trail and getting some ugly blisters. I shared a couple of blister pads with those having the worst ones, along with advice on how to treat them.Later, two more individuals would join us, Woody and Stoner, a father/son duo. The son earned his trail name, Stoner, from his propensity to trip over rocks on the trail. The duo set up hammocks at a nearby tent site. Note that there are typically a few to many tent sites in vicinity of a hut (called ""shelter"" outside the Nat'l Pk).This would be the first time I would share room in the shelter with someone else. All six young adults opted for that accommodation. They were reasonable about their bedtimes. Long miles on the trail with heavy packs will have that effect. Only I snored that night. Didn't bother me since I wore earplugs.","Swift Run Gap
",Bearfence Mtn Hut,"Jul 23, Thu",9
Blazer,https://www.trailjournals.com//journal/entry/508176,"Forgive me for not posting these journal entries earlier. Cell strength in the Nat'l Pk was poor to non-existent. Improved once I'd left the park, but now I'm behind. So, I'm working to catch up!Last Thursday I awakened at Bearfence Hut to the presence of visitors. Three deer were in camp, ostensibly to look for a handout. It was obvious from their behavior that other hikers had offered them food. I hoped that none of those hikers offered the same handout to bears in the area....... Recall there was a large group in our camp. Most of them young adults with little hiking or camping experience. As a couple brandished painful looking blisters to one another, I offered some friendly advice - and a couple of blister pads. It was well received.I was out of camp and on the trail towards Bearfence Mtn summit and scramble. Uphill again. The scramble is about a half mile loop on boulders and rocks around the summit. Offered fine views, but also the possibility of a broken ankle. Not something a solo hiker should risk - so I passed on the loop. I did take a peak at the view (pictured). Note the trail went straight up those boulders (blue blaze trail marker). A little scrambling was required to go on.My destination was Rock Springs Hut, about 11.5 miles hence. While walking thru the morning forest, I again marveled at the lack of bids singing. With no wind, if you stopped hiking the woods were dead still. Robert Service described that stillness as ""a silence you most could hear."" But he was referring to the silence in a wintertime environment.I brought up that issue (no birds) with other hikers along the way or in camp. All acknowledged it was strange upon reflection. All but one could provide no explanation. That will come later.I met three hikers that morning. Two were a British couple doing a thru-hike of the AT. The were heading south having just flip-flopped. They'd started in PA and gone north to Maine, then traveled back to where they'd started and headed south for Springer Mtn in GA. And they were wearing Teva Sandals with no toe covering! Shades of Jesus and Moses on the AT. When they mentioned going south, I mentioned ""The Priest."" I hiked 8 miles in the mountains that morning and early afternoon before arriving at Big Meadows. This is a Nat'l Pk Lodge and campground. It also has a wayside and store a little off the AT. A cheeseburger with all the trimmings and a blackberry milkshake beaconed! As I made my way to the front of the wayside grill, two backpacks were stacked on an outside picnic bench. I knew I'd be welcomed by my fellow travelers to share the table for lunch, so I threw my heavy pack next to them on the bench. Then out of the grill came Woody and his son, Stoner, both of whom had camped at Bearfence Hut the night before. It was a pleasant reunion, with all of us happy to see one another.During our feast at the picnic table I told my compatriots that I needed to go to the main lodge to access their WFi (which didn't work properly!). A couple at a nearby table offered a ride to the lodge and I accepted. Both people seemed very well educated from our conversation in the car. I brought up the lack of birds and singing. The man indicated the Nat'l Pk was a migratory way-station and that accounted for the lack of many birds. He also indicated it was past mating season so the few birds there had no reason to call to attract a mate or defend territory. Sounded plausible to me. Besides, what do I know - I'm a city boy.After my brig visit to the lodge, I hit the trail again. It was 3.5 more arduous miles to the Rock Springs Hut - mostly uphill. When I arrived, there was Woody and Stoner. They'd set up camp within eyeshot of the Hut (or shelter). We were joined by a young college student named Pack Mule.That evening I gave the fellows a stirring rendition of ""The Shooting of Dan McGrew."" None of them had ever heard or read that lengthy poem set in the Yukon gold rush days. I know I did well because I had gone over and over that poem in my head while hiking those long miles. I had needed a break from my other mental repetitions of the song Wagon Wheel by Darius what's-his-name.Not long after that ""hiker midnight"" was upon us - 9:00 pm. That is a standard in the trail. So we all turned in. I was alone in the hut as the others had chosen to tent or hammock camp. In the morning, both Woody and Stoner told me of a frightening story. The previous night both men were awakened by a large bear walking right thru their campsite - right between their two hammocks! Woody said he knew it was a large bear because he could feel the vibrations from each footfall of the bear. I said, ""You mean like in Jurassic Park?"" Woody said, ""Exactly!"" Pack mule had been camped some distance away, but confirmed hearing the bear rummaging around. They all looked at me and asked if I'd heard the bear. Heck, I had been closer to Woody and Stoner's site than Pack Mule. ""Nope,"" I said. ""I wear earplugs. Besides, I was dead tired and sound asleep. That bear could have crawled into the hut and kissed me and I'd have never known.""","Bearfence Mtn Hut
",Rock Springs Hut,"Jul 24, Fri",11.50
Blazer,https://www.trailjournals.com//journal/entry/508728,"Big day today. Would hike my first 14 miler. OK, I'd hiked 13 miles a couple of other days earlier in the trip, so 14 miles shouldn't have seemed so much. But it was. Any time you add an extra mile over a rock strewn path with sharp inclines and declines, you feel that last extra mile. And along my route today I would climb to the top of the highest peak in the park - The Pinnacle.But I had a few aces in the hole for the trip. The first was a stop at Skyland Lodge for lunch. No wayside grill there, but there were plenty of goodies to be had in their store. That would beat another lunch of chunky peanut butter on a tortilla washed down with water. The second ace was my destination, Thornton Gap. Route 211 went thru that gap and I planned to hitch a ride to a town called Luray. My sore feet called out for a ""zero"" day on Sunday. Plus my clothes and body smelled so bad I needed to soak both in warm, soapy water. Some supplies were needed, too. The third ace was the prospect of magnificent overlooks. Ever since leaving Big Meadows Lodge there were more frequent and grand overlooks. My map suggested I was in for a treat!The hike to Skyland proved relatively easy. I arrived about an hour before noon to music. At first I thought someone was blaring their radio, but I was wrong. There was live music being played on the grounds by a Celtic band. Lively tunes that blended in well with the surroundings. I found the shop and discovered a snack bar complete with fresh sandwiches, chips, Gatorade, etc. Needless to say I bought a load of goodies. Then I found a shady spot and table on the outside terrace to sit, eat and listen to great music. After lunch and a refill of my water bottles, I hit the trail again. The trail soon converged into rocky ledges with grand overlooks. Folks, they were the type of overlooks that just can't be captured by a photo. I tried, but only got little pieces of their majesty in my photos.Hiking along these cliffs I came upon rock climbers just completing an ascent. I have great respect for rock climbers. Tried it once with my youngest daughter, Becca, when she was in college. It was then I decided I was a terra firma type: give me two feet on solid ground anytime.While taking a few photos of the climbers, a solo female hiker came down the trail going in the other direction. We exchanged greetings on this cloudless, sunny and hot day, She stopped to chat and I soon learned her trail name - Groceries. Great name! Knew immediately who did the food shopping in her household. Groceries was married and her husband was to join her on the trail soon. As a southbound we, she had already completed the fabled ""Roller Coaster"" just beyond the national park and before Harpers Ferry (my ultimate destination for this leg of the trip). Groceries said it was hard - made worse by the high temp and humidity. Sounded like a challenge!Sometime later in the afternoon I took a side trail to a picnic area. Needed fresh water and an energy bar. Sitting at the table I'd chosen I spied two people I knew - Woody and his son Stoner! Those were the fellows that invited a bear into their campsite for a late night prowl. We greeted each other warmly as fellow travelers with a common purpose. After our break, we continued on hiking together. We made our way to the top of The Pinnacle together and took photos of one another. Then we parted ways after reaching the Byrd's Nest Hut, their destination. I still had another three miles to go to my destination, so I bid Woody and Stoner adieu. They would be ending their trip the next day.I hiked on to Thornton Gap and the road. I knew once reaching the road that I'd have to hitchhike into Luray. It was 8 miles from the trailhead. Just before I arrived at the road, I was startled by a bear running across my path into the shoulder of the trail. He/she was a smallish bear and would not move further off the trail with my urging. I spoke to the bear calmly an walked by it, snapping a couple of photos while doing so. Cute bear....I got to Thornton Gap and stuck out my thumb for a ride to Luray. Fifteen minutes passed before someone stopped. It was a guy in an old beat-up pickup truck. Wow, I got a ride! I opened the door and old clothes, McDonalds food wrappers and other assorted garbage littered the passengers seat and floor. I pushed the junk aside, sat down in something very wet and said thanks. The driver looked at me and said he was on his way to the liquor store. He grabbed the green iridescent skull on the top of his gear shifter, pushed the lever into gear and away we went. Hey, it was a ride.....","Rock Springs Hut
",Thornton Gap,"Jul 25, Sat",14
