Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Budget,https://www.trailjournals.com//journal/entry/544210,It has been a wonderful long weekend. Because the motels were full in Lincoln we backtracked 45 miles to Gorham. Buffalo and I knew our way around and it we got the last rooms at the Royalty Inn. We went to North Conway to get me a new pack. My Golite was falling apart. Mark needed new clothes too. We acted like the rest of the tourists and went out for a big lunch at a brew pub. It was so cool to be normal again and just enjoy the day with the wife and freinds.On Sunday we drove north to Bethel Maine for a lobster lunch. How can you do better than Maine lobster in Maine? The girls had never neen to Maine before and it was only 20 miles away. Tomorrow the girls will drop us off at Kinsman Notch for the climb over Mooslauke. Can t wait to be done with the Whites! Texts from Gumby Bear tell us its much easier.on the other side.The girls will leave out of Boston for the flight home. Its been fun. We hipe to do this again soon.,"Reunited Again
",Gorham NH,,0
Budget,https://www.trailjournals.com//journal/entry/544211,It has been a wonderful long weekend. Because the motels were full in Lincoln we backtracked 45 miles to Gorham. Buffalo and I knew our way around and it we got the last rooms at the Royalty Inn. We went to North Conway to get me a new pack. My Golite was falling apart. Mark needed new clothes too. We acted like the rest of the tourists and went out for a big lunch at a brew pub. It was so cool to be normal again and just enjoy the day with the wife and freinds.On Sunday we drove north to Bethel Maine for a lobster lunch. How can you do better than Maine lobster in Maine? The girls had never neen to Maine before and it was only 20 miles away. Tomorrow the girls will drop us off at Kinsman Notch for the climb over Mooslauke. Can t wait to be done with the Whites! Texts from Gumby Bear tell us its much easier.on the other side.The girls will leave out of Boston for the flight home. Its been fun. We hipe to do this again soon.,"Reunited Again
",Gorham NH,,0
Budget,https://www.trailjournals.com//journal/entry/544212,It has been a wonderful long weekend. Because the motels were full in Lincoln we backtracked 45 miles to Gorham. Buffalo and I knew our way around and it we got the last rooms at the Royalty Inn. We went to North Conway to get me a new pack. My Golite was falling apart. Mark needed new clothes too. We acted like the rest of the tourists and went out for a big lunch at a brew pub. It was so cool to be normal again and just enjoy the day with the wife and freinds.On Sunday we drove north to Bethel Maine for a lobster lunch. How can you do better than Maine lobster in Maine? The girls had never neen to Maine before and it was only 20 miles away. Tomorrow the girls will drop us off at Kinsman Notch for the climb over Mooslauke. Can t wait to be done with the Whites! Texts from Gumby Bear tell us its much easier.on the other side.The girls will leave out of Boston for the flight home. Its been fun. We hipe to do this again soon.,"Reunited Again
",Gorham NH,,0
Budget,https://www.trailjournals.com//journal/entry/524959,"Well. I'm still sitting here trying to figure out when I can leave. So much to do to close out the business and list the property. Hopefully much will be done this week. 34 Years working in one place has been a blessing. Two kids through college, house paid off, and just turned 63. Its never been good to go out of business but at least the timing was ok. I miss my co-workers every day. They were like family to me.Pictured is my son and his wife who did the trail in 2012. I never thought of the AT as anywhere I'd want to go. In my native New York the trail was always crowded and worn. I always liked the Adirondacks or the Catskills. The AT ran through neither. But these two really made the trail come alive for me.So here I wait. Soon we'll know when,.....BK",,salisbury,"Mar 26, Sat",0
Budget,https://www.trailjournals.com//journal/entry/525175,There has been much trial and error on my equipment. I bought a Go Lite Jam 70 three years ago for a trek to Philmont. I was new to frameless packs after 25 years of backpacking and 5 treks to Philmont Scout Ranch. I worked hard at figuring out how to get the thing tight enough to be able to make the load lifters work. I wound up making a frame insert until it would handle the heavy loads that Philmont Scout Ranch demands. After a couple of years I found a Go Lite Quest 65 for $60.00. It stunk to high heaven but after some tips from Backpackinglight.com its cleaned up well and turned into a pretty good pack.My base weight in 2003 was 43 pounds. Yep that's right. No more 6 pound Kelty Redcloud. My Quest is 3 pounds. So many things I've learned since my kids did the Trail in 2012. Dumped my Whisperlite for an Etowah alchol stove. I now have an Xlite mattress and a Western Mountaineering Alpinlite bag. My army fieldjacket liner has been replaced with a Montbell puffy. With three days food and everything but water I was 23 pounds yesterday. It made the 17 miles through the Uhwarries a breeze.,,View Entry,"Mar 28, Mon",0
Budget,https://www.trailjournals.com//journal/entry/525456,"Good news today! My hiking partner in crime, MacMark got his approved health check today! Lots of bumps in the road lately, but now he's ready to go! We've logged probably over a thousand miles of scout hikes together in the last 12 years. We hike the same speed and the guy always has a smile on his face. We're ready to go. Just need the when and where!",,Smallsbury,"Mar 30, Wed",0
Budget,https://www.trailjournals.com//journal/entry/527898,"Mark and I really wanted to go on a flip flop hike. That way we could choose to finish closer to home. But work has taken its time wrapping up and we both could use the income. So now we have to leave later. The week it takes to flip will put us into December. One direction will be the most efficient.I never wanted to join the big migration north. Its gotten way out of hand with the number of folks starting in March and April. Plus I love the fall. When my kids flipped in 2012 they got caught in a wicked snow storm from Hurricane Sandy. Two feet of snow threw them off a week. Either way, they enjoyed the solitude of empty shelters in November. Lets see if it works out.",,View Entry,"Apr 14, Thu",0
Budget,https://www.trailjournals.com//journal/entry/530629,"Well we finally have a kickoff date, We will leave Katahdin on June 14th.
Everything is set, all tickets bought, reservations at Baxter ready.  Ever since last summer, I have been training on a new section of the Uwharrie Trail. Although the Uwharrie mountains aren't very big, if you take it the right way they will really work you out. By going over Dark Mountain, Little Long Mountain and King Mountain and coming back over them again you really get a good workout. When I started out we were doing 10 Mile sections but now we are up to 17 miles in 8 hours.  Mark and I have been trying to do it every week and Mark continues to do it more times than that when possible. Yesterday got hot during the final ascent up dark mountain making it really tough. I think I got a little bit of heat exhaustion. This will be no comparison to the White Mountains of New Hampshire but at least it's a starting point. Mark and I have been to Philmont many times so we have crossed mountains over 12,000 feet tall and put in long miles. We've sectioned some of the AT near Roan Mountain and spent time in the Linville Gorge area. One of our toughest hikes has been on the Black Mountain Crest Trail coming up the back side of Celo Knob and going over Mount Mitchel.",,Montgomery and Randolph County North Carolina,"Apr 30, Sat",0
Budget,https://www.trailjournals.com//journal/entry/533296,"One of our crew leaders from 2013, Jacob joined us for our usual training hike on the UT. Jacob is a rising sophomore in college. He is going to be our first Rayado participant from Troop 442 in quite some time. Rayado is a challenge and leadership Trek at Philmont Scout Ranch that is three weeks long and probably 200 miles in length. He will see the entire Ranch in those weeks covering many many miles. The Rayado agenda is kept a secret. Rayado participants go on to become Philmont Rangers. They are known as ""Rowdy Rangers"". I am proud to say that my son Kurtis (Almost Eagle 2012) is a Rayado veteran and that our Troop will now have a third Rayado veteran.This weekend has been spent on logistics and food planning. It won't be long before we send our provisions. Mark and I are finishing up work.",,Jumping Off Rock,"May 13, Fri",0
Budget,https://www.trailjournals.com//journal/entry/536564,"Macmark sent me a photo of his boxes out for re-supply. His caption was ""Its getting real now"". Yup,...it is. Lots of time put into getting everything done before I go. Too much to talk about. But its the shaking of peoples hands and saying ""See you in 6 months."" that really brings it home.While training in the Uhwarries last week I ran into the Land Trust for Central NC's thru hiker event. Great folks that really care about the future of the Uhwarrie Forest. They had a local brewery donate some beverages and food was catered by a local outfitter for the hikers. They were having way too much fun. There I met a hiker my age who finished the AT in 2012. These are the words of wisdom he left me:1. Don't try to keep up with the kids. It'll kill you.2. Take lots of pictures of people. The views are great, but its the people you meet you want to remember.3.Like it says in the book, Appalachian Trials, write down the reasons you want to take on such a huge task. Its probably gonna suck more than it is going be great. You'll need that when you are shivering in the corner of a shelter He also told me the saying at the bottom of every journal I write about miles and smiles. In just a few moments a hiker who I never met before gave me advice to live by. Now I'm looking forward to more.",,View Entry,"Jun 04, Sat",0
