Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Captain Crunch aka Crunch,https://www.trailjournals.com//journal/entry/516540,"After 15 years of dreaming, 15 years of reading every book, watching every video, reviewing countless Trailjournals entries, and finally, after a recent visit to my Orthopedic surgeon to check out my knees, I am finally to the point where I can actually say ""This is really going to happen in March of 2016!!"" My mind is swirling with a variety of thoughts competing for attention.  Many workout hikes to come and other preparation. All I can say now is that I have the greatest wife (and family) in the universe! This is enough for my first entry. More to come....","
",View Entry,"Oct 28, Wed",0
Captain Crunch aka Crunch,https://www.trailjournals.com//journal/entry/518859,I am in serious preparation now. Going through my gear intently looking for ounces to reduce the load.,"
",View Entry,"Oct 30, Fri",0
Captain Crunch aka Crunch,https://www.trailjournals.com//journal/entry/518858,I am in serious preparation mode now. Looking for ounces to reduce my load.,,View Entry,"Dec 30, Wed",0
Captain Crunch aka Crunch,https://www.trailjournals.com//journal/entry/518928,,"
",View Entry,"Dec 31, Thu",0
Captain Crunch aka Crunch,https://www.trailjournals.com//journal/entry/518929,"These three will be hiking with me on my hike on every step: My Dad, my Mom, and my wife (the locket photo)","
",View Entry,"Jan 01, Fri",0
Captain Crunch aka Crunch,https://www.trailjournals.com//journal/entry/519351,"For years I have been making and selling ""White Blaze Mugs"", but this year for obvious reasons, my production schedule will be very short. So, gotta knock out a bunch of mugs in between hike preparation activities.","
",View Entry,"Jan 07, Thu",0
Captain Crunch aka Crunch,https://www.trailjournals.com//journal/entry/519623,"Reactions to this plan to hike the A.T. vary from enthusiastic support to complete bafflement. Why? Why would I want to do such a thing? To anyone who has been affected by a wanderlust or simply a desire to do something epic, this is a very difficult question to answer. I find it hard to understand myself why, about 15 years ago, when I discovered this thing called thru-hiking, it completely took hold in my imagination. I desperately wanted to walk out of winter and into spring, watching the greening of the woods one plant at a time...and then to walk through summer and back into the edge of Autumn in Maine. I wanted to see what it would be like to distill my worries down to the most basic of needs: food, shelter, water and how far I would walk on any given day. No TV, no e-mail, no bosses.  At age 59, I am beginning to see the gradual deterioration of my body - especially in the joints. If I do not make this attempt now, I fear the chance will pass and one day I would show my granddaughter a book about the A.T. and tell her that this is something extraordinary that I wanted to do, but didn't ever try. NOT GOOD! Even if I don't make it to Katahdin, I want to at least be able to say I gave it my best shot.  So what is the answer to the question Why? My answer is to follow along. Hike with me vicariously thru my journals. Look at my pictures. Read about the pain, discomfort, bugs and hunger. Also read about the beauty, the really cool people and the feeling of accomplishment after conquering each summit. At the end, each person who asks why should have an answer...or not. I suppose it really isn't important to voice my reasons. Only one person needs to understand (other than me) and that is my wife. And she DOES get it! That is enough for me.  Happy Hiking!","
",View Entry,"Jan 13, Wed",0
Captain Crunch aka Crunch,https://www.trailjournals.com//journal/entry/520135,Time to ramp up the training! Renee (my wife) and I did an eight mile hike on Pinnacle Mountain in Tennessee. The snow made it tough going - good for a workout. I carried my full winter load with food and water (33 pounds). I would still like to shave a pound or two off of that somehow. It's getting down to leaving behind comfort or contingency items. I suppose I could always ship stuff home if I find I don't use at all on the trail.,"Home
",View Entry,"Jan 14, Thu",0
Captain Crunch aka Crunch,https://www.trailjournals.com//journal/entry/520655,"I am currently doing what I call ""workout hikes"" at a local park (Steele Creek Park), which has 24 miles of trails with plenty of hills. Just a matter of loading up a full pack and hitting the hills at a hard pace - my pace on the thru hike will be much slower. In the picture attached, the mountain visible across the valley on the horizon is Holston Mountain. The A.T. snakes along its ridge towards Damascus, VA (for NOBOs). I look at that and think ""SOON"".","Home
",View Entry,"Feb 03, Wed",0
Captain Crunch aka Crunch,https://www.trailjournals.com//journal/entry/521162,"We just had my ""Kick-Off"" party here at home. Renee made a beautiful cake and my daughter added the AT logo very nicely.  There is a saying for hikers: ""Hike your own hike"". This is so very appropriate. We each hit the trail with our own idea of what a thru-hike must be. An additional aspect of that phrase is a basic philosophy of how to treat others. Hike your own hike, but do not judge others on how they desire to hike their hike. My plan is simple. I want to start at the arch at Amicalola Falls State Park in Georgia and hike the 8 mile approach trail to Springer Mountain. Then, I want to pass every white blaze all the way to Mount Katahdin, while carrying my pack every step of the way. I will not take short cuts or skip sections. Note: This is my plan, but I realize that plans change. Perhaps I will be tempted at some point, when my knees ache and my drive is low, and an opportunity presents itself for me to maybe slack pack a section, that I will give in and lower my standard just a little. Who knows? I might not end up the purist I started out to be. However, a purist I intend to be at least at the start. This will not make me better than anyone else, nor will it make my hike more significant. It is simply what I desire to do. So...Hike Your Own Hike, and ENJOY!","Home
",View Entry,"Feb 14, Sun",0
