Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Castaway,https://www.trailjournals.com//journal/entry/520651,"I’m fulfilling a goal I have had for the past few years – hiking the AT. I’ve always enjoyed the outdoors. When not working, sailing, or traveling you can find me most weekends on the trail. I have enjoyed reading, learning and living vicariously through other hikers on Trail Journals. Now it is my turn. A special thanks to former thru hikers Red Beard, Trail Pilgrim, Wingnut and many others for allowing me to follow their journey. You were great teachers. I’m looking forward to the adventure, physical challenge, and the opportunity to meet the great people on the trail. 
About my trail name - Castaway. I’m an avid sailor and traveler. My wife and I have a sailboat near Annapolis, Maryland and spend most weekends exploring the Chesapeake Bay. Three years ago, we took our 37’ ketch sailboat, SV SEADUCTION from the Chesapeake Bay to Key West and back - a 3,000-mile epic journey. As a retired US Army Soldier, I was stationed/deployed overseas for nearly 14 years. 
Traveling and adventure is in my DNA. Life is good.
“Twenty years from now you will be more disappointed by the things you didn’t do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover. “ – Mark Twain",,View Entry,"Jan 25, Mon",0
Castaway,https://www.trailjournals.com//journal/entry/520449,Hiked 6 miles today in Prince William Forest. First chance this year to hike in snow. Prince William Forest is 25 miles south of DC and is managed by the National Park Service. There are a number of trails with fairly good ups and downs. The OSS trained here during WWII.,,View Entry,"Jan 30, Sat",6
Castaway,https://www.trailjournals.com//journal/entry/520486,Excellent hike from I-66 to Manassas Gap Shelter. A great way to spend the morning. There is still 2-3 feet of snow on the trail from the blizzard last weekend. I ran into a group of Korean-American hikers who hike the trail every weekend. They invited me to join them for lunch at the shelter. It has been a while since I last had kimchi. One advantage of living near Washington DC is access to great trails. Harpers Ferry and the Shenandoah National Park are within an hour drive.,,View Entry,"Jan 31, Sun",6
Castaway,https://www.trailjournals.com//journal/entry/522509,One week from today I will be leaving Springer! I will be flying from DC to Atlanta early next Friday morning and will take Survivor Dave's taxi to Amicalola Falls. I'm spending this week preparing for my hike in St Maarten at the 36th Heineken Regatta. I'm building up my B vitamins.,,View Entry,"Mar 04, Fri",0
Castaway,https://www.trailjournals.com//journal/entry/523257,"My early morning flight from DC to Atlanta was uneventful. I took the 45 minute ride on MARTA from the Atlanta airport north to North Springs where I was picked up by Duffy from Hiker Hostel. We stopped at a Super Target and picked up a few last minute items. I'm really pleased with the accommodations at Hiker Hostel! I highly recommend you check these guys out. The owners, Leigh and Josh thru hiked the AT in 2000. I'm ready for Springer in the morning. Let the adventure begin!",,Travel to Hiker Hostel,"Mar 11, Fri",0
Castaway,https://www.trailjournals.com//journal/entry/523529,Josh from Hiker Hostel drove 8 of us to the Springer Mountain parking lot. We hiked the mile up to the Springer Mountain southern terminus plaque. What a great day to start my hike. I couldn't have asked for better weather. The temps were in the high 60's. Many day hikers from Atlanta were out enjoying the the beautiful trails around Springer. I stopped at Stover Creek Shelter for lunch and pushed on to Hawk Mountain Shelter for the evening. What a great first day!,"Springer Mountain
",Hawk Mountain Shelter,"Mar 12, Sat",8.10
Castaway,https://www.trailjournals.com//journal/entry/523627,"It started to rain around 2 a.m. and did not ease up until after 10 a.m. Fortunately the temps stayed in the 50-60 range most of the day. I found the climb up Sassafras Mountain a challenge given the wet rocks and the rate of elevation. I stopped at Gooch Shelter for lunch and to dry out my tent. I had my first trail magic at Gooch Gap courtesy of ""Sticks"", Class of 2015. Thanks Sticks! The hotdog and cold drink was just what I needed. After great conversation and a good rest I pushed on to Woody Gap for the evening.","Hawk Mountain Shelter
",Woody Gap,"Mar 13, Sun",12.70
Castaway,https://www.trailjournals.com//journal/entry/523629,"I broke camp around 8am this morning and pushed on to Blood Mountain Shelter. The weather started to turn around 11 when it started to drizzle and the fog moved in. The worst of the fog came as I reached Blood Mountain Shelter. There were a few day hikers at the shelter. I walked down to Neels Gap with a University of Georgia professor who had her PhD in military history. Needless to say, we had a great chat on the way down. My fun meter was pegged so I decided to stay at the hostel at Mountain Crossings. For $17 it wasn't a bad deal for a shower, a quick was of clothes and a warm and dry place to sleep. A Georgia College Christian group stopped by the hostel and served zucchini, salad and French bread for dinner. What a treat!","Woody Gap
",Neel Gap,"Mar 14, Mon",10.90
Castaway,https://www.trailjournals.com//journal/entry/523781,"I left Neel Gap around 8am. The weather was absolutely beautiful - around 70 and sunny. What more can a hiker ask for. I walked with El Tejano for a while and enjoyed our discussion about our family and travel experiences. I stopped at Wolf Trap Top for lunch and had a peanut butter and jelly wrap and a granola bar. I stopped at Low Gap Shelter to get water and take a quick sponge bath in the nearby stream. I pushed on a couple more miles and stealth camped. Wow, I still can't believe I'm on the trail. I feel blessed. Life is good.","Neel Gap
",North of North Gap Shelter,"Mar 15, Tue",13.70
Castaway,https://www.trailjournals.com//journal/entry/523865,"I left Poplar Stamp Gap around 8am after having a breakfast of pop tarts and hot chocolate. It was another gorgeous day with temps in the mid-70's and sunny. The back of my neck got a little to much sun today. I found the hike over Blue Mountain a challenge; especially the thousand foot descent in a little over a mile. At Unicoi Gap, I hitch hiked 12 miles to Helen for a resupply and to get a bite to eat. It was such a beautiful day that I decided to get a hotel for the evening. I grabbed dinner at one of the German restaurants and had a couple of beers. Just what the doctor ordered. All in all a great day!","North of North Gap Shelter
",Unicoi Gap,"Mar 16, Wed",8.30
