Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Coach,https://www.trailjournals.com//journal/entry/511331,Finished up the PCT and I'm heading home. I learned a lot about gear so I've ordered my updates and will post my gear list soon. I've been done since the 21th of August and so ready to get back out there. I want to get ahead of the herd so I'm going to start mid February.,,AT Prep,"Aug 25, Tue",0
Coach,https://www.trailjournals.com//journal/entry/512731,"My new gear is coming in now and when I get it all, I'll be updating the Journal. 
I got moved into my temporary quarters and started downsizing my furniture and belongs so it will be easy to move it back into storage in February. Trying to adjust to not hiking for 13 hours a day and it's been difficult.",,Gear,"Aug 31, Mon",0
Coach,https://www.trailjournals.com//journal/entry/512729,"I've received all my replacement and updated gear. My base weight is a bit lower than what I started the PCT with at just under 18 lbs. I'm waiting on word about some permits for a Grand Canyon Rim to Rim hike. If I don't get them, I'm going to Tahoe to check out my gear on the TRT. (Outdated)",,Completed AT Gear ,"Sep 06, Sun",0
Coach,https://www.trailjournals.com//journal/entry/512728,I purchased my tickets for Gainesville. I'm taking the bus since the train is a lot more expensive. The official start date is the 19th of February.,,Tickets,"Sep 07, Mon",0
Coach,https://www.trailjournals.com//journal/entry/514764,"I received my Grand Canyon permits but they're for the beginning of November so I decided to hike the Tahoe Rim Trail. I hadn't realized how much I missed the trail until I put on my pack and started walking.
The TRT is a 165 mile loop on the mountains around Lake Tahoe. The east side is dry with a couple of water sources, the west side has many and also merges with the PCT for a few miles. 3 resupply points on the trail, Tramway Market in Kingsbury, the Chalet at Echo Lake (until Labor Day) and Savon Foods in Tahoe City.
Day 1 - I got a late start so I stopped early the first day and camped at Marlette Peak Campground to take advantage of the food lockers and water pump.
Day 2 - Got going a bit past first light and I made it to Spooner Summit late morning. I saw a couple of deer herds but they took off when they saw me. Stopped at the Tramway market for water and a Gatorade. Got going and camped a couple miles past Kingsbury south TH. The hiking on the east side up to Kingsbury South is not difficult, mostly ridge walking. After that, it’s gets pretty challenging.
Day 3 - I was up early and caught a great sunrise. I had breakfast and got going and made it to Star Lake mid-morning then took a break. I crossed over Armstrong Pass just before noon. The weather has been gorgeous so far and I'm watching Fall in action. I stopped before Big Meadow TH and got water at the creek and took a break. I took off and hiked a couple more hours and I'm camped at the Upper Truckee River just after merging with the PCT.
Day 4 - It was a cold breezy night so I got up before first light, packed up and took off to warm up. Stopped at Shower Lake to get water and started towards Echo Summit. Half the morning was up hill and then down. Ran into some hunters and they wanted to know if I'd seen any deer, I said nope. I wonder if they would still be out here if the deer shot back.I crossed HWY 50 late morning and then stopped at the Chalet for lunch. After lunch I got started into the Desolation Wilderness. I been through here a number of time and it never looks the same to me. The lakes are really low and I hope we get a good snow year. Lots of hikers on the trail today and I always laugh at some because their packs are bigger than they are. Another great day on the trail. Camped at Lake Gilmore and setup for Dicks Pass.
Day 5 - Oatmeal for breakfast and off at first light. Got to the top of the pass a bit before mid-morning, great views on top. Stopped for a cold coffee and bar at the top of Eagle Falls which also has a view of Lake Tahoe.Didn't see many hikers on the north half of Desolation Wilderness, I think because there's better access from Echo Lake. Got to Barker Pass midafternoon and I'm camped a couple miles past it. This week is going too fast.
Day 6 - I slept great till 4, then I woke up starving so I got up and ate, packed up and then started hiking. This is my favorite time of day because you normally get to see a great sunrise and there is also a lot of stuff going on in the forest this time of day, its fun to watch. I left the PCT about an hour later and as soon as I crossed under Twin Peaks and heading down towards Tahoe City I started thinking about the chicken strips I was going to get when I got there. It only took 5 days to get my hiker hunger back. I got to TC a bit past mid-morning and my eating machine was cranked up so I indulged. After, I bought water and got going. The climb away from TC was challenging with a full stomach but once on top, I was sidling until I got to Watson Lake. From the lake to my jeep at the TH is 27 dry trail miles this time of year. I topped off my water so I had 4 liters and got going again. Not too many hikers out today but I met a woman on her way to Tahoe City and she wanted to gab. So we talked trail and about the new Everest movie then I said so long. Hiked a few more miles and I'm camped a bit before the Brockway Summit TH.
Day 7 - I woke up at 1 hungry and couldn't go back to sleep so I decided to do some night hiking. I had a couple of pop tarts and a large coffee, packed up and took off. I crossed Brockway Summit a couple hours later and stated up towards Relay Peak. I took a break up top since it’s a 3000 foot gain from Brockway summit and I was wore out. I started down and got to the TH a bit before noon.
This was an absolutely perfect week and I would recommend this hike to the beginner or experienced hiker. If you plan this hike and need info, send me an email. kldurham1958@gmail.com",,A week on the Tahoe Rim Trail,"Sep 30, Wed",0
Coach,https://www.trailjournals.com//journal/entry/517318,"My luck with the weather has continued. I got to the turn off for the Grand Canyon at the beginning of this storm so my hike didn't happen. I think that area ended up with about a foot of snow, oh well. 92 more days until I'm heading east.",,Grand Canyon was a bust,"Nov 14, Sat",0
Coach,https://www.trailjournals.com//journal/entry/521062,"Once again I’m homeless...what a great feeling. I was up early this morning and did my last long run. The old body is tuned up, all my gear is checked out and weighs just under 19 lbs. I have a couple last things to buy for my food bag and I put the last of my things into my storage unit. Monday I catch the hound to Gainesville Georgia. Long live Hiker Trash!",,Homeless,"Feb 12, Fri",0
Coach,https://www.trailjournals.com//journal/entry/521414,"On my way! I left Lodi on Monday and got to Gainesville Thursday. I was glad that I decided to try the bus instead of flying for a couple of reasons. First, I've never driven across the southern half of the US and wanted to do. Believe it or not except for a sore butt, the Greyhound service was pretty good so I enjoyed the ride across and got to see some new places. Second, I got to do what I really enjoy and that's watching people. My stop overs in LA, Dallas, and Atlanta was a lot of fun because I got to be part of the show. ;-) The weather was good for the whole trip so other than a homeless guy coning me out of my pringles or another guy wanting to use my tooth brush, it was a perfect trip.I was picked up by the folks from the Hiker Hostel for an overnight. Got my gear and pack setup, ordered a pizza from Pappa Johns and hit the rack before hiker midnight. Heading to Springer Mountain in the morning.",,Hiker Hostel,"Feb 18, Thu",0
Coach,https://www.trailjournals.com//journal/entry/521479,"Got up, showered and packed. A sit-down breakfast was served at 8:30 then I was dropped at the TH for Springer Mountain. I got to say that the Hiker Hostel is a great segue to an AT start. The place is top notch and the best Hostel I've ever stayed in. Thanks again to all the folks at the Hiker Hostel for your hospitality.I hiked the 1 mile to Springer Mountain from the trailhead, took some photos and took off late morning. Lots of tree and bare foliage, if this was spring, I wouldn't be able to see anything so again, I'm glad I started early.Stopped for lunch a bit before Cooper Gap. My mind still wants to hike a break neck pace as I did on the last few miles of the PCT but my body says slow down so I'm hiking slow for the time being. Got to the Gooch Mt Shelter late afternoon and decided to stop for the day. It was sunny with no clouds and bit breezy, I couldn't of asked for a more perfect first day on the trial.","Hiker Hostel
",Gooch Mountain Shelter,"Feb 19, Fri",15
Coach,https://www.trailjournals.com//journal/entry/521496,"Got woke up by a couple of raccoons going at it so I decided to get up. Had coffee and a pop tart, packed up and got going.I didn't get much sleep last night, 2 hikers and their dog came in about 8:30 and took two and a half hours to navigate their setup and dinner. At one point they broke out the SPOT and one guy shows the other how to use it...too funny. On my way out I looked up to see their 85 plus liter packs hanging on the food bag cable which sent me up the trail laughing. If I a see them again I'm going to give them the trail name of Heckle and Jeckle.Passed Woody Gap mid morning and stopped for a break. As soon as I did it started to rain so I put my rain gear and pack cover and took off. There wasn't much to see today because of the fog and rain so I just tried to get in the miles and stay warm. When I got the the Blood Mountain Shelter, the rain had stopped so I got rid of the rain gear. There must of been 40 day hikers there so this must be a popular place on the weekends. Started down and passed a continuous line of people...made it to Neel Gap mid afternoon. The trail goes through the outfitters and they have a hostel and small resupply. I checked in, bought my food for the next 6 days then cleaned up. The trail was windy, cold, and wet today but any day on the trail, is a good day.","Gooch Mountain Shelter
",Neel Gsp,"Feb 20, Sat",16
