Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Deadwood,https://www.trailjournals.com//journal/entry/521624,"Hey folks! I wanted to thank everyone for coming by to read my trail blog. This site is intended to serve as my personal journal as well as a vessel through which others that are unable can join me on this adventure. I will share my thoughts, fears, hopes, desires, pains, joys, sorrows. Or perhaps just idle observations about trees and ferns and millipedes and things. Just kidding. (But seriously).Your interest is important to me! As it is all of your collective interest & support that will help to keep me motivated in this difficult (and incredible!) months ahead. That said, I'm so very excited to get this show on the road.I wanted to especially thank everyone who is donating to Alex's Lemonade Stand Foundation by way of pledging at my hikefor page (http://www.hikefor.com/Deadwood/AT/2016). ALSF is an awesome charity that helps children with cancer & funds cancer research.Recently, I read the book ""A Walk For Sunshine"" by Jeff Alt, and I decided I would hike for charity. Because, well, why not? I've dreamt of thru-hiking the Appalachian Trail for about a decade. It never felt like it was something that would ever happen - until last summer.That's when I read Zach Davis' ""Appalachian Trials"", and his words really resonated with me. The timing wasn't exactly perfect, but my wife helped me make it work. The money would be incredibly tight, but I would be more frugal. Sacrifices have to be made for something this epic & demanding to come to fruition, and not just my own. But either I push the boat out now, maybe without everything I need to stay afloat, or I wait until I retire. Worst case scenario, I can dog-paddle.Poor boating metaphors aside, waiting your entire working life to complete your biggest & hungriest goal is no way to live. It'll be difficult, physically, mentally, socially and again mentally. But I at least have to try and give it my all. If I fail, then fine. But not trying at all is the only failure I refuse to accept.If you want something badly enough, you truly can make it happen. Even if it's selfish. And this is undoubtedly just that. This journey is an inherently egocentric one. But that doesn't necessarily mean it's immoral, wrong, misguided or can't also simultaneously be something very good.If I'm going to leave everyone behind for five months to go for this crazy pipe dream that I could never seem to shake, (I tried), than the least I can do is help someone else out. Every step I take when I'm freezing, starving, aching and lonely, I'll take another for ALSF. For the children who didn't get a chance to meet their goals, and for the ones who might. Go read about some of them at http://www.alexslemonade.org/heroes.One step at a time. Just one step at a time.Thanks for reading folks, seeya next time!",,View Entry,"Feb 22, Mon",0
Deadwood,https://www.trailjournals.com//journal/entry/521769,"One of the first questions people ask is why. Why would you want to go out into the wilderness for five months, away from your friends & family, freeze your butt off, get rained on, deal with blisters, sores, cuts & bruises, constantly being hungry, lightning, physical & mental fatigue, sleeping on the ground, struggling in the cold and the heat, and so forth.It’s a fair, simple question that unfortunately doesn’t warrant an equally simple answer. Why am I thru-hiking the Appalachian Trail? Because, over the last decade, it's the one thing that I could never get out of my head. From the day that I found out from a thru-hiker that it was possible I just felt a need to do it. Not because I am running from something, like some hikers. It’s not escape that I’m looking for. It’s because I'm running toward something.How many of us actually, truly push ourselves beyond what we think we're capable of? Take ourselves to the edge of exhaustion, then ask our bodies and minds to keep going? It’s in those moments that we find out what we’re made of, and maybe, who we really are. I don't feel like many Americans experience any sort of major rite of passage these days, with the exception, I would say, of our military & veterans. Hats off to each and every one of them. But for the rest of us, we are either never tested, or we find something that takes us far out of our comfort zone. It’s not just about being uncomfortable. It's about being uncomfortable and being okay with it. Challenges are opportunities for growth. I hope to come back different than I went in, and I suspect I will. Firm this rant up, Mr. Eliot.“We shall not cease from exploration, and the end of all our exploring will be to arrive where we started and know the place for the first time.” - T.S. EliotNow we’re getting somewhere. I should’ve started with that quote? But we’re not done. Here’s another, slightly more modern quote to sum it up. “Life is short. Do awesome shit, stupid."" - Zach Davis, author of “Appalachian Trials”Thanks T.S. Thanks Zach. Now here’s my quick list.I am thru hiking the AT because...It has been my life goal for over a decadeI will have the rest of my life to sit in front of a computerI love nature & singularity of focusIt is my rite of passageWhen I successfully thru hike the AT, I will...Be a much more confident & patient manWill have better perspective on my life and my place in the worldHave no regretsWill have the attitude to persevere in whatever I do in lifeHave the story of a lifetimeIf I give up on the AT, I will...Have abandoned a decade-long dream. But I would have the maturity to accept that the goal is no longer as valuable or desirable to me. Values change and that's okay. At least I will have given it my best effort.",,View Entry,"Feb 24, Wed",0
Deadwood,https://www.trailjournals.com//journal/entry/522209,"So what’s the deal with trail names? Why do we do it? How does it happen? Where did it begin?It’s a tradition for hikers, and especially long-distance hikers, to take on trail names. I really don’t know where or how this began,but why not participate in something so whimsical? There is a sticking point though.Typically trail names are given, not chosen, and often they are related to something embarrassing that happened to you or that you did. Otherwise, obviously, I would be something along the lines of “World’s Sexiest Dudeman” or perhaps “Super Coolguy J. Rich” or maybe “Macho Libre” (is he joking?). But that just won’t do. I never would have settled on “Deadwood”, but there is always a logic behind the new title.When hiking up Mt. Mitchell for a weekend backpacking trip with some of my best buds, I was the only one left that didn’t have a trail name. Mt. Mitchell is the highest mountain east of the Mississippi, and I was feeling the elevation gain. I was also the only one without trekking poles (these bad boys take 15 pounds off of your knees). Feeling left out of the cool-guy / smart-guy trekking pole club, I rooted around the fringes of the trail until I found two woody, gnarly, poor substitutes for trekking poles. Not ideal, but I happily used them for the remainder of the weekend and I still maintain that they (maybe!?) helped my knees. At the end of the hike, Smiling Otter & Seal donned me “Deadwood”. And so I shall remain!",,View Entry,"Mar 01, Tue",0
Deadwood,https://www.trailjournals.com//journal/entry/524916,"This morning was surreal, but now it's real. The journey of a lifetime has begun. It's exciting, but it's hard not to question it all now that I'm way out here, so far from the ones I love. I got my tent setup with plenty of daylight left, was just sitting in there getting things organized and felt suddenly very alone. I already miss my wife so much - she makes everything worth it. That said, I know this doubt and fear will pass. The hiking today wasn't too bad, but, barring injury, I can already tell this is going to be a mental game. There are some folks here that I'm going to hang out with for dinner. Update: I talked to Wan (Wanderer), Sylvan & Bryson. All seem nice, and Wan is awesome at ukulele. I recognized some of the tunes he was playing as songs from the ""Into the Wild"" soundtrack by Eddie Vedder. Turning in at 7:30. Rain coming in tonight.","Springer Mountain
",Hawk Mountain Campground,"Mar 12, Sat",7.40
Deadwood,https://www.trailjournals.com//journal/entry/524917,"This was one of the toughest days in recent memory. Woke up in a wet tent, broke down in the rain & mud. Only my electronics and clothes were dry. It was a very misty, wet morning as I hiked. Met another hiker named Chris, who was only wearing sandals on his feet. The rain finally cleared off, but I'm worried about rain again tonight. There are no designated campsites left, and I'm set up on a slope.Today I hiked with Wild Child and her dog, Panda. She's very nice and was great company as I hiked. I ended up motivating her to continue to the shelter. Her pack was as large as her.I talked to some folks at the shelter, which was full. They seemed nice, but I'm having trouble connecting with big groups. I don't have an appetite yet, and I ran out of fuel halfway through heating up dinner. I at half cooked noodles and it was horrible.Fingers crossed for a clear night.","Hawk Mountain Campground
",Gooch Mountain Shelter,"Mar 13, Sun",8.70
Deadwood,https://www.trailjournals.com//journal/entry/524919,"No rain last night, but have had off and on sprinkles today. I felt awesome, and got my first trail magic, too. I was walking by when a guy named Sticks asked if I wanted a pancake. He brought an outdoor stove and had a bag for trash. I was taken off guard because it was my first trail magic, but he asked if I wanted chocolate chips in my pancake and I said ""yes."" He thru hiked last year. I saw the legendary Miss Janet drive by and honk her horn, but I didn't talk to her. Later in the day, I ran out of TP, so it was a new first using leaves. I opened up to a lot of people today, and it paid off. People out here are truly nice. There's SpaceGoat, Jai, Reeses, Scurvy, Josh, Irie, Moses, Get Weird, Hi-Ho, Beaver, and a few others. Beaver tented next to me, and he's only 17 but he's got his head on straight. Tomorrow is Neel's Gap and onwards. Yahoo!","Gooch Mountain Shelter
",Lance Creek,"Mar 14, Mon",8.50
Deadwood,https://www.trailjournals.com//journal/entry/524920,"Today was awesome. Hiked out of Lance Creek with Hi-Ho and found we have a similar pace. We'll probably keep on together for awhile, and split a room in Hiawassee. Pretty cool guy, he's 53 but there's no age barrier out here. Hiked up Blood Mountain today, which was the toughest uphill yet, but also had the best views.
We met up with Hare and Moses, and as we were getting ready to go down the mountain, Scurvy announced that there was a pizza party at Neels Gap at 3:30. So everyone immediately threw their packs on, excited to start hiking, but then everyone realized he was not serious.
Hare led the way down the mountain to a dead end. Very appropriately, Moses led us back out and down the mountain. We all went into Neel's Gap together, and I got a shakedown and dropped about 2 lbs from my pack. Got some more food, and Hi-Ho got me a coke and a slice of pizza, which I hoovered. Hiked out of Neel's, and found a great spot to camp up on a ridgeline. I wonder if these lights twinkling in the distance are Dahlonega. Camping with Hi-Ho, Moses, Scurvy, and Space Goat(who has a 95L pack). Great day.","Lance Creek
",Swaim Gap,"Mar 15, Tue",10.30
Deadwood,https://www.trailjournals.com//journal/entry/524922,"Wow, what a day! Last night, I had dreams about a vine man coming out of the edge of the woods and staring at my tent. Didn't die, woke up and hiked to Tesnatee Gap, where my cousin Scott and his friend Jeremy came out to hike.First they gave me a beer, which was amazing, then a ton of candy. They drove up to Hogpen Gap and I pushed to hike the mile from Tesnatee to Hogpen to meet them. Only took about 30 minutes.I freshened up with some Axe body spray. We all pushed hard and ended up having a good time and blowing past our planned camping spot. This was my biggest day yet by far. My cousin Scott (Candy Cowboy) was offering candy to every hiker he passed. It was nice to get to know his friend Jeremy (Tennessee Honey), who was named so for his choice of liquor which he packed in. Had a great time at camp catching up with Scott and getting to know Jeremy, who was a paramedic with some wild stories. Scott has been wandering around camp taking photos, and made the observation that there are no animals out here at all. Very tough day, my knee was really hurting, but that's nothing that Tennessee Honey out of a dog bowl can't fix! Starting to get an appetite. Great day.","Swaim Gap
",Chattahoochee Gap,"Mar 16, Wed",13.60
Deadwood,https://www.trailjournals.com//journal/entry/524923,"What an awesome day. Only 5 miles down to Unicoi Gap, which is good because my right knee is screaming. Going to get a brace here in town. On my way down to Unicoi I ran into a woman named Driftwood, who was hiking with her autistic son, Wildwood. He is injured, but can't vocalize how, so they are taking a 0 at Blue Mountain Shelter. Unfortunately, her phone is dead and won't charge, so she let me charge my phone, and I let her use my phone to call her husband and contact Miss Janet. She is pretty amazing with what she is doing.In Unicoi Gap I met Lone Star, who was doing some trail magic with his church group from Savannah. It was a huge spread. I had a hot dog, hamburger, and a donut. I also met High Cotton, who took his hat off to reveal white hair. He is hiking with Tippy Toes, who is having major blister issues. I've been happy with my foot situation so far. Then my old high school buddy(from 18 years ago) Loren picked me up and brought me to a Mongolian Grill in Hiawassee. We had some good laughs and we remembered one of our old mottoes, ""Trying is failing."" We were talking about how we're the old men now.Loren was relaying a story to me about his older coworker talking to a younger coworker. Older guy said ""You haven't lived. You know how I know? You still have a zest for life."" Ha!Then Loren dropped me off at the Budget Inn, where I was lucky enough to run into Hi-Ho, Scurvy, Space Goat, Juan, and a few others. Glad it all worked out. Bought a smaller cookpot at the outfitter. Sharing a room with Space Goat. Now to sleep in a bed.","Chattahoochee Gap
",Unicoi Gap,"Mar 17, Thu",4.70
Deadwood,https://www.trailjournals.com//journal/entry/524980,"Today was a fight. Hi-Ho and I resupplied at Ingles, sent some stuff home, and packed up in the morning. A Slingblade impersonator took us to the trailhead in his shuttle with other hikers. Then it was straight up Rocky Mountain and back down. Then we went up Tray Mountain and back down. Then a series of PUDs (pointless ups and downs). Hi-Ho took the lead today and helped keep me moving. He's like a pack mule that won't quit. We kept leap-frogging Space Goat and Scurvy, and stopped at Tray Mountain shelter for lunch. When Hi-Ho opened his food bag, an enormous spider crawled out, and Scurvy had a conniption (he's arachnophobic). It should be noted that Hi-Ho packed his food bag in a hotel room.Beautiful views today, and this group is good. I hope we don't get too much rain as it continues to get colder in the coming week. My pack was 37 lbs after resupplying, and I'm exhausted.","Unicoi Gap
",Sassafras Gap,"Mar 18, Fri",12.40
