Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Diguidou !!,https://www.trailjournals.com//journal/entry/524330,"137,3 miles    Haïkus de la première semaine !!le 13 mars       AT droit devant                   sac à dos je m'engage                        70 bougiesLe 14 mars       à flanc de montagnes                     des ruisseaux clapotants                         fougères en éveilLe 15 mars       tulipes blanches                     soleil perçant la forêt                         oiseaux légers sautillants le 16 mars       un soleil brumeux                   tendres aiguilles de pin blanc                        le plantain se pointeLe 17 mars   15 minutes                   sur ce tronc moins jeune que moi                      repos des guerriersLe 18 mars       adieu la Georgie                   je te suis infidèle                         hello CarolineLe 19 mars      soleil invisible                     j'avance dans un ciel de brume                        trio de cascadesLe 20 mars      réveillés-toi soleil                     tu étais froide Morphée                         chaudes céréalesLe 21 mars      frigide Morphée                      tu ne m'aime donc plus                        sentier de neige                               La vie est belle! Diguidou !                                                   ","
",Sassafras Gap Shelter,,0
Diguidou !!,https://www.trailjournals.com//journal/entry/530207,04/25. 17.1milleshykers sympathiquesmon anglais s'améliore montées en slalom04/26. 17 milles passages risqués je suis dans l'instant présent vigoureux lézards 04/24.   15.4millesSentier cadeaule rythme des pas est plus facileodeurs de muget,"
",View Entry,,0
Diguidou !!,https://www.trailjournals.com//journal/entry/531607,04/25. 17.1milleshykers sympathiquesmon anglais s'améliore montées en slalom04/26. 17 milles passages risqués je suis dans l'instant présent vigoureux lézards 04/24.   15.4millesSentier cadeaule rythme des pas est plus facileodeurs de muget,"
",View Entry,,0
Diguidou !!,https://www.trailjournals.com//journal/entry/533737,"   HaïkusLe 13/05/16   ( 14 miles )          gros crapaud heureux                                           le temps gris garde sa place                                                 2 mois en sentierLe 14/05/16 (15,3 milles )          glissade fatale                                             avec peine je me redresse                                                    la tombée du jourLe 15/05/16 (14,2 milles )             sentier de la vie                                              je marche et compare                                                      chemin tortueuxLe 16/05/16 (19,7 milles )          sourires aux lèvres                                                nos ombres sont de retour                                                    rêves érotiquesLe 17/05/16 (12,5 milles )             ravitaillement                                                le mulet repart chargé                                                      déposé son sac                                                                                                          Diguidou !    ' la vie est belle '                                                                                                               ","
",View Entry,,0
Diguidou !!,https://www.trailjournals.com//journal/entry/528112,"HaïkusLe 12/04 ( 16,1 m )          humidité des bois                                 les limaces se réjouissent                                     remous musicauxLe 13/04 ( 23,8 m)             une érablière                                    nostalgie de la cabane                                        chevaux sauvagesLe 14/04 ( 21 m )            calme matinal                                  la gélinotte se sauve                                     je marche en courtLe 15/04 ( 13,9 m )         je vais mon chemin                               couloir de rhododendrons                                     ravitaillement                                        Diguidou   "" la vie est belle ""                                                             ","
",View Entry,"Apr 16, Thu",0
Diguidou !!,https://www.trailjournals.com//journal/entry/520908,Entraînement en raquette de 2hrs30 ce matin avec mon sac à dos plein à 75%. L'endroit est magnifique avec vue sur le fleuve St-Laurent et le mont Ste-Anne .,,View Entry,"Feb 09, Tue",0
Diguidou !!,https://www.trailjournals.com//journal/entry/521050,"Salut!Aujourd'hui, température froide mais ensoleillé, une vue formidable sur les pentes sud du Mont Ste-Anne. Une perdrix m'accueille à chaque jour. Merci! Je suis très content de cette semaine d'entraînement en raquettes; 2hrs par jour avec sac à dos 75% de la charge prévue. C'est un compte à rebours 31 jours avant le départ.La vie est belle!Diguidou!","
",View Entry,"Feb 10, Wed",0
Diguidou !!,https://www.trailjournals.com//journal/entry/521052,"Neige immaculée
Soleil froid de février
Moustache gelée
La vie est belle !!
Life is beautiful !!","
",View Entry,"Feb 12, Fri",0
Diguidou !!,https://www.trailjournals.com//journal/entry/521145,"Heureuse St-Valentin à vous tous!
Un froid sibérien ici ce matin...
Brume sur le fleuve
entraînement intérieur
pensées positives
La vie est belle !!","
",View Entry,"Feb 14, Sun",0
Diguidou !!,https://www.trailjournals.com//journal/entry/522903,"Hi there !       Je quitte demain pour Windsor chez mon fils préféré Ludovic (j'en ai juste un) de là, l'avion pour Atlanta. Puis il m'accompagnera sur le sentier d'approche. Merci fiston! Sunday I will be on the trail .Haïkuami du Québecmerci pour les beaux ""partys""l'AT m'appelleLa vie est Belle !Life is beautiful !Diguidou !!","
",View Entry,"Mar 08, Tue",0
Diguidou !!,https://www.trailjournals.com//journal/entry/523282,C'est parti! Belle journée !Haïkusentier d'approche côchéaccompagné par Ludosquelette d'un grand chêne La vie est belle !,"
",View Entry,"Mar 12, Sat",8.80
Diguidou !!,https://www.trailjournals.com//journal/entry/525183,"    237,7 Davenport Shelter   Haïku                         22 mars    j'admire bouche bée                                                   l'immensité de la vie                                                       fourmi que je suis                                                                    23 mars    lune complète                                                    je déjeune très tôt                                                      le soleil s'étire                                      24 mars    de la vieille tour                                                    je teste mon vertige                                                       taupes au travail                                       25 mars      boueux à souhait                                                    nuit de grands vents et de pluie                                                          un pas un défi                                        26 mars    le plus haut sommet                                                      j'ai grimpé le Clingman Dome                                                          le fier Diguidou                                        27 mars         tête en brume                                                          l'estomac dans les talons                                                             pieds dans les ruisseaux                                       28 mars       voix cacophoniques                                                         j'ai dormi dans un shelter                                                               calme de l'AT                                                             Diguidou !                                                                                 La vie est belle !                                                                                                                                    ","
",View Entry,"Mar 28, Mon",0
Diguidou !!,https://www.trailjournals.com//journal/entry/525772,"HaÏkus                         Le 29 mars ( 19 milles )                                               jolies fleurs rosées                                 je vous voient m'encourager                                     cerfs-volants au ciel                        Le 30 mars (17 milles )                                       voici des moins jeunes                                 je suis moins seul de ma gang                                        village Hot Spring                     Le 31 mars ( 20 milles )                                        rythmer mes pas lents                                     je pousse sur mes bâtons                                        un ciel orageux                "" La vie est belle ""                      Diguidou!                                              ","
",View Entry,"Mar 31, Thu",0
Diguidou !!,https://www.trailjournals.com//journal/entry/525774,"HaÏkus                         Le 29 mars ( 19 milles )                                               jolies fleurs rosées                                 je vous voient m'encourager                                     cerfs-volants au ciel                        Le 30 mars (17 milles )                                       voici des moins jeunes                                 je suis moins seul de ma gang                                        village Hot Spring                     Le 31 mars ( 20 milles )                                        rythmer mes pas lents                                     je pousse sur mes bâtons                                        un ciel orageux                "" La vie est belle ""                      Diguidou!                                              ","
",View Entry,"Mar 31, Thu",0
