Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Eight-Thirty,https://www.trailjournals.com//journal/entry/523199,Well I just set up this journal and now I want to see if it works. I uploaded a photo and it was sideways. If it turns out that way I'll have to change it. I wasn't going to do a trail journal and then I reflected on how important reading the journals had been in my decision to attempt a thru-hike. So maybe my entries can help someone else along the trail. If this all works I will do an introduction entry next.,,Test page,"Mar 11, Fri",0
Eight-Thirty,https://www.trailjournals.com//journal/entry/523373,"Having waited in vain to see my journal on line, I read the material again and see that I have to make three entries before it starts being posted. I tried, also in vain, to fix my photo, it still is sideways. The picture is of me standing in front of Fontana Dam during my 2014 thru hike of the Benton MacKaye trail. My thing with the AT began in 1964, when I first backpacked during summer camp. After a youth filled with backpacking and camping trips, I went off to college and lived my life, only returning to the mountains and the trail occasionally. Then in 2013 the bug hit again and I resolved to take up backpacking in retirement. Much has changed, wow, 30 pound packs! So I set about to learn it all over and along the way I found Trail Journals. And my old friends the Troverts, who thru hiked in 2012. What a great journal. I planned to attempt a thru hike in 2014 but life stopped me. Again in 2015 my plans were interrupted, but along the way I discovered flip flopping. So now it is a few days over one month before my flip flop thru hike begins. I'll attend the kick off at Harpers Ferry, WV on April 16, and then head north on the 17th.","Test page
",Introduction,"Mar 12, Sat",0
Eight-Thirty,https://www.trailjournals.com//journal/entry/523376,"My first shake down hike occurred in November, 2013. I hiked from Dicks Creek Gap in Georgia, south to the Amicalola Falls State Park. About 80 miles. I took this hike with the Georgia Sierra Club. It was a great trip, everything you want from the AT, hard days, cold nights, rain and storms. My pack was heavy and I had moments of doubt. I finished the hike and got my trail name - Eight-thirty. The next summer I went out alone on the Benton MacKaye trail, the southern alternative. It took me 28 days to walk the 300 miles of this trail. It was also hard and lonely. Twice I went for three days without seeing another person. Having completed that one I determined to walk from Fontana south to Dicks Creek Gap. Another November hike that turned really cold. Too cold for me and I ended early at the NOC. Lessons were learned. Last May I went out into the Great Smokey Mountains NP for four days, walking 44 miles. I climbed Shuckstack, went back down, climbed Gregory Bald over to Russell Field, back down, and climbed Spence Field and back down into NC. The same week I was there, the hiker from Ohio was attacked in his hammock by a bear. More lessons learned. In all, I've now hiked about 500 miles in preparation for my AT thru hike.","Introduction
",View Entry,"Mar 13, Sun",0
Eight-Thirty,https://www.trailjournals.com//journal/entry/523665,,"
",View Entry,"Mar 14, Mon",0
Eight-Thirty,https://www.trailjournals.com//journal/entry/524207,"It is now less then four weeks until I begin. The line ""it's getting real"" no longer works. This week I began purchasing food for the trail, wow. I have a plan for my hike. It starts out very detailed, moves to a less detailed format and so on. I am dividing the trail into four parts, Harpers Ferry to Kent, CT, Kent to Mount K, HF to Damascus, and Damascus to Springer. For part 1, I have looked hard at shelters, miles, trail towns etc. The only thing I am making myself do at this point in the plan is to commit to 10 mile days for the first week. Virtually all AT advice columns say do this. I plan on buying most of my food along the way. Perhaps my wife will be sending me some food from time to time. At this time I'll have new shoes sent from home. Perhaps a new trail shirt when I do the flip. My gear is virtually complete, I'm working on getting it in this journal. It looks like my base weight will be 20.5 lbs. Not as light as I would have liked, but that includes a bear canister. My wife (Nature Girl) and I will drive from our home in Macon, GA to Harpers Ferry, leaving on April 14. We will attend the ATC Flip Flop Kick Off on April 16 and I will start the hike on April 17.","
",View Entry,"Mar 15, Tue",0
Eight-Thirty,https://www.trailjournals.com//journal/entry/524824,"I tried my dirty girl gaiters today on my training walk. They worked great. My tent arrived yesterday. My gear may be complete. When I set up the tent I'll make a full report, it's a Zpacks he immune solo plus. A little more then two weeks to go.","
",View Entry,"Mar 25, Fri",0
Eight-Thirty,https://www.trailjournals.com//journal/entry/526288,"I was just about to write this entry, when I received an email from Laurie at the ATC regarding the flip flop kick off on April 16-17, in Harpers Ferry. Man, what a rush! This is really happening. My bag is pretty much finished, my base weight is right at 22 pounds, that includes my empty water containers, empty bear canister, and a mostly empty fuel canister. Fully loaded I will be around 30 pounds, heavier then I wanted but not undoable. As the weather warms I have a few cool weather items I can send home, and I'm still holding on to an extra pair of socks ""just in case."" Last night I worked on my food some, I'm leaving with three days worth, my wife will bring me three more days before she goes home, and I'm going to send myself two mail drops just to get started. After that I'll buy as I go, with some things mailed along the way. Over the last couple of weeks I reread David Miller's AWOL on the Appalachian Trail and past s of Zach Davis's Appalachian Trials. When I met David Miller at the Georgia AT kick-off I told him his book was a big influence on my decision to try a thru-hike, he replied that I couldn't blame him! If you were wondering, he is a great guy.","
",View Entry,"Apr 03, Sun",0
Eight-Thirty,https://www.trailjournals.com//journal/entry/526727,"I went to the store today and bought the rest of my food. I am now provisioned until May 2. At that time I will start living off the land. My food bags came out well, the heaviest one was about 5 pounds, the lighter ones more like three pounds. This is good. My total weight will be less then thirty pounds. My wife and I went to Sam's the other day and while I was off wondering, she loaded up a pack of Smart Water. So I can have Smart Water bottles like all the cool hikers do. They are lighter, so now I have Smart Water bottles also! We leave for Harpers Ferry in one week!","
",View Entry,"Apr 06, Wed",0
Eight-Thirty,https://www.trailjournals.com//journal/entry/527271,"I was born in the south and have lived all but 14 years of my life here, but I continue to learn even after many years. The other day one of my wife's friends asked if I was ""journey proud."" We had to look it up. Yes I am journey proud!","
",View Entry,"Apr 10, Sun",0
Eight-Thirty,https://www.trailjournals.com//journal/entry/527967,"Well I wrote a great entry last night but somehow it got lost in cyber space. So here is the picture I took of my gear in the hallway. We are in Salem, VA, on the way to Harper's Ferry, WV.","
",View Entry,"Apr 14, Thu",0
