Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Farmor & Great Gramps ,https://www.trailjournals.com//journal/entry/520622,"We are preparing to start our adventure March 20th from Springer Mountain. We will use the first three required entries to tell a little about ourselves. Farmor is the Swedish name for Grandmother...specifically, Father's mother.I am mother to three wonderful sons and grandmother to two adorable grandsons. My oldest son -trail name ""Hans"" will be joining us for the first ten days. It will be very reassuring to have extra support in the beginning (as in ""I have fallen and can't get up"") especially since we will be some of the oldest hikers attempting a thru hike this year.",,Entry #1,"Feb 02, Tue",0
Farmor & Great Gramps ,https://www.trailjournals.com//journal/entry/520625,"I'm 68, have 4 grandchildren and and a great granddaughter, hence the name Great Gramps. I bitch about the ills of our society and look forward to escaping from constantly hearing the ""news."" In many ways, I view being on the trail as a retreat from the insanity and will enjoy the solitude (mostly).",,Entry #2,"Feb 02, Tue",0
Farmor & Great Gramps ,https://www.trailjournals.com//journal/entry/520627,"Great Gramps has been retired for about six years now and I just recently retired about two weeks ago. We are in the process of moving out of the house we are currently renting, organizing and moving all of our worldly possessions into storage. Since we have already given notice to vacate, there is no turning back now! We are also trying to prepare our meals and are planning mail drops about every two weeks. Nutrition will be very important to us and we know that we will not survive on pop tarts and ramen noodles. So much to do!",,Entry #3,"Feb 02, Tue",0
Farmor & Great Gramps ,https://www.trailjournals.com//journal/entry/520959,Babysitting our two adorable grandchildren is so much more fun than packing and moving boxes to storage! Hopefully the picture will upload!,,View Entry,"Feb 10, Wed",0
Farmor & Great Gramps ,https://www.trailjournals.com//journal/entry/522665,"Neither of us thought that the process of moving out of the rental house (that we dearly loved) would be so difficult...physically as well as mentally. So much sorting, discarding, recycling and reorganizing to get everything to storage lockers...yes, there are now three! It was physically demanding as we did most of the lifting ourselves with movers coming only to do the heavy furniture. Never, ever again! Phase 1 has ended.We have had four days to set up our resupply boxes at my son's house and they will be so happy to see us and our clutter gone tomorrow. Thinking through all the wants and needs and packing up light and nutritious meals has been a challenge but I think we are close to being done. Tomorrow ends phase 2 and while different, is every bit as stressful as phase 1!Making progress...slowly!",,Moving,"Mar 06, Sun",0
Farmor & Great Gramps ,https://www.trailjournals.com//journal/entry/522822,Phase 2 has officially ended! We are now in the car and driving East via Mammoth Mountain (taking the scenic route). Phase 3 has begun!,,On the road,"Mar 07, Mon",0
Farmor & Great Gramps ,https://www.trailjournals.com//journal/entry/523710,"We have rented a car and are leaving for Atlanta in the morning. We are both very tired of trying to anticipate all the issues we will face and be prepared for them as that is impossible to do. Let it begin already! We are both a little concerned about our inability to walk and train with our packs these last two months since packing, moving and setting up the resupplies proved to be a tremendous amount of work! More than we anticipated. We both realize that our packs are heavier than we would like but we will go very slow the first few days and hopefully it will all come together!",,soon!,"Mar 16, Wed",0
Farmor & Great Gramps ,https://www.trailjournals.com//journal/entry/524349,"Today was the day! We were picked up at the Holiday Inn at 8am by Ron Brown who provides a shuttle service to the trailhead at Springer mountain. He was fantastic and gave us advice and information regarding the first section of the trail. He is also a trail Angel who helps all hikers when he sees the need, not just to his customers. What a great guy!We started up the trail to Springer mountain to sign the register and take pictures. It was a cold day and the path was muddy and rocky but we made it without incident. Our packs are heavier than we wanted and our bodies felt it immediately. Most of the excess weight was food but that will change as we eat our way up the trail. After the decent from Springer, we continued north. Most people stay at Hawk Shelter the first night which is about 8 miles but we soon realized we would never make it that far! I think we made it about 5 miles and then found a flat camping area that we limped into. As we were putting up our tent, it started to snow and then hail! It is very cold and when the frozen rain stopped falling, we built a small fire and started to cook dinner. First support was spaghetti. When the hale started again, supper was only half done so we had to move everything to the vestibule of the tent finish cooking.We are now tucked into our beds at 7pm. It is so cold we have our jackets on inside our sleeping bags to keep warm. In addition, we have the water bottles tucked in also so they don't freeze. It was a an interesting first day.Most important thing I learned about today was ""snot rockets"". I hope I get better at it!""Take your time and you'll be fine."" Ron Brown.","Springer Mountain
",View Entry,"Mar 20, Sun",0
Farmor & Great Gramps ,https://www.trailjournals.com//journal/entry/524492,"Woke up to a winter wonderland. It was white every where you looked and temps in the mid twenties. We cooked a hot breakfast hoping that would warm us up a little. The temp only got up to the high 30's (according! to another hiker). Too cold!We did slightly better today but we have to go slow. Packs are just too heavy so we are going to have to adjust our resupply plan a little and send half the food up the trail so we are not carrying so much. It will work out.I have found that cooking in the vestibule works out great so long as I remember to fold back the tyvek...It is just a little hole! Don't have to worry about wind, rain or snow and we keep it ventilated and it helps to warm the tent.""Hans"" has been a great help and I know we are probably driving him crazy by going so slow but that is all we can do right now. He had made these beginning days so much easier!Every body part aches a little but no real injuries. Hopefully we will get stronger every day!Great Gramps is asleep every night by 7:30. First one down and the last one up!","Three Forks
",View Entry,"Mar 21, Mon",0
Farmor & Great Gramps ,https://www.trailjournals.com//journal/entry/524494,"Camped last night on the mountain between Hightower Gap and Horse Gap. Set up our tents and cooked dinner of chicken and rice. Pretty good! Sunset behind the ridge line was beautiful and a nice way to end the day. The morning was still cold but the sun was up and it was a beautiful day. We started strong and finished weak...seems to be a pattern! We climbed both Sasafrass and Justin mountain today and were able to fill up our water containers at Justin creek. It was beautiful and a lot of people gathered to relax and even soak their feet. One more reason to filter your water! Turned out we were trail angels today. Got to the top of Sasafrass mountain and there was a woman hanging onto a tree, said she was feeling light headed and blacking out. She asked for help and luckily we had a phone connection and called 911. They transferred us three times before they could figure out where we were. We gave them the coordinates off of the gps and they said they would come and get her. She settled on a log by the trail and ""Hans"" gave her some energy snack and she seemed better. She insisted that we continue and she promised to stay put until the rescuers arrived. Feeling a little weird but knowing there was nothing else we could do for her, we continued. We checked with other hikers as they passed us and they all stopped to make sure she was ok. I hope she didn't have to wait too long and that she is safe tonight.We are at Gooch Gap shelter tonight, not much of a signal for phones. I will post all of our entries when we can get a connection. Lots of people here and we were lucky to get a decent spot and set up our tents side by side. All the bear lines were full so ""Hans"" through a Rock over a tree limb and was successful the first try. Impressive! We have two bear canisters and hopefully they will be untouched tonight.Thanks for all the support we are receiving, it really helps through this beginning time of adjustment.","top of hightower gap
",gooch gap shelter,"Mar 22, Tue",0
