Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Fat Hen (Dano) and Talon (Becky),https://www.trailjournals.com//journal/entry/523504,"We start our drive to Georgia tomorrow! It's looking like a 15 hour (ish)drive down with one overnight. So naturally, we're in full out panic mode. Wish us luck!",,Panic!,"Mar 14, Mon",0
Fat Hen (Dano) and Talon (Becky),https://www.trailjournals.com//journal/entry/523505,"We're on our way to being packed up! Just need to assemble our first aid kits, organize our food and finish our chicken pen (and re-pack our packs for the 100th time). We are getting there I swear....",,Packing up!,"Mar 14, Mon",0
Fat Hen (Dano) and Talon (Becky),https://www.trailjournals.com//journal/entry/523506,It says I have to post 3 journal entries in order for this to go public. Ignore this post!,,Ignore this post!,"Mar 14, Mon",0
Fat Hen (Dano) and Talon (Becky),https://www.trailjournals.com//journal/entry/523675,"So, a slight delay in plans. We will end up leaving tomorrow. After staying up until 5 am this morning, Fat Hen and I determined that maybe we should take an extra day to tie up loose ends. We will also be starting our adventure a lot more chipper. And when you think about it, a day makes no difference when you're looking at this sort of opportunity. It's not a race nor do we have to punch a time card. We'll get there Part of our scramble comes from the fact that we only decided to do this a couple of months ago. It has been a life long dream of mine since my grandfather walked it twice (back in the 70's before it was cool!). And Fat Hen thought it seemed crazy enough to join, which was pretty amazing in my book  But after a few hiccups in our lives we decided ""why not now""? So here we are!It has come to my attention that not everyone who reads this knows who we are, fantastic I say! We will try not to bore everyone with our musings  We are from Upstate/central New York (not the city), we love Thai food, bad science fiction movies and, adventures. Next post should be from Georgia!",,View Entry,"Mar 16, Wed",0
Fat Hen (Dano) and Talon (Becky),https://www.trailjournals.com//journal/entry/523877,"Huzzah!! We made it to Georgia! It was a beautiful day for a road trip. Passing by those mountains in Virginia and realizing you'll be climbing them soon....little intimidating  Off to Amicalola tomorrow to hike the approach trail! Adventure awaits 
License plate count: 30 states!",,we made it!,"Mar 18, Fri",0
Fat Hen (Dano) and Talon (Becky),https://www.trailjournals.com//journal/entry/524129,"Hi kids! We made it to Springer Mountain! It is in my belief that everyone should start with the approach trail. 1) it's beautiful 2) you learn ALOT. QUICK. We quickly confirmed we were overweight! As semi expected after finishing the 2000 foot assent of the approach trail, we took a night to do a pack shakedown, exchange some of our gear, and make some last minute gear cuts. Now we are off to start the trail with our revamped packs... We laugh thinking, ""how many times will our gear change in this 2200 mile journey? Maybe we'll be satisfied by Mt. Katahdin. With lighter packs, we have a renewed sense of optimism and we shall move forward Lessons learned:We're horribly out of shapeCarry lots of water/ more than you think you needDon't walk in the dark unless you know where you're going When setting up your tent, look up. We nearly set our tent under a dangling 20 foot long branch Instant coffee, not coffee/percolatorThe top of a mountain is merely an illusion, it never actually comes aroundDon't forget to look around you, you're in an amazing place Until next time folks","USFS 42?
",View Entry,"Mar 19, Sat",7
Fat Hen (Dano) and Talon (Becky),https://www.trailjournals.com//journal/entry/525128,"Hi kids!Our apologies on the lack of journal entries. We have been trying to concentrate on the trail itself, not just writing about it  It's been a long week full of lessons and we are learning and adapting as we go. What a week it has been! We've seen 70 degrees and sunny, we've woken up with an inch of snow on our tent, and we've had fog so thick we couldn't see 5 feet ahead of us. Adapting your clothing to just about any weather is important and we're getting the knack of it after this week. Weather fun aside, we also got to experience our first trail magic! The first was from the ""trail devils"" who handed out donuts and soda for a late breakfast  The second was a group of ladies that made pork and beans for everyone on the trail, as well as, brownies, veggies and apples. These random acts of kindness have been an amazing part of our journey and they are so very appreciated. The people are all volunteers, just trying to help out another generation of hikers. On that note we have met many people along the way who have given us excellent advice. We climbed Blood Mountain with ""Gutsy"" who, at 64 years old has hiked the AT, PCT , and is working on the CDT. She was a wealth of knowledge and a huge help to our inexperienced selves. Everyone thus far has been great, we've met good folks from all over the U.S., from all different walks of life. All in all we are having a great time. We are sore and tired, blistered and bruised, but loving every minute. Counting the brutal 10 mile approach trail (Dan's mom bravely joined on, well done Teresa!) we have now climbed 80 miles of mountainous terrain! Bear with us as we'll try to flirt into reception more and keep the posts and pictures coming!","Dick's Creek
",View Entry,"Mar 26, Sat",0
Fat Hen (Dano) and Talon (Becky),https://www.trailjournals.com//journal/entry/525129,"Hi kids!Our apologies on the lack of journal entries. We have been trying to concentrate on the trail itself, not just writing about it  It's been a long week full of lessons and we are learning and adapting as we go. What a week it has been! We've seen 70 degrees and sunny, we've woken up with an inch of snow on our tent, and we've had fog so thick we couldn't see 5 feet ahead of us. Adapting your clothing to just about any weather is important and we're getting the knack of it after this week. Weather fun aside, we also got to experience our first trail magic! The first was from the ""trail devils"" who handed out donuts and soda for a late breakfast  The second was a group of ladies that made pork and beans for everyone on the trail, as well as, brownies, veggies and apples. These random acts of kindness have been an amazing part of our journey and they are so very appreciated. The people are all volunteers, just trying to help out another generation of hikers. On that note we have met many people along the way who have given us excellent advice. We climbed Blood Mountain with ""Gutsy"" who, at 64 years old has hiked the AT, PCT , and is working on the CDT. She was a wealth of knowledge and a huge help to our inexperienced selves. Everyone thus far has been great, we've met good folks from all over the U.S., from all different walks of life. All in all we are having a great time. We are sore and tired, blistered and bruised, but loving every minute. Counting the brutal 10 mile approach trail (Dan's mom bravely joined on, well done Teresa!) we have now climbed 80 miles of mountainous terrain! Bear with us as we'll try to flirt into reception more and keep the posts and pictures coming!","Dick's Creek
","Hiawasee, GA","Mar 26, Sat",0
Fat Hen (Dano) and Talon (Becky),https://www.trailjournals.com//journal/entry/525424,"Easter surprise!As Easter Sunday approached, Becky and I decided to pick up our pace a bit and make it to Dicks Creek Near 76 and hitchhike towards Hiawasee. In hopes of finding a Catholic Church and grabbing a couple more days of food to push toward our next resupply near NOC. After a 13 mile day, we found route 76 and caught a ride with a van full of college hikers after about a mile or so. They stopped right by a Mc Donald's which resulted in Becky and I shamelessly piling the food in our trough until eventually feeling full. Finding a Catholic Church down here in the southern baptist Bible Belt proved challenging... As the evening approached we discovered every hostel and hotel to be booked in the area, and our only hope for shelter would be to try to hitchhiking back to the trail, to camp and give up on finding an Easter Mass. That's when we saw several friends, amongst them Pops and Nado, who we affectionately consider members of out trail family. They offered us shelter in their room for the night. A hot shower and laundry service was a welcome comfort. With a place to stay we decided in the morning to hitch hike over to Hayseville, to the Immaculate Heart of Mary church. Through the generosity of 2 drivers we made it there! The welcoming kindness of the congregation was unmatched! They even had us bring up the communion gifts! Afterwards Bob and Michelle invited us to their home to share Easter breakfast with their family. And Bud and Pat invited us to Easter dinner! Becky and I had a wonderful time at both and wonderful food with wonderful company! Bob and Michelle sent us with a thermos of coffee, something I have been truly missing on the trail! Pat and Bud sent us with a bunch of leftovers which we enjoyed along with our trail family. In the evening Pops and Nado kindly offered us to stay the night, and a campfire and songs with the guitar ensued. The kindness and generosity of everyone made it the best Easter I can remember, and a perfect day of rest for our tired bodies. With only 1 day rest it felt like a week, and now it's back to the trail!","
",Hiawasee,"Mar 27, Sun",0
Fat Hen (Dano) and Talon (Becky),https://www.trailjournals.com//journal/entry/525425,"We made it to North Carolina! Monday afternoon we pushed past the NC boarder, 78.5 miles on the trail and 88.5 counting the approach trail! Miles sound so innocent when you lost them in a number... Each one of those miles consisted of traversing up and down mountainous terrain. Changing thousands of feet in elevation. Up hills leaving you exhausted and downhills destroying your knees and ankles. 88.5 miles so far... Its not just a number, but a tremendous accomplishment.","
",bly gap,"Mar 28, Mon",0
