Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Finnegan,https://www.trailjournals.com//journal/entry/481420,"Well, today is my birthday. I'm 68. I've wanted to do the AT since college and have been thinking about this for the past year. So, I guess this post puts the stake in the ground. I'll start in 2017 or earlier, depending on when I pull the plug on retirement.",,View Entry,"Feb 11, Wed",0
Finnegan,https://www.trailjournals.com//journal/entry/522694,"Well, this is my second entry, one year later. I retired last October and will now start my hike on March 17th, St. Patrick's Day. I've been buying gear for the last year and have gotten in some practice overnights since leaving work. Tested the sleeping bag the other night. The bag is rated at 20 deg and it was 19 outside. I slept with everything on that I'll be carrying and still it started to get uncomfortable cold around 4 a.m. Hopefully there won't be too many cold nights left in this winter. Right now I'm trying to pack 10 pounds of ""stuff"" into a 5 pound bag, so to speak. It will get in there eventually. Base weight right now is running 24 lbs winter, 21 lbs summer. Maybe I can still shave some off. So, the rest of this week is more packing of boxes, cleaning the house, hiking with the pack, etc. Time is running down, 10 days to go.",,View Entry,"Mar 06, Sun",0
Finnegan,https://www.trailjournals.com//journal/entry/523023,"Packed the last boxes today. Pack weight with 4 days food looking like it will come in around 32 lb. I'll be happy with that. Will take a hike tomorrow up at Bradbury Mtn State Park. It will be raining hard, should be a good final test hike. Slept out in 19 deg the other day, uncomfortably cold but doable. I think 15 degrees would be the lower limit I'd want to sleep out.. Now just have to do the mundane things, like cleaning the garage and getting the car serviced. On the plane next Wed! It has been two years thimking and planning for this.",,View Entry,"Mar 09, Wed",0
Finnegan,https://www.trailjournals.com//journal/entry/523810,"This is his wife, Nancy.   He called at about 4:30 pm and had reached his shelter area.   He said he had a good day but it was really hard. His brother, Jack, had driven him from Atlanta to the starting point. With his full pack, he decided to give his brother his camera and his iPad, and keep just his phone. Because of that, I don't know if he will be making any trail journal entries for a while.   He was going to take it easy and work the cramp out of his leg. He found the weather warmer than expected, in the high 40s during the day. In this location, there were about 20 different campsites occupied. His evening meal was going to be a Freeze-dried dinner packet that he had purchased online.","Springer Mountain
",Hawk Mountain Shelter,"Mar 17, Thu",8.10
Finnegan,https://www.trailjournals.com//journal/entry/524319,No Entry today.,"Hawk Mountain Shelter
",Gooch Gap Shelter,"Mar 18, Fri",7.70
Finnegan,https://www.trailjournals.com//journal/entry/523980,"Nancy here. 7AM Saturday.   Didn't hear from Bob Friday evening or this morning, but assume all is okay.    He was supposed to have made it to the Gooch Mtn Shelter yesterday afternoon and will be heading for the Lance Creek Shelter for his Saturday night.Need to get the SPOT system open and see where he actually is. NancyUPDATE: 9AM Saturday, he finally called.   It was the first time he had cell signals. Which might explain why SPOT is acting up also.   He recharged his phone during the night with one of those techie gadgets.    He is doing okay but needs to make up a mile today so he can make Lance Creek. His feet are doing okay.   Mood seemed good.UPDATE: 2PM Saturday.   Surprise, Surprise !   He was sitting on top of Cedar Mtn and decided to call since he had cell phone coverage. He wasn't sure if there would be coverage at Lance Creek Shelter, where he was heading, which is down in the valley.Before he got to Cedar Mtn, he stopped at a way station where they were serving lunch. So he scarfed down hot dogs and coke and brownies. This was near where the AT trail crosses of Route 60 in Georgia.He was having a nice day, a little cooler and windy, but Lance Creek was less than 2 hours away. and downhill. He had somewhat of a view as the trees had not leafed out yet. He's promising me some photos later.And the SPOT device sent its end of day automatic message, for the first time. So, he arrived at the shelter and that device had coverage.","Gooch Gap
",Lance Creek,"Mar 19, Sat",7.10
Finnegan,https://www.trailjournals.com//journal/entry/524118,"7:15AM rec'd text message that Bob was starting out from Lance Creek. A little earlier start than his first three days.Today he hopes to get to Whitely Gap Shelter, approximately 6-7 miles away. He'll be passing Woods Hole Shelter, Blood Mountain Shelter and Neels Gap, Georgia (town). You might find interesting info if you Google these names.   NancyUPDATE 10:52. He's making good time today, per the SPOT device. He's already passed the East end of Slaughter Creek. But, I just realized it is actually a 14 mile hike today, so he is going to be huffing and puffing by the time he is done. No wonder he started early. Nancy.Update 11:25. Finnegan (Bob)called and is sitting on the top of Blood Mtn. Cloudy and windy and rocky. Already hiked about 7 miles today. Might stop at Neels Gap in the valley at the base of Blood Mtn. There is a hostel there which might have a vacancy. Otherwise, he'll stock up at the store and maybe mail things back to me and be on his way to another shelter. Currently, at the top of the mountain the temp is about 44 and winds are gusting up to about 20mph.   Nancy.","Lance Creek
",Neel Gap,"Mar 20, Sun",0.10
Finnegan,https://www.trailjournals.com//journal/entry/524157,"Update 3:15pm Sunday.    Bob called and is spending the night at the Neels Gap Shelter.   It was set to be a 14 mile day, but the mileage was just too much, too early.
Google Neels Gap Outfitters...looks like an interesting place. Plenty of food for him to buy. And he is staying in their hostel for the night. He is sending some things home that he doesn't need. It's just not getting as cold as he prepared himself for.
He said he would send me some photos.
He'll aim for Whitely Gap Shelter tomorrow morning.
All for today.   Nancy.","Lance Creek
",Neel Gap Shelter,"Mar 20, Sun",7.40
Finnegan,https://www.trailjournals.com//journal/entry/524270,"He called this AM.   Had a good night at the hostel in Neels Gap. Is heading out today for either Whitely Gap (abt 6mi)or Low Gap (abt 12mi).He said it was really cold last night (glad he was inside a building) and there was a little snow on the ground this AM. But mid-day temps are due to get up to about 50 degrees.   Stay tuned....NancyFinnegan appears to be doing a long haul today...about 12 miles all the way to Low Gap Shelter as opposed to Wide Gap Shelter. [ That's a joke !]FOUND THIS JOURNAL PAGE ON THE INTERNET. ""Snuffy"" has a good description of Finnegan's hike, though the weather may or may not apply. Here it is.... I head up the hill out of Neels Gap. At 9:40 AM it starts to drop rain. By 10 AM it's raining enough to get wet and make the rocks on the trail slick. Over the next hour I get rained on a few times. I stop once to rest my shoulders and once to rest my feet before taking a real break at 11:10 AM. A real break is when I shed my pack and or boots and write for a few minutes. I'm on top of something in a clearing (Wolf Laurel Top) overlooking the mountains below. I've hiked 3.4 miles so far. The sky is breaking and the sun is trying to peek through. My pace is getting better and my feet are hanging tough this morning. Ten minutes later, I'm ready to move on.    At noon I stop for a brief rest on top of Cow Rock Mountain, elevation 3,842 feet. Eight-tenths of a mile to the highway below. I plan a longer stop there at Tesnatee Gap. At 12:30 PM I reach the gap and stop and rest for thirty minutes. I've covered 5.5 miles.    I reach Hog-Pen Gap at 1:45 PM. I check out the spring, but decide to pass. It doesn't look all that appealing.    I cross the highway, turn left, and look for where the trail reenters the woods. The next couple of miles are some of the easiest we've had. Nearly level, wide sandy trail. Although the trail is good, I find myself walking a slower pace this afternoon. I finally stop just short of Low Gap Shelter at 3:15 PM for a break. So far today I've done pretty well. But I'm getting tired. Come on shelter. Get here quick. I find the sign to Low Gap Shelter at 4:05 PM and the shelter itself at 4:15 PM.   SNUFFY writes well, don't you think ?       Stay tuned.Update 4:04.   Bob called and is about 20 minutes away from Low Gap Shelter. He says it will be quite crowded tonight, with about 20+ hikers spending the night there. Presumably only about 7 fit in the actual shelter. He met another hiker, and his wife, from The Brunswick area.   LAST CALL.....7:15.....he's tired and sore and took an Advil. And gazing longingly at a nearby Irish Setter.   Go Figure.","Neels Gap Shelter
",Low Gap Shelter,"Mar 21, Mon",11.50
Finnegan,https://www.trailjournals.com//journal/entry/524414,"8:15 AM.   Rec'd text message that he is starting out from Low Gap Shelter. But he didn't confirm that he is heading for Blue Mountain Shelter, so time will tell.   Will update later.UPDATE: Finnegan arrived at Blue Mountain Shelter about 1pm.   This was his easy day in between two hard days. He may log in later, during his down time. Please note: earlier this week the total mileage numbers in the prior reports were incorrect while the daily numbers were fine. They appear to have fixed the problem. Just noticed, Finnegan has logged into his Facebook page with a posting. Nancy.","Low Gap Shelter
",Blue Mountain Shelter,"Mar 22, Tue",7.30
