Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Frank the tank,https://www.trailjournals.com//journal/entry/333989,"My plan is to make 4 trips a year on the AT, 2 in the Spring, 2 in the fall. This year because I'm still on active duty I will only make it a short distance. Once I retire each trip is to take a week and cover about 100 miles. I will go from Georgia to Maine and not skip any part of the trail. I hope to finish in 2014. You know what they say about plans. At this point I don't have a clue and my head is full of bad ideas about what I need and how to go about covering this vast distance. I have this crazy notion that I'm going camping. With no true concept of pack weight. I have a 12 dollar 9 pound sleeping bag, a heavy military coat and a 6 pound pack. Total pack weight is 38 lbs. They say that you pack to your fears. If your fear is getting lost you will bring maps, compass, GPS, cell phone, personal locator beacon. Fear of bears, whistle, bear bag equipment, mace, .357 mag. In looking at all the crap I have in my pack my fears must be the fear of freezing to death or starving. I will attempt to provide performance milage data at the end of each section as well as a weather report. I will judge each day as clear or rainy. Snow will be in the rain data. A little rain during a day will not be enough for me to judge the day as rainy. (Clarke) Monday May 14th 1804 Rained the fore part of the day I determined to go as far as St. Charles a french Village 7 Leags up the Missourie, and wait at that place until Capt. Lewis could finish the business he was obliged to attend to in St Louis.",,View Entry,"Apr 01, Tue",0
Frank the tank,https://www.trailjournals.com//journal/entry/334024,"Hiking day #1 Clear weather, budding trees. Drove to Neels Gap last night, spent the night at the Walasi-Yi center.   Early this morning we left Chicken's car in the lot and drove my truck to the top of Springer Mt on Forrest Service Rd 42. I had to stop and buy a local map at a gas station. This road is not well marked. It is a dirt road that is in good shape, it has regular type cars in the parking lot the top. We started south a mile to the top of the mountain for the required photos at the brass plaque, then headed north. Stopped for lunch at Stover Creek Shelter. Someone left behind an inflatable sleeping pad, a metal coffee pot. I took the sleeping pad. Well before dark we made it to horse gap. Because of all the winter rains there was a small spring a few hundred yards to the left down the hill. I cooked up half of the one pound Kilbasa that I carried. I kept thinking about bears all night long with that other half of the Kilbasa in my food bag in my tent. Who needs bear bags?  [Clark] May 21st 1804 all the forepart of the day arranging our party and procuring the different articles necessary for them at this place. Set out at half past 3 OClock under three cheers from the gentlemen assembled on the bank.","Springer Mt
",Horse Gap,"Apr 14, Mon",10.20
Frank the tank,https://www.trailjournals.com//journal/entry/334025,"Day 2, Slept like a baby, cried for an hour, quiet for an hour etc. It was a warm night for mid-April. Nice and sunny all day long. Climbing these hills is a battle. With this pack weight I have trouble walking thru the big up hill sections and must stop to get my breath every 100 yards.   It took all day to make it 10.8 miles. We camped on a ridge .9 miles north of Woody Gap. I start looking at all the crap I have been lugging up and down all these hills.   I have carried this huge sleeping bag and heavy military coat, I have heavy metal cookware and a big metal cup, Chicken has a 3 pound hatched. I feel like the bull in the bullfight that had to spend half an hour being chased around then taking on a 2 thousand pound armored horse and a guy with a pick....then they bring out the matador. The price for lugging all this stuff is you can't go very far and you are wore out at the end of the day. At this point if I were a thru-hiker, I would be having grave doubts. For me this is a 3 day trip. Time to bury the hatchet, and we did, deep in an old stump along with a bunch of other items including food, clothing, etc. That heavy military coat at least burned well! I do, highly resolve, to: LIGHTEN THIS LOAD TO THE MINIMUM ACTUALLY REQUIRED TO HIKE THE APPALACHIAN TRAIL  (Lewis) Monday September 17th 1804 Having for many days past confined myself to the boat, I determined to devote this day to amuse myself on shore with my gun and view the interior of the country lying between the river and the Corvus Creek.","Horse Gap
",Woody Gap,"Apr 15, Tue",10.80
Frank the tank,https://www.trailjournals.com//journal/entry/334062,"Day 3, clear and warm. Pack weight about 30 lbs. Easier day today having shed some pack weight yesterday. The climb up Blood Mt was easier then I thought it would be. SOBO's will have a much rougher climb than NOBO's. The outfitter store here is not shy about charging very high prices. We picked up the car and drove back to Springer for my truck. This was a 3 day trip that covered 30.7 miles for a average of 10.2 miles per day. The weather was clear all 3 days for a good weather average of 100%. See you in the Fall. [Ordway] Tuesday September 24th 1804 a clear and pleasant morning. al things made ready to receive the Band of the Souix nation of Indians, Called the Tribe of Tetons, about 10 o.C. A.M they Came flocking in from boath Sdes of the River. when 30 odd was selected under the american Collours Capt Louis & Capt Clark went out to speak and treat with them.","Woody Gap
",Neel's gap,"Apr 16, Wed",9.70
Frank the tank,https://www.trailjournals.com//journal/entry/334063,"Day 4, cloudy and cool. Pack weight 30 lbs. This is the last day of September and the trees are still quite green. This is a 5 day continuation of a trip I started this Spring.   Today we dropped my truck off in Deep Gap NC which is about 7 miles north of the GA/NC state line. Then we drove my friends truck back to Neel's Gap. We started hiking about 2pm.   It was dark when we arrived at the Whitley Shelter which is located so far off the A.T. that I don't see how it qualifies as a A.T. shelter. We cooked dinner on my new home-made forced air wood stove. It's made from a metal paint can. By drilling a dozen 1 inch holes it lets the air in when you light it.    4 pine cones and a handful of pencil sized sticks represent a fuel load. Once the pine cones get burning you attach a 3 foot cord to the handle of the paint can then spin it rapidly around your head. This forces huge amounts of air into the fire and after perhaps 45 seconds of pumping it turns into quite a flame thrower. I then add a bit more fuel, spin it a few more times then set it down. It will boil water faster than a gas stove. It is generating a large amount of BTU's. It adds a bit of drama to the end of the day, as the other hikers scatter.   If the cord ever breaks this thing will fly down the ridge and start a forrest fire. [Clark] September 26th 1804 Set out early proceeded on and Came to by the Wish of the Chiefs for to let their Squars & boys see the Boat and Suffer them to treat us well","Neel's gap
",Whitley Shelter,"Sep 30, Tue",6.20
Frank the tank,https://www.trailjournals.com//journal/entry/334220,"Hiking Day 5, Clear and warm. Up and down all day. I got up at first light and found 2 bears attempting to get at the food bags hanging on the cables. They took one look at me and ran away. I know I look pretty bad in the morning, I guess that confirms it. One good thing about the ""puds"" is that the trail brings you to lot's of good water even in the dry season. I have not yet treated or filtered any of the water. Once I'm into Virginia that will change. Curtis encountered 2 or 3 very black wild hogs who high-tailed it when they saw him coming up the trail. Found a homeless guy living in Blue Mountain Shelter. He told me that he only lives here the last 2 weeks of the month. He goes into Helen GA on the first to get his tiny VA check. He lives under a bridge there until he drinks up his check, then it's back to one of the nearby A.T. shelters. He cleans up the area around the shelter, sweeps it clean, brings in firewood and tells his tale of woe to all the hikers, some of whom give him his daily bread. I met 2 ladies on the trail who warned me about him, they said that even though he did not do anything wrong, he ""creeped"" them out a bit, and they moved on rather then spend the night there. We continued north down into Unicoi Gap with hopes of finding a campsite at the bottom. No such luck, My friend Curtis who is younger, stronger, faster climbed up the A.T. hoping to find a suitable campsite. Little did I know that it would be more than half way up before a flat spot suitable for a campsite could be found. I used up all my swear words that last half hour. Curtis had a fire going by the time I got there. I have never met someone as good at fire-starting as Curtis. 5 minutes and he's got it going.    One thing I like about remote campsites, good firewood. [Clark] 2nd of October 1804 observe great caution this day expecting the Seaux intentions some what hostile towards our progression, The river not so rapid as below the Chien, its width nearly the same. 12 miles","Whitley Shelter
",Unicoi Gap,"Oct 01, Wed",16
Frank the tank,https://www.trailjournals.com//journal/entry/334348,"Hiking day #6, clear and pleasant weather. Passed a retired Navy Master Chief and his wife headed south that had once been assigned to the same little Navy Squadron. VS-29 in San Diego. Had quite a little gam. ie. Chatted Navy talk for a while. Small world. We could see where the wild hogs had rooted up a huge area. It looked like some had worked the ground with farming equipment in the woods on both sides of the AT. We were attacked by a swarm of yellow jackets and each of us got stung twice. For some reason bees and wasps go a little crazy in the fall when freezing weather first hits. We outdistanced them by running a quarter of a mile. We camped on a ridge line a few feet off the trail above the spring. Plenty of fire wood. [Clark] 19th August 1804 Serjeant Floyd is taken verry bad all at once with a Buliose Chorlick we attempted to relieve him without success as yet, he gets worst and we are much allarmed at his Situation, all attention to him.","Unicoi Gap
",Addis Gap,"Oct 02, Thu",9.20
Frank the tank,https://www.trailjournals.com//journal/entry/334378,"Hiking Day #7, 62.1 miles from Springer, cool and light rain most of the day. Clouds obscured all views today. At a gap near the road we ran into a runner who was on the final stages of finishing his thru-run of the Appalachian Trail. He had started in Maine 2 months ago. They had a truck and a motorhome. When we came up the hill he was setting in a folding chair eating a sandwich with each foot in a bucket and was attended to by 3 people. This was his pit-crew. They gave us some water. Then they were off to the next gap. They had it all planned out. He was doing 40 or more miles per day and sleeping in the motorhome. He carried a bottle of water. He was attempting to break the record but was going to fail. In Maine he developed a foot infection called jungle rot caused by a bacteria. They mis-diagnosed the condition as poison ivy and treated him with Prednisone when he needed a massive dose of Penicillin. He had to be hospitalized for fear of amputation. That put him off the trail long enough to prevent him from setting the record.   He said that he did not run 100% of the time and that he walked across boulder fields and on the steep part of the uphills. [ed] 20 August 1804, Sgt Floyd dies and is buried on a bluff near the present city of Sioux City Iowa. He is the only fatality of the Corps of Discovery. Patrick Gas is promoted to Sergeant in his place.","Addis Gap
",Bly Gap,"Oct 03, Fri",14.40
Frank the tank,https://www.trailjournals.com//journal/entry/334399,"Hiking Day # 8, 83.3 miles from Springer. Clear weather. Slept in a little. Easy day today because my truck is parked only 7 miles away, if it's still there. Only 3 of us at the Bly Gap campsite last night. This is a well used campsite and finding firewood took a bit of effort. We went past that landmark of a tree that you see in just about every AT video, it's bent over and looks like a sitting elk.   I have noticed that most of the half dozen or so gaps on the AT named ""Deep Gap"", are in fact aptly named. This one in North Carolina is just that. My truck was just fine and we made it back to the starting point at Neels Gap to pick up the other truck. A recent hurricane disrupted the distribution of Gasoline and we had to drive around Georgia looking for a open gas station. Made it home to Tennessee by dark. I will start back where we left the trail in the Spring. This section of the trail was 52.6 miles and it took 5 days for a 10.5 mile per day average. Total Appalachian Trail milage is 83.3 miles in 8 days for a 10.4 average. The weather was clear all 5 days for 100%. [Clark] 17th August 1804 at 6 oClock this evening LaBieche one of the Party sent to the Ottoes joined, and informed that the Party was behind with one of the deserters MB Reed and the three principal Chiefs of the Nations. LalIBERTY they caught but he deceived them and got away.","Bly Gap
",Deep Gap ,"Oct 04, Sat",6.80
Frank the tank,https://www.trailjournals.com//journal/entry/334500,"Hiking Day#9, Clear weather. This is the start of year 2 on the AT. I made it 83.3 miles on 2 short trips last year. My daily average was about 10.3 miles per day. Now that I have more experience that daily average needs improvement.   I retired from the Navy 3 months ago. My plan is to make it 400 miles this year. We left an Air Force buddy's truck at the NOC, he will hike with me for the first few days. Then we drove to the AT in Deep Gap. We left a box of trail magic in the form of fruit and orange juice at the trailhead. We had a easy climb up and over Standing Indian Mt. and passed a few exhausted souls on the way up. We made camp a few yards from Betty's Creek next to an fellow Navy guy named Purdue who had recently left the service. He was an Aviation Ordnanceman 1st Class and had served on a couple of the Carriers that I was on. This year I plan to use my homemade spinning wood stove to do all my cooking. In rainy weather I have to come up with enough dry wood or pinecones throughout the day to make a fire without carving away chunks of benches and shelters. No problem today, plenty of firewood everywhere. [Clark] 18th August 1804. a fine morning. Wind from the SE in the after part of the day the party with the Indians arrived. we meet them under a Shade neat the boat and after a short talk we gave them provisions to eat and & proceeded with the trial of Reed. he confessed that he ""Deserted & stold a public rifle shot pouch Powder and Ball and requested we be favorable with him as consistantly as we had with our Oaths-which we were and only Sentenced him to run the gauntlet four times through the Party...","Deep Gap 
",Betty Creek,"Apr 30, Thu",12.20
