Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Hestia,https://www.trailjournals.com//journal/entry/536783,"I spent the day sleeping at the shelter, barely able to go collect water, let alone hike at all. Various people, including Thunderbolt and Iron Mike, stopped by and wished me well. Thunderbolt was kind enough to give me his last Claritin and sown Benadryl. I chose not to take any medication in hopes my body would be able to break the fever naturally through rest and fluids. By the end of the day, I decided I should really be in short walking distance from running water and a toilet, so I called around looking for a trail angel to house me or drop me off at a hotel. Bonnie and Clyde gave me the number of a trail angel, Brave, who was willing to house me and take me to a doctor, but wasn't able to pick me up that evening. I ended up again staying the night at the shelter, and a very nice section hiker fetched water for me. The next morning, Brave drove 45 minutes to pick me up, distraught when she arrived after having just learned of the death of Baltimore Jack, a legendary thru-hiker and hostel caretaker. Brave took me to a Doctor and to get the antibiotics prescribed for my respiratory virus (breeding super bugs in my body!!) before dropping me off at her house. I stayed with Brave through Friday and got lots of rest and water. I also met other thru-hikers Brave had helped out (Magic, Double Dip, and Dirt Face). On Friday, Double Dip, Dirt Face, Brave, and I had a ladies night and made Alfredo, salad, bread with Brie, and strawberries for dinner, then watched a move and ate popcorn.","Ensign Cowall Shelter
"," Frederick, Maryland",,0
Hestia,https://www.trailjournals.com//journal/entry/536784,"I spent the day sleeping at the shelter, barely able to go collect water, let alone hike at all. Various people, including Thunderbolt and Iron Mike, stopped by and wished me well. Thunderbolt was kind enough to give me his last Claritin and sown Benadryl. I chose not to take any medication in hopes my body would be able to break the fever naturally through rest and fluids. By the end of the day, I decided I should really be in short walking distance from running water and a toilet, so I called around looking for a trail angel to house me or drop me off at a hotel. Bonnie and Clyde gave me the number of a trail angel, Brave, who was willing to house me and take me to a doctor, but wasn't able to pick me up that evening. I ended up again staying the night at the shelter, and a very nice section hiker fetched water for me. The next morning, Brave drove 45 minutes to pick me up, distraught when she arrived after having just learned of the death of Baltimore Jack, a legendary thru-hiker and hostel caretaker. Brave took me to a Doctor and to get the antibiotics prescribed for my respiratory virus (breeding super bugs in my body!!) before dropping me off at her house. I stayed with Brave through Friday and got lots of rest and water. I also met other thru-hikers Brave had helped out (Magic, Double Dip, and Dirt Face). On Friday, Double Dip, Dirt Face, Brave, and I had a ladies night and made Alfredo, salad, bread with Brie, and strawberries for dinner, then watched a move and ate popcorn.","Ensign Cowall Shelter
"," Frederick, Maryland",,0
Hestia,https://www.trailjournals.com//journal/entry/536785,"I spent the day sleeping at the shelter, barely able to go collect water, let alone hike at all. Various people, including Thunderbolt and Iron Mike, stopped by and wished me well. Thunderbolt was kind enough to give me his last Claritin and sown Benadryl. I chose not to take any medication in hopes my body would be able to break the fever naturally through rest and fluids. By the end of the day, I decided I should really be in short walking distance from running water and a toilet, so I called around looking for a trail angel to house me or drop me off at a hotel. Bonnie and Clyde gave me the number of a trail angel, Brave, who was willing to house me and take me to a doctor, but wasn't able to pick me up that evening. I ended up again staying the night at the shelter, and a very nice section hiker fetched water for me. The next morning, Brave drove 45 minutes to pick me up, distraught when she arrived after having just learned of the death of Baltimore Jack, a legendary thru-hiker and hostel caretaker. Brave took me to a Doctor and to get the antibiotics prescribed for my respiratory virus (breeding super bugs in my body!!) before dropping me off at her house. I stayed with Brave through Friday and got lots of rest and water. I also met other thru-hikers Brave had helped out (Magic, Double Dip, and Dirt Face). On Friday, Double Dip, Dirt Face, Brave, and I had a ladies night and made Alfredo, salad, bread with Brie, and strawberries for dinner, then watched a move and ate popcorn.","Ensign Cowall Shelter
"," Frederick, Maryland",,0
Hestia,https://www.trailjournals.com//journal/entry/517925,"I've decided to give the AT a go...additionally, I've decided to attempt blogging my experience. After all, anything beautiful in life should be shared with others, and I do intend for this adventure to be beautiful, grueling at times, but beautiful nontheless.","
","murfreesboro, tn","Dec 02, Wed",0
Hestia,https://www.trailjournals.com//journal/entry/518181,"The tears finally reared their ugly heads as my emotions swarmed my chest, my stomach, my eyes, and my uterus. They had threatened an appearance a time or two, dancing just below my eyelids, but they had been kept at bay with a fleeting thought. But last night, the floodgates had collapsed with the realization of how much I would miss my wife. As she held me in her arms, I confessed I felt guilty for worrying her and my mother when I couldn't even verbalized why the hell I was doing this. She, being the beautiful sage she is, promptly scolded me that her worries were none of my concerns; they were hers to deal with and all I needed to worry about was taking care of myself. It was in that moment I realized part of this journey is simply that: to care for myself. One of the driving forces in my life is caring for others and making their lives better. But after my most recent career change, I've come to realize, while that does provide a great sense of accomplishment and purpose, it also leads to such a high level of anxiety I fail to properly address my own needs and eventually those for whom I am providing care. It's time for me to let go of my responsibilities to others and rediscover my relationship with myself. Imma do me for the next 6ish months.","murfreesboro, tn
",View Entry,"Dec 06, Sun",0
Hestia,https://www.trailjournals.com//journal/entry/518182,"Obviously, ultralight is the name of the game when hiking the AT, particularly in winter when you have so much added weight in clothing. As I was looking over my list, attempting to find ways to lighten my load, I thought about preparing for my monthly visitor, Aunt Flo. I suppose she must have known I was thinking about her because she decided to visit me without warning a bit early this month. :-/ Anywho, I'm not a lover of the tampons; they've always been exceptionally uncomfortable and even the most technical of brands failed to fit properly, leaving me with pads as being the only viable option....or were they....after a bit of research, I discovered the DivaCup. I'll forgo the details of how it works and anyone who's truly interested can look it up. The item didn't arrive in time for heavy flow, but I wore it over night last night quite comfortably with a light flow. I highly advise anyone wanting to decrease their impact on the environment or not wanting to hike out used menstrual items to give the Diva Cup a spin.","murfreesboro, tn
",View Entry,"Dec 07, Mon",0
Hestia,https://www.trailjournals.com//journal/entry/518183,"I believe my journal should now be visible due to having entered my fourth entry...but technology and I are not friends, so we shall see.","
",View Entry,"Dec 07, Mon",0
Hestia,https://www.trailjournals.com//journal/entry/518219,"I learned today it will likely be cheaper to ship by weight rather than using the boxes at USPS. I weighed my ""standard"" drop box, which had 6 days worth of food, TP, toothpaste, batteries, hot hands, and a fire starting kit. It weighted almost 13 pounds, which means I've done well to stick to the 2 pounds a day for food. ?? I had stuffed everything into a $17.50 Priorty Flat Rate box, but the cost to ship the box by weight was only $13.55. I'm very happy to have learned this because, while my Tetris skills are strong, it will be Annie, not I, who will ship the boxes.","
",View Entry,"Dec 08, Tue",0
Hestia,https://www.trailjournals.com//journal/entry/518333,"Life can be complicated. It's intricacies can be both beautifully moving and dramatically altering, particularly for those who are more sensitive to the environment. These people hear the minute sounds which may be slightly aberrant in tone, volume, or rhythm, and a person with heightened sensitivity will hear that above all other sounds, including an engaging conversation. Sounds can be painful, and not just the high pitched shrill of an ambulance...though those are particularly painful. These people can also pick up on the subtly in your voice when you are unable to lie with conviction. These people can be moved to tears with the sounds of joy experienced when a novel idea is understood, the rapture in a person's laughter, or a poetic piece of music. And that's just once of the senses...Smell, taste, touch, sight, vestibular...all at a heightened awareness. Most people who adhere to the cultural norms of American society are barraged daily with an arsenal of sensory input on a daily basis. Driving to work you experience car horns, break lights, anxiety in traffic, a turning signal, car exhaust fumes, the dump (Ugh!), the radio, a bird swooping before your car, a hill that (when you hit the correct speed) makes your stomach flop up and down, causing you to become just a bit dizzy. But that's just the outside. Then there's the tightening of your throat, the jolt of electricity throughout your entire body, and the pounding of your heart in your ears as you slam the breaks to avoid the bumper of the car in front of you. This feeling does not subside when you realize you will, indeed, survive another moment. There's also the tightening of your stomach, the slimy feeling of your sweaty palms gripping the steering wheel, and the racing of your heart as you get closer and closer to the job which makes you feel....And then there is everyone else. Their moods...can become your moods. This is wonderful when you surround yourself with beautifully happy people, like my wife. Singing a song or humming a tune (however out of key) spreads a sense of warmth throughout your body. This is in my (very non-scientific) opinion the energy people put off. This is probably the most difficult daily sensation for me to deal with because I am so sensitive to it. My mood can completely change for hours after spending minutes with someone who is consumed by negativity or drama. Many people are baffled at my decision to hike the AT solo, particularly in winter...but I am excited by the prospect of escaping the daily noise to embrace the symphony of nature. I have this romantic idea I will only encounter beautiful people along my trip....The AT awaits me...
Hike your own hike...","
",View Entry,"Dec 09, Wed",0
Hestia,https://www.trailjournals.com//journal/entry/518768,"<--my dog, Eve... 2.5 more days till I'm on the trail...I have prepared myself as best I can and feel confident in my abilities to know my limits and set reasonable goals. I have almost finished documenting all my gear, organizing my mail drops, and other miscellaneous errands. I have created an outline of a schedule which puts me at hiking the summit of Mt. Katahdin on July 23, 2016. I would say that figure has a standard deviation of about 14.75 days. I have even organized the apps on my iPhone so my home screen has everything I will use on a regular basis. I suppose I may be a bit Type-A, but I hope to use that to my advantage to survive the bitter cold winds, torrential rains, and the ensuing aches and pains. This trait will not be of assistance to dealing with the sounds of the forest at night sleeping by myself. I will also have to set aside the need to reach insignificant goals in order to truly appreciate my surroundings by living in the moment. This is what I am most excited about.","
",View Entry,"Dec 26, Sat",0
Hestia,https://www.trailjournals.com//journal/entry/519019,"And so it has begun! I awoke at 4am with nausea and vomited a number of times before crawling back into bed. We woke up at 6:30 to my alarm, showered (my last for a week!) and headed for the Saw Mill Place in Blairsville, GA. Due to my continued nausea and windy roads, I was not able to stuff my face as I had the previous night at the 5 Spot in Cleveland, TN (most likely the cause of my upset stomach.)After breakfast, we continuedto Woody Gap to await our shuttle. We met a NOBO thru-hiker, Matt, as well as a group of young men leaving the trail. Ron arrived and we began our journey to Springe Mtn. Along the way, we picked up a young couple who had traveled from Orlando, FL after decid By Christmas morning to hike the AT. They told us of a young girl who had her tent flooded and soaked her down sleeping bag. When they found her, she was so cold she said as not able to light her cook stove. She was planning to thru-hike, so I hope she makes it safely! Don gave us several pointers and dropped us off at the Springer Mtn parking lot. We took off for the southern terminus at 11:40am in a drizzle and arrived at the top in a cloud. The path seemed to be paved in silver and gold due to the Mica. After signing th register, we ""began"" our 2.8 mile hike to Stover Creek Shelter. After successfully crossing 3 creeks, we arrived wet and surprisingly early at 2:45pm. After we used the restroom, had a smoke, and collected water, a Brazilian family of three from Miami joined us. The father seemed as those his lips were incapable of closing for any extended period of time. He very graciously reminded me smoking can kill you, so I very graciously reminded him of the dangers of automobiles. The family retreated upstairs while we cooked dinner and enjoyed the sunset. The father seemed offended we did not wish to sleep upstairs with them...","Springer Mtn
",Stover Creek Shelter,"Dec 30, Wed",2.80
Hestia,https://www.trailjournals.com//journal/entry/519024,"Sleeping was an adventure last night. We all went to bed around 7pm and the mice promptly awakened out upstairs neighbors. They had not brought anything in which to hang their food and the mice began their squeeky invasion. The father then proceeded to start a fire to burn their trash, the smoke billowing over our slumbering bodies. (Remember, smoking kills; burning plastic is A-OK). I awoke at 10:30 pm and spent at least 30 minutes arguing with my body that I didn't have to urinate. In the end, my body won, and I ran out in my undies to relive myself. I went back to bed and awoke at 4am to a dense fog. I did my best to sleep until 6:45, when I could no longer lay in my sleeping bag, no matter how comfy and warm it was. I got up and began the morning routine: toilet, water, coffee, food, pack, toilet. The father then spoke at length about the corruption of the food industry in American food industry, but I found it difficult to partake in the conversation after his sly comment about being woken up every time I woke up. I was particularly not fond of the smirk on his face when Annie informed him I was hiking to Maine. I was quite happy when they left and we began our 5.3 mi trek to Hawk Mtn Shelter. Along the way, we came across a campsite which looked as though it was the sc me of a gruesome event; an emergency blanket was thrown over a lump and a disheveled food bag was hanging from a tree. Upon further investigation, no mangled body found, so we cleaned up the sight and were gifted two Sea-to-Summit dry bags. We hiked on and took a rest at Long Creek Falls, where we spoke to several lovely people, including a local couple who took our photo and trash. Afterwards, we came to a curious and beautiful meadow on the top of a mountain before arriving at a road with a sign for Hickory Flatts Cemetary. We stopped for a poo, dried Annie's shoes, and played on a form of merry-go-round. We left and arrived at our home for the evening, where we met two genuine and bonafide southern gentlemen, Mike & Mike, from Atlanta, GA. We unpacked, chatted a bit, and explored the offbeat path, where we passed the time wit a smoke and a sip. Annie and I enjoyed a candlelit dinner (aren't I so romantic!) and a small fire before going to sleep holding hands.   ","Stover Creek Shelter
",Hawk Mtn. Shelter,"Dec 31, Thu",5.30
Hestia,https://www.trailjournals.com//journal/entry/519033,"Woke up to 32F. Annie made coffee and we met Pajamas, a section hiker and former thru hiker, who was amazingly animated for having just hiked 10 miles in 3 hours before 8:30am. Had a lovely day crossing Ass Kicker #1&2 (aptly named by Ron), Sassafras Mtn., and Justice Mtn. We forded 2 creeks, Along one of which I found Jack from Nightmare Before Christmas. We stayed up late chatting by the fireside with a horde of people and woke up to below freezing temps. Brrrr.","Hawk Mtn. Shelter
",Gooch Mtn Shelter,"Jan 01, Fri",7.30
Hestia,https://www.trailjournals.com//journal/entry/519034,,"Gooch Mtn Shelter
",Blood Mtn Shelter,"Jan 02, Sat",13.50
Hestia,https://www.trailjournals.com//journal/entry/519462,"Wow. Yesterday was crazy! I started my period and had an epic Diva Cup fail. I realized a few miles down the trail I had bled through my pants, so Annie and I stopped to shed layers, peel and adjust the Diva. After I had emptied and cleaned the Diva, I was attempting to put it in its proper place when what appeared to be an Asian tour group of 10-15 people continued to pass by for a full 10 minutes; then came a young girl who stopped to chat; then there were the trail runners. What the hell? I finished my chore in a more than foul mood and broke down due to my monthly visitor, the fact we were put significantly behind scheudle, and the fact I would be saying good bye to my wife, whom I would not see again for another 2 months. Sunshine (a section hiker we met the night before) showed up and offered some pantyliners. Though I told her I already had some, she continued to insist until I finally accepted them. We caught up with her a short while later and she followed us to Woody Gao, talking non-stop the entire way. At Woody Gap, I re-stocked and re-packed while Sunshine continued to offer whatever she had in her pack she felt would be useful, successfully usurping the last private moments I had with my wife. She eventually set off and Annie and I had our tearful goodbyes. Filled with emotion (a mix of anger, sadness, and insanity...yes, I know insanity is not an emotion..), I set off at a quick pace, determined to make it to a shelter by nightfall. I eventually caught up with Sunshine and decided to hike with her to Blood Mountain. On the way, her GPS failed and she feared we were lost; luckily, I knew how to use a map and a compass and were made it to our destination around 7pm well after the sun had set. Everyone in the shelter had already bedded down for the night and almost did not make room for me (they had saved a spot for Sunshine). I went to bed without dinner and a little miffed. The next morning, I set out early (without breakfast) for Mountain Crossings Hostel, a short 1.5 mile hike, where I planned to stay the next 2 nights. When I arrived, I was told the hostel was closed for renovations....WHAAAAAAATTTT?!?!? (They also had no pads) I almost cried. They did, however, have a freezer with biscuits, of which I helped myself to 2 and Blue Eyes (an employee and former thru-hiker) hooked me up with a cup of beer. Afterwards, I bought some supplies (food, rain jacket, pack covert) and prepared a box to mail back home. AI reorganized my pack & Pretzel (a friend of Blue Eyes) bought me pads, a salad, and fruit during a run into town. Blue Eyes suggested I call Blood Mountain Cabins, but the office was closed. I tried calling the Hiker Hostel, but it was a $30 shuttle each way, so I decided to give hitching a go. I wrote a note explaining my situation and sat outside the Hostel's outfitter store, but people simply walked past looking the other way. I went inside to get my pack so I could stand at the road with my thumb out when a lovely family gave me a ride to Wolf Pen Country store. I took a shower, cleaned my clothes, and ate a meal I didn't have to cook over my camp stove (can chili, hot dog, Fritos, and salad). I spoke with my mom, my wife, and passed out on the couch listening to the howling winds outside.","Blood Mtn Shelter
",Mountain Crossings Hostel,"Jan 03, Sun",1.50
Hestia,https://www.trailjournals.com//journal/entry/519463,"Woke up and had breakfast pizza and coffee with the yokles. Got a lift back to Neels Gap from the infamous Wes (who has been shuttling aspiring thru hikers, including Bill Bryson, for more than 30 years). I purchased a knee brace for my left knee (which I had killed on Blood Mtn.)and some aspirin and hit the trail. Knee hurt like hell, camp was cold as hell (it was well below 20F with windchill; my water immediately began to crystallize into ice once I filled it. I will need serious strength for another few nights. I slept with a group of firemen from AL who hiked in an ax and made a roaring fire. We head some sort of k9 (coyotes, dogs, ??) during the night.","Wolf Den Country Store
",Whitley Gap Shelter,"Jan 04, Mon",6.20
Hestia,https://www.trailjournals.com//journal/entry/519464,"Cold morning! I was prepared to walk out today in search of a doctor for my knee, on account as I couldn't straighten it last night without being in excruciating pain. Although it hurts, the pain is manageable and the walking has thus far been easy. I think I may have only 1 mtn. to go before my shelter. With any luck, I will get there early. I've found 2 poops so far today...one raccoon & 1 possible bear. I lost my hat, but found a wool glove. I had lunch in the sun and mostly out of the breeze with a temperature of about 35F. I arrived at the shelter solo, so I set uyp my tent in the shelter; I was so proud to have set it up with rocks! I was soon joined by a group of 6 NOBO guys (New Years, Froggy, Victor, Justin, Trey, & unknown dude in a tent on the hill) and we chilled by the fire. I ended up sleeping in my tent with New Years in order to stay warm, which was quite fortuitous because it was 16F the next morning.","Whitley Gap Shelter
",Low Gap Shelter,"Jan 05, Tue",5.60
Hestia,https://www.trailjournals.com//journal/entry/519465,"Walked from Low Gap Shelter to Blue Mtn. Shelter and did well until lunch, after which my knee started hurting. I ran into Justin, then Victor and Trey. We chatted for a bit and I thought they would be at Blue Mtn, but when I got there, Merple (a SOBO) said they had gone into Helen. Merple was cool and we chatted for a bit before he departed for a night hike to Low Gap Shelter =-0 He shared much advice about towns and hostels along the route as well as terrifying trail tails: Bears, freezing temps, endless days of monsoon rains, oh my! I though I was going to be alone for the night and got a bit scared when Steve showed up. He came to the trail to get away from people. Although I felt slightly reassured for that evening, I began to worry about my next two days before reaching the town. The miles would be long, the mountains steep, water scarce in some areas, and winds and rain would be an issue at the next shelter. Leaving for town crossed my mind, but I felt that would be cheating. I will push through. I will be okay. Two days. 
PS. I got a hit list on the trail today when I misjudged how close inward to the shelter. I hiked back and forth along the same .5mi of tail for about 30 minutes before saying ""f*ck it"" and pushing forward. The sight of the shelter nearly brought me to tears.","Low Gap Shelter
",Blue Mtn Shelter,"Jan 06, Wed",7.30
Hestia,https://www.trailjournals.com//journal/entry/519466,"Long day. Didn't sleep much last night on account of the mice scurrying past me, above me, and rummaging through my pack. I slept for approximately 4 hours with my headlamp on and George Lopez on my iPhone. I awoke at 6:15 and was greeted by a mouse peering up at me though the floorboards. I got up and out of that shelter in record time. I walked 12.8 miles to Sassafras Gap, where there was no shelter (only tenting). Along the way, I began to reconnect with my stomach and ate all my snacks for the day (a first!). Despite the extra intake of calories, they in no way made up for the cumulative deficit I had been experiencing. My body was weak, my knee was raging, my feet were aching, and I didn't know if I would have the energy to make it to my predetermined destination. On the verge or tears, I put on some tunes (21 pilots) to carry me the last 2 miles to the gap. When I finally arrived at the site, I set off first for the water down a steep mountain side to a fresh spring. I collected and purified my water before soaking my tired feet in the cool, crisp spring. I also attempted to wash my hands, by I believe dirt has a super power while hiking on the trail which makes all attempts to remove it entirely futile. Afterwards, I set up my tent and made dinner (one of those hiker add water meals). Despite the gnawing in my stomach earlier, I was unable to eat more than a few bites of what the manufacturers claimed to be chicken nachos. I was completely grubby and looking forward to town. I noticed today how hypersensitive my senses had become. I could sense the upcoming storm from the eerie stillness in the air (no wind or birds today). I could also smell a road I had crossed earlier in the day.","Blue Mtn Shelter
",Sassafras Gap,"Jan 07, Thu",12.80
