Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Lee ,https://www.trailjournals.com//journal/entry/516365,"Well, the first visit to Amicalola Falls State Park and I was hooked on this adventure. The fall leaves were changing and the colors were amazing. I have been preparing for this hike all year; reading books, trail journals and buying the ultra light gear and trying to feel comfortable enough to let the world know I was ready to do this March 2016 thru-hike.
Being from Florida and an avid hiker, I was not prepared for the steep ups and downs that immediately made my calves burn. I guess it's 45 degree tread mill time to help ease the pain. Other than the calves, it was an amazing experience that left me with the desire to continue my preparation and training.",,The Adventure Begins,"Oct 26, Mon",0
Lee ,https://www.trailjournals.com//journal/entry/516410,"Thanks for reading my trail journal. For those of you new to the Appalachian Trail, here is a nice overview that I copied and pasted from some other trail journals. I hope this introduction will spark the desire to learn more about this amazing trail and all it has to offer. The Appalachian Trail is one of the longest continuously marked footpath in the world, measuring roughly 2,180 miles in length. The Trail goes through fourteen states along the crests and valleys of the Appalachian mountain range from the southern terminus at Springer Mountain, Georgia, to the Trail’s northern terminus at Katahdin, Maine.Known as the “A.T.,” it has been estimated that 2-3 million people visit the Trail every year and about 1,800–2,000 people attempt to “thru-hike” the Trail. People from across the globe are drawn to the A.T. for a variety of reasons: to reconnect with nature, to escape the stress of city life, to meet new people or deepen old friendships, or to experience a simpler life.The A.T. was completed in 1937 and is a unit of the National Park System. The A.T. is managed under a unique partnership between the public and private sectors that includes, among others, the National Park Service (NPS), the USDA Forest Service (USFS), an array of state agencies, the Appalachian Trail Conservancy, and 31 local Trail-maintaining clubs.Fun Facts•The Trail is roughly 2,180 miles long, passing through 14 states.•Thousands of volunteers contribute roughly 220,000 hours to the A.T. every year.•More than 250 three-sided shelters exist along the Trail.•Virginia is home to the most miles of the Trail (about 550), while West Virginia is home to the least (about 4).•Maryland and West Virginia are the easiest states to hike; New Hampshire and Maine are the hardest.•The total elevation gain of hiking the entire A.T. is equivalent to climbing Mt. Everest 16 times.•The A.T. is home to an impressive diversity of plants and animals. Some animals you may see include black bears, moose, porcupines, snakes, woodpeckers, and salamanders. Some plants you may encounter include jack-in-the-pulpit, skunk cabbage, and flame azalea.Hikers•About 2 to 3 million visitors walk a portion of the A.T. each year.•The A.T. has hundreds of access points and is within a few hours drive of millions of Americans, making it a popular destination for day-hikers.•“Thru-hikers” walk the entire Trail in a continuous journey. “Section-hikers” piece the entire Trail together over years. “Flip-floppers” thru-hike the entire Trail in discontinuous sections to avoid crowds, extremes in weather, or start on easier terrain.•1 in 4 who attempt a thru-hike successfully completes the journey•Most thru-hikers walk north, starting in Georgia in spring and finishing in Maine in fall, taking an average of 6 months.•Foods high in calories and low in water weight, such as Snickers bars and Ramen Noodles, are popular with backpackers, who can burn up to 6,000 calories a day.•Hikers usually adopt “trail names” while hiking the Trail. They are often descriptive or humorous. Examples are “Eternal Optimist,” “Thunder Chicken,” and “Crumb-snatcher"".",,The Appalachian Trail,"Oct 27, Tue",0
Lee ,https://www.trailjournals.com//journal/entry/517051,"Hiked the Split Oak trail today for 7 miles with a full backpack about 25lbs, set up my tent and tested my cooking equipment with a Mountain House meal. Although the Florida Trails are flat I averaged over 3 mph in 85 degrees. So the training will continue for the next 127 days.",,View Entry,"Nov 08, Sun",0
Lee ,https://www.trailjournals.com//journal/entry/517394,"What a great weekend for hiking. The weather here in Florida turned cool, (77 degrees). So Saturday with full pack, poles and my daughter in tow we hiked the Little-Big Econ State Forest, Florida Trail for 8 miles, then on Sunday I ventured out with my hiking buddy Bob and we hiked the Hal Scott Preserve. The yellow and white loops, checking out the campsites for a few overnights in the near future. We went about 10 miles and cooked some lunch on the trail with our Jetboils. Feeling great and still counting down to the big day in March.",,View Entry,"Nov 15, Sun",0
Lee ,https://www.trailjournals.com//journal/entry/518516,"Did the Vollksmark trail hike with my hiking buddy Bob from the start of the Wekiva Springs and followed the white blazes for 14.1 miles loop. It's the longest hike to date with full backpack, but it felt good and I survived. We took a refeshing dip in the 72 degree spring and it was really enjoyable. This entry is a test with the mobile setup to see if it works. Anyone have any thoughts on lightweight battery options? What setup do you use for your mobile to keep it charged?",,Wekiwa Springs,"Dec 19, Sat",0
Lee ,https://www.trailjournals.com//journal/entry/519532,"Hiked again with my hiking buddy Bob, who has committed to start out with me on the trail in March. We spent the day hiking along the Florida Trail in Seminole County, did about 12 miles in anticipation of the 40 mile hike over the upcoming holiday weekend. We are going to hike the Withlacoochee State Forest Citrus Perimeter Loop for 2 nights and do a through shakedown of all our gear that we will be taking on the AT. I will update all the gear and review when we get back.",,The Florida Trail,"Jan 12, Tue",0
Lee ,https://www.trailjournals.com//journal/entry/519780,"What an adventure, we hiked over 36 miles in 3 days on the Citrus Perimeter Loop at Withlacoochee State Forest for our first shakedown hike in anticipation for the AT. We encounter all sorts of weather, trail topography, fire and animals. The gear I was using and listed on my journal seemed to work excellent, I weighed in at 23 pounds at the start and realized on day 2 that I probably could have shaved a few more pounds,(especially with some food items). Which I will figure out over the next month to get down to around 20 pounds. We hiked most of the second day in the rain, cold and than we had the introductory chore of hanging our clothes by the fire, Yes I didn't put my rain pants on and realized that was a big mistake. The trail was awesome and on a few occasions we were able to explore some cave systems, which was so COOL... So now its back to tweaking gear, strength training, and walking more miles till the big day arrives. See you on the trail...............Lee",,Citrus Loop Trail,"Jan 17, Sun",0
Lee ,https://www.trailjournals.com//journal/entry/523358,Well the countdown continues. I presume I packed everything 4 or 5 times and I was able to keep my pack weight around the 22 pound mark with 5 days of food. Will be heading to the trail this time next week and can't wait to take my first steps. Good luck to all who have ventured out so far and I will see you on the Trail.....,,View Entry,"Mar 13, Sun",0
Lee ,https://www.trailjournals.com//journal/entry/524312,"Amicalola Falls and LodgeBob and I were like to two giddy children as we drove to the start of our adventure. We detoured and spent some time with my daughter in Atlanta. Then our dream of the hike has finally turned into reality. I would like to thank our spouses for driving us here and supporting the journey. I would really like to be a fly on the wall on their return trip home. We arrived at Amicalola Falls State Park and were greeted by some snow flurries as we checked into the lodge and proceeded to our cabin. Today we plan on doing some sightseeing and activities around the park including registering and walking up the falls. We did the first portion of the approach trail, which was 1000 feet up in the first mile. So after the excitement of the trip, the long car ride and months of planning the journey we will begin in the morning with the first real steps.",,The Lodge,"Mar 21, Mon",0
Lee ,https://www.trailjournals.com//journal/entry/524706,"Day 1Well the day has finally arrived and the weather was perfect to this start this epic journey. We left our cabin and headed over to Amicalola Falls Lodge for breakfast. We enjoyed the awesome view from our table as we discussed the last minute details. The thoughts of the unknown, the exhilaration, the adrenaline rush were all present as I adjusted my backpack said goodbye to my supportive wife and took my first steps on the trail. As Bob and I made our way up up up the never ending mountain I was amazed at the beauty and in awe of the surroundings. The pre hikes in Florida were like standing still compared to the grueling long up hills we faced today. Not to mention the steep rock scrambling downhills. We shuffled taking the lead most of the morning until we made it to Springer Mountain, the official starting point of the Appalachian Trail. Here we meet John from Las Vegas and we pushed on together to the Stover Creek Shelter. We did an 11.6 miles day with only 2.8 official Appalachian Trail miles.We had a blast at the shelter, and there were at least 25 tents set up. We talked and laughed with John and a few others plus a couple girls from Maine who were very entertaining and interesting. It's hiker midnight now 8:00pm. First goal completed: we hiked the 8.8 mile approach trail to the start of the AT. The mileage doesn't count towards the Appalachian trail totals but it was worth all the pain and effort if was absolutely beautiful and challenging. I am safe and warm, until tomorrow..","Springer Mountain
",Stover Creek Shelter,"Mar 22, Tue",2.80
