Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Looker,https://www.trailjournals.com//journal/entry/523587,"Just getting started, feeling my way around this journal. I plan to update as often as possible when on the trail to keep my family and friends abreast of my whereabouts and condition. I am so tired of planning and thinking I'm ready to just do. April 7th is my jump off date and I can hardly wait. I'm anxiously awaiting several packages from REI that are suppose to arrive today, would really like to do some tests before hand. Later gators.",,View Entry,"Mar 14, Mon",0
Looker,https://www.trailjournals.com//journal/entry/523687,"Still making preparations. Received a lot but not all of my gear from REI yesterday. I'm going to pick up my tent this morning. I'm having difficulty already making everything fit in my pack. Will have to make it work. The excitement seems to continue to grow. I'm a little concerned about the flooding in Louisiana. Hope everything is cleared up by the end of the month so I can drive to Texas to drop off my stuff. I'm actually putting everything I own in storage so for all intents and purposes I'll be homeless. So what, I'm hiking the AT. Later.",,View Entry,"Mar 15, Tue",0
Looker,https://www.trailjournals.com//journal/entry/523724,"Going to test drive gear tomorrow, Plan on doing a couple of nights at the Apalachicola National Forest. Live, eat, hike as if on the AT. Of course it's flat but it's hot and humid so there it is. I bought 5 days of food that I expected to eat, nothing substantial and it seems heavy, as does everything. I hope I am able to fit everything into my backpack. Time will tell Later.",,View Entry,"Mar 16, Wed",0
Looker,https://www.trailjournals.com//journal/entry/523859,Ran delay on my test drive. I was able to get almost everything in my pack and it weighed in at 31 lbs. I'll prolly end up with 35 lbs once everything is packed. It felt like 50. I'm going to hike tomorrow even if it's raining. Got to check it out. Later.,,View Entry,"Mar 17, Thu",0
Looker,https://www.trailjournals.com//journal/entry/523963,Got out and hiked 7 miles with full pack. Went well. With 2 liters of water I figure my pack was 35lbs. I don't know what I can take out to reduce weight.Fiddle with the straps and found the most comfortable set up. Will try some more tomorrow.,,Panama City Beach Conservation Park,"Mar 18, Fri",7
Looker,https://www.trailjournals.com//journal/entry/524076,"Did another 6 miler,it was hot and humid had to rest more often. I wonder how this will translate. Will see. I'm happy with equipment so far, need to test drive the tent. I found a way to reduce my weight, give up peanut butter or get a smaller jar. Later.",,View Entry,"Mar 19, Sat",0
Looker,https://www.trailjournals.com//journal/entry/525373,"Continuing to get ready. Called Hiker Hostel and made arrangements to be picked up when I fly into Atlanta. What a deal, 85.00 includes pick up at train station, accommodation, breakfast in the AM, 4 Oz of cooking fuel, something else and delivery to either Amicola Falls or Springer, I'm starting at Springer. I've got everything arranged to make the move to Austin Texas and will leave Panama City Beach on April 1st. It's suppose to storm here Thursday and Friday I can only only imagine the conditions further up the trail.Have been reading a lot of journals getting a lot of encouragement and am getting excited and can't wait to take the first steps on Springer.",,View Entry,"Mar 29, Tue",0
Looker,https://www.trailjournals.com//journal/entry/526549,"Making final preparations. Set up my tent yesterday, it is very small but should work perfect. Went thru my pack and found some non-essential items and shaved a few lbs off. My food still seems heavy but I'm sticking with what I have for now. Hiker Hostel called me to confirm my trip and went over some details, it's well worth the money not to have to worry about getting to Springer. Had a major panic when I couldn't find my trail guide but it was located. WHEW! I'm going baby crib shopping with my son and daughter in law this afternoon and plan on stopping by REI. I want a sawyer bag water filtration deal, I ditched the chemicals I had, I'll carry a life straw and the sawyer. I'm feeling anxious, a little nervous, but I read somewhere to pack all you need but leave your fears at home and I will. I don't know how I will do but I promise to do my best, my goal is to complete the Thru Hike by the October 15th deadline.I know it's going to be cold and rainy, then hot and rainy then cold and rainy again. Im sure I will struggle to make miles at first, I'll be tired, hungry, and stinky most of the time, I'll prolly get homesick and I know I'll miss my family and friends, but Im doing this, I am really doing this.",,View Entry,"Apr 05, Tue",0
Looker,https://www.trailjournals.com//journal/entry/526683,"Made every connection without delay; plane, plane, train, van pick up. Met some cool hikers from New Mexico, The Netherlands, Philly, and Connecticut (thank God for spell check). Woody from the Hiker Hostel in Dahlonega picked us up at the train station, stopped at Wally World, I picked up some gloves, Woody said a cold front was coming in and may get into the teens. I'm sacking my stove and going with an alcohol model they sale at the hostel, looks like a better option, I may still grab a jet boil the first chance I get. Woody said breakfast is at 0730 and we should pull out by 0830, I'm starting at Springer as opposed to Amicola Falls, and the drive there is about an hour, so it looks like I will take my first steps tomorrow around 0930. I believe I'm ready, we will soon see.","
",View Entry,"Apr 06, Wed",0
Looker,https://www.trailjournals.com//journal/entry/527321,"It started. Wow. Springer Mtn is the southern terminus of the AT. The white blaze by my feet is the first of thousands to come.it was exhilarating to get to the top and then come back down and head out on the trail. I learned real quick backpacking in the Georgia mountains is not for sissies. It is much harder than I expected. My goal for today was to make it to Hawk Mountain but I came up a little short, I couldn't go any further and I was out of water, I made it to the campsite and got plenty of water, I was so exhausted I could hardly tie a knot, I tried to use my sleeping bag liner but I couldn't get it to work. Oh well,I need to learn how to function better when exhausted. We'll see.","Springer Mountain Ga
",Hawk Mountain Campsite,"Apr 07, Thu",7.40
Looker,https://www.trailjournals.com//journal/entry/527332,"I didn't want to get out of my sleeping bag but I finally did and got everything packed and hit the trail. Once again my expectations were out of whack. I climbed Sassafras Mountain for what seemed like 8 or 6 hours. This mountain never ended. Up, up. Up without switchbacks. I ran out of water and was sitting on a rock by the trail contemplating Wether I should kill an animal and drink it's blood when a man with a camera walk by, I ask him how far to the next water hole and he said 4 or 5 miles. There's was no way I could make it that far with no water. He did say not far up the trail was a rock outcropping with water dripping from the mountain. Sure enough I found I leaf that had a good stream, good enough to fill two liters in not to long. I hiked further until I thought I was at the top. I saw a fire pit and a flat area so I gave up the fight this day. I set up my camp and crashed. It's was cold that night, and I don't mean Florida cold where when it hits 50 the mayor calls FEMA. It was freezing cold and the wind was unbelievable. I survived all by myself, on top of a mountain. Way cool.","Hawk Mountain Campsite
",Sassafras Mtn,"Apr 08, Fri",4.10
