Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Lucky Dog,https://www.trailjournals.com//journal/entry/536550,"Hopefully this will be the time to successfully complete my section hike of the Appalachian Trail. I will begin at Rangeley, ME and head north! Best news of all is that my hiking buddy Landcruiser will be hiking with me. Our plan is to start hiking Tuesday, June 28. Landcruiser has already completed the AT so her knowledge will be helpful and her support is priceless. Completion will be my biggest celebration for turning 70. When I first started backpacking on the AT, I did not have the goal of completing the whole trail. However as I continued to mark off the miles it became rather obvious that to stop short would be not acceptable. Victory is in sight.","
",View Entry,"May 16, Mon",0
Lucky Dog,https://www.trailjournals.com//journal/entry/536549,"I am having to do my preparations early for a June 28 ""start hiking"" date. I am leaving home on June 8 and will not be back until after my AT hike is complete. I will be in NJ, VA, Tucson, and back in VA before I fly to Maine. It is a logistic nightmare but I think I'm getting things figured out. Basically I will be spending time in NJ with our oldest daughter and family. Nothing is more important than family and it's been a long time since we were together at Christmas. Then I will go to VA to get Claire, a granddaughter who is having her turn with Granny and Poppa for an Intergenerational Roads Scholar trip to the White Stallion Ranch in Tuscon. THEN, I get to try to finish the Appalachian Trail. I guess that means I am a Luckydog - family and grandkid time then backpacking. Life is good! (Especially if I get to the trail with nothing essential forgotten :-)","
",View Entry,"Jun 04, Sat",0
Lucky Dog,https://www.trailjournals.com//journal/entry/547795,"Up at 4 AM to get to the airport to fly to Portland. Life has been so crazy. On June 8 I flew to NJ and hiked 3 days in PA with my son-in-law, John. Then I spent time with my oldest daughter and family. Took train to VA to pick up granddaughter and flew with her to meet husband in Tucson for a Roads Scholar Intergenerational trip (Dude ranch in Tucson). Flew back to VA with granddaughter and now to ME to meet Landcruiser and finish the AT. Whew! Landcruiser and I were met at the airport by Donna and Cindy, friends of Landcruiser (Debbie). Went to lunch then they took us to the trail - ME 4 at Rangeley.
The prediction is for rain tomorrow and we had planned to tent camp. Decided to go into shelter tonight and hopefully make it to the next shelter and avoid wet tents. We started hiking at 5 pm but it was a short hike to the shelter.
Huge number of people at the shelter and at the campsites. There are two organized boys and girls camp plus AT hikers. Found room in the shelter and enjoyed meeting others. Super glad to see Debbie and to have this journey underway. Tomorrow will be hard but we can do it!","
",Piazza Rock Lean To,"Jun 27, Mon",1.80
Lucky Dog,https://www.trailjournals.com//journal/entry/547797,"Started day at 6:30 AM after sleeping soundly. Nice guys in the shelter and no big snorers (unless it was me and that of course was no problem for me). It is light really early - there was light at 4:30 AM.
Started hiking and passed 2 small ponds then came to Eddy Pond. Very pretty. Took nice break then started long hard climb up Saddleback Mtn. Lots of boulders. It was better for me when we got above tree line. Beautiful views and nice to see where I am heading. Rocky and tough descent then had a hard climb up The Horn. There was a rebar ladder for which I am grateful. Then another tough descent was required. New England's trail tread is a challenge. It is not ""walking"" but scrambling. Refilled out water at Reddington Stream Campsite. Water was a long way from trail and the campsite was very wild and not user friendly. Very over-grown and unkempt. We were both pooped and had a long pow-wow over whether to camp here or solder on over Saddleback Jr. Rain is predicted so....on we plodded. We climbed then seemed to be on a ridge with lots of up and downing. Boulders, smooth granite slopes and rocks. We were very slow but persisted and made it. It took us 10 1/2 hours to go 8.9 miles but we did what was a very difficult hike on day one.
Only one person in the shelter when we arrived. Shelter is not the best but it feels awfully good to be here.","Piazza Rock Lean To
",Poplar Ridge Lean To,"Jun 28, Tue",8.90
Lucky Dog,https://www.trailjournals.com//journal/entry/547799,"Started raining during the night. Debbie slept in (very good since she is a terrible sleeper). Left shelter at 8:30 and rain had stopped. First part of the hike involved descent of very rocky trail. We were very slow to Oberton Spring. The sky cleared and it was a lovely morning. Debbie is complaining of very tight quads. My calf muscles are quite tight. Maybe they are feeling abused.
Steep climb out of Oberton Stream then a more gradual climb. Hike along a the stream with waterfalls, gorges - really special. Long climb up Long Mountain but the trail was much more friendly. Steep climb for about the last 1/2 miles. The last 2 1/2 mile to the shelter was great but unfortunately it started pouring rain. Boots and clothes are wet. Is this long distance hiking or what! :-)
Space in the shelter again with very nice people. We are meeting both north and south bound hikers. Privy is down the hill from the shelter and coming back I fell and really whacked my Left knee cap on a rock. Hope there is no long term price to pay. Debbie fell twice today - both times landed on her bottom. My first fall. I'm sure it won't be my last. 
Big question - do we go 6.2 miles tomorrow or 13.5 and get us to Stratton. A few years ago, the answer would be a no brainer. I do feel much slower now but I am out here!","Poplar Ridge Lean To
",Spaulding Mountain Lean To,"Jun 29, Wed",8
Lucky Dog,https://www.trailjournals.com//journal/entry/547800,"Discovered that the upside down U shaped frame of my ULA Ohm backpack is broken. It is not carrying too badly but will need to get it fixed. Had good signal today on phone and called ULA. They are shipping the part to Caratunk.
Did steady climb this AM up Spaulding Mtn. Trail not bad at all. Then had some distance on the ridge upping and downing. Had a 2 mile descent that was quite steep and quite rocky. It wasn't death defying, though, so I'm grateful. Descent ended at the So. Branch of the Carrabassett River. Very beautiful and was able to rock hop so didn't have to ford. 
We had a 1 1/2 mile climb up Crocker Mtn to camp site. I really wanted to go on to Stratton but we are moving so slowly. It would have been 7.3 miles more with about 1500 ft gain. Just didn't seem wise. We had time to spread out gear and get it dry. Creek was near our tents so we could clean up.
Turning in early tonight so we can get an early start. Hopefull will have a nero day in Stratton - be there by noon or 1PM at the latest. Shower, clean clothes, and real food: will be AWESOME","Spaulding Mountain Lean To
",Crocker Cirque Campsite,"Jun 30, Thu",6.20
Lucky Dog,https://www.trailjournals.com//journal/entry/547801,"Last night we cleaned up in the creek at Crocker Cirque Campsite. We dried out all our gear from the rain. The campsite was very nice and it was a relaxing enjoyable afternoon/evening. Was in the tent by 7:30 - relaxed, wrote in the journal then slept until 5 AM. Two sets of hikers arrived after dark. Not my cup of tea. 
Started hiking at 6 AM. Steep, steep climb up first half of Crocker Mtn. Last half of the climb was more gradual. We were slow but steady. Hope we are getting stronger. The descent then ascent of North Crocker had a rocky but not scary trail. Lots of slabs of granite. Had 5.2 mies of descentwith varied trail tread. We worked at being faster and made much better time. Actually a little better than 1 mph. (I mention this because much of the AT that we've hiked we average about 2 mph. It bugs me to be so dang slow).
Tired but not exhausted as we took the shuttle to the hotel. Shower and real food were as awesome as I knew they would be. Laundry done. Sort of dreading tomorrow. Have long steep climb and work over the Bigelows. Hope we do better than I am expecting.","Crocker Cirque Campsite
",ME 27 - Stratton,"Jul 01, Fri",7.30
Lucky Dog,https://www.trailjournals.com//journal/entry/547813,"Slept well. Really no place for breakfast except for gas station / general store. Arranged for Stratton Motel people to pick us up there by 7 AM. After we walked to the general store we found the door locked. Opens at 7 AM on weekends! As we're deciding what to do the woman who was the morning employee said she would fix us a bkfst sandwich and snuck us in the back door! Trail magic that was very, very much appreciated. 
Was on the trail by 7 AM. I did so much better today. Initially was a slow drudge climb; very hot; dripping sweat; then entered an area of huge small house size boulders that were all covered with thick green moss. It was incredibly mysterious and beautiful. Some switch went on in my head and I quit focusing on how hard it was and was able to capture the beauty of the journey. Big, big mind set change for me.
Long hard climb and had some views but then wind began to blow and clouds moved in. Made it to top and took picture. It sleeted on us. The wind was so hard that it was difficult to manage hiking sticks. Had to be at least 40 mph. Took summit picture then started down. Steep descent but not too far to campsite. Very confusing place. Had tent platforms and privy a long, long way from everything. Water source not well marked. Starting to drizzle. Couldn't fit 2 tents on platform so we tented behind a caretaker's deserted cabin. Windy and cold. Debbie slept cold but I did OK. Tent wasn't really level but I managed.
Great day on the trail. Frustrating evening at campsite. Felt really good to lie down and relax.","ME 27 - Stratton
",Avery Memorial Campsite,"Jul 02, Sat",8.10
Lucky Dog,https://www.trailjournals.com//journal/entry/547820,"We had intended to go a couple more miles but we had a change of plans We went to bed so early last night that we were hiking by 6 AM. We had a steep climb up Avery Peak. It was absolutely stunning. Sun was shining and the views were spectacular. It is a very pretty mountain. We spent time on the summit. The descent was a long one. Little Bigelow was an interesting climb. Steep then some more gradual. Was along the ridge with tons of up and down. Again a long descent and at time pretty steep.
It would have been a 15 mile day to Pierce Pond. Decided to be nice to ourselves and do a shorter day. It will add an extra day but we had planned to give ourselves the flexibility to do that. I think it was a great decision and I think Debbie agrees. Her feet are burning and really hurting her. Wish I could help.
Huge group at shelter. Initial group very considerate of others. Later several people showed up who tented but show stayed up late. I slept soundly but I know they bothered Debbie. Debbie also reported rain during the night.","Avery Memorial Campsite
",Little Bigelow Lean To,"Jul 03, Sun",7.20
Lucky Dog,https://www.trailjournals.com//journal/entry/547821,"On the trail at 6:30. Beautiful morning with the sun shining through the trees. Today we had a lot of relatively smooth trail. Had two climbs but they were gradual and very doable. The trail has it rocky, rooty, and muddy moments but this is Maine. One cannot expect otherwise.
We were at the shelter early. Wanted to go on but did not really want to go to Pierce Pond 10 miles away. None of our book or maps gave any indication of any possible camping sites before then. Decided to just chill out at this beautiful pond and easily get to Pierce Pond tomorrow to get ready to ferry across the Kennebec the following day.
Nice shelter on the pond. Debbie swam out and into the lake. She is tough. I jumped in up to my neck and jumped right back out. It was COLD but very refreshing. Pretty windy. Spent over an hour just watching the waves, the puffy clouds- enjoying the peacefulness of the moment. I call it ""living a prayer"".
Met a South Bound hiker who is an Iraqi war vet who is fighting PTSD. Was interesting to talk with him and I surely wish him the healing he is looking for. Have met many friendly/interesting hikers on this trip.
Mother and three children came into the shelter. She is carrying heave load. Youngest son is 6 or 7. One son is 13 and daughter who is 16. Very interesting and pleasant family. Live in Cincinnati but mother is French","Little Bigelow Lean To
",West Carry Pond Lean To,"Jul 04, Mon",7.70
