Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Marmalade,https://www.trailjournals.com//journal/entry/522117,"Went to USA Embassy in London on Monday for my Visitors visa. Arrived early (7.30) and was approved for Visa by 8.30.Time to shop for more hiking clothing before I catch the train back to Stockport and begin to get all my gear ready.Once my Visa arrives (been told should be with me in about 5-7 days), will then be able to arrange my flight to Atlanta for hopefully a mid March start 2,184 Miles!!!",,N/A,"Feb 29, Mon",0
Marmalade,https://www.trailjournals.com//journal/entry/522395,"Have just received email advising USA visa is ready for collection tomorrow.Will collect and then book my flight, happy days!",,N/A,"Mar 03, Thu",0
Marmalade,https://www.trailjournals.com//journal/entry/522714,"Well finally collected my USA visa on Friday and have booked my flight for Wednesday, leaving Manchester at 7.45, stopover in Rekjavic and Baltimore before landing in Atlanta Georgia at 21.45 local time.Plan on stopping in Atalanta on Wednesday night before catching the train northbound.All packed and ready for my flight Wednesday morning at 7.45, have had to lighten my pack and managed to get the weight down to 26lbs/12kgs (without food and water) still plenty weight to carry over 2,000 miles!!!",,Atlanta Georgia USA,"Mar 07, Mon",0
Marmalade,https://www.trailjournals.com//journal/entry/523966,"Hello to my friends in England and to my new friends I'm making in the U.S.A. on the A.T.My scribblings are dual purpose, as a log for myself to remind me of where I've been and as a blog to anybody following my adventure on Appalachian Trail.For those friends in England please take a moment to check the internet out for the Appalachian Trail, it will give you a good idea what I'm putting my body and mind through!My hike will take me North from Amicalola Falls in Georgia to Mt. Katahdin in Maine by I hope October 14th, a distance of over 2,189 miles.After spending Thursday night 10th March in my tent adjacent to Max Epperson Shelter I'm packed and ready to go by 09.00.Today's hike will take me from the archway behind the visitor centre of Amicalola Falls Park to Black Gap Shelter, a distance of 7.3 miles and 1500ft increase in elevation and is known as the Approach TrailThe A.T. proper starts at Springer Mountain, 8.8 miles away.The staircase to the top of the Falls is 604 steps and with 35lbs strapped to my back I struggle with every step!As we English say 'no pain, no gain' or as Americans say 'pain is all the badness leaving your body', either way it's hard work.After a hard days hike with plenty of climbs I finally arrive at Black Gap Shelter at about 17.00 to be greeted by 3 friendly guys already building the camp fire.Once they here my English accent they ask me f I have brought any marmalade in my rucksack with me from home, unfortunately not I replied.From then on they would call me marmalade as my trail name!Starts to get dark about 19.00, so I set my sleeping bag up in the shelter, plenty of room as one guy is in his hammock.Spend the next 2 hours around the campfire talking,eating and listening to an old traveller called 'Bass' from Alaska who has many stories to tell and remind me to watch out for the shelter rat who appears after dark rummaging for any food about.Hikers are always advised to hang their food in a bear bag from a tree branch a few hundred feet from camp, this I've started doing.Hiker registration number 544.
Approach Trail miles haven't been included.","Amicalola Falls State Park
",Black Gap Shelter,"Mar 11, Fri",0
Marmalade,https://www.trailjournals.com//journal/entry/524011,"No sighting of the resident rat last night only a few mice looking for food.Packed, collected water from the stream and ready to hit the trail by 10.00.Off to Springer Mountain the official start of the Southern Terminus of the A.T. And onto Stover Creek Shelter.Nice steady 4.3 miles planned today, need to build up my stamina, let my legs get stronger and my beard longer!Plenty of day hikers and holiday hikers (U.S. Spring Holiday).Arrived at Stover Creek Shelter at 14.30 and claimed top floor of shelter, first to arrive today.By 20.00 the shelter was full with tents and hammocks.Group of guys arrived with hand pistols and large Bowie knives for protection against bears, I've got my 30mm long penknife!
Approach Trail miles not included.
Jack Kerouac born 12th March 1922Author, Journalist, Poet (1922–1969)","Black Gap Shelter
",Stover Creek Shelter,"Mar 12, Sat",2.80
Marmalade,https://www.trailjournals.com//journal/entry/524019,"Clocks went forward last night so lost an hours sleep.Packed up by 10.00 and on the trail to Hawk Mountain CampsiteSteady hike today, feeling a few aches and pains in my back and legs, only a short day today fortunately.The weather has been very warm so far, unseasonably warm for this time in Georgia I'm told.Georgia has its fair share of trees, spent the last few days hiking through the woods with little opportunity to see many views.Arrived at Hawk Mountain Campsite just after 14.00.Set up tent and had a relaxing afternoon.Early night ready for a strenous hike tomorrow.","Stover Creek Shelter
",Hawk Mountain Campsite,"Mar 13, Sun",5.30
Marmalade,https://www.trailjournals.com//journal/entry/524022,"Good nights rest, up at 07.30 and on the trail for 08.15First Trail Magic at Hightower Gap, Miss Janet supplying fresh water and advice to all that want it.Nice steady day today, legs, knees and back feels better.Arrived at Gooch Gap at 16.30 to be met by more Trail Magic, a guy with hot dogs and fresh water.People on the trail seem to be so friendly and nearly always have a smile and a few words of encouragement.Started to rain for the first time on my trip as I was putting up my tent.Paid a local guy some petrol money to take me into Suchas to buy more supplies as I was running very low on food.Bed at 21.00 after a really good day.","Hawk Mountain Campsite
",Gooch Gap,"Mar 14, Mon",9.10
Marmalade,https://www.trailjournals.com//journal/entry/524023,"Packed my gear away and Trail Magic was cooking chocolate chip pancakes for breakfast, well appreciated. Collected fresh water and was on my way to Lance Creek.More Trail Magic with 'Lefty' at Woody Gap, cold cans, sandwiches and biscuits, went down a treat!Plenty of climbing today, especially Big Cedar Mountain at 3740 ft.Arrived Lance Creek at 15.30 and set up tent near Matt and 'Camel / Wrong Way '","Gooch Gap
",Lance Creek,"Mar 15, Tue",7.10
Marmalade,https://www.trailjournals.com//journal/entry/524025,"On the trail at 08.30 for a hike to Neel Gap for a 'shakedown' and hopefully a bed for the night!!A hard hike today but worth the view from the top of Blood Mountain and a steep climb down to Neel Gap at about 15.30.Into Mountain Crossings to resupply and to replace my broken water filter, packed away items that I haven't used or likely to use and posted to my good friend Mike in CT.Booked the night in the 'Beaver' Blood Mountain Cabin with Matt and 'wrong way'.Had a pizza for tea (still no beer available, no alcohol since Baltimore Airport a week ago!!Nice wooden cabin (www. blood mountain.com)Bed at 23.00","Lance Creek
",Neel Gap,"Mar 16, Wed",7.40
Marmalade,https://www.trailjournals.com//journal/entry/524027,"Up at 06.30 and ready and packed for breakfast at the Cabin Lodge, chicken wings, coffee and ginger ale, good mix!Hiked up to Mountain Crossings to get a few more snacks for during the day and additional water.Left at 10.00, plenty of climbing today, great views from Cowrock Mountain.Arrived at Low Gap Campsite at 18.15 after 11.5 miles ( best mileage so far).Set up tent, pasta and chocolate bar and in tent by 21.00.","Neel Gap
",Low Gap ,"Mar 17, Thu",11.50
