Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Midnight Strider,https://www.trailjournals.com//journal/entry/525510,"All the preparations are complete. My gear has been checked, packed, re-checked and packed again. My itinerary is set. And here I sit in the Charlottesville VA Days Inn, roughly 14 hours from the start of an adventure I've dreamt about since the age of 10. So many questions that only time will answer. One thing seems certain... I will be a changed person at the end.",,"T-Day, minus 1","Mar 30, Wed",0
Midnight Strider,https://www.trailjournals.com//journal/entry/525569,"Just as a white summer cloud, in harmony with heaven and earth floats in the blue sky from horizon to horizon following the breath of the atmosphere- in the same way the pilgrim abandons himself to the breath of the greater life that leads him to the farthest horizons to an aim which is already present within him, though yet hidden from his sight. Lama GovindaThe Way of the White Clouds","Rockfish Gap VA
","Rockfish Gap, Shenandoah NP VA","Mar 31, Thu",0
Midnight Strider,https://www.trailjournals.com//journal/entry/525732,"Day one is done. There's quite the crew here tonight... 2 Germans, two Texans, two priests, and some scouts. Most everyone else is section-hiking, lots heading to front royal Va, about 40 miles north. Some are southbound. Good day, no bears (yet)?? . Big day tomorrow- 13 miles. 
Addendum: the weather has improved to only a 40 percent chance of thunderstorms tonight and the shelter was ridiculously crowded, so I'm sleeping in my Hennessy Hammock after all. Extra benefit- no snoring and no mice doing backflips off my head all night.","rockfish gap VA
",calf mountain shelter,"Mar 31, Thu",7.80
Midnight Strider,https://www.trailjournals.com//journal/entry/525834,"What a gorgeous morning! Had only 2 hours of wind and rain early today. Now cloudy and cool. A true blessing given the monsoon that was forecast to hit us these first two days. It's 10 am and we are 2 miles into our 12.8 for the day. 
Experienced our first trail magic today. A couple from Quebec who are driving Skyline Dr on their way back home from Florida gave us bottled water. With much gratitude we filled all our nearly empty water bottles and bladders. It turned out to be more of a godsend than we realized in the moment, as we crossed no more springs or streams for the rest of the day. We would have been in real trouble if not for our French Canadian trail Angels. 
Another big day tomorrow. We'll be hiking 13.6 miles to Pinfield Hut.","Calf Mountain shelter Shenandoah NP VA
",blackrock hut. shenandoah NP,"Apr 01, Fri",12.80
Midnight Strider,https://www.trailjournals.com//journal/entry/526379,"Given the forecast for sub- freezing temps and high winds, decided to sleep in the shelter instead of the hammock. Good move. A microburst of wind in th middle of the night destroyed 3 of the 4 tents at our campsite. We then got a dusting of snow. Someone with a thermometer said it got down to 23.8 degrees. Wind was a steady 20-30 MPH with much stronger gusts. Stayed warm in my REI Lumen 25 sleeping bag tho. I love that thing.","blackrock hut. shenandoah NP
","pine field hut, Shenandoah NP","Apr 02, Sat",13.40
Midnight Strider,https://www.trailjournals.com//journal/entry/526380,"Short day today, bit of recovery from the last two. Yogied a Gatorade and some granola bars from a nice girl at a Skyline Dr parking lot/ trail head. Met an elderly gentleman at the same lot as he started his afternoon stroll. Said he had two artificial hips. We bade him goodbye and shouldered our packs for the 3-mile uphill to the shelter. As we are cooking dinner who should show up but the same elderly gent we'd left behind down at the gap. We invited him to have a seat at which point he regaled us with tails of hiking the AT in the 60's carrying fifty pound+ packs and living on hoop cheese and crackers. He only had an hour to spend before racing the sunset back down the 
mountain but our time with him was special. Panda and I agreed that he should henceforth be known as ""The Sage of the Shenandoah"". 
Very quiet evening compared to the night we spent at Pinefield. Panda and I had the shelter to ourselves, light winds and beautiful starry skies.","pine field hut, Shenandoah NP
",High Top Hut,"Apr 03, Sun",8.40
Midnight Strider,https://www.trailjournals.com//journal/entry/526449,"Met and hiked the last 6 miles or so of our day with a super-nice couple from Charlottesville who are backpacking the Shenandoah AT. They've also been out for five days. Upon hearing tonight's weather forecast for more high winds, t-storms and snow showers they invited us to join them in the cabin they'd rented at Lewis Mountain Campground. More trail magic! Instead of suffering at an open-front shelter tonight we're snug in a heated cabin with a - get this- HOT SHOWER AND A FLUSH TOILET??","High Top Hut
",Lewis Moutain VA,"Apr 04, Mon",12
Midnight Strider,https://www.trailjournals.com//journal/entry/526708,"Dawn broke cold and windy once again, with snowflakes in the air and a dusting of white stuff on the ground. Sure was nice to be able to dress for the conditions while still inside. Breakfast was a couple of microwave biscuits washed down with a cup of joe. Today's hike was a tough one for a couple of old guys. Late lunch at Big Meadows was certainly a treat, but it ate up valuable time that could have been better used putting miles behind us on the trail. Pulled into camp at half past 7 and watched the sun go down over the Shenandoah Valley. Of note: first shelter we've stayed at with a bear vault in addition to a bear pole. It was located within sight of Rockspring Cabin, a full-fledged cottage one can rent from the Potomac Appalachian Trail Club.","Lewis Moutain VA
",Rock Spring ,"Apr 04, Mon",12.40
Midnight Strider,https://www.trailjournals.com//journal/entry/526751,"Left Rock Spring on another wintry morning, mid 20's and windy. I'll be glad to get the reactor bag liner and overmitts my supply officer and sweetheart is sending. These low-mid 20 temps are pushing my 25 degree bag's limits, and my fingers are constantly numb while hiking in nothing but lightweight glove liners. Hiked across the top of some incredibly scenic cliffs today. Decided we needed a bit of a nero and so caught a ride into town from milepost 39 of Skyline Drive. Staying at the Open Arms Hostel in Luray. I highly recommend it. Alison, the proprietor, goes out of her way to make her guests feel at home. Got my ""care package"" from home this afternoon. Bag liner to keep me comfy well into the low teens, overmitts to keep my fingers happy, yak trax to keep me from slipping in the spring snowstorm that's forecast for this weekend, and some special surprises including my favorite chocolate no-bake preacher cookies. I sure do love my supply officer!","Rock Spring 
","Open Arms Hostel, Luray VA","Apr 06, Wed",6.40
Midnight Strider,https://www.trailjournals.com//journal/entry/527134,"Pass Mountain Shelter. Bade goodbye to Slipknot and got back on the trail today. Hiked from US 211 to Wayside Hut, a ""Nero"" to recover from our last few tough days. CP is still nursing his Plantar Fasciitis, and now has a bruised ankle on the other foot. Hopefully the time off will get him back up to full speed. The weather continues to confound. Sun tried to make an appearance at mid-day and things warmed significantly. Then the temps dropped and the rain began. It showered and sleeted off and on during our hike in from the road and snow showers are in the forecast for tonight. Made the shelter at 4 this afternoon. This may be the nicest shelter we've stayed in as far as how convenient the spring and privy are to the shelter. A unique feature of this shelter are the ""kissing trees"" right in front. I took a photo for TJ. The weather is pretty bad and it's a Thursday so I don't expect anyone else to join us this evening. It'll be nice to have a shelter all to ourselves.","The Panorama, US 211/Skyline Dr
",Pass Mountain Shelter,"Apr 07, Thu",2
