Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Moose,https://www.trailjournals.com//journal/entry/522856,"Today I had my very close friends come over and we had a farewell party for me. They all signed a calendar to pray for me that day for when I go hiking. We just hung out then later in the evening and talked about the stuff I could face on the trail and about how light my stuff was in my pack . Tomorrow will be my last day in ""civilization"" before I go to head on the trail. We will be shopping for some of my clothes and getting final preparations before I head out on the trail. I continue to ask for prayers as I will soon be ready to embark on a journey that will change my life.",,View Entry,"Mar 07, Mon",0
Moose,https://www.trailjournals.com//journal/entry/523019,"I left the house this morning around 8am. We stopped at Waffle House to eat breakfast and got in a conversation with the waitress. She started going on a rant about people getting kidnapped or killed on the A.T. Josiah whispered ""are you scared yet""? It was kinda funny. We stopped at Neal's Gap and got a few things and then headed to Springer. We got to Springer around noon and took some pictures and said goodbye to the family. Mom started to cry and believe it or not Mariah had years in her eyes. We got to Hawk Mtn shelter about 5. We are camping under the stars. Beautiful weather! Met some cool people. Lots of people on the trail!","Springer
",Hawk Mountain Shelter,"Mar 08, Tue",8.10
Moose,https://www.trailjournals.com//journal/entry/523164,"We woke up early this morning and got on the trail around 8 am. We had a few tough climbs early on with Sassafras and Justin Mountains. We kept on running into these dirt roads that army rangers have made for training.... it's pretty cool! Sometimes out of the blue, I would hear gun shots and then look around to see where they were coming from. But then I realize they are just the army rangers training. It's crazy that they train right along the trail and late at night! Last night when I was sleeping I would hear some gunshots, and then later on that night there was a helicopter, jet or something that flew really low and woke me up. I thought to myself, ""Why would they be training this late at night?"" and then I looked at my phone and it was only 8:30 pm. I guess I was trying to sleep a little too early. We got to our shelter around 12:45 today and rested for 45 minutes. We then decided to hike another 5 miles to Woody Gap and camp out there. By doing this we are a day ahead and will try to hit Neel's Gap tomorrow with 10 miles to hike. I met a lot of other cool hikers on the trial today. We hiked a total of 13 miles today starting from Hawk Mountain Shelter to Woody Gap. 13 miles was definitely enough and now I am extremely sore.","Hawk Mountain Shelter
",Woody Gap,"Mar 09, Wed",13
Moose,https://www.trailjournals.com//journal/entry/523203,"Lat night around 10pm it started to rain. My dad yelled my name like 5 times so he could squish in my very small tent. It was not too bad sleeping but we were squished. It had stopped raining by the time we woke up at 6am. My dad brought no rain gear and the forecast said rain today. So today was my first day hiking alone. It went well. I met some really cool thru hikers and some day hikers as well. While I was hiking up Blood Mtn, I ran out of water and I had 3 more miles to go. Blood Mtn was most beautiful and was worth the hike! The hike down Blood Mtn was brutal and was more like a rock scramble. Not having water and my legs cramping made it tougher. Once I saw the road at Neal's Gap, I had energy. Dad was waiting for me there with a Powerade and a Coke. He took me top a hotel and we are planning on going to a buffet tonight. I am to take some advice and try to stay under 10 miles for the next week.","Woody Gap
",Neals Gap,"Mar 11, Fri",10.60
Moose,https://www.trailjournals.com//journal/entry/523288,"Today was a good day physically, but very hard mentally. We woke up this morning in the hotel and had a good breakfast. I started early in the morning around 8:15 and was planning to hike 6.9 miles to Hogpen Gap where my dad will pick me up and take me to the hotel again. The thing is that I felt really good and had strong legs and I was able to hike to Hogpen around 12:00. Some really nice folks had set up trail magic and were giving away free hot dogs, chips, drinks and handwipes. It was awesome! There me and my dad decided that I would hike an extra 4.6 miles to a shelter. This was a very hard thing to do because it is going to be my first night sleeping by myself. Before I left Hogpen I said bye to my dad because he is going home for the night. The next couple miles were the hardest for me by far mentally because it was the first time I realized that I am on my own. It was very hard and I cried on the trail while hiking for the next hour and then whenever I thought of my family after that I just started to cry. The last mile I was able to get my feelings together before I got to my shelter. I got to the shelter around 2:15 and met a lot of cool hikers. The shelter is full and the weather is suppose to rain tonight and tomorrow, so I hope it don't get too messy. The one thing that I am looking forward to a lot is that I will be able to see my family tomorrow. This thought is helping me a lot to keep my calm and know that I am alright on the trail. There is a lot of cool people though which also helps with my feelings. Tomorrow I don't know where I am going to hike, but what I do know is that I will see my family which is all I want. Today I hiked 11.5 miles from Neel Gap to Low Gap Shelter.","Neals Gap
",Low Gap,"Mar 12, Sat",11.50
Moose,https://www.trailjournals.com//journal/entry/523443,"Today was a good day, but a very long day. It started to rain during the night and kept on raining till 10:00 in the morning. I started to hike at 8:00 and hiked through the rain for a few hours. I was able to hike very fast and get 10 miles done by 1:00. From there I met my parents, Josiah, and Candace to say hi and they gave me some soda and good snacks. They also provided some trail magic for some of my fellow hikers (Mudslide, 560, Checkmate, and Turtle). I then started to hike at 1:30 for another 5.7 miles. From there I ran out of water and got very weak. Not only was I getting dehydrated, but I had some very hard terrain to hike. Thankfully my parent convinced me to take some soda along the trail to enjoy afterwards, so I grabbed those and drank them while I was hiking the trail to get hydrated. I was still very weak and had tough terrain and didn't get to my shelter till 5:30. The shelter that I am staying at has a very good view. Now that it is getting darker I am hearing some coyotes howling and mice climbing through my pack. The shelter is talking about how to best cook a mouse! It is way past hiker midnight and I am really tired! I will sleep good tonight. I hiked 15.4 miles today!","Low Gap
",Tray Mtn Shelter,"Mar 13, Sun",15.40
Moose,https://www.trailjournals.com//journal/entry/523530,"Today was a great day! My hiker legs are starting to develop. Terrain was fairly easy today! The only tough climb was Kelly Knob. I started hiking at 7:45 this morning. It was kinda weird getting up this morning because of the time change. I woke up at 6:30 this morning expecting daylight and all I saw was stars. I hiked 11 miles to Dicks Creek Gap and was there by 1:15. My Mom, Josiah, and Candace picked me up and they took me to eat Mexican Restaurant for lunch! We got a hotel, took a shower and Mom washed my clothes! The rest of the family met me for dinner this evening! I can't wait to sleep in a real bed tonight! Great Day....11 miles!!","Tray Mtn Shelter
",Dick's Creek Gap,"Mar 14, Mon",11
Moose,https://www.trailjournals.com//journal/entry/523634,"Today was again a very good, chill day. I was able to sleep in this morning at the hotel and then we ate the continental breakfast at the hotel. After the breakfast I went back to my room and rested for another two hours. Me and my mom then went to Diary Queen and ate lunch before I headed on the trail. Once I got to the trail, I heard the tire on our car get flat, so I waisted another half hour trying to get it figure it out. Thankfully someone was able to plug it up and my mom was able to get home. So I didn't get started till 1:00. I had a great home and hiked 4.5 miles to the next shelter. On the way to the shelter I met no other than four Amish men that were from Michigan. I met people all over the world, but I never thought that I would meet some Amish people, but I guess the trail attracts everybody. I got to the shelter at 3:30 and was able to chill today. Keep on meeting new hikers and cool people.","Dick's Creek Gap
",Plumorchard Gap Shelter,"Mar 15, Tue",4.50
Moose,https://www.trailjournals.com//journal/entry/523758,"I got started about 8 am this morning and was able to cruise on some easy terrain. I got to the GA/NC line around 10 am. After that there was some very steep stuff, so it took me a while. After the tough stuff I was able to go fast again. About a mile before my shelter I ran into trail Magic which was awesome! Coke and Snickers. He was a local mountain man that hiked the trail in 2009 and was repaying the favor for all the trail magic he got! What a awesome dude! I spent about an hour hanging out there before i got to my shelter. I gotto my shelter around 4:15. There is a great group of hikers I am with tonight! I don't know all their names but Jeff, Jelly Bean and 2 older guys are here! Hiked 12.2 Miles","Plumorchard Gap Shelter
",Standing Indian Shelter,"Mar 16, Wed",12.20
Moose,https://www.trailjournals.com//journal/entry/523838,"This morning was my first really cold morning! I don't know how cold but probably around 35 degrees. Because of the cold, I got a later start around 8:15 am. I had a gradual climb to start with, but once i got rolling, i felt like I was moving really fast. My Dad at Mooney Gap (12.2 Miles), so I wanted to get there as fast as I can. I did not take any breaks, I was just cruisin on good terrian. I got to Mooney Gap by 1 pm. Dad and I set out some drinks for the hikers behind me because after Mooney Gap was a tough climb up Albert Mtn. I will be off the trail for my Junior/Senior trip. I will be back on the trail Wednesday of next week. I miss it already, but nice to come home and rest my legs for a couple of days! 12.2 Miles.","Standing Indian Shelter
",Mooney Gap,"Mar 17, Thu",12.20
