Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Mr. Tuxedo,https://www.trailjournals.com//journal/entry/540868,"Well it was kind of a disaster, but a disaster mitigated with some lessons learned at least. Kate and I planned a 3 night hike in the uwharrie national forest about an hour and a half west of raleigh. The goal was to test out our new hammocks and see how our pack weights felt (30 and 35 with 3L of water), break in the shoes a bit more etc. It was 90+ degrees and 100% humidity, so very swampy/soaked hiking and not exactly what we'll get in ME and NH which I take some comfort in. We also couldn't find a spot to leave the dog, so Marley came along with us and was generally a pain keeping an eye out for. Bless his heart, but I hate him right now and hope he enjoyed his last overnight backpacking trip ever. We hiked a couple miles in the first night and had a nice spot by a great creek. We're not exactly skilled hammock slingers yet, but we still got them up pretty quick and they were way more comfortable than tent sleeping. It was getting much lower than 70 at night so I didn't need the sleeping bag, air mattress or even a makeshift pillow for that matter. Biggest downside I see of hammocks is being separate from Kate every night, but all the rest are positive. We didn't get any torrential downpour, just a bit of rain, so that still remains to be seen how my tarp holds up. I got a Hennessy asymp zip that has a much smaller, but lighter, tarp compared to kate's warbonnet superfly contraption. It's basically a floating tent. Pretty cool just weighs a pound more and I'm going to wait until the first storm to see if I need a tarp upgrade too. There are mixed reviews online.2nd day was tough hiking in that heat. Just more soaking wet the whole time. We received several ""hot enough for ya?""'s from some folks we passed and Kate decided that hiking in the Amazon was not something she ever needs to do. After about 9 miles we stopped for lunch and had doubts about our 15 mile goal for the day. Then the water filter broke, followed by the squeeze bag. In the process some unfiltered water got in my water pouch and it was either drink that or roll the giardia dice even more and go straight from this barely non-stagnant stream (we think we're in the clear but might have another day or so to find out for sure =]) We each had about 2L at that point. The thought of running out of water in that heat was no bueno, so we were planning our bailout. Luckily i've got the mountain bike project app as well as the hiking project app on my phone and when we stopped for lunch right by one of the mountain bike fire roads, kate had the idea to check the mileage and it was a mile and half shorter than the uwharrie rec trail. That turned out to be key because we ran out of water around a mile and a half out and the dehydration was not fun. Lesson learned! We still like the sawyer straw for its light weight but we'll be carrying two of them with one in the bounce box from now on.",,gear test fail,"Jul 03, Sun",0
Mr. Tuxedo,https://www.trailjournals.com//journal/entry/542760,"Gear is packed and I'm sitting at the cincinnati airport trying to get to bangor.  We still have a chance.  We were originally on united connecting in Chicago but the crew never showed up.  Since we were going to miss our connection, which, I mean, would've happened anyway at ohare, they booked us on an American flight going through DC instead.  After being aggressively friendly with several airline minions who hate their lives I finally got through to a ground guy with soul in tact and actually got to watch him take care of business and get our bags from United to american.  Thanks be to that dude!  Fingers crossed that round two pans out.  With anything having to do with flying, I just repeat my mantra ""there's no end to their depravity"" and deal.  As it stands we get to bangor at 5 instead of 11am, and our bus to millinocket leaves at 630.  
Ive currently got about 33000 calories of food in my pack, which weighs 44lbs without water!    After weighing my pack last night I got super depressed and scared at the thought of a 50 lb pack weight.  It's supposed to be one day of food for katahdin and ten days for the 100 mile wilderness.  I was going to add even MORE food to up the calories but I just can't bear it.  I might even shed some calories and just lose some weight in the first week.  We can probably get through the wilderness in 7 days anyway.   
As far as the rest of the gear so far i just need to buy fuel, toilet paper and i forgot my pack cover.  Luckily were staying at the AT Lodge in millinocket and it looks like they've got a good hiker supply store.
I think I figured out how to add a photo to the post. If it works there's the fam before shipping out our NC home. I only cried a little bit leaving marley in cbus but he's in great hands (thanks matt and jess!). I already miss the south and hope it's extra motivation to walk back down there. I mean, English muffins instead of biscuits and ""you guys"" instead of ""y'all"" to address my female wife and me?! C'mon.",,airline depravity,"Jul 19, Tue",0
Mr. Tuxedo,https://www.trailjournals.com//journal/entry/544084,"That was an awesome hike.  Even a bit more epic than I had imagined.  The hunt trail up to katahdin starts off pretty tame, as I suppose everything must, but then once out of the treeline it's basically a series of V0 and V1 bouldering routes.  So not that bad except if you slip you might die, and throw in some 30 mph gusts for goid measure.  Lots of super skinny ridges with scree and lose rock.   I saw a girl carrying a chalk bag and got a bit jealous.  Besides the wind we really lucked out with the weather.  It was panoramic clear views of shear faced granite cliffs, woods, and ponds.  Definitely a good reason to go nobo.  I had a great time, but when kate and i took the pic at the top with thr iconic sign, we were marking trail mile 0.  Thr climb didnt count.  I can't imagine what it must be like to end the trail with that climb.  And that's the hardest, most technical climb of the AT!  Done.    we were a bit scared of the climb down because the wind was picking up to 40, but it ended up being much easier, probably because we knew what to expect and where the gnar-bar sections were.  
There's another infamous trail up there called knifes edge, rated as the most dangerous in the east or some such.  I was tempted to do it while we up there but was glad I didn't.  This other sobo kid Justin we'd started with in bangor did it and busted his knee.  He thinks it's game over.  Poor guy.
That night we took advantage of the firewood for sale at the campground and hung the hammocks by katahdin stream","airline depravity
",katahdin stream campground,"Jul 20, Wed",5.20
Mr. Tuxedo,https://www.trailjournals.com//journal/entry/544089,"Much flatter trail today.  Still lots of roots, rocks and bog bridges but it was still pretty easy going.  Baxter is really beautiful.  Didn't really see many other people. Just a couple of nobos bout to finish and a trail steward.  We stopped at a beautiful waterfall for some snacks and it was pretty sweet to be all alone in miles if protected wilderness.  Made me feel pretty grateful to be out here.  I had some bug management issues later on but after talking with other hikers this is what mainers call ""zero bugs"" so I should count my blessings.  I'm deetin it up tomorrow tho for sure.  
About 10 miles in we came to the abol bridge store. The last stop before 100 mile wilderness, and they had beer!  Kate and I had a Baxter ipa and split some cheese sticks to celebrate day 2.  I realized I was dehydrated when I was halfway through the beer and was completely wasted.  So I hydrated, we took off and now we're in the 100 mile wilderness.  Hurdle two coming up!","katahdin stream campground
",Hurd brook lean to,"Jul 21, Thu",13.40
Mr. Tuxedo,https://www.trailjournals.com//journal/entry/544093,"Currently hanging comfortably in my hammock at a stealth site near the pollywog stream.  Today was a long but good day.  Feeling really good about pulling close to a 15 mile day considering kate started out on the struggle bus.  We hung our hammocks without the tarp, which is great to see the trees and stars while falling asleep.  But around 5 or so there was a light drizzle which got us going pretty quick.  It gets light out here around then anyway so that's when we should be up regardless.  Just haven't fully adapted to hiker time yet.  Kate was kinda nauseous and tired from the start which had us both worried.  The first 4 miles we were clocking like 1.2 mph and we weren't sure how much farther we'd get.  Then it kinda just passed.  She got some food down finally, the weather cleared up a bit and we were off.  We climbed a little mountain and the peak was COVERED in blueberries.  There was a view of a cloud covered katahdin and it just seemed magical.
We were cooking from there until we crapped out by a stream for lunch.  At that point we were totally exhausted and planned to slog it out to the Hurd brook lean to about 4 miles away.  With the help of some caffeine pills we cruised there gabbing our heads off.  !Dame la cafeína! I've been too lazy to make tea in th he morning and it was sorely missed.  The lean two had a swimming hole and was another dose of magic.  Cleansing the stank and swamp ass all alone in bouldery cliff rapids was just the best.  We felt so good after that we ignored the rumbling thunder and left the group at the shelter to head for the current spot.  Thought we were in for a thorough drenching but we lucked out.  
Still got some kinks to work out with setting up camp efficiently and avoiding the nightly bug massacre but hell, we got time.  Tonight I  was so tired I after the chores I  didn't even play ny guitar.  And now it's like 1030 pm and I'm still awake writing this!  Way past hiker bedtime.","Hurd brook lean to
",pollywog stream,"Jul 22, Fri",14.40
Mr. Tuxedo,https://www.trailjournals.com//journal/entry/544094,"Tonight we camped at tumbledown dick stream, not far from tumbledown dick falls.  
An otherwise pretty great day was tainted by an unusually massive onslaught of bugs in the last couple miles.  My number one regret of the trip so far is not applying permethrin to all my clothes beforehand.  Decicco left a whole bottle of it in my car that's just been sitting there for months and from reports I was hearing of a ""really good"" bug conditions I didn't use it.  We stopped for a break with a father and son, expendable and squirrel, who had a nice fire going and I picked up a bunch of black fly bites while they were totally unfazed with their treated clothes.  We both were kind of delirious and exhausted after that stressful break and stopped short of our 15 mile goal.  I bathed in 100% deet and put my rain hood on and just sweated through dinner.
The plus side is everything before that was good Ole majestic goodness.  We climbed nesuntabunt mtn and got enough cell signal to find out kate passed her boards!  The official end of a 9 year study binge.  Just wish we had champagne to celebrate.  I tried to give her the trail name dacvim but she grumped.  We skirted around beautiful foothill lakes after that, impressed by how fast the loons swim under water then pop up from out of nowhere.  Then we got our first bit of trail magic: some apples left before one of the last climbs if the day.  
It's now actually the morning after and we're getting another late start while kate and her GI tract are working through an argument they had this morning.  Today's the last flatish bit of the wilderness and we were hoping to do 17 to get to our food drop but it's probably not worth pushing that out at thus point.  Looking like it will take us 10 days to do the wilderness after all.  Which is really no big deal.  When you meet and leap frog with other sobos it's hard to not have a race mentality a bit, but it's a marathon not a sprint.  Actually like 100 marathons, so yeah....best to let your body decide the miles.","pollywog stream
",tumbledown dick stream,"Jul 23, Sat",12.60
Mr. Tuxedo,https://www.trailjournals.com//journal/entry/544095,"We're hanging at a stealth site that I think is on cooper pond, but I can't be sure from awol's guide.  It's probably a good quarter mile down a blue blaze trail. :/  it's a good one tho and this far off the trail I can do tarp off pants off!  Met another sobo matt who's camped a bit further down, and he said this spot was on guthook's app.  Seems like a lot of water sources and other stealth sites ate on there but not awol, so we're thinking of shelling out the 60 bucks to get it when we get to monson.  If it works like the mtb or hiking project app that'd be pretty cool, just battery dependent.  
Kate felt a lot better after a nap this morning and we were off by 11am or so, so it was a pretty chill today.  There was a gorgeous sand beach on jo Mary lake and we got another great swim in.  Man, swimming is the best.  Just me and Kate in the middle of nowhere with a huge, beautiful lake all to ourselves.  Doesn't get much better.  Such a shot in the arm.  
I did much better at bug management today, with only one brief freakout during a bathroom break.  The trick is at around 430 or 5 I liberally apply deet and then make sure to start setting up camp by 530 or 6.  That way we avoid the bug rush hour when the sun sets.  We just need to get up and go to bed earlier in general. Once I get to camp I zip on my pant legs and get my rain jacket handy if necessary.  Although today I think we swatted like 2 mosquitos and a couple of poor friendly beetles by mistake at camp. 
Tomorrow morning we're going to try for a bigger mileage day.  And climb a little bit up from the base of white cap mtn, which looks like a lungbuster.   Get up early and go try to spot a moose in the pond while getting water, hike 9 miles or so to our food drop, and then start making our way OUT of the 100 mile wilderness.  We're both now on the longest backpacking trip we've ever been on.","tumbledown dick stream
",cooper pond,"Jul 24, Sun",9
Mr. Tuxedo,https://www.trailjournals.com//journal/entry/544096,"We're hanging at the Logan brook lean-to at around 2500' and it's a bit rainy and windy.  I'll take rain and wind over bugs any day.  Anything yo grt out of that damn bog.  This will be the first rain and wind test for my hammock.  I'm pretty snug and weighted the ends of my tarp down so am feeling confident.  I did leave a little breezeway do well see how I feel in the morning.  
The last climb was tough going but I'm really glad we pushed through.  That was nearly 17 miles, a record for us both.  Met a bunch of sobos at the shelter today that all seem like good people:  mcmuffin, thunder?, moose, and blonde bear.  It's weird to actually address people by the trail names.  Right now we're still just kate and rob and people look so confused wen we tell them real names.  I bet there are a lot of people who end up with names like ""just x"".  
Earlier today I had a nice swim at cooper brook falls shelter.  It's fun to swim in the rapids; kinda like an infinity pool.  I picked up a cute little leech friend too!  He hadn't attached to my wrist yet so I just scraped him off.  It was still worth the swim!  But Kate decided not to join me after that.  Met a nice couple there, Christina and preston.  We may actually see them again.  The other sobos we've met recently are all busting out 20+ miles a day.  It's always good to ask people's miles when you meet them, so you know if you need to remember their name or not.   That guy mike, aka beaver now apparenthly, we met last night I'd pulling 25 a day , so it's like, nice to meet you, see you again never!
Tomorrow we've got a big climb of white cap mountain taking us close to 4000 again followed by more ups and downs so well prob tone back the mileage a bit.  Only 40 miles and some change left to the wilderness.  Can't wait to gorge some town food and have a few beers.","cooper pond
",Logan brook lean to,"Jul 25, Mon",16.80
Mr. Tuxedo,https://www.trailjournals.com//journal/entry/544097,"Today was a fun day of challenging climbs and beautiful views.  Kate got a big head start on me leaving the shelter, so after I was packed up I decided to eat my breakfast on the go while starting the climb up white cap.  I'd forgotten that we were already mid climb from the shelter, and trying to climb 2000 ft over 1.4 miles without using poles while eating pop tarts was not ideal.  Afterwards though, in full-go mode, it was an honest day's work and I enjoyed it.  We climbed White cap, hay, West Peak and Gulf hagas.  Kate was so tired she dry cried at lunch and we decided to call it a day at 7 miles.  Felt like 20 miles and I was happy to chill at the shelter and work on the same 2 classical guitar pieces I've been trying to learn for a decade (tarrega's recuerdos de la ahlambra and segovia's version of bach's prelude in something for cello, in case you didn't know).  We met a really nice couple, rangely and precip, and just hung out.  Rangely is finishing up a 4 year section hike and independently mentioned that she recently was so tired she cried.  Apparently that's a thing   
The privy there was another luxurious one that smelled of freshly cut pine.  Next to the toilet was the first privy graffiti that I actually enjoyed reading.  It said, ""oh beautiful privy, I am not worthy to receive you.  But only say the word and my rectum shall be relieved""","Logan brook lean to
",Carl a. Newhall lean to,"Jul 26, Tue",7.20
Mr. Tuxedo,https://www.trailjournals.com//journal/entry/544100,"Today was a tough one for me.  I was sluggish and Kate was killing it.  The morning was nice and easy, but then we made the terrible mistake of not getting more water when we forded the west branch if the pleasant river.  We'd heard that the spring at chairback gap was dry, but not that EVERY water source on chairback mtn was dry.  That meant 6+miles of several steep climbs on the water I'd gotten 4 miles ago.  Even with water I was struggling on the first climb and just generally feeling poopy.  I choked down a salmon tortilla, then vowed to never eat that salmon again.  I then broke my Spork trying to swat a black fly a bnd next spilled salmon juice over my awol guide page.  Glad bears aren't a problem here!  A few miles later I went dry and stumbled delirious until finally getting to a running stream.  We crashed at a stealth site at the base of 4th mountain soon after that.","Carl a. Newhall lean to
",mt. 3.5,"Jul 27, Wed",14.30
