Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Mufasa,https://www.trailjournals.com//journal/entry/527529,"I have been working for 3 months dehydrating foods like jerky and fruit rolls ups and preparing trail mixes. I bought tons of groceries. At least $1000 worth so far I think. During the month of April I have finally organized all my random meals into daily portions. So far, I am barely able to reach an estimated 2000 calories for each daily bag. So I'll need to start doubling portions and buying even more food! I have not planned out my stops yet and how much food I will need, so sometime this week I will start mapping that out. Today I completed my first 7 days worth of food. It feels really good and like my first official accomplishment.. Well second, buying all my gear was a big first step! this has all been a really exciting experience and I can't wait to post more! 24 more days till I hit the trail in West VA! I can't wait!! ??",,Food Prepping,"Apr 11, Mon",0
Mufasa,https://www.trailjournals.com//journal/entry/531228,"What's up everybody! Mufasa in the house! I haven't journaled in a while, which worries me that I won't do it as often as I planned on the trail. Though I hope I do. The good news is that I have been keeping up with my blog (snog, I call it) through Snapchat. Feel free to add me if you like, username: saylind.vettloI will try to update my stories through snapchat whenever I get service.Since I last wrote, I have left my job and road tripped to VA from Florida. My AMAZING family and friends got together to throw me a surprise going away party before I left FL, complete with a hiking theme, camping gifts, great food, and booze. It was such a special event in my life; I have never felt so much love and support. It is truly helping me prepare for the journey that is up ahead of me. This experience has been incredible and I haven't even fully immersed myself yet. I can't wait for what's next to come.After I left home, I have spent tons of quality time with family and friends - new and old. I went to Macon, GA, then to Atlanta. In Atlanta I did my first and only trail prep that I will be able to get in. I hiked a mile to the top of Stone Mountain. I got to wear my boots for the first time, my clothes, and I brought my (school) backpack with my camelbak bladder and some other items which made my bag weigh about 10 lbs. Hiking to the top of the mountain was surprisingly difficult. It wasn't excruciating, but it was much harder than I expected and it was really hot. Once I got to the top, I drank my gatorade and ate a Clif Bar, by the time I made my way down, I felt great and like my normal self. So, I'm not sure if the hike up was tough because I needed that bar and the electrolytes, or if I am just super out of shape and that was a moderately difficult ascent (or a combo of the two!). So once I descended, I hiked around for about 4 or 5 more miles. My under armour shirt is amazing. My shorts were terrible though. I have a hard time finding shorts that my thunder thighs don't like to eat! lol I thought they were loose enough to not matter, but they still rode up.. and it sucked. So, hopefully my other pair of shorts will be better.. I plan to test them out tomorrow. My darn tough Vermont socks worked well, and I used my camelbak with ease. I really love having the water tube to drink from, I even used it in the car for the rest of my road trip to Va! Sadly, my shoes rubbed on my pinky toes. I will have to wear blister guards on them. Im used to this happening with all my shoes. It wasn't so brutal that I couldn't handle it, but I'd prefer that my feet don't hurt when I hike. Maybe once I break in my shoes on the trail, they will widen and not hurt my toes as badly..?. All in all, the hike was a great experience. I can't wait to get started in the next few days in WVA.After Atlanta, I road tripped to Va Beach with my 90 year old grandma! It wasn't apart of my original plan, and I ended up skipping my hike at Roanoke to see McAfee's knob, but I know I will be able to go there some day.So now I am out in DC putting together the final preparation for my hike. I am reunited with my backpack that I left here in December and I am a little worried to see what it's like when I actually put it on! I still have my food to put in their separate gallon sized bags and USPS boxes. Tomorrow my brother and I will go to REI to pick up my remaining essential items which will include my jet boil, gas canisters, and trekking poles. I can not even believe that I am supposed to start the trail in 3 days. It is crazy! My life is about to change so much. Like I said, I've gotten tons of love in the past month, it is going to make starting the trail even harder! I'm used to goodbyes and being alone.. I value my alone time very much.. but everyone is definitely going to make it tough my first couple weeks out there. So thanks a lot people! haha jk love you all and thank you for all that you have done for me. Linny out.PS: Remember who you are!!","Springfield, VA
",View Entry,"May 03, Tue",0
Mufasa,https://www.trailjournals.com//journal/entry/532370,"Hola! I am still at home. I was supposed to start the trail last Friday (4 days ago), and my date keeps getting pushed back. I have been busy, busy, busy! I FINALLY completed all my food prep. In total, I have put together 83 days worth of food. It was SO much work. It took me about 1-2 hours to fill each box of food.. which I am currently putting 7 days to a box - with 12 boxes in all. I am hoping that my hard work pays off out on the trail when it comes to being tempted to splurge in towns, also, I won't need to make grocery store runs - which means less hitchhiking and less time spent on not hiking and relaxing out on the trail.My parents have helped me out tremendously with expenses and caring for my cats, and now they are taking me to Harper's Ferry in the morning so I don't have to take 3 trains to get there. I AM SO EXCITED!The past couple days have been stressful. I've been up late working until 1-2am trying to get everything ready to go. Last night I packed my pack -way easier than expected. And I tried it on for the first time, I still have my water to add to it - which will be super heavy, but for now, it's not too heavy at all. This is VERY good. I thought for sure that I would have too much stuff. I LOVE my Osprey bag. It is adorable and functional, a great fit. Today, I am going through my boxes and reorganizing my food so that there's variety in my weekly meals. I have not eaten ramen or packaged soups since I was in my first year of college. I have a feeling I will get sick of it all REAL quick, so I am thankful to have this extra day to be able to organize my boxes to where I won't eat oatmeal 6 days in a row.I planned out all my drop box stops the other day. I have no clue if there's any accuracy, but I'll find out real soon.Also, I took a 2mi walk with my grandma, up and down my parent's hilly neighborhood. My hiking boots were no trouble to my pinky toes at all in my regular socks. So it must be the Moreno wool socks are too thick and causing them to rub. I will look for a Darn Tough runner socks out on the trail if my toes really bother me.I am still keeping up daily with my *Snog*. If you would like to follow me on Snapchat to take a glimpse into my life, go ahead and add me! Username = Saylind.vettloTomorrow is FINALLY my big big day! D-Day!! May 11th, 2016 - MY LIFE JOURNEY BEGINS. It is also my oldest sister's birthday, so now it is even more special. Wish me luck!!! See you tomorrow at Harper's Ferry my fellow AT hikers!! Eeeeeep! :DAs always:Remember who you are!","Mufasa's Workshop
",View Entry,"May 10, Tue",0
Mufasa,https://www.trailjournals.com//journal/entry/532473,"Oh my gosh!! We are on the way to Harper's Ferry, no turning back now. I am so excited! My dad and brother are in tow. We even have Geno with us. I hope to keep everyone updated as much as possible. Hopefully my service won't be too terrible.My pack weight at home weighed in at 45lbs.. I'm pretty proud of myself for keeping it way lighter than I thought I could. I also weigh in at 175 lbs :-O !! Hopefully that number will go down real fast out on the trail but I know not to expect it to. I am really looking forward to daily exercise and being surrounded by the beauty of nature. I have never weighed this much for so long (it's been a year now) I hope the trail whips me into shape and that there's no going back to an unhealthy lifestyle from here on out. I have done a great job blocking out worries and calming myself from fears and doubt so far. I've made sure to include plenty of treats in my boxes to make my trip just a tad easier and encouraging for myself. I'll hopefully journal tonight after my first day. Thank you to all the people who came into my life at just the right time. Thank you for all of your love and support. Thank you for your help. Thank you for getting me here and thank you for believing in me.Follow my SNOG on snapchat. Username: saylind.vettloHere's to 3 months in the wilderness!!Don't forget to:""Remember who you are.""","DC, VA
",Harpers Ferry,"May 11, Wed",0
Mufasa,https://www.trailjournals.com//journal/entry/533137,"Today was a great day! I pushed myself harder than I planned but I got through it. My dad, my brother, and I started at Harper's Ferry. We took in the beautiful sites and started out on the trail. We got to the split from the trail that goes along the Potomac river, which then turns left over the railroad tracks and goes up the mountain. We read the map at this location incorrectly and saw that we only had 3 miles to get to the next stop. It was getting late and I wanted my brother and dad to make it to my first shelter stop on the AT. We decided we could make it if we hurried. We focused on getting there quickly and hiked through the pain and the pouring rain. We got to the stop 3 miles out and realized we had gone the wrong way! I was just so focused on making it that I didn't think to look for the white blazes. Thankfully, my brother took my 45lb backpack and hiked it back to the split for me. When I finally got there, we parted ways and I continued up the mountain for 3 more miles. The 6 mi detour was a pain, but the beautiful rain falling down all around us was so calming. I've always loved the rain. So my first day I ended up hiking 13 miles. I hiked for almost 7 hours. The last 3 miles of my journey on the trail, the rain stopped. As I entered the woods a giant Woody the Wppdpecker greeted me. Laugh all you want, but I've never seen a woodpecker that big before! Lol I also saw geese, a raccoon, and a turtle. At the shelter, I met Canbot and Hobbs, Virginia Tortoise and Ranger, Lucky Duck and 2 girls, and there was a big group of high schoolers from Ohio. Everyone was so nice and helpful. I was too tired to eat anything my first night. I just read some of my book and tried to pass out. My first night ever camping outdoors was a success! It wasn't easy though. The shelter floor is so hard, I couldn't get comfortable. I tossed and turned all night bc I was so sore. I did get some sleep and I woke up bright and early at 6am and hit the trail at 7am the next day.","Harpers Ferry
",Edward Garvey Shelter,"May 11, Wed",13
Mufasa,https://www.trailjournals.com//journal/entry/533138,"Woke up at 6am with Ranger and VA Tortoise. Tortoise was kind enough to share water and I cooked my first warm meal -oatmeal! Thankfully, ranger shared some ibuprofen with me and I hit the trail with minimal pain. I started out at 7-7:30am. I hiked through Gathland State Park. It was very pretty. Got to see Cabot and Hobbs probably for the last time (they started at Springer and avg 20 mile days). They were so sweet and a great first couple to meet out here. I got to Rocky Run around 2-3pm, set up my tent for the first time and just relaxed. It was a lovely afternoon. I enjoyed taking it easy outdoors. I had my tent set up between two running creeks. It didn't rain much today and o really love my pack. It holds all that weight so well. I wish I could hike more but my feet kill me. I wonder if it's just because my shoes aren't broken in. It was tough going downhill with the rocks. It's funny how my feet hurt on the first day and I would purposely step on the rocks at the middle of my feet just to ease the pain. Now I find myself wishing for mud or soft ground to walk on. I got a blister on one of my toes today. I made it though, and taking my shoes off and walking in the cold creek is the best feeling. I ate some chicken salad and crackers on a rock and then read my book. I fell asleep in my tent while listening to the wind blowing through the trees and the water running. I woke up and hung up my bear bag and put on some PJs. I took a Tylenol PM and tried to relax. I was really nervous sleeping alone outdoors in a tent for my first time. I decided to be brave, I guess it was really my only option anyways. I didn't have anyone but myself to protect me this time. I dozed off around 8 or 9 and I woke up in the middle of the night feeling incredibly calm and tranquil. There were weird animal screeching noises down the way, they alarmed me but they didn't bother me. I was so peaceful listening to the creeks and the rain falling on my tent. I slept so well. I woke up around 9:30am. I was so proud of myself. I know now that I can truly do this after all. Follow my snapchat blog. It's easier for me to update than this journal. Idk how long I'll be able to keep up with writing this. Add my username: saylind.vettloAs always: ""remember who you are""","Edward Garvey Shelter
",Rocky Run Shelter,"May 12, Thu",9.20
Mufasa,https://www.trailjournals.com//journal/entry/533795,"So sad that my original entry for this day deleted. So here it goes from memory 5 days later:Today was a good day! The last couple uphill miles were rough. My feet hurt as usual. It was well worth the pain to get to this campsite. I ran into the caretaker who was incredibly nice. I believe his name was Kyle. He gave tons of tips and good info about the trail up ahead. He thruhiked SOBO last year or so ago. I also set up my tent next to a nice lady named Annamaria. She was there with her dog Medusa. Both total sweethearts! I went down to check out the view, and to my surprise, I ran into Ranger and VA Tortiose. I was SO happy!!!! I love catching up with Ranger. He walked me down to the STUNNING view. Absolutely gorgeous. I loved it so much. I was sure to hobble back over to my tent and set everything up and cook dinner quickly so I could make it back over to the rocks to see the sunset in time. It was sooooo nice. I'm so happy I made it to Annapolis Rocks and didn't stop early at Pine Knob Shelter. In addition to getting the best view, tons of tips from Kyle, reuniting with Ranger and Atlas, and meeting a new friend -Annamaria; I also slept so peacefully and had the best sleep last night in my tent. The woods were so quiet. Medusa apparently laid at my tent until I fell asleep (she's a service dog). It was just incredible. I felt great when I woke up! Ranger and VA Tortoise and I decided to take it easy today- the 14th- so we could have pizza delivered to us at the next shelter. (Thank heavens for this decision bc the next day was rough!)I took one more good look at the view, soaked it all in and was on my way. I signed the log book on the way out and chatted with Kyle before hitting the trail. Follow my SNOG for better updates and pics. Snapchat username: saylind.vettloRemember who you are.","Rocky Run Shelter
",Annapolis Rock,"May 13, Fri",9.10
Mufasa,https://www.trailjournals.com//journal/entry/533796,"Started off at 9am this morning. Today was a rough day on the rocks. It was only 6 mi from Annapolis Rocks but it felt like 10. I had to jump and hop up and down from Boulder to Boulder. I'm glad Ranger and VA Tortoise and I decided to make today an ""easy"" day because it was brutal! I saw a beaver today and 2 frogs. Chipmunks are all over since I walked past the battlefield a couple days ago. There's tons of millipede things crawling all over. I got to the Cowall shelter at 2pm. All my friends were there. It began to pour down rain immediately after I got to the shelter and some boy scouts flocked to the shelter for cover. The rain stopped about 30 min later and we finally ordered our pizza and cokes! We walked down to the road from the shelter to pick it up. We soon realized that the language barrier caused us to order six 2L cokes! And they told us they were ""small"" lol. It was a biatch to haul it back up to the shelter, but the 3 of us made it. Of course all the sodas were gone by the morning. So many people ended up coming to the shelter tonight. More than 22 people camped and tented last night. Everyone ordered pizza after we did. We started a fire and we all hung out talking and had a great time. It was a super windy night, scattered rain showers too. It was my coldest night yet. I tossed and turned and didn't get much sleep. I'm having my mom send my sleeping bag liner in my first box!Friends from the shelter today: Polar Bear, Lucky Duck, Jenny & Dreaming Sunflower, Stonecold, Fiber, Brandon, Ranger & VA Tortoise, Annamaria & Medusa, Reese & his dad, and many many more!Follow my SNOG for better updates and pics. Snapchat username: saylind.vettloYou are, remember who.","Annapolis Rock
",Ensign Cowall Shelter,"May 14, Sat",6.60
Mufasa,https://www.trailjournals.com//journal/entry/533797,"I slept terribly last night. It was so cold and windy. I got up right at 6:11am and packed my stuff as fast as possible and hit the trail in hopes to warm up. The wind was blowing so hard it was rough! 5 minutes into the trail, I warmed up and took off my jacket. The wind wasn't blowing as hard and it turned out to be another gorgeous day. I got out of the woods and walked into a field with a lovely view. It feels so good to be able to see for miles and miles after being in the woods for a while. The sky and the clouds were spectacular. I was finally feeling great, but definitely tired from the lack of sleep! I hiked a little ways to High Rock to check out the view. It was windy and a little scary up on top, but I took some pictures and talked to a few people. Another awesome view. After I left High Rock I ran into Brandon from the shelter last night. We hiked at about the same pace and it ended up being a great fit. Hiking with a buddy really makes a difference! We hiked to Penn-Mar park together and then we took a break. The wind was seriously hardcore. I took some pics of another lovely view and then went to the ground by the shelter to escape the wind. My hands and toes went numb from the cold! Brandon crashed a 50 year olds birthday party and charged his phone and I ended up following suit later. It was a pretty hilarious scenario at the time. Another hiker that Brandon met before came to the shelter about 10 min after us. He is really cool, has a great personality. He reminds me of Mike Rowe from Dirty Jobs. His name is Bob. He's a section hiker so he doesn't have a trail name. He stuck around for a bit and then hiked on.I went to the bathroom and washed my hands, arms and face thoroughly. I felt SO much better after that!Brandon and I decided we make a great team and that we'd push on the extra 4.7 miles to Deer Lick Shelter. I definitely couldn't have done it without him. Idk what I would've done if we hadn't met up together, I would've been stuck at PennMar cold and exhausted and in jeopardy of getting in trouble for camping nearby. We finally made it to the shelter. It was my biggest hike yet- 15.5 miles! We were totally exhausted, but Bob, Brandon and I had the whole shelter to ourselves, which was great. We gathered firewood and started a fire. We set up our tents inside the shelter in hopes of keeping warm. Bob taught us how to hang out bear bags from a tree. Our goal for tomorrow is 10 miles to Rocky Run shelter. Now that we've made it to Pennsylvania, only 8 more states to go!!Follow my SNOG for better updates and pics. Snapchat username: saylind.vettloRemembereth who thou ar-eth.","Ensign Cowall Shelter
",Deer Lick Shelter,"May 15, Sun",15.50
Mufasa,https://www.trailjournals.com//journal/entry/533798,"Omg, what a day!!! It was exhausting and hard, relaxing and so much fun! Brandon and I started out on the trail together this morning. There was no rain and the weather was nice. There were some big climbs where we ran into Reese and his dad and we all hiked together. About an hour or so into our hike, Polar Bear passes us and asks if we were planning on heading to the bar that's coming up in a couple miles. Brandon and I both looked at each other and knew we had to reroute to get some beers! The books, and the lady at the post office confirmed that it was only .9 miles away from the trail, but it was definitely at least half a mile more!! My feet were in so much pain that I was on the verge of tears by the time I reached the post office. I mailed off some of my stuff to drop weight, although it's not much. But it included my selfie stick, mini bible, my sleeping bag compression sack (bc I like my osprey one better and I didn't know till I got here that my bag came with one), my standing up pee funnel (sorry Aimee!), and my travel bidet (sorry Aubree!). I just don't have the balls to test out and try those last 2 things out here on the trail. Esp since its been so cold. After the post office, I walked up to the bar and enjoyed a great meal (bacon cheeseburger and fries) with Brandon and Reese. I found out from the guest book that Polar Bear is also from Springfield, VA and even went to the same school as my little brother! Such a small world!Reese ended up heading back to the trail early to meet up with his dad and push on to the next shelter. Brandon and I stayed back to play pool, drink a few more beers, and take it easy because we knew we only had a few more miles to get to our next shelter. I think we stayed there for like 3 or so hours before we hit the road to head back to the trail around 3:30pm. I guess the beers had us feeling great bc by the time we got to the shelter we decided we could definitely keep going. We ran into a man taking care of the trail and he was really nice and told us we could stealth camp at a spot about 2 miles down the trail. He also gave us some homemade wooden spoons - we found out later that he's trail famous.. Lucky us!! So we decided to go for those 2 extra miles... And then we decided we were so close to the Caledonia State Park that we could make it to the next shelter after resting there for a bit. We got to the park and my feet were killing me by then as usual. I took off my boots and stood in the water for about 5 min to help with the swelling. Then I went back to the bench and elevated them on my bag. This is when Brandon double checked our book and realized we still had 2.6 miles to get to the next shelter and not 1! I could've died! It was getting late and we haven't night hiked yet, so I put my shoes back on without taping up my feet and we got back on the trail. A little ways down we come up to the AT going up a hill. It's marked with a sign and at the very bottom right in black and white there's a zig zagging upward arrow and writing below stating the this part of the trail was ""most difficult""!! We laughed so hard at the site of it and swallowed our dread and fears and kept pushing on step by step. I was about to cry while laughing at the same time. We did not want to push these extra miles! We eventually got there right before dark. There was room in the shelter for one more and I took the spot while Brandon put up his tent in front of the picnic table under the shelter. I took off my shoes and I lost my pinky toe nail. I was too exhausted to do anything but admire how beautiful and quaint Quarry Gap Shelter was and then pass out. It was a 17.8 mile day for us, it sucked but was awesome and I wouldn't take it back! I really enjoyed the bar in town and running in to the wooden spoon man.Follow my SNOG for better updates and pics. Snapchat username: saylind.vettloRemember who you are!","Deer Lick Shelter
",Quarry Gap Shelter,"May 16, Mon",17.80
