Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Mustard Seed,https://www.trailjournals.com//journal/entry/517649,"I guess it really all began when I was a kid. Long before I ever heard of the Appalachian Trail, I loved the woods...I always felt a strange sense of peace and belonging. Climbing trees, making forts, and pretending to be on some great adventure are some of the best memories of my childhood. About 16 years ago, I read A Walk in the Woods and was introduced to the A.T. for the first time. I've been hooked ever since. I have longed to have the opportunity to complete a thru-hike, but wondered if the circumstances of life would ever allow it. On October 28, 2015, with a simple text from my dad, my dream started to become a reality. ""I'm in,"" is all he had to say. The ""Negotiator"" and I are planning to start on April 1, 2016. It is hard to contain how excited I am, but the planning is helping to channel some of that energy. Dreams really do come true!On cloud 9,",,View Entry,"Nov 23, Mon",0
Mustard Seed,https://www.trailjournals.com//journal/entry/518161,"Who knew trail gear took so long to research and decide upon? Negotiator and I have been reading all we can to make the best decisions with regards to gear. We were able to purchase all of the ""big 4"" (tent, sleeping bag, pack, and shoes) last week online thanks to Black Friday/Christmas sales. We are heading to the famous A.T. outfitter, Mountain Crossings, at Neel Gap today to purchase the remaining items and to get some much needed wisdom and advice from the staff there which are all thru-hikers. I have tons of questions for them. I can't believe we only have 117 more days until we begin!Still on cloud 9,",,Getting Ready!,"Dec 06, Sun",0
Mustard Seed,https://www.trailjournals.com//journal/entry/518169,"Thanks to the Negotiator and the knowledgeable staff at Mountain Crossings, our gear list is almost complete. It was a beautiful drive to Blairsville and Zack ""Blueyes"" Finney was such a phenomenal help in giving advice and helping with choosing exactly what we needed. Now to focus on the best way to pack and what we'll be eating...I'm a pescatarian so it'll be a little more challenging than for most. Beside myself with excitement...",,Gear List is Almost Complete,"Dec 06, Sun",0
Mustard Seed,https://www.trailjournals.com//journal/entry/518414,"One has to expect that most everyone will never understand your reasons for wanting to thru-hike the Appalachian Trail. Sometimes, even listening to yourself sounds a bit unconvincing. However, that unexplainable yearning will not silence itself in my heart, even after having someone I look up to and admire offer no real interest or support, only focusing on the complications of this desire I've had for almost 16 years. I cannot lie, their response saddened me, but more than anything it solidified the peace God has given me about pursuing my dream. ""The mountains are calling and I must go."" - John Muir",,Hard Day,"Dec 15, Tue",0
Mustard Seed,https://www.trailjournals.com//journal/entry/520833,"Today my husband, Bill, and I headed to Pine Mountain, GA to do a 4.3 mile practice hike w/my full pack on. It was a beautiful day and everything went great! Love my Salomon trail runners and my oh-so-comfortable ULA Circuit backpack!",,View Entry,"Jan 24, Sun",0
Mustard Seed,https://www.trailjournals.com//journal/entry/520834,"Negotiator and I, along w/my good friend, Lisa, went on an 8.6 prep hike today at Pine Mountain, GA. When we stopped for lunch, we used our pocket rocket stove for the first time. We cooked up a couple of Mary Janes Farm organic vegetarian meals and they were great! It was a beautiful day and my pack felt heavy, but comfortable. Still loving my Salomon's and looking forward to our 3 day, 2 night hike in a couple of weeks.",,1st Prep Hike w/Negotiator,"Feb 06, Sat",0
Mustard Seed,https://www.trailjournals.com//journal/entry/525062,"Negotiator and I went on a 3 day/2 night practice hike at FDR State Park and covered the 23 mile trail out and back for a total of 46 miles. My toes were squealing by the end so I'm going to get some SuperFeet insoles to try. Overall, it was a great prep hike...all of our gear worked well and the scenery was beautiful!",,Pine Mountain Trail,"Feb 18, Thu",0
Mustard Seed,https://www.trailjournals.com//journal/entry/525065,"We have been researching and buying food/supplies for months and today was the day we got together to divide it all up into our first 9 mail drops which will take us through the first half of the trail. It was a bit tedious, but so exciting to be getting this close to our start date!",,Mail Drop Fun,"Mar 19, Sat",0
Mustard Seed,https://www.trailjournals.com//journal/entry/525066,"Today I got to see Negotiator's training ground at Oak Mountain State Park in Birmingham, AL. We hiked the yellow trail out and back for a total of 12.6 miles. Dogwoods are my favorite tree, and I got to see several starting to bloom. My new insoles are working great...my toes feel so much better. I think we're ready!",,Last Prep Hike!,"Mar 20, Sun",0
Mustard Seed,https://www.trailjournals.com//journal/entry/525146,"You always see quotes about how teachers impact students' lives....well I'm here to tell you, my life was impacted tenfold in the outpouring of love, support, and encouragement I received today. Hugs were bountiful, tears flowed, and touching cards, gifts, and letters of encouragement to open for every week I'm on the trail were received. I am overcome with emotion to say the least, and so very thankful to have the privilege to be a teacher!",,Feeling Loved!,"Mar 25, Fri",0
