Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Over Hill Over Dale,https://www.trailjournals.com//journal/entry/543400,"This will be my fourth summer to hike a section of the AT. I will start at the Partnership Shelter and the Mt Rogers visitor center near Marion VA. I started a blog for my fall hike, but I never posted it. There are two significant things about where I ended my fall hike. 1) It has a shower. I think it even has a water heater that burns wood. I thought it would be a kind gesture if I showered while waiting for my wife to pick me up. The shower worked, but not the water heater. It was a brisk October shower.2) The city of Marion VA runs a city shuttle to the trail and Marion is a stop on Greyhound routes. I can take a bus from Louisville to the trail! I got dropped off on Sunday night at the Louisville Greyhound Station. The bus ride was from 7:50 at night until 10:50 the next morning. It would be kind of a long bus ride, but I figured I could get some sleep on the bus.It was a great plan … now for the reality. The first leg of the bus ride was from Louisville to Nashville, TN. It was an express route so there were no stops. All of the bus passengers were African-American except for me and a young man from India. That didn’t bother me, it is just an observation. It actually made me think about our society’s inequality that so many African-Americans are traveling by bus while white folks are flying or driving cars to get around the country. I also noticed that the black bus riders seemed to know how the system worked and the Indian and I were clueless. I ended up sitting with the Indian and I learned that he had only been in this country for a week. He completed medical school in India and was looking for a place to do his residency. We talked most of the way to Nashville; he had many questions about how things worked in the U.S. and what our culture was like. I could help him with most of it except how riding Greyhound worked.My plan to sleep on the bus was not very realistic. We got to Nashville at midnight and didn’t leave until 1:50. During that time everyone had to exit the bus. You can’t sleep in the bus station unless you can sleep sitting up on metal benches with metal arms between seats. I decided to go across the street to a convenience store and get something to eat to pass the time. Of course I had my backpack on my back which was a little tricky in the crowded aisles of the convenience store. I got an individual size pizza and sat on a bench outside the bus station to eat it. The bus station was definitely in the black part of Nashville. It was after midnight, but there was plenty of activity on the street. As I sat eating my pizza, a young black man came walked by and said, “There is a cockroach getting into your pizza.” I looked down and saw a cockroach heading across one side of the cardboard box – straight for my pizza. “Thanks,” I said. He replied, “When you’re raised in poverty you spot those things a mile away.” One reason I sat outside in the sweltering heat to eat my pizza was that there was a lady with a crying baby in the terminal. Of course I kept hoping that she was waiting for a different bus, and of course she was not. We loaded the bus and headed towards Knoxville. About 15 minutes before the Knoxville station the baby finally stopped crying and fell asleep. We pulled into the station, they turned on all of the interior lights, and announced that everyone had to exit the bus for an hour and a half. By this time I felt sorry for the mother. She and the baby were both sound asleep and they made them wake up and exit the bus.About 5:30 A.M. we got back on the bus. This time, as we headed to Northeast Tennessee and Southwest Virginia we stopped at every little town along the way, until we finally reached Marion, VA and my section hike was about to begin.","Columbus, IN
","Marion, VA","Jul 03, Sun",0
Over Hill Over Dale,https://www.trailjournals.com//journal/entry/543370,"The bus dropped me off at the Greyhound bus station at 10:45. I was the only passenger that got off. The driver pulled my pack out from the storage bin under the bus, handed it to me and said, ""Have a good hike."" After raining the whole bus ride, right now there were gray skies and no rain. I took that as a good omen. There is a city shuttle that goes right to the trail, but it didn't run until 2:30. I decided it was worth the $18 for a taxi. But first I stopped at the Food City next to the bus station to buy three apples to go with my almond butter for lunches. Apples are pretty heavy for pack food, but I thought three of them sounded reasonable.I called the taxi company and before I had the apples packed away into my food bag, they were there to pick me up. He drove me to the Mount Rogers visitor center, the spot where I got off the trail last October. Less than a tenth of a mile south on the trail is the Partnersip Shelter. I didn't stay there, but it is one of the very few shelters on the AT with a shower. It looked like there was the capability to heat the water by burning wood, but on that cool October day at the end of my hike lady fall, I took a brisk shower in all cold water. I have learned that when I am about to get picked up after backpacking, a shower, no matter what the condition of the shower or the temperature of the water, is a good thing. It at least begins to wash away some of the backpacker smell ... although the pack itself smells pretty bad, and I can't take it into the shower.I filled my water bottles at the visitor center and headed north on the trail. I hadn't planned to hike far the first day because I thought I might be a bit sleep deprived from the all-night bus ride. It was 11 miles to the next road crossing and there was a $35/night hotel there. With rain predicted that seemed like a good idea. The taxi driver also told me about a great restaurant where the trail comes out to that road. It's called the Barn. I shouldn't be thinking about food on my first day out, but he made the Barn sound like an experience not to be missed. About 3 miles from the road and the Barn Restaurant I met two hikers heading south to the Partnership Shelter. They told me they had stopped at the Barn for lunch, but it was closed for the 4th of July. I shouldn't have spent so much if my hiking time thinking about what I would eat for supper. When I got to the road, I checked in at the little hotel, got out my jetboil stove and fixed a supper of trail food outside my room. After supper I went to the gas station next door to treat myself to some ice cream. I met two other hikers and their dog. They had just come from Partnership Shelter and were checking into the same motel and paying $10 extra for their dog. I should say they came from Partnership Shelter today. Last year they started at the southern end of Shenandoah and went 1000 miles north. This year they started in Georgia and were hiking to the Shenandoah.","Mt Rogers Visitor Center/ Partnership Shelter
","Atkins, VA","Jul 04, Mon",12
Over Hill Over Dale,https://www.trailjournals.com//journal/entry/543372,"The next morning I didn't see Elisa and Kolby, the couple with the dog. I did have two interesting conversations at breakfast. The Barn restaurant was open so I had a big breakfast before hitting the trail. There were only two customers, me and a truck driver. He asked me about the trail and he told me truck driving stories. He drives a route for Walmart between Tennessee and Virginia. He asked me about bears on the trail and I told him I have never seen one on the AT. I told him about the time we saw one on the road after my wife picked me up from my hike from Georgia to the Smokies. Two weeks in the forest and no bears, ten minutes on the road and we have to stop so a bear could cross in front of us. He said he sees them on the interstate often. Recently he saw one in the median that seemed confused about how to escape his predicament. He also said he ran over one once that had already been hit. He wished me well on my hike and I wished him well on his drive.I filled up both of my water bottles with filtered water from the restaurant and headed out as another hiker was headed in. His trail name is Wring Way. He is doing a ""flip-flop"" thru-hike, going from Georgia to Harper's Ferry, West Virginia, and then starting in Maine and hiking south. He said he had until Thanksgiving to finish. Hiking through Pennsylvania in November sounded like it might be cold. I would have done the northern have in the summer, but everyone does their own hike. I thought maybe I'd be hiking with him, but he was taking a zero day because of the expected rain. As tempting as that sounded, I couldn't take a zero day on my 2nd day out. Besides I had new Gortex socks to keep my feet dry. We wished each other well and I headed out to the trail, across a highway, past the gas station, under an interstate, and finally into the wilderness, it had already rained the night before and everything was wet. It wasn't long before I was wet. Then the rain came. I was hiking with a light-weight umbrella which seemed to work great. Any rain gear I have tried leaves me soaked on the inside from sweat, so wet that I can't tell if it is keeping out the rain or not. The umbrella at least kept the rain off of my head, my upper body, and kept my glasses dry. It also meant I could enjoy the cooler air brought in by the rain. The only down side was that I had to put away one hiking pole to hold the umbrella. That's not s problem in flat terrain, but there is very little flat terrain on the AT.By mid-afternoon the rain had stopped. I hiked through another pasture with some cattle. They watched me, I watched them, and we all went about our business. The big news of the day was that my new Gortex socks didn't keep my feet dry. I don't know if it was walking in wet grass in the morning, or rain running down my legs, or sweat coming from the inside, but by lunch time, I could ring water out of the socks from both sides of the Gortex lining. And that had produced blisters on two ties on each foot. I put blister pads on them at lunchtime hoping it would help. I don't know if they got worse or not, but they didn't get any better. I hated getting blisters on my second day out.Early in the day I ran to a sign on a tree that said I was 1/4 of the way fro Georgia to Maine. I think it was supposed to be encouraging, but I found it to be a bit depressing. This is my fourth year of hiking and I have 3/4 of the trail to go. Later I talked to a man who finished section hiking the AT in 2014, thirty-three years after he started. That means I could finish when I am 92 years old. Hmmm.I came to a nice camp site, but I decided to sleep in a shelter because it was supposed to rain again that night. The next shelter, Knot Maul Branch Shelter, also had nice tent sites and I always sleep better in a tent, but I hate packing up a wet tent and the weather did not make it Simons like I could spread the tent out tomorrow to let it dry. I opted for sleeping in the shelter. It turned out I was the only one in this shelter that night. I am always a bit relieved when no one is around when I hang my food bag. I out a rock in a dirty sick, tie it to the rope and throw it over a horizontal branch for the one rope method, or over a fork in the tree fit the two rips method. It her way it is embarrassing how many throws it takes for not get the rope over the right branch.There were either no mice in the shelter or I was so tired and slept so hard I never heard them. Either way, it was a good night ... and it didn't rain.","Atkins, VA
",Knot Maul Branch Shelter,"Jul 05, Tue",14
Over Hill Over Dale,https://www.trailjournals.com//journal/entry/543572,"Knot Maul Branch Shelter to Chestnut Knob Shelter10 milesToday's plan was to hike up to Chestnut Knob for lunch and then hike on from there before stopping for the night, Chestnut Knob was the first place with a view, so I thought it would make a nice lunch spot. I figured it would be about four hours. I thought about that as I started to hike up the mountain. In a way it is like planning to drive from my home in Columbus, IN up to Lake Michigan and the Indiana Dunes for lunch with a good view. It's about a four our drive. If you are going that far for lunch, you'd better enjoy the journey.I did enjoy most of the journey up the mountain. Actually I went up and down a small mountain first, Lynn Camp Mountain. Then before heading up the larger Chestnut Knob, I came to a gravel road and found some ""trail magic."" Someone had left a cooler of apples and bananas. So I had one of each and started up the mountain. I passed several huge expanses of ferns. It rained hard for a while and then slacked off to a steady drizzle. As usually happens in the forest, it is hard to tell when the rain is replaced by water dripping from the trees. I put away my umbrella, got out my second hiking pole, and then the rain started to fall again. Was it rain, or was it the wind blowing water out of the trees? Either way, I decided I was already so wet it didn't matter. About halfway up the mountain the trail followed a narrow clearing in the forest. It wasn't wide enough to see a view into the distance, but it was wide enough to see a blue sky with white clouds. At the top the forest opened up completely so I could see the farms in the valley below. The Chestnut Knob Shelter was unusual. It was made of stone, it had four walls and a door, it had windows, and it had a table inside. It was 3:00 by the time I got there and I knew I wasn't going to make it to the next shelter before nightfall. And I knew the next shelter couldn't be this nice. So I decided to stay for the night. I spread my clothes out on a rock to try to dry them out.   While I was spreading out my clothes an Amish family came by. They were here from Lancaster County, PA. They said the whole family came to Virginia by bus to visit one of their brothers who owned one of the farms we could see down in the valley. They had hiked up from there, a two-mile hike up the mountain. Soon after the Amish family, Ellsa and Kolby, the couple I had met two nights ago at the road crossing in Atkins, arrived at the shelter. They decided to stay in their hammocks. Soon after they got their hammocks up and hung their clothes on a line in the sun between two trees at the edge of the forest, it clouded up and started to rain. We all snatched our clothes as quickly as possible so they wouldn't end up even wetter. It didn't rain long, and afterward there was beautiful rainbow that looked as if it was coming right up out of the valley. It all made me glad I had decided to stop there for the day instead of hiking on. I went to bed about 9:00 after watching the sunset, and then I got up about 11:00 and went back outside to look at the sky decked out with thousands if stars. I enjoyed the mountain top view for a few minutes and then went back to bed.","Knot Maul Branch Shelter
",Chestnut Knob Shelter,"Jul 06, Wed",10
Over Hill Over Dale,https://www.trailjournals.com//journal/entry/543593,"Chestnut knob shelter to Laurel creek campsite15 milesI packed up and left the shelter fairly early, about 8:00. After hiking down hill for about 45 minutes I realized that I didn't have the ankle brace I had gotten from my podiatrist. It wa to relieve some of the pain from the plantar fasciitis. I had set it on a rock to dry yesterday afternoon and in the rush to bring in my clothes, I must have forgotten it. Going back for it would cost me at least 90 minutes, and it was uphill all the way back. I decided the blisters I got from hiking in wet socks were much more painful than the plantar fasciitis at this point so I hiked on.It rained intermittently, sometimes hard. On my way down to a road crossing and Laurel Creek I met two ladies hiking up the mountain. They said there was a great campsite by the creek with a picnic table. A campsite with a picnic table is like a 4-star hotel in terms of AT camping. The idea of a great campsite motivated me to keep heading down the mountain. I was tempted to stop at a campsite near a road crossing because I heard thunder and figured another downpour was coming soon, but I hiked on to Laurel Creek. I found the campsite. Most of the areas flat enough for a tent looked like pooling places for rain water. I spent quite a while looking for a flat spot on relatively high ground. It was right next to a creek, so there was no actual high ground. I set up my tent and although it was only 5:00, but I washed up in the creek and got inside to read and nap because he rain was starting up again. After the rain several day hikers came by and woke me up. I was relaxing in my tent when another backpacker stopped by. He asked if he could share my campsite and I said ""Absolutely."" He set up his tent and I crawled out of mine to be a bit more social. He had started in Harper's Ferry. WV and was hiking south. His trail name was Rolly (pronounced with s long ""O"" sound) because he rolls his own cigarettes. When he told me that, I was trying to figure out how a smoker could go up and down these mountains with s pack on his back and not get totally winded.We had a great conversation. He said he hiked slow because he always stopped to take pictures - mostly of plants. That is weird because I also do that and most people don't even seem to notice the plants. So we compared pictures of wild flowers and colorful mushrooms. He also had a short video of a recent encounter with s wild boar. We both made use of the rain soaked picnic table to fix and eat our supper. He discovered that he had lost his only spoon. He was several days away from a town or a store, so I gave him my spare plastic spoon. He offered to pay me for it, but his could I charge him when k had received so much ""trail magic"" from others while hiking the AT. After supper, I had a cup of tea, he had a cigarette, and we both went into our tents to go to sleep while being serenaded by a nearby owl.","Chestnut Knob Shelter
",Laurel Creek campsite,"Jul 07, Thu",15
Over Hill Over Dale,https://www.trailjournals.com//journal/entry/543688,"Day 5
When I got up, I put on wet clothes and packed up a wet rainfly. Everything except the shorts I sleep in was wet. Rolly and I were heading in opposite directions. I was ready to hit the trail before him because he sat at the picnic table and rolled his daily supply of cigarettes. He told me about a gas station in Bland, VA, the next town north that had a diner in the back with great food. I thought about heading into Bland and drying my clothes, even though I knew it was a temporary endeavor. It was 9 miles to the road and then three miles into town. Once I hiked up from the creek side campsite, it was fairly level hiking. I had two trail companions. One was a deer who didn't seem to mind that I was hiking on the trail about ten yards away. She did stop eating and watched me pass by. Later I passed a large skunk. I don't think it ever noticed me. I stopped to get a picture. I decided it was an optimization problem. I wanted to minimize my distance while taking the picture, but maximize the likelihood of my escaping without smelling any worse than I already did. I knew my chances of hitching a ride into town would be greatly diminished if I got sprayed by a skunk. So I kept a safe distance and snapped a photo.
As I got closer to the road crossing I heard lots of traffic. It is always a bit strange to hear the sounds of civilization invade the wilderness of the trail. But I thought, ""With that much traffic, I'll have no trouble finding a ride."" Then I reached the road crossing. It was a narrow, quiet, country road. The traffic noise was from the adjacent interstate that had an overpass, but no exit onto the country road. There were two hikers at the road crossing. They had just gotten dropped off to start a section hike going north. ""Too bad you weren't here 5 minutes ago,"" one of the said. ""You could have gotten a ride into town."" I thought that sometimes it is better to just not know information like that.
I didn't want to walk 3.6 miles to town, so I had to hitch hike. There was a curve in the road and a large gravel parking area at the trailhead. That would make it easy for someone to pull off and pick me up. If I started walking down the narrow, winding road, drivers might be afraid to stop. It seemed that the best plan was to hitch at that location. After standing and waiting for a ride for 30 minutes I began rethinking my plan. I needed to either continue on the trail or start walking to town. With a wet tent and all wet clothes I decided I needed to get to town. As I walked down the long and winding road, several cars passed but did not stop. I did get noticed by a dog as I walked past a house. I had to move to the other side of the road. That didn't stop his barking or his interest in me, but he never came closer than about 6 feet. People always talk about bears on the trail. So far my biggest fears have been (1) running out of water, (2) rattle snakes, and (3) dogs.
Several cars went past without stopping or even slowing down. I always look for patterns - it's one of the curses of being a math teacher. In my hitch hiking experience I have noticed the pattern that rides seldom come from new shiny cars, they come from older cars that are existing beyond their expected useful life. When an old truck came sputtering down the road, I had hope for a ride. Sure enough, he slowed down and offered me a ride. I threw my pack in the back, cleared enough stuff off the seat to make room for myself, and climbed in. I thanked him for the ride and he said he always picks up hitch hikers because he has needed rides before. There's a pattern that makes sense...if you knows what it's like to need a ride, you offer rides to others in need. I think there is s bigger life lesson there somewhere.
So I made it to the gas station/diner in Bland, VA and had the best hamburger I had in ages. In truth, I usually get a veggie burger at restaurants, but this wasn't the kind of place that had veggie burgers on the menu.
There was no laundromat in town but there was a hotel. I decided to spend the night and do my laundry there. I asked about the laundry and the hotel clerk took me around to the back of the hotel and showed me two tubs, a hose, and a clothes line. ""I'm afraid this is the laundry."" ""I guess that will work,"" I said. I put on the shirts I sleep in and put the rest of my clothes in the tub of cold water and added some of my camp soap. I washed them and rinsed them, wrung out as much water as I could, and hung them on the line. I also hung up my tent and rain fly to dry them out. Within five minutes a big black cloud came over the mountain and it started to rain. I quickly took down all my laundry, took it into my room, and spent the rest of the evening turning the heating/cooling unit from heat to cool and back to keep the blower going until the clothes were dry. It took the whole evening, but I was ready to hit the trail in the morning with a dry tent and all dry clothes.","Laurel Creek campsite
","Bland, VA","Jul 08, Fri",9
Over Hill Over Dale,https://www.trailjournals.com//journal/entry/543893,"he goal for today was to get to Trent's Grocery. Seems like an unusual goal for a hiker, but it is an unusual grocery. First of all they accept mail drops, so I had sent myself a box of food and supplies there from home - at least I thought I had. Also, they offer camping, a shower and laundry for $6. I didn't really need any laundry done, accept of course the clothes I was wearing would be soaked in rain or sweat or both by the end of the day, but a campsite and a shower was always a good plan.I got a ride back to the trail from a guy named Bubba. I had 19 miles to hike to get to Trent's Grocery, but there were no major ascents. One of the convenient things about hiking the AT is that, for the most part, when you have to pee, you just turn to the side and make sure you are aiming downhill. There is no chance of someone coming by at that time - well almost no chance. Just when I stopped and turned to the side another hiker came around the corner behind me. I let him pass and didn't chat much. Several miles later I met him again at the next shelter where he was eating lunch and I was planning to eat lunch. He was eating Ramen noodles - uncooked. He said people think it is strange and he can't figure out why. I asked what he did with the flavor packet, and he said he didn't use it. Hmmm ... Uncooked Ramen noodles with no flavor packet ... It would be sort of like eating the box. I can understand not wanting to get out a stove and cook lunch, but I wouldn't want too many lunches of uncooked, unflavored noodles. He was an interesting young man. His trail name was Chives; I don't know the story behind it. He was hiking from Damascus, VA to Pennsylvania where he lives. His arms were covered with tattoos, mostly of classic video game characters like Link and Mario brothers. He used to be totally wrapped up in video games, so much so that they permanently resided up and down his arms. In order to fund his hike, he sold all of his games for several thousand dollars. He finished his crispy noodle lunch and hiked on as I started my lunch. I rested at the shelter for a bit after lunch and then hiked on.I made the 19 miles to the road by about 4:30. Then I had to hike a half mile along the road to Trent's Grocery. Hiking along the road always seems to stretch out the distance, especially when it is a road with traffic and no shoulder. I was pretty disappointed when I got to Trent's Grocery. It was right across the road from a lumber mill. There were piles and piles of unmilled logs everywhere. The grocery itself was not exactly a grocery. It was a combination gas station, grocery, bait shop, ammunition shop, farm supply store, and lunch counter/grill. Chives was there and Elisa and Kolby were also there. I asked the clerk about my mail drop. It took her a while to check on it in the back room, because she was manning the store alone - if it is proper to say that a woman was manning the store. Every time the phone rang, or someone got gas, or wanted fish bait or a hamburger, she had to come out of the back room and help them. Finally she said there was no package for me. I couldn't figure out how that could be. I asked what time the mail came the next day and she sad about 10:30. I had hoped to be on the trail way before then. I asked about the camping, and she said she'd show me where it was when she got a break in helping customers.While waiting I talked to an interesting local resident. He owned about a hundred acres and harvested trees sustainably. He started talking about tree species that have been destroyed over the years. He remembered the American chestnut trees. When he was a boy area farmers sent their pigs up into the forest each fall to fatten them up on chestnuts. We talked about the new species they are creating by mixing Chinese and American chestnut trees. I said I think it is about only 5% Chinese chestnut. He corrected me that it is 1/16 Chinese chestnut. Of course it had to be a power of 1/2 ... It was a good thing he didn't know I was a math teacher. Now he is losing his hemlock trees. It is amazing how the other trees fill the gap, but it is sad that major tree species can't withstand the onslaught of invasive species that we bring in whether they are brought in intentionally or not.After we had talked for a while the store clerk came and pointed me to the camping area. It was away from the road, between a creek and a horse pasture. It was a nice grassy area with a large tree in the center, a shower house, and a few RV's that looked like they hadn't been moved in years. All in all it was't a bad campsite for $6 including a shower, and we could lock our food bags in the shower house so we didn't need to hang them from a tree.","Bland, VA
",Trent's Grocery,"Jul 09, Sat",19
Over Hill Over Dale,https://www.trailjournals.com//journal/entry/543976,"I got up, loaded my pack and headed to the grocery store for a breakfast of eggs and bacon. I had debated with myself about waiting for the mail to arrive at 10:30. It didn't make sense to me that it hadn't arrived yet. I checked the notes in my iPhone and realized I hadn't sent the mail drop to the grocery store; I had sent it to Wood's Hole Hostel, my destination for today. I guess that explains why the clerk at Trent's Grocery couldn't find my package. In fact, I remembered why I had sent my mail drop to the hostel; they specialize in sustainable gardening and offer a gourmet, organic meal to hikers for a reasonable fee with lots of great food! I planned to stay there, sleep in a real bed, and have a great meal - oh, and pick up a mail drop. Chives and I hit the trail first. It wasn't long before he got ahead of me and I was hiking alone. I had blisters on both feet which impacted my hiking speed a bit. Of course the day started by hiking up away from the road crossing. A short connection to Dismal Falls came in the first mile or so. The falls weren't dismal at all, they were on Dismal Creek. In fact, with all the rain lately, the falls were going strong. There were also several stream crossings back on the main trail and one small elevation gain, about 1500 feet, with a great view from a rock outcropping near the top. By late afternoon, Elisa and Kolby had caught up to me. They had a later start from Trent's Grocery. I asked if they were stopping at Wood's Hole Hostel. Elisa said they were going to stop there, but when they called, they found out that the owners were on vacation. The temporary caretakers were not doing the meals. By that time in the afternoon, I had been thinking about that meal for about 5 hours! Well, meal or no meal, I needed to go there for my mail drop. We hiked together until the forest road that led to Wood's Hole Hostel. They were going on a few more miles. I was calling it quits at 15 miles - plus the half mile down the road to the hostel. At one point the trail wound among some large boulders. If I hadn't been close behind Elisa and Kolby, I wouldn't have noticed that the trail went over a large rock and dropped down about four feet between two boulders. It would have been a great spot for a couple white blazes, but I didn't see any. When I got to the hostel, there were three other guys staying there. Merlin (trail name) had hiked from Springer Mountain, GA. He was hiking until he was ready to stop, recently retired, no obligations of commitments. Gandalf (obviously a trail name) was a young, deaf man who had also hiked from Georgia and was ending his hike to go talk about hiking at a camp for deaf teenagers. The third guy was not a backpacker, he drove to the hostel. He was from New Zealand. He had two weeks to see the U.S. before heading to Colorado for a conference. He decided to spend the two weeks learning about Appalachia.   He is driving from hostel to campsite, doing day hikes, visiting small mountain towns, and talking with the proper. I was so impressed that someone would have two weeks in the U.S. and was spending it somewhere besides Disney World or New York. Plus he had just driven to the grocery store and he shared some fresh vegetables with me. A journalist from the Roanoke Times and his wife, a special ed teacher and reading specialist, were the temporary caretakers. They brought us some roasted vegetables and quiche. - for free! It was definitely worth the half-Mike walk to the hostel! And I got mail drop.","Trent's Grocery
",Wood's Hole Hostel,"Jul 10, Sun",15
Over Hill Over Dale,https://www.trailjournals.com//journal/entry/544139,"I got a ride back up the road to the trail. My feet were in such bad shape that I decided I better go into Pearisburg, the next town along the trail, to get something for the blisters. The trail had a lot of small ups and downs for most of the day, until the very end when there was a 2000 foot descent into Pearisburg. Right before the descent there were a couple great views, a knob and a rock outcropping, called Angels Rest, that stood above the trees. It was a great place for humans to rest before starting the steep descent down to the valley below. On my w at down I passed quite a few day hikers on their way up to the Angels rest. It was only 2 miles to the top from the Pearisburg side, much shorter than the 9 miles I came fro. Woods Hole, but it was also much steeper. When I was within a quarter mile of the trail head on the Pearisburg urge side, there was a group of fourteen age girls just starting up the mountain, mostly wearing flip flops. They asked me if there was anything to see at the top. I explained to them the view from the top and then asked if they new how to get to Pearisburg from the road. They said they have lived here their whole loves and that I just turned right at the road. First of all, I thought,""How could you have lived here your whole lives and you have never been up to the topic the mountain,and how could you think you can climb a mountain in flip flops. But I didn't say any of that. I said, ""Do you know how far it is I to town along that road."" One of the girls said it was 9 miles. My heart sank. That would mean I would have to try to hitch into town. The trail book made it sound like town was very close. The one of the girls said, ""There is a sign down by he road."" I hiked the last quarter mile to the road and there was a sign with an arrow that said Pearisburg 0.9 miles. I wanted to hike back up and explain place-value to the girls but I turned right and walked into town.I met two middle school age boys on the road heading toward the trail. They wear walking single file, and the boy in front was carrying a large American flag. I said, "" You look like a very short parade."" They said they were gearing up to the top of the mountain to place the flag at Angel's Rest. I wasn't sure how they were going to plant it into the rocky surface or how long the National Forest Service would leave it there, but they were definitely on a mission. I asked if they could recommend. a good place to eat in town. I don't know why I thought it would be a good idea to ask middle school boys about restaurants, but I did. I was I in the mood for some down-home cooking. They said there us Chinese, Mexican, Dairy Queen and Hardee's, and they recommended Dairy Queen ... Which didn't surprise me as the choice of two middle school boys. None of them sounded like the down-home cooking I had in mind. I also asked if they new where the post office was. I had a few things I decided to mail home to lighten my lack a bit. They said it's right next to the Andrew Johnson house and museum in Main Street. ""That's cool,"" I thought. ""I will have time to tour the museum museum before I check into the the motel."" I didn't even know Andrew Johnson was from Virginia.When I got into town, there were two motels, both right out of the 1950's, right next to each other. I chose the one with a pool. I dropped off my jack and went to the post office. On the way I passed the Andrew Johnston House and Museum. It was Andrew Johnston, not Andrew Johnson. While I was thinking of Lincoln's vice-president; this Andrew Johnston was known for being an early settler in Giles County, VA. The museum is only open three days a week, and wasn't open today. I went on to the post office and back to the motel.I have fairly low standards on acceptable motels, especially when I am hiking the trail. In the world of AT shelters, having a cold water shower is an amazing luxury, and mice are to be expected. So, while the bar for motels isn't very high, this hotel didn't make the cut. The drapes were broken and didn't close all the way. The carpet was in need of cleaning - possibly for the last several years. But there was a laundry room, so I washed out my wet clothes in the sink and dried them in the laundry room. I put on the shorts I sleep in and went into the pool, which was in the center of the parking lot. Before going into the pool I had to sign a form in the office freeing the motel of any liability for my safety in the pool. I really just wanted to start soaking my feet.For supper I chose the Chinese restaurant because it was next to a Goodwill and a Food City, and I was hoping to find a dishpan and Epsom salts for soaking my feet. I bought Epsom salts at Food City and found a pan for changing car oil for 99 cents at Goodwill. I took the oil pan and the Epsom salts into the restaurant and had an all you can eat Chinese restaurant. Then I headed back to the room to soak my feet as much as I could before going to bed.","Wood's Hole Hostel
","Pearisburg, VA","Jul 11, Mon",12
Over Hill Over Dale,https://www.trailjournals.com//journal/entry/544152,"I decided it was time to take a ""zero day"" and take care of my feet, but I was not going to do another night in that motel. I had run into Merlin in the grocery store last night and he told me about a new hostel where he and Gandolf were staying. After breakfast at Hardee's, I tried to find the hostel, walking a mile and a half or two miles, with no hostel in sight. I went to the other motel in town, asked to see a room, and decided this was a much better option. I couldn't get the room until later, but I was able to leave my pack. I went to Andrew Johnston House and Museum. It was closed, but the yard offered a nice place to sit in the shade and read my book on my iPhone. The heat was almost bearable in the shade of the large tree, but I noticed dark clouds rolling in over the mountains.It was close to lunch time so I checked the Internet for other eating options. I found Nagel's Downtown Grille a few blocks away. It had great reviews. It seemed like the perfect place to eat lunch and wait out the storm. I got there and discovered that it was closed down. As I stood reading the fabulous menu that I couldn't order from, there was a large clap of thunder and it started to rain, a torrential rain. The doorway to the former restaurant was on the corner of the two main streets in town and was tucked into the building to offer just enough space to get out of the rain. I huddled back against the door and watched the rain for 30 minutes, thinking how great it would be if I were inside the restaurant eating a barbecue sandwich while I watched the rain. Since Pearisburg is a mountain town, the street was at a fairly steep angle. It soon looked like a mountain stream and then a river as the rainwater ran down hill. Cars driving by threw a wall of water over the sidewalk towards the covered steps where I was standing. I had to press myself against the door to stay dry.The rain let up, so I decided to head back to the hotel and wait out the storm there. I had my trail umbrella, but I was hoping to keep my hiking shoes dry, or at least close to dry. The street was still a river if rainwater. Every time a car or truck came by I had to press myself against the buildings to avoid getting splashed. I had gone one block closer to getting hotel when it started to pour again. I found another doorway to huddle in. This time it was a closed bakery. The downtown blocks of Pearisburg had the potential of being a picturesque mountain town. When you stood on the Main Street and looked either direction, there was a mountain rising up at he end of the street. The street was lined on both sides with old brick buildings. On the corner across from the closed restaurant was the county courthouse with nice landscaped grounds and a large statue dedicated to their confederate war heroes. But most of the stores were closed. The local theater was converted to a gun store. And there was no place to eat. After another 30 minutes of waiting for the rain to stop, I decided to head towards the motel. I actually went a block past the motel to Dairy Queen and had lunch there. Then I went back to the hotel, set my sport shoes on the air conditioner (which was tricky because it was a unit hanging high on the wall) and soaked my feet for a while. There was a nice overhang with chairs outside each room, south sat outside my room, read my book, and watched the storm with a view of the shopping center across the street and the mountains in the background.Before supper time, the storm passed and the sun came out. I found a place at the edge of the parking lot to set my hiking shoes in the sun to dry, put on my camp shoes, and headed across the way to the Mexican Restaurant. They had a patio out back with a great mountain view. While it wasn't the down-home, country diner I was hoping for, it turned out to be a nice place to eat. It was a good thing I was sitting on the patio, because I could see the dark clouds rolling in again. I told my waiter, I needs to go across the street to my hotel and move my shoes in so they wouldn't get rained on and then I would return. I didn't want him to think I was running out on the bill. I came back, and finished my meal on the patio but under the roof of the building. I walked back to the hotel to put my camp shoes on the air conditioner to dry and soaked my feet again. I guess when you hike about 12 miles per day you think about your feet a lot, but I knew I was leaving Pearisburg and heading back out to the trail. In my day and a half in Pearisburg I had eaten at all four of the restaurants, and shuffled in the doorway of the closed downtown grille and bakery. It was definitely time to move on.","Pearisburg, VA
","Pearisburg, VA","Jul 12, Tue",0
