Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Papa Monkey,https://www.trailjournals.com//journal/entry/515194,"After 10+ years since my last thru hike attempt which ended near Harrisburg, Pa I am planning ""Round 2"" of E.R.I.C. vs A.T. The more I contemplate returning to the trial (sic: ""trail"" - is there an actual difference?) the more I recall from my last hike. It is very interesting how time can dull your memories of the challenging moments and sharpen your recollection of the fonder ones. I remember how life's simple pleasures on the trail are significantly smaller in stature to those in ""civilian"" life... for me anyway. A bottle of cold water in a cooler on the side of the trail becomes magic compared to the same bottle purchases from a convenience store on the way to work, school or where ever. I met a number of amazing people on the trail and I am sad to say I have managed to keep in touch with only one of them whom I now consider a dear friend. I have a number of stories to share about my travels with him but suffice it to say for now that I am looking forward to seeing him again around Roan Mt. 
I found an old photo from previous attempt. Ice cream never tasted better.
One could say you have to be just a little crazy to attempt a thru hike on the AT. Then again, one could say you have to be crazy NOT to attempt a thru hike on the AT!",,Katahdin,"Oct 04, Sun",0
Papa Monkey,https://www.trailjournals.com//journal/entry/515198,"I used my tent one time in 2002. Starting in May after the crowds there always seemed to be room in the shelters. Starting out in mid February I'm thinking I may find a tent more useful. Like everything else thinking one thing in your living room is way different than thinking done with a pack on your back! After agonizing over the multitude of options for ""shelter"" I decided on a Big Agnes Fly Creek UL2. Time will tell if this was a wise choice or NOT.",,Tent Selection,"Oct 04, Sun",0
Papa Monkey,https://www.trailjournals.com//journal/entry/515199,,,3rd Time's the charm.,"Oct 04, Sun",0
Papa Monkey,https://www.trailjournals.com//journal/entry/515218,"I decided to go with the Big Agnes Fly Creek UL2 after considering a number of other options. In 2002 I had a Sierra Designs Clip Flashlight 2 - which was/is still a good tent - 74oz's of good tent all included - that I used on the trail just once. (another story from the 2002 hike I'll get into more at a later time) I found after the one use and a stop at Neel's Gap I really didn't need it/I really didn't need to carry it! I opted to just sleep in the shelters most nights or if weather permitted - under the stars. Starting out in Mid Feb 16 I am concerned there may be times when there is no room in a shelter so a tent would be required. I also have minimal experience hiking in colder weather and my understanding is that a tent would be significanly warmer than a shelter. I am always open to ideas, suggestions, comments, free advice or whatever you want to call it. Actually - free ""anything"" is usually good - but NOT always! I considered many other tent options - tarptents Notch was a strong contender, as was the Big Agnes Fly Creek UL1, REI quarter dome 1/2, a hammock tent (which I did purchase one to test out from REI - but I suspect my back may not agree to sleeping on hammock    Weight of course was a major deciding factor. Condensation was another consideration as I don't like to be wet/damp. Free standing / minimal staking out was also a consideration as I am not sure how frozen the ground will actually be and if there will be room - I ""guessed"" if there are a lot of hikers - finding a spot to squeeze in a more free standing tent may be easier. Again - I am guessing and surely will comment further (multiple times) after real life experience(s) with it. I theorize tents are like Pizza's. Every town has numerous pizza shops and some how they all stay in business - everyone has their favorites, their edible and their inedibles. With pizzas - most people will try any pizza once  Tents I guess are similar to pizzas - only it is considerably more expensive to try one! I'm sure in time some Uber person will come up with something.",,Thoughts on Tent selection,"Oct 05, Mon",0
Papa Monkey,https://www.trailjournals.com//journal/entry/515279,"I have heard of ""Gold Fever"" people come down with when they set out to hunt, dig, mine, or pan for gold or just generally looking to strike it rich. I am wondering if ""Trail Fever"" is a similar affliction? I think I have it!!! I woke up early contemplating if I really need the lid to my Snow Peak 900 pot. I do not plan on using the lid for any frying. Mostly I will be boiling water for tea or to hydrate and warm prepared food or soup. I think I'd rather leave the lid at home than carry it. If anyone has any comments to add feel free to voice your opinion(s). The only advantage I can think of is water may boil faster with a lid on the pot but I am not sure that justifies the extra weight. Thank you in advance to all who comment.",,Put a lid on it ???,"Oct 06, Tue",0
Papa Monkey,https://www.trailjournals.com//journal/entry/515413,I went out for a little walk tonight to clear my head and decided to bring a back pack to get used to carrying a little weight. I didn't weigh it before I left as I didn't want that to influence my walk. I just walked a comfortabe distance from home then turned around and went back. I checked the distance on mapquest was a little surprised I had gone about 3.25 miles and even more surprised when I weighted the back pack and found it was about 17 pounds. I am seriously trying to keep under 20 lbs for my hike so 17 isn't a bad start.I find myself thinking of the trail and hike prep and keep coming back to a couple of issues I would like to resolve. If anyone reading this has any suggestions or recomendations please leave your comments in my guest book.First one is - starting in February it is going to be cold and most likely cold and wet. How do you dry out gear when it is cold out? If your shoes get wet and cold - freeze over night - how do you thaw / deal with that or similar issues? Thanks in advance.,,A short walk,"Oct 09, Fri",0
Papa Monkey,https://www.trailjournals.com//journal/entry/519575,"Anticipation is growing with less than a month before I set out on my hike. I am infinitely more prepared this time around than I was the last time. Heck, I didn't even know there was a trail guide last time out. I planned my last hike in less than two weeks and made it over half way before family issues at home pulled me off the trail. I guess I just winged it most of the time - but it was a great experience. Granted I almost died two times (not really but it sure felt like it at the time!) but I survived. I did learn after the second time - if you have a chance to get water - get it - cause the next opportunity may be too late. Anyway... A gentleman I met on the train ride down ""Birdman"" I think was his trail name, was shocked with my two weeks of ""planning."" I felt I was ready to go and had no worries. Funny how now years later and with more experience I feel less prepared. I guess it is just the jitters of the ""pre-game"" warm up... Once on the trail I know I'll be fine. Trail names tend to stick: I remember Birdman, Stan ( a virginia beach guy who loved to talk and was a great guy on the trail - I recall him quoting his mom on many things - one that really stuck was his mom saying; ""Stan - showing up for life is half the battle."" Pearls of wisdom from the trail. Then there was Chris, a Methodist minister who became a dear friend. Though we have had on and off again contact - he is a special person I'll treasure. He ended up baptizing my daughter. Then there was a guy ""Naked Tom"" who spent most of his ""camp time"" naked - which fortunately I never had to experience as we just crossed paths from time to time while hiking - as I made a point to not camp near him! A young woman Seattle whom I hiked with for a few days. Then someone Chris will never forget... Indiana - a young guy who would just not stop talking - ever. I'm sure as my hike begins I'll remember more from the first and comment on it... such as the great potato salad story which I'll go into later... and yes - you can make potato salad on the trail!","
",About a month out,"Jan 13, Wed",0
Papa Monkey,https://www.trailjournals.com//journal/entry/519703,I find every passing day that brings me closer to my departure date also brings with it additional loose ends to tie up with ever less time to get everything done. At times it can become overwhelming - but in the end it will very much be worth it. I have decided to set high goals for the hike - though they are not totally unrealistic. We'll see how that plan goes!,"About a month out
",Loose ends...,"Jan 14, Thu",0
Papa Monkey,https://www.trailjournals.com//journal/entry/519870,The temperature dropped to 12 last night around 8 pm so I decided to put on my gear and go out for a 5 mile test hike. Test was successful... made it well under my 2 hour guess... and came in about an hour and a half later. The cold kept me going at a brisk pace. I did realize my lightweight base layer may need to be upgraded to a newer midweight. Getting old I guess! Also maybe need to look for a new insulating layer that comes down a little lower than waistline...The good news is no soreness so another night hike tonight as soon as the sun goes down and the temperature drops is in order - and I finish my shopping spree so to say... Time to go shopping for a few more things,"Loose ends...
",Test hike,"Jan 15, Fri",0
Papa Monkey,https://www.trailjournals.com//journal/entry/520559,Packing up for a couple day test hike to check out some new gear and see how it functions. Also experimenting with my first journal entry on my phone. I do prefer a keyboard but such is life...,"Test hike
",View Entry,"Feb 01, Mon",0
