Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Pondy,https://www.trailjournals.com//journal/entry/523869,"The Gear Highlights ...Pack - Gregory Baltoro 65 LiterTent - MSR Nook (""2"" Person)Bag - Mountain Hardwear ExtraLamina 20 Deg.Sleeping Pad - ThermARest ProLite Plus L Starting Boots - Keen Marshall Mid + Green Super Feet InsolesStove - MSR Pocket Rocket (Takes IsoPro canisters)Water - Sawyer Squeeze Filter, MSR Sweetwater drops for possible virus contaminated water, Smart Water bottle for dirty water collection, two 1L Nalgene type bottles for clean water.Other / Entertainment - Small notepad & pen, iPhone with waterproof case, Baby Taylor guitar with trash bag water cover and soft case with the neck cut off to reduce weight.",,View Entry,"Mar 17, Thu",0
Pondy,https://www.trailjournals.com//journal/entry/523968,"Currently two full days before the beginning of my hike. Spending time relaxing with my family and absorbing the comforts of home while rounding up gear and finalizing plans. One of my main struggles is working to strike a balance between bringing enough items and supplies to be comfortable and prepared without having too much excess weight on my back.Some background about myself: I am 24. While originally from Winter Springs, a town near Orlando, Florida, I had been living in Washington, DC recently working as a government contractor. Captivated by the AT for many years and ready to go in a different direction in life, I saved up what I could and left my job with the goal of having an adventurous transitional experience and avoiding any and all media coverage of the 2016 presidential election. I have a good amount of outdoors experience from the Boy Scouts but have never been on such an extended hike and as such needed to update a lot of my gear.",,View Entry,"Mar 18, Fri",0
Pondy,https://www.trailjournals.com//journal/entry/524093,"Attached is a picture of my gear load out plus or minus one or two items.I met three enthusiastic and helpful thru hikers on the Florida Trail a week ago during a shakedown hike. One of the hikers, a woman trail-named 'Nails' gave me some good advice along these lines: Out on the trail, don't decide what kind of day you're having, good or bad, until you've been hiking for at least an hour. Will do, Nails.",,View Entry,"Mar 19, Sat",0
Pondy,https://www.trailjournals.com//journal/entry/524851,"March 21: Springer Mtn (Mi 0.0) to Hickory Flats Cemetery Pavilion (Mi 6.2).March 22: Hickory Flats Cemetery Pavilion to Gooch Mountain Shelter (Mi 15.8)March 23: Gooch Mountain Shelter to Henry Gap (25.1)March 24: Henry Gap to Bull Gap (32.8) - First rain stormMarch 25: Bull Gap to Low Gap Shelter (43.2)Well I'm on the trail after a bumpy shuttle ride up to Springer Mtn with my Dad who joined me for the first three days of the hike. It has been very enjoyable and challenging hiking in Georgia so far. The trail is defined by intense uphill climbs rewarded with stunning views over nearby valleys (the panoramic views leaving Suches, GA really stuck with me). These ascents are followed by knee-jarring descents into gaps. It's great meeting new people every day who are out here doing the same thing as well as getting more familiar with a smaller group of hikers who have been keeping roughly the same pace.
After six days, I'll be getting off the trail Sunday night for a shower and laundry at the Top of Georgia Hostel in Hiawassee. Can't overstate my excitement for that shower. The hostel will provide a free ride from Unicoi Gap (Mile 52.9) and back the next day. I should get into North Carolina late next week.
I will be trying to increase the journal entry frequency- it's been tough conserving phone battery on the cold nights we've been having. More to come.","Springer Mountain
",Low Gap Shelter,"Mar 20, Sun",43.20
Pondy,https://www.trailjournals.com//journal/entry/525348,"March 26: Low Gap Shelter to former site of Rocky Knob Shelter (Mi 49.5)March 27: Short day from Fmr Rocky Knob Shelter to Top of Georgia Hostel via shuttle from Unicoi Gap (Mi 52.9)March 28: Unicoi Gap to Addis Gap (Mi 64.2)Some highlights: Woke up to my tent being vandalized by mice just after dark at the Low Gap Shelter site. I spent about 20 minutes hitting the walls of my tent until they got scared away or realized there was no food to be had. Camped the next night with some great people and an irresponsibly large camp fire at the former site of the Rocky Knob shelter. 
I crossed off 50 miles up the trail the next day on 3/27 (Easter Sunday) as clouds and rain moved in. The same day, at Unicoi Gap, I found a hiker feed set up under tents in the pouring rain by some wonderful former AT hikers and their parents with Easter candy, ham, hot dogs, beer, and much more. Caught a shuttle from there to the Top of Georgia hiking center where I camped for the night (their bunks were already full). At the hostel I had my laundry done and got a much needed shower. They gave out scrubs for guests to wear while their laundry was being done. This gave a bit of a mental hospital or cult vibe but it worked out well.
March 28 was my longest hiking day yet at about 12 miles. This was the best section of the trail yet and there was an excellent view on Tray Mountain (4430') with a mountaintop hiker jam session thrown in for good measure. I'm glad I have my little guitar with me!","Low Gap Shelter
",Addis Gap,"Mar 28, Mon",21
Pondy,https://www.trailjournals.com//journal/entry/525367,"You know you're hiking on the AT when you're binging on vegetables while sitting in a room of a motel you wouldn't usually even want to pull into the parking lot of....Today started out rough. I was feeling negative and off from the start of the day, which began immediately with a long uphill hike. I was exhausted from the start and had to to stop every few dozen feet to catch my breath. I had been planning on quickly getting in and out of Hiawassee today for a food and stove fuel resupply. Instead, I decided that I needed to punt and got a room at a motel in town for the night. To get there, I hitchhiked for I believe the first time in my life from Dick's Creek Gap with two friendly glass installers who had some time to kill. Recovery plan: Jumbo bag of baby carrots, yogurt, water, USA soccer on TV.","Addis Gap
",Dick's Creek Gap,"Mar 29, Tue",5.40
Pondy,https://www.trailjournals.com//journal/entry/526421,"March 30: Dicks Creek Gap to Unnamed Campsite (Mi 76.3)March 31: Unnamed Campsite to Muskrat Creek Shelter (Mi 81.4)April 1: Muskrat Creek Shelter to Beech Gap Tenting Area (Mi 90.7)April 2: Beech Gap to Betty Creek Trail Campsite (Mi 97.6)April 3: Betty Creek to Rock Gap Shelter (Mi 106.0)April 4: Rock Gap Shelter to Winding Stair Gap (Mi 109.8)I've had very little cell phone reception at my stopping points for the past week so apologies for the lack of updates. I completed Georgia, and crossed the 100 mile point at the peak of Albert Mountain. I am currently in wonderful Franklin, NC for the night to get some groceries and a shower / laundry.I've had ""trail magic"" on my mind a lot recently. Trail magic is a pretty broad term and means many different things to many different people, but to me it is composed of the things that balance out the not-inconsequential difficulties of day-to-day life on the trail. Here are two recent examples: March 31st was a day-long slog through the rain. My lunch was a rain soaked tortilla wrapped around rain soaked cheese, and I set my tent up in a steady downpour. But right near sunset, the clouds unexpectedly broke and I was able to take a quick hike up the Raven Rock Cliffs side trail near the campsite that I had read should not be missed. The next day, as I sat by a dirt road in Deep Gap, drying out from the previous night and thinking about this journal entry and trail magic, a pickup with two former AT 2000 milers and a grill, cold drinks, and burgers pulled in.P.S. - The Raven Rock trail wound through the wreckage of an old plane crash before emerging out onto sheer cliffs and a mind-altering view over a valley and the local mountains. It was indeed not to be missed.","Dick's Creek Gap
",Winding Stair Gap,"Apr 04, Mon",40.20
Pondy,https://www.trailjournals.com//journal/entry/527055,"April 5: Winding Stair Gap to Siler Bald (Mi 114.4)April 6: Siler Bald to Cold Spring Shelter Camping Area (Mi 125.6)April 7: Cold Spring Shelter to Wesser Bald ShelterApril 8: Wesser Bald Shelter to Nantahala Outdoor Center (Mi 137.3)Despite very cold weather the last few days, I saw the first signs of spring hiking down into Nantahala Gorge and the NOC (see picture). Taking a zero mile day at the NOC. I wasn't planning on the zero but I've got some blistering on a couple of my toes that I think may be from athletes foot or poison oak. I'm hoping it'll heal up if I take it slow.","Winding Stair Gap
",Nantahala Outdoor Center,"Apr 08, Fri",27.50
Pondy,https://www.trailjournals.com//journal/entry/527255,"April 9: NOC zero dayApril 10: NOC to Sassafras Gap Shelter (Mi 144)
Had a memorable day off from hiking yesterday at the NOC which I happened to pass through right during their annual Trail Magic Festival. I spent the night of the 8th in a four person bunk shack with fellow thru hiker Mr Fabulous and two section hikers from Atlanta, Campbell and Twinkle. That night I was tentatively given the trail name FunGuy based on the weird blistery thing possibly growing on my foot (I bought some cream for it don't worry) and my penchant for a good time. For the second night we moved to a free campsite down the river from the NOC with about 15 other hikers.
The Trail Magic festival had manufacturer booths set up with free gear (dry bags, lighters, utensils, etc.) during the day and a free all you can eat spaghetti dinner for AT hikers plus live music by local band Bird in Hand and lots of cheap beer by night.
I'm chomping at the bit to knock out the three days hiking from here to the Fontana Dam, where I will resupply on food and hopefully do laundry. After that the trail jumps up into the Great Smoky Mountains National Park.","Nantahala Outdoor Center
",Sassafras Gap,"Apr 10, Sun",6.70
Pondy,https://www.trailjournals.com//journal/entry/527685,"April 11: Sassafras Gap Shelter to Cable Gap Shelter (Mi 159.2) (Longest day yet at 15.2 miles in 8 hours)April 12: Cable Gap Shelter to Fontana Dam Shelter (Mi 166)Fontana Dam Shelter. The ""Fontana Hilton"". A double-deck, twenty person shelter with adjacent facilities including bear proof trash cans and hot showers, and a killer view overlooking Lake Fontana. I don't usually sleep in the shelters, and instead prefer to just set my tent up nearby as many others do. That's what I did tonight, but will hang out around the shelter in the morning to use the solar-powered phone charging station down there.
I hung out in the afternoon in the nearby Fontana Village thanks to a ride from Campbell, who's section hike has sadly come to an end. Did laundry and resupplied at the well stocked but expensive general store. I'm carrying about five days of food to get to Newfound Gap / Gatlinburg for my next food resupply, halfway through the Smokies.","Sassafras Gap
",Fontana Dam Shelter,"Apr 12, Tue",22
