Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Popeye,https://www.trailjournals.com//journal/entry/518500,"Hiking the Appalachain Trail has been on my bucket list for a long time. Last year I met two people that were cycling on Catrikes across the United States. The woman had two brain traumas and almost died. The man had a stroke and was told he would never talk or walk. They so inspired me that I retired and decided to actually hike the Trail. My start date is March 21, 2016 at Springer Mountain. All my kids and grandkids will be there to see me off. I can't wait to get started.",,Inspiration,"Dec 15, Tue",0
Popeye,https://www.trailjournals.com//journal/entry/518499,"Last week started to seriously train for my hike on the AT. I have been doing one or two hikes each week along with trail maintenance on Wednesdays. Last week I hiked 7 miles in Ocala National Forest, 14 miles in Wekiva State Park and 18 on the West Orange Trail. Tired feet but felt good.",,Training hike,"Dec 18, Fri",0
Popeye,https://www.trailjournals.com//journal/entry/518501,I have all my gear assembled. Pack weight is 21# without water and food. Did my first training hike with full pack today - 10.5 miles in Seminole State Forest. Nice and cool today in Orlando with just a little bit of rain. Fun hike.,,Training Hike,"Dec 18, Fri",0
Popeye,https://www.trailjournals.com//journal/entry/519170,A couple of good training hikes so far this year. Saturday did 8 miles in Withlachooee State Forest. Some good hills. Today did 15 miles in Seminole State Forest. Nice weather today in 60s and no rain. Both hikes with full backpack. I am planning a hike from Amicola Falls to Springer Mountain on January 25. Will overnight at Springer Mountain Shelter and hike back on the 26th. Want to check out my conditioning and my winter gear. Glad to have company if you want to join me.,,Training hikes,"Jan 05, Tue",0
Popeye,https://www.trailjournals.com//journal/entry/519999,Time is flying by and I can't believe it is just two months till I start my AT thru hike. Getting in lots of training. Hiked 3 days this week and will run a 5.2K on Saturday. Then next week will hike at Springer and the a couple of days in North Florida before stopping in Tallahasse to visit my 6 week 3 month old grandson. And I turn 66 on January 31.,,View Entry,"Jan 21, Thu",0
Popeye,https://www.trailjournals.com//journal/entry/520397,"Finished my hike from Amicola Falls to Springer Mountain shelter. 28 degrees when I started, a lot of snow and ice on the trail. Also a lot of trees down from the storm. Met a nice family while hiking so had company overnight. Still icy on return hike. I found out a couple of things. First, I need to do a lot more squats to help me in the climbs. Second, I will be getting a better sleep pad. I like to lay on my side and hips need more padding. The rest of my gear worked fine and I was plenty warm. I did not wear my puffy hiking but it was nice to put on at night. I will also try to lose some weight from my pack.Can't wait till I actually start my hike in March.",,Springer Mountain hike,"Jan 29, Fri",0
Popeye,https://www.trailjournals.com//journal/entry/521329,Less than 5 weeks till I start my hike in Georgia. Time is really flying by. Hard to find much elevation here in Central Florida but we do have but we do have Sugarloaf Mountain in Clermont- a whopping 200 feet of elevation. I have started going once a week and just walk up and down. This week 6 reps. I will keep adding more but pretty boring. Plan to do a couple of 3-5 days trips also in Ocala National Forest. I have got my mail drops planned out - trying to minimize as much as possible. Plan to buy most of my food on the trail - too many stories of hikers getting tired of the food they prebought.,,Training,"Feb 17, Wed",0
Popeye,https://www.trailjournals.com//journal/entry/523202,"Only 10 days till I am Springer to start my hike. I went to the ATKO at Amicalola Falls State Park last weekend. Lots of good information was dispensed by former thru hikers. Gene Espy (the second person to thru hike the AT) was there and gave a nice talk on his experience. Also a good panel discussion with 6 hostel owners. If you plan on hiking next year, I highly recommend going to either the AT Gathering in October or the ATKO. The information you can get is invaluable. One thing that everyone at ATKO emphasized was to realize when you go to a hostel or town, you are a visitor. Please remember that you represent all the hikers that will come after you.There is a trail runner based at Amicalola Falls to check you in and also to check your pack. She does a good job of letting hikers know what they don't need to pack.I am getting a little excited and nervous. Excited to get started and nervous wondering if I have prepared enough.",,Getting Excited,"Mar 10, Thu",0
Popeye,https://www.trailjournals.com//journal/entry/523658,"Kind of hard to think that this time next week I will be camping some place north of Springer Mountain. Here in Oralndo it was 85 today. Goning to be nice to hike in cold weather for a change. Have packed and repacked, checked to see what I don't need to take, packing mail drops and getting more excited every day. If you start at Amicalola Falls, have clarity check your pack before you start.",,Final Prep,"Mar 15, Tue",0
Popeye,https://www.trailjournals.com//journal/entry/524254,"My journey finally begins. I will start today at road crossing just north of Springer Mountain. Sarah, Ben, Sydney, David, Debra and Brian are going to hike with me to the start. Hard to say goodbye to my wife this morning.","Springer Mountain
",Hawk Mountain shelter,"Mar 21, Mon",8.50
