Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Portage,https://www.trailjournals.com//journal/entry/522280,"So this is it. The culmination of a year of planning and many more of knowing I want to do this: I'm a day away from starting the Appalachian Trail. I've got all my gear together (ten pounds lighter than when I started the Long Trail this past summer, I might add) and am spending my final night in New Haven before i start my journey south. It's going to be an evening of celebration and sad goodbyes: I am having dinner with my girlfriend, Ali. We will see each other for the last time before parting for more than a month. Then, I'm off to a party; its Tap Night for the Yale Whiffenpoofs. They'll run around the campus grabbing their new members, among them me and two of my friends from my former a cappella group!Then I'll make my way back to my dad's apartment to catch a little shut-eye before heading to Laguardia bright and early tomorrow morning! I'm more anxious, stressed and excited about this than I've been about anything I can remember. Can't wait to get started.",,the Final Hours ,"Mar 02, Wed",0
Portage,https://www.trailjournals.com//journal/entry/522463,"It's been a looooong day. Last night was one to remember. A lovely dinner and tearful goodbye to my girlfriend Ali, and then a full night of running across campus and partying with the current and future Whiffenpoofs. Aaaaaaand no sleep for Ben. After about three hours of shut-eye, I roused myself and packed up my backpack. My father was already up, ready to take me to New York. At 5:45, we headed out through the darkness, hedging our bets against traffic. I dozed and talked and soon we were in New York! I said my final goodbyes and headed off into the terminal. After a short snafu in which I forgot to put my Leatherman knife in my checked bag, I was off past security. Atlanta was uncharacteristically cold and wet today, but I knew I was going someplace warm and friendly: Sharon Bowman, the mother of one of the guys from my a cappella group, had offered to pick me up, feed me and shepherd me around Georgia for two days. I am so incredibly lucky to have such a wonderful and kind host! We made it to their house in Brookhaven, and I decided to take a much-needed nap before dinner. I woke up to the incredible smell of meatloaf and mashed potatoes. Mrs. Bowman thought I would want comfort food. She was right on the money. We drove to REI to pick up the only thing I needed, a gas canister (which I could not bring on the flight) and then headed home. I watched a bit of a few hockey games (the Bowmans are Canadian and have just about the best NHL TV package you'll ever encounter) and Facetimed for a few hours with Ali before heading off to bed. Tomorrow is the day. I cannot believe it's here! AT, here I come!",,Georgia Bound,"Mar 03, Thu",0
Portage,https://www.trailjournals.com//journal/entry/522599,"Day 1 - Springer The day started bright and early with roofers arriving to fix the bowman's house. In addition to fixing me two bacon egg and cheese sandwiches, Mrs bowman had made me two Italian subs and a batch of cookies. Incredible snacks for later in the day. We drove the 75 minutes to Amicalola falls state park with butterflies in my stomach. As we arrived, Mrs bowman acted in loco parentis, asking me if I had my socks, and if I washed my hands after using my last bathroom. We weighed my pack (a round 35 with water and food!) and took the necessary pictures. I gave her the biggest hugs. Seriously, Sharon, if you're reading this, I cannot thank you enough for all the amazing help you've given me. And so it began. I laughed as I passed by all the landmarks I had seen so many pictures of. I admired the falls (they're way steeper and higher than I anticipated) and began the real woodsy hiking for the day. It had snowed 3 inches or so and the trail was one big slushie. But I was here. I couldn't believe it. A few bumps over mountains, one bacon egg and cheese and one run in with a group of dirt bikers later, I was on the final ascent to Springer. The summit had a decent view of the surrounding mountains but I was too elated to care. I yelled out and signed the register and took the necessary selfies with the first blaze. I met a number of other AT hikers, and one couple hiking the Benton Mackaye Trail. I nearly forgot but then remembered to pick up a pebble from the summit. I will be carrying this rock as far as I go: hopefully it ends up in Maine. The trail became far easier from the summit. It was a chill three miles down to Stover Creek shelter, my destination for the night. I began hiking with Andrew, a Mew Jersey native who keeps a fast pace and has already hiked the southern half of the trail but is trying to do it all in one shot. Stover Creek is huge and gorgeous. Many other hikers rolled in over the next few hours. I believe we have about 14, many of whom are renting nearby. I'll be sleeping in the shelter, not wanting to pitch my tent in the snow or on the wet ground if I don't have to. It seems like many of us will be keeping the same itinerary for the next few days: about 15 miles for two days to Neel Gap. Among them Andrew, Tyson (wild card) and his girlfriend Kendra from Maine, and Willard, a guy just about my age from Northern Virginia. It was a party tonight, with great talk around the fire (built by Andrew, Willard and yours truly). I can't believe it's actually happening.","Amicalola Falls Visitor Center 
",Stover Creek Shelter ,"Mar 04, Fri",11.60
Portage,https://www.trailjournals.com//journal/entry/522631,"Day 2 - Mountains and Magic Last night was just about the coldest temperatures I'll be expecting on this part of the trip, just about freezing. It's so early in the year that it got dark around 6:30, and even with our fire, none of us wanted to stay out. So we packed in at 7:30 in the pitch blackness. I was cold getting in my bag, but knew I would warm up as the down worked its magic. I woke up a few times in the night, Feelin toasty except for my legs (on which I should have put my rain pants). Getting up was a different story. When it first got light out, it was the coldest part of the night. My teeth chattered as I got out of my bag. 50 jumping jacks seemed to help. Only Andrew stayed in bed past 6:30 or so. Everyone seemed to have a similar end in mind: Gooch Mountain Shelter, about 13 miles away. I was second out of the shelter a few minutes after Willard, hat and gloves on. The trail down here is GORGEOUS. Wide, good tread, nicely graded. The trails tend to switchback up around mountains or glide across contours. It is different hiking than I have ever done. I keep a fast pace nearing three miles an hour and barely have to look down at my feet. I came upon Willard in a few minutes changing some clothes. He claims I would've seen his naked ass had I rounded the corner a minute earlier. We started walking together (the trail here was wide enough for two) and seemed to keep a similar pace. He pulled away from me somewhat but then stayed about 200 feet in front for a long while. Eventually we just collapsed together and we paced each other the whole day. Willard and I are very compatible. We both push each other, he on the flats and downs and I on the up hills (where my giant thighs serve me well). He is a few years older than me, and we have a similar sense of humor, and seem to want the same amount of talking on the trail. I can see myself hiking wlh him for many days to come. The morning was lovely and easy, gliding over mountains covered in a small layer of snow and down into warm valleys crowded with laurels. We passed by a number of other folks who must be on day 3. We seem to be among the most fit hikers for the moment. The hardest hike of the day was Sassafrass Mountain, which was just consistently uphill switchbacks for a mile. But then on the other side: TRAIL MAGIC! MacGuyver and No Name, two hikers from last year's class, were cooking up sausage and egg sandwiches, and had candy, fruit and water for everyone who passed by! It was a great first Magic for us and made our day much brighter. The trail around Justus creek might be the prettiest stretch of hiking I've ever done. But soon we were at Gooch Mountain Shelter for lunch. We have decided earlier in the day that rather than give ourselves a rough 15 miles ending with Blood Mountain tomorrow, we would push on through the gorgeous warm weather and camp later on. But our hard push that morning landed us in a new ""bubble:"" the people who started from Springer yesterday (i.e. Didn't do the approach). There were about ten or so people eating lunch there who began their day at Hawk Mountain Shelter. We are our lunch quick and headed on through a surprisingly taxing set of bumps, while the weather became warmer and warmer. When we got to Gooch Gap, another surprise: MORE MAGIC. Some local folks were giving away gatorades and nips of whiskey. I downed a Gatorade and grabbed a Fireball and headed out. Georgia woods are unlike what I've ever seen. The trees are old, tall and far apart, and with their leaves off, we can see the outlines of the surrounding mountains Even when the trees are in the way. The miles before Woody Gap were along a precipice down into a valley and were exhilarating. Willard pushed ahead of me for the first time since the morning. Apparently he got in the zone. The Woody Gap parking lot was packed with cars, dogs, people and hikers. Many hikers decided to spend the night here. After laying out in the sun for an hour with Willard I picked a spot for my tent set back from the road and up on a bluff. We met some of the hikers in our new bubble, James from DC and Hanna from Colorado Springs. Someone even left magic here, in the form of bread, water, fruit snacks, Ramen Noodles and hot dogs for hikers to enjoy. Willard and I guessed that Saturday is probably the most popular day for magic, but still: three in a day is quite a bit. Tomorrow will be spent almost entirely in approaching and climbing Blood Mountain, the first really serious peak of the trail, and the highest point on the Georgia AT. Then it'll be down into Neel Gal, where I'll buy some food, and decide whether to stay the night in the hostel. Gnight!","Stover Creek Shelter 
",Woody gap ,"Mar 05, Sat",18
Portage,https://www.trailjournals.com//journal/entry/522719,"The wind howled through the gap last night. Everyone whom we talked to today commented on it. Willard and I were still up early and moving about. He commented to me that the chimney in the pit toilet was flowing backwards with the wind, creating what he called an ""air-bidet."" Not what you want. We headed out earlier than most everyone, and were soon greeted to the most spectacular morning views I've ever seen. Range upon range of foggy blue mountains to our east. I've never seen mountains quite so gentle, so peaceful, so neverending. The next miles were chill down and then up over a number of bumps approaching Blood Mountain, the AT's highest point in Georgia. We leapfrogged with a few folks we had seen the day before, among them Jason, who had to abort a thru-Hike he started on the 26th and just restarted on our day. (by the way, I forgot to mention. Kendra pointed out on day 1 that we began on an auspicious day for a hike: March 4th, aka March Forth.) The climb up Blood Mountain was not nearly as hard as I was expecting. The top looked like I expected Georgia to look: laurels crowding the trail, summery weather, rocks. But there was also snow, the first we'd seen in a day. We ate atop Blood Mountain and found Adam, one of the only hikers (we've seen) from the bubble we passed who is moving as fast as we are. The trail down to Neel Gap was flooded with day hikers and was the most technical terrain we've seen so far. Willard reprised his ability to zone out and motor right before a destination, and he arrived at the road crossing a minute or two before I did. Mountain Crossings was a zoo. Neel gap, as Willard informed me, finds itself along a motorcycle route known as The Dragon, and there must have been forty or more bikers and their bikes in the lot. A church group, to our joy, was making free burgers and offering to talk about Christ! We just took them up on the burgers. I went in and did a bit of restock. I didn't have quite enough to make it the three days I think it will take us to make it to Hiawassee. Unfortunately, the outfitter has not yet received my Leatherman, which I sent on Thursday. I will try and call them to see if they will ship it up further along the trail. Other hikers pulled in and seemed ready to stay for the evening. Willard and I snuck into the hostel bunk room and decided it looked far too junky to want to stay there rather than camp out in the perfect weather. After the longest round of pictures I've ever seen with the church group, Willard and I pushed on. I had started feeling pretty terrible when we got to Neel gap. I felt nauseated and tired and too hot. The mile climb up to Bull Gap was pretty miserable, and when I got here, I stripped to just my shorts and sat in the shade sipping water for a half hour. I thought it was mild heat stroke but soon I was cold and hydrated and still not feeling better. I set up my tent and lay down for quite a long time. When we arrived, four people were already here, Holly and BlisterJuice, sisters from southern Virginia, Massasoit, a loud mouth Patriot-fan from Massachusetts, and Rambo, who sported intricate back tattoos and a giant brown beard. Soon, a section hiker named Rock pulled up and set his stuff next to ours. He's a section hiker from Birmingham and is trying to make it to Franklin in four more days. We talked with him for most of the evening. I forced myself to get up and eat dinner around 5. My lymph node and sinuses on my right sides were swollen, and swallowing was a painful challenge. I choked down some dinner, and by the time it was done, I felt nearly better! I was so worried that I would have to abandon Willard and the trail to go get this checked out, but the Advil and the rest seemed to help. I had no doubt in my mind that I would have back on the trail as soon as I could. The night was warmer than the last, and Willard, Rock and I stood out and talked for a long time before heading to our tents. More good weather is in the cards, and the next three days should be pretty easy. Gnight!","Woody gap 
",Bull Gap,"Mar 06, Sun",12
Portage,https://www.trailjournals.com//journal/entry/522928,"I slept pretty awfully last night. My congestion means i have to breathe through my mouth, which pushes saliva into my mouth, which I then had to swallow, which hurt terribly. It was the warmest night so far, though and the morning was clear and warm. Rock, Willard and I all got up around the same time, and though it seemed like Rock would pull ahead (because he's sectioning and has about a 10-pound pack), we stuck together the whole morning. The highlights of the morning include trail magic at Tesnatee gap right before the crazy steep hike up Wildcat Mountain and the view from the ledges at Cowrock. We dropped down to Low Gap and ate some lunch with a group of three other hikers, who seem like they'd be fun to fall in with. I only caught Jared's name. The next 7 miles were the most monotonous so far. The AT followed an old logging road, slightly uphill constantly, and as the sun rose higher and burned down, I became very tired physically and mentally. I fell behind Willard and Rock a few times while I took off pieces of gear in the heat. I knew I wanted to stop at Blue Mountain Shelter, but Willard wanted to push on to Rocky Mountain and camp with Rock, trying to make it to Hiawassee in two days. As I fell behind the last time, the two waited for me, then we walked on till Rock had to filter water. Willard and I headed up to the shelter. I finally made a phone call to my doctor and he told me what I had sounds like strep, but might be mono. Something just made me feel like I had to get it looked at, so about 30 minutes after arriving to stay the night, I was moving on. Rock walked past while we waited, and Willard, God bless him, waited for me the whole time. We walked down the steep mile and a half to Unicoi Gap and I began to stick my thumb out. Willard hung around to eat a snack and wanted to make sure I had a ride. Just as he left, a white truck pulled over and I was on my way. The driver was Ron, a building designer (not architect, apparently) from hiawassee. He said he picked up hikers a lot, and I was incredibly grateful to him. He dropped me off at the budget inn, where I'd had them hold a room for me. The Budget Inn is.... well, budget. But it doesn't have anything wrong with it, and after a shower and a change, I headed off to the hospital, fortunately right across the street. I was the only patient in the hospital at the time, and it took forever for anything to happen. I got strep, flu and mono tests, all negative, got shot full of penicillin, and finally a prescription for azithromycin and some decongestant cough syrup. The whole process took over two and a half hours. The pharmacist was closed when I got out, so I would have to wait til tomorrow to drop off my prescription. The only food that seemed open was Subway, so I got a sandwich. I Facetimed with Ali for quite a while while I slowly, painfully ate my sandwich and prepared for bed. Then I was out like a light.","Bull Gap
","Hiawassee, via Unicoi Gap","Mar 07, Mon",20.10
Portage,https://www.trailjournals.com//journal/entry/522933,"I woke up not really sure what to do today. I had sleep wonderfully, and felt good to hike, but my throat had not improved whatsoever. I knew I couldn't make the 17 miles to Dicks Creek Gap with a full pack on, but I didn't want to waste the whole beautiful day doing nothing. Before starting the trail, I was pretty sure I wanted to stay self-sufficient on the whole trail, not slack-packing at all. But Good People told me that trail ethics are always subject to change. So rather than push myself beyond my limits or lose a whole day, I decided to slackpack. I caught the free shuttle up to Unicoi Gap from the Budget Inn with a pair of sisters from Florida. When we pulled up, a man was standing in the lot who looked like Rock. And to my disbelief, it was!! I got out and said hello. Unfortunately, the knee that had been bothering him in the weeks prior to his section hike had given out, and he didn't want to push on. I gave him my number and said goodbye, hoping to meet up with him tonight. He headed back to town in the same shuttle I came in. Today had a lot of climbing. This started with Rocky Mountain, which I pushed up and over quite quick, but then continued with Tray Mountain. Water was very scarce the whole day, and at the top of Tray mountain I shook my head at having to walk .3 miles downhill off the trail to water. The peaks kept coming, and I got more and more tired. I could feel that something was not right: I was getting more tired than I should have. I knew I was sick and the heat was slowing me down. Then there was Kelly Knob. Ugh, Kelly Knob. A mile of constant steep uphill that kept fooling me into thinking it was almost over. It's funny. My lack of a backpack immediately pegged me as not a trhu hiker. I explained to a few people my situation, and got understanding reactions from all but one, who replied that ""he thought it was the law to have a backpack."" It didn't make me happy to feel like a cheater or an outsider. As I began to climb up to Powell Mtn, I got a call from Willard. We had been texting all day, and now he was just in front of me! Half an hour later, I rounded a corner and found him there! The day had been just as brutal for him as for me, and he said that he never wanted to hike alone again. We leapfrogged a few times as I stopped for water and made our way down to Dicks Creek. The descent was tiring, and climbed up a few times. Willard decided that he couldn't push on anymore and would head to Hiawassee with me. Finally we made it down. The day was nice, and we began trying to hitch a ride. It took longer than it ever has for me, about half an hour. We spent our time sitting and making jokes. Willard pole danced on a sign to attract drivers. It didn't work. Finally, a white truck with a Georgia Bulldogs license plate pulled up to take us in. I couldn't believe it. It was Ron!!! This was about the biggest coincidence I have ever encountered on the trail and we laughed endlessly about it. It also came up that Ron - though he has a house in town - lives all but two nights of the year in a one-room cabin with his wife. Ron dropped us off at the Inn, and I showed Willard into the room. He rinsed off in the shower and I went and got my prescription at Rite Aid. God bless my prescription card, which saved me about 60 bucks! We had been in contact with Rock, who had just been sitting in his room in Hiawassee all day. He offered to buy us all dinner, so we decided to head to the buffet at Daniels steakhouse. I was amazed. 9 dollars for great endless fried chicken and other southern specialities. I also have never seen a restaurant with a religious motive. But everywhere you looked there was something about God. Huh. We headed back to the Inn and said goodbye to Rock, who will be getting picked up by his wife tomorrow or the next day. Willard and I spent the evening watching Tosh.0, soaking our feet and planning out our next days. We are planning on three easier days into Franklin, where we may take a day off! Gnight!","Hiawassee, via Unicoi Gap
","Hiawassee, via Dick's Creek Gap ","Mar 08, Tue",16.70
Portage,https://www.trailjournals.com//journal/entry/523168,"The shuttle from the Budget didn't leave til 9, but Willard and I were up at trail time, around 7:30. My throat swelling had gone down significantly and I was very un-congested! We putzed around, washed up, got a sandwich from Subway and headed out. The (10 person) shuttle was packed with 14 people going to dicks creek and Unicoi. We drove to our stop first and the passengers looked on enviously at Willard's sub. We piled out and I waited for Willard to finish his sandwich. We were the last ones to hit the trail. Pretty immediately, I knew something wasn't right. Willard wasn't keeping up with me the way he normally did and when I asked how he was doing, he only replied ""in pain."" He finally told me to go on ahead, that he would catch up, and I did that. I didn't see him again. He sent me a text later to the effect that he had returned to Hiawassee to take better care of the raw blisters on the back of his ankles. I don't know when or if I'll be able to find a hiking partner so compatible in pace and personality. I hope he gets back on the trail within a few days, so I can see him again. Most of the day was spent alone, but leapfrogging many other hikers from my and other shuttles. Georgia didn't let up without a fight and threw three serious mountains at us, but nothing was as challenging as the previous day. Then the trail flattened some and I saw a group of hikers up ahead and scattered shouts of joy: the Georgia-North Carolina line! I whooped with happiness and broke out lunch, and took the classic picture. It's funny seeing all these landmarks from the pictures in person. I've created their surrounding landscapes in my head, and so far none have looked anything like what I imagined. Mostly, there's just way less space than I thought. I had imagined he area next to the sign as a rolling knoll with trees or a gap, but it is in fact a very steep hillside. I filled up water and trailed behind a group of five hikers pushing for Standing Indian Shelter, like me. The first miles of North Carolina are brutal. Courthouse Bald was the single toughest hike for me so far on the trail. I passed by the group of five and soon the trail evened and I pushed a good pace. The trail was lovely all the way to Muskrat Creek shelter, and I considered just calling it a day: but I knew that wouldn't fly with my plan for Franklin. So I pushed on. I put on some music to help pass the time: I played the entire Fleet Foxes discography and only had to repeat one song before I found myself at Standing Indian, after a harder 5 miles than I expected (the grade was always easy but bad footing slowed me down). The shelter is smallish, with room only for about 6, and It faced directly into the wind. No thank you. The sites were taken mostly by older couples, but one younger couple had a very cute pit bull named Tulip. She was very angry that I did not share my dinner with her. Later on, the group of five rolled up. This had been their longest day and it seems to have been a failed experiment. They are going to slow up tomorrow. I talked mostly with Captain Chuckles (who is the first person to truly know what Portaging is) and Piglet, a guy about my age from New Orleans. We cooked and hung out as the sun went down then turned in. Tomorrow I am planning another 16 mile day, but this one's terrain will be significantly easier, with the exception of Albert Mountain. I'm sad to have lost Willard as a hiking buddy. Having someone looking out for me and keeping me on pace was lovely, and I'm going to miss him greatly. I really hope his problems improve quickly, because if love to see him back on the trail as soon as possible.","Hiawassee, via Dick's Creek Gap 
",Standing Indian Shelter ,"Mar 09, Wed",16.70
Portage,https://www.trailjournals.com//journal/entry/523169,"The morning started off misty and humid. I couldn't see more than 50 feet in front of me. It seemed to have rained lightly during the night, my tent was damp all over. I packed up and headed out before just about anyone else. The first 7 miles were very gentle rise and fall over standing Indian mountain and the surrounding area. It was pleasant hiking and the colder day made me happy. I ran into a ridge runner who asked me how many people were up at the shelter. I spent a pleasant morning alone and watched as the fog melted away. It's amazing to me just how much of the trail is on a ridge: very little of any hiking time has been on a ridge: mostly it's been climbing the sides of mountains. But so much of the time on the AT, the mountain slopes away on both sides and views are available whenever there is a break in the trees. After lunch, I started up the craziest climb of the day: Albert Mountain, 400 feet straight up in .3 miles. The views were lovely off the top and a good reward for a tough push. Then it was an easy 2.5 down to Long Branch shelter, the newest shelter I've ever seen, with two huge shelves of bunks. There were only four of us, Paul, whom I rode on the shuttle the first morning out from Hiawassee with, and a father son pair out on a 4-day hike. We hung around and ate dinner, I dried out my tent in the nice weather. Then the cavalry came. Ben and Derek (aka Statler and Waldorf) and MagicMan from Muskrat shelter pulled in and were followed closely by the four guys I met at Standing Indian. Then two more hikers I've been leapfrogging the past few days. I enjoy Statler and Waldorf and Magicmans company, but I could do without the four. They take up a lot of space. Everyone's packed in the shelter and my early arrival makes me feel like I should've pushed on 3.5 to Rock Gap to avoid the crowd. But whatever. It'll be nice to have company in the morning.","Standing Indian Shelter 
",Long Branch Shelter ,"Mar 10, Thu",16.20
Portage,https://www.trailjournals.com//journal/entry/523299,"I forgot to turn off the alarm on my watch, so the morning started for me (and everyone else on the top bunk) at about 6:30. I began moving around and packed up. The morning was clear, good news on a day that was supposed to be rainy. I was about the second out of camp, just after Magic Man. The miles to Winding Stair were mostly lovely and gentle and had some nice views. I also ran into a kid named Nutella who had just started the day at Rock Gap. A former thru hiker had left cases of soda right near the trailhead and I picked up a Dr. Thunder. Magic man and I started trying to hitch into town. Statler and Waldorf showed up momentarily. Soon enough, out from a line of cars pulled three identical red pickups who beckoned us into the flatbeds. Soon enough, we were speeding down the highway at 60 miles an hour, holding on for dear life. The trucks dropped us off right off the highway, near three eagles outfitters but far from the actual town and the budget inn, where I was planning to spend the night. I went in and tried to find a fix for my poles (the tips of which have sheared off, making them less ""sticky"") but they had none. I waited for a while in a parking lot before setting off for town with the other three. We were picked up after a few minutes of walking by another former thru hiker who brought us to the budget inn. But I was having second thoughts. It was such a beautiful day and rain was called for for the next three. I didn't want to sit around. I asked him to drive me to Outdoor 76, a local outfitter. I asked there about my poles, and they told me to look online. Turns out Black Diamond has a very easy online form for warranty claims. I had a reply in only a few hours! I'm getting some new tips. A generous but somewhat creepy man at the store just offered to buy me new poles, but I declined. I said hi to Rob, whom I had sent pictures of my feet a month ago for advice, and told him I was happy with my boots and my new insoles. I foolishly forgot to buy freeze dried meals before heading to eat a burger at the local 50s cafe. I walked down to the ingles market to resupply. After buying my groceries I was offered a ride, amazingly, by the same creepy guy from Outdoor 76. He had brought another hiker down to buy groceries. I was not very happy to take it, but I was about to, and then another old man offered to bring me to Winding Stair. I had him drive me back to Outdoor 76, where i bought a couple meals, then headed back out through the sunny afternoon. I knew I had to push, but I really wanted to make it to Wayah Bald, one of the nicest views in North Carolina, before it got dark or I got rained on. But it was 10 miles away, and I'd already done 7.3 from Long Branch. But I began hiking and hiking quick. The terrain got progressively harder and I began to feel more and more exhausted, but I made it. With the stone observation tower behind me, I looked down into the valley and away to the mountain ranges in the distance. It was a glorious glorious view, and the falling sun made it that much more lovely (plus I only had a mile of hiking left!!) I threw on some Fleet Foxes and made my way down the mountain to Wayan Bald Shelter. The campsites and shelter were pretty full, but I snagged the last spot in the shelter, not wanting to get rained on. I had found myself among a slower moving bubble of hikers, among them Rusty, cheetah, turtle, Corncob, and jelly ankles. It was already about 6:30, so I made dinner quick and was busy the whole night before bed. The most memorable piece of the evening talk is a song from Corncob, which is subject to infinite variations: ""I got my crab hand,I got my normal hand,I'm bout to cut some stuff upWith my crab hand."" Corncob - ""Cob"" - and I traded back knock knock jokes while cheetah and jelly wrote in their journals before we all turned in. The night was warm and I was looking forward to a good sleep.","Long Branch Shelter 
",Wayah Bald Shelter,"Mar 11, Fri",18.30
