Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
RavenWhale,https://www.trailjournals.com//journal/entry/508277,"Well there is no backing out now. I have officially announced to my family, friends and followers on Facebook that I intend to hike the Appalachian Trail. This has been bouncing around in my mind since 1975 when I was stationed in North Carolina as a young Marine and first heard about the trail. Later I read about the Pacific Crest Trail in National Geographic and that was added to my bucket list of things to do. Relationships, kids, jobs and obligations managed to make the years pass way too quickly and before I knew it I was 58 years old. Where did all that time go? I remember when I thought that my 30 year old Staff Sergeant was over the hill! You wake up one day and there is a grey haired guy looking back at you in the bathroom mirror. How the heck did that happen?I finally decided to quit dreaming about making a change and start doing something to get it started. So here I am making my first official entry in my very own journal. I look forward to sharing this journey and direction change in life with you!",,Decision Made! ,"Jul 28, Tue",0
RavenWhale,https://www.trailjournals.com//journal/entry/508280,"Since I have been reading journals and web advice from other hikers for quite a while, I am slowly narrowing down my gear list. I am amazed at the advances in gear since I was a Marine. That was pre-Alice pack and we humped a canvas rucksack without a frame stuffed with 4 boxes of C-rations. I still have a scar in the middle of my back from the old snap that used to hook into our cartridge belts and grind away on your spine. I plan on going as ultra-light as possible because of a bad left ankle and knees. Luckily there is some awesome gear out there to choose from. I welcome any feedback and/or advice anyone wants to give me. So many choices!",,Gear Selection,"Aug 01, Sat",0
RavenWhale,https://www.trailjournals.com//journal/entry/508283,"Well the reality of what I am getting myself into is starting to sink in. I managed to roll out of bed this morning at dawn and start my training for the hike. Since I have a left ankle that has been pretty much destroyed over the years and two bad knees, I know I need to start training and getting into shape now. Luckily I live on a 9000 acre ranch here in West Texas and have plenty of room to train in. The terrain varies from flat desert to rocky trails over hills and a mountain right smack in the middle of the ranch. The hardest part was getting my butt out of the bed this morning and hitting the trail. It is amazing how your mind can come up with all kinds of alternatives and reasons for not doing it today! I hiked 3 miles round trip up to the base of the mountain and back. For the month of August this will me my morning routine before heading to work rain, snow or shine. Not that there is much chance of rain or snow this time of year out here. Just shine and more shine. While reading the book ""Balancing On Blue"" by Keith ""Fozzie"" Foskett, I saw that he mentioned changing the way he walked to help take the load off of joints and even repair some damage such as shin splints. He called it Chi Walking. I did a bit of research and found the video by the guy who wrote the book about it. I have modified my walking posture and gait and darned if it has not helped me a ton. In the past, if I even mentioned the word ""hike"" my ankle would start swelling and throbbing. It did twinge a bit this morning but held up well. Of course I did not say the word ""hike"" out loud and that might have been the key. My ankle was probably wondering why the @#$%^%$ I parked the car 3 miles away though.",,Training Day 1,"Aug 02, Sun",0
RavenWhale,https://www.trailjournals.com//journal/entry/508775,"My body is slowly adapting to my new routine of getting up every morning and hitting the training trail before dawn. As I climbed to the base of the mountain that is part of my training route, the sun rose above the horizon as if to say ""Good job!. Here is a sample of things to come! I can't wait!",,The Reward!,"Aug 04, Tue",0
RavenWhale,https://www.trailjournals.com//journal/entry/508776,"As I hike my training route each morning, I pass a Native American burnt rock Midden. Local tribes used to pile up rocks then build fires to get the rocks hot. After the fire burned down they would lay yucca and the roots of other local plants on the rocks then cover them up and let them cook for hours and sometimes days. It was the only way to make them edible. This particular Midden sits on a plateau just below the mesa I climb to each morning. From it you can see the entire valley below and anyone trying to approach for miles before they get to you. Every time I see it I wonder how many fires had been built there over hundreds of years. In the quiet of the morning you can almost hear the whisper of the trail cooks of the past there.",,Trail Cooks of the Past,"Aug 05, Wed",0
RavenWhale,https://www.trailjournals.com//journal/entry/508923,"“Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.” ~ H. Jackson Brown Jr. ~It is so hard to break out of our day to day rut it seems. Sometimes you just have to saddle up, start walking and trust that the universe will honor your boldness and mold itself to the new you.",,Dare to Do!,"Aug 06, Thu",0
RavenWhale,https://www.trailjournals.com//journal/entry/509038,"The beauty of the trees,the softness of the air,the fragrance of the grass,speaks to me.The summit of the mountain,the thunder of the sky,the rhythm of the sea,speaks to me.The strength of the fire,the taste of salmon,the trail of the sun,and the life that never goes away,they speak to me.And my heart soars.~ Chief Dan George ~",,My Heart Soars,"Aug 07, Fri",0
RavenWhale,https://www.trailjournals.com//journal/entry/509403,"While on my training hike this morning, I found these fossils in the middle of the ranch road I was walking on. Hard to imagine that I am actually walking on what was once the bottom of the ocean.",,Walking on the Bottom of the Ocean,"Aug 08, Sat",0
RavenWhale,https://www.trailjournals.com//journal/entry/509406,It is amazing what you run across while hiking along and looking down. I noticed a stone that looked like it had been worked so I dug it up. Looks like it was a knife or scraper. Little things like this make getting up and hitting the trail every morning worth it.,,Dropped by a Hiker of the Past,"Aug 09, Sun",0
RavenWhale,https://www.trailjournals.com//journal/entry/509409,I was in the middle of my usual 3 mile training hike this morning and saw something tiny scurry across in front of me. As I knelt down I found the smallest Horned Toad Lizard I have ever seen. He was a pretty friendly little guy.,,A Hiking Companion,"Aug 10, Mon",0
