Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Realm IV,https://www.trailjournals.com//journal/entry/400322,"Hiking the AT has been on my ""bucket list"" for many years, but time and opportunity were not afforded me in the strong early years of my life. Now that my five children are grown and I've reached the ""senior discount"" age at many restaurants, it's now or never time. My son-in-law, a sports medicine professor (great to have him along), will be undergoing the journey with me. Our plans are to do a month on the AT each spring for the next three years, with the possibility of continuing to Katadin without my son-in-law to finish the hike should the opportunity and peak health prevail.I have been training off and on since last fall, doing short day hikes and some weight and cardio training. Getting back into 10+ mile a day hiking shape at the age of 57 has it's challenges. I have been through 4 foot and leg injuries since I began training, but I assume this is all apart of the process necessary to prepare for the real hike without injury, so I have never doubted our departure date which will begin Monday after Mother's day. I've had plenty of time to obtain most of the gear I'll need. I had hoped to come in at 30 lbs, totally packed with food and water, but currently my pack weight is coming in at 35 lbs with five days of food supply. I'm 5 lbs into a 20 lb body weight loss to compensate for some of the pack weight.I've done a couple of 25 mile weekend hikes, but developed a sore and stiff knee on one of those. So I'm gradually working the mileage back up with knee braces, now doing three 6 mile days per weekend that I will increase until I'm back up to three consecutive 10 mile days.I have to express my gratefulness to the trail journal community and all the information available from so many websites. The experience and advice of others has been incredibly valuable in all aspects of preparation for this hike.We don't have trail names yet, but will update when we do. My wife is a little apprehensive about the magnitude of this undertaking. When she questioned my doctor about the hike, his only response was, ""I'm only sorry that I'm not going with him!"" I realize my best friend on the trail will be Vitamin I. Everything in my heart and mind is ready to go. Providng my body agrees, we expect this experience to enhance my already quality of life. As they say, you're either busy living or your busy dying. I choose life!","
",View Entry,"Feb 23, Sat",0
Realm IV,https://www.trailjournals.com//journal/entry/400939,"With just over a couple of months before beginning our section hike from Springer, I am in the process of testing out newly purchased gear and trying to get the hiker legs in shape. After a recent 25 mile weekend, I was experiencing knee pain, so I've introduced some daily stretching and muscle exercises recommended for combating knee pain. For the first time in four weeks, the knee is feeling much better and plans are to resume a full schedule of trial hikes on back to back days to test the stamina of the knees. As a 57 year old, I'll be cautionary and employ the use of compression knee braces on both knees when tackling the AT.    I've really enjoyed reading Thru-Hikers journal entries for the 2013 season. My gear was purchased for the warmer climate months. I have to admit my admiration for those weathering out the extremely cold start to a mid-February hike from GA.    I'll be using a Hennesey Hammock for the warmer May - June nights, providing the nights are storm free most of the time. Even a month of section hiking will provide all of the weather variety we expect to encounter on the AT. I wish I could hike the entire trail as a thru-hike, but responsibilities and grandchildren share my hiking dreams.        I suppose I get the same responses from friends and family that all AT section and thru hikers get - ""You're going to do what?""/ ""Why would you want to do that?""/ ""You're going to sleep in the woods and carry everything you need on your back?""/ ""I'm glad it's you and not me!""    Sometimes you get the idea that only hikers understand hikers. It's pretty much impossible to instill passion into another who does not already share that same passion. And so, excluding some casual conversation when I am asked, I have accepted the fact that this is a journey for me to enjoy rather than a journey to be appreciated and shared with others. For 6 months I have shared the excitement of this great adventure, hoping to stir in another their adventurous spirit. A few have been moved to visit their own personal ""bucket lists."" But most, when faced with the possibility of the resurrection of their dreams, will choose to let those dreams lie dormant.    Life is too short and sacred not to experience its abundance. Potential and possibilities are too rewarding not to accept the challenges with a ""do or die"" spirit. And so, with two months to go, it's time to focus on the inward strength for the journey. It's time for the mental and spiritual preparation required. It's time to journey away from some things and toward the lessons of life that the AT has to share.    For the past 6 months I have gathered gear and studied guides and learned from former hikers. I will take my first step in GA mid May. But my AT jouney begins now from a more introspective viewpoint. I am down 7 lbs from my intended 24 lb weight loss for starting the trail. I begin the day and end the day with focused preparation. Although I'll spend just 30 days on the trail, I begin my three month journey today.Busy Living,Mike Criner","
",View Entry,"Mar 02, Sat",0
Realm IV,https://www.trailjournals.com//journal/entry/401035,"Sunday is always a great day to be thankful. Blessings are everywhere we look, if we choose to look and expect. I'm expecting for great blessings on the AT, but the preparation has blessings of its own.    Today was a test drive for the rested knee. Empathizing with those out on the trail during another cold front in GA and NC, I ventured out in 29 degree weather to do an afternoon of hiking. After 6 miles of up and down rocky terrain, the knee has stood the test. That's a great sign of things to come.    Plans are now forming for an overnight shakedown when weather warms a little. My son-in-law and I are both using Hennesey Hammocks, so warmer weather will be a welcome sight.    With all major gear purchased and received, my attention turns to the miscellaneous checklist and low weight alternatives. I also need to begin breaking in my new Asolo hiking boots.    I root on all thru hikers who will be at least half completed with their thru hikes when I start on my section hike mid-May. My son-in-law will not be free of his teaching responsibilities until then, and I have a 1 month sabbatical from my work as a Pastor. Otherwise, we would be out on the trail much earlier.    Today I thank the Lord for my encounter with His created nature. The hike was highlighted with a deer sighting, squirrels, geese, heron, woodpeckers, along with a pre-At hike of Gorp and Banana chips.    71 days until Springer MT.Bald Eagle","
",View Entry,"Mar 03, Sun",0
Realm IV,https://www.trailjournals.com//journal/entry/401815,"Just two months away and concerns about the knee are subsiding. This weekend included a leisurely Friday stroll, an intense 3 hour climb up and down the East and West Pinnacles in Berea, KY on Saturday, and a 6 mile hike at Clifton Gorge in Clifton, OH on Sunday with my daughter, DeAnna.    Fine tuning the gear and reducing body weight are top priorities in the last two month's preparation for our one month section hike. I have achieved 1/3 of the weight loss I need. I will now begin laying out my gear in a spare room and checking off from my gear list items already obtained. Like most hikers-to-be, I have gleaned my listings for gear items and sample breakfast, lunch and supper menus from previous hikers. Prioritizing essential gear will help keep backpack weight to a necessary minimum.    I am enjoying reading other hiker's journals, especially those who provide details concerning favorite resupply locations, AYCE (All you can eat restaraunts) in towns and favorite hostels. Also helpful in making notes are hiker's details of the most difficult hiking areas as well as the easier recovery miles.    Hiking for just one month, our (my son-in-law and myself) plans are to limit our resupplies and town experiences and experience the best of the great outdoors by staying on the trail. We are planning to resupply about every 5 days by going into towns early in the morning and returning for an afternoon hike. This is the best way to avoid the extra costs that come with overnight stays in towns. Our desire is to take any zero days (no hiking) or nero days (near zero hiking miles) at or near a great view sight on the trail.    The next couple of months will fly by. I have a new 3 week old grandson to vist and another grandaughter expected to arrive in early May just before the hike. Most weekends will be spent combining visits and hikes as miles and backpacking weight is increased. The goal is a 10-10-10 (ten miles each day) with a 35 lb loaded backpack weekend by tax-filing date. Then maybe I will be able to outrun the IRS!!!!!    Many thanks to all the encouraging words from my four daughters and son. Maybe I'll have the privilege of experiencing a week or so with some of them on the trail in following year's hikes.Making Decisions Today for Tomorrow's JourneyBald Eagle","
",View Entry,"Mar 10, Sun",0
Realm IV,https://www.trailjournals.com//journal/entry/407135,"With one month remaining until a section hike begins in Springer, GA, random training must now become more focused for this 57 year old man. To help with the conditioning, a local fitness company has provided me with a 30 day free membership. The only thing that I'm told is effective in training for a hike is hiking. So, most of my training, muscular and cardio, will be on an inclined treadmill when not out on the actual practice trails.    So, yesterday was a 7 mile effort, followed by a wakeup call in the middle of the night with a cramping calf muscle. Determined I was back on the treadmill today. Better that I work out all the bugs now than on the trail. I continue to fight some right inside knee pain that has been ongoing for 6 weeks now, but am determined that this will not stop me either.   I'm not happy with my pack weight at this time. With a five day supply of food, I'm between 35 - 38 lbs. Hopefully I can trim at least 5 lbs off the starting weight. One of my goals is to eliminate 24 lbs of body weight before I take my first step on the AT. I'm delighted to report that, with one month remaining, I've shed 17 of those lbs.   I was originally envious of all those already able to be out on the trail in February and March - but, after following their treacherous wintery experiences, I'm feeling a little more fortunate to have my starting date in May (perhaps I'll experience the other end of the spectrum - intensive heat and dehydration!)   Last night I was asked the question everyone is asked, ""Now, why do you want to do this?"" My reply - ""Modern society, city living, civilization, clouds and veils the real created world. I'd like to spend some time away from what man has created and experience a purer surrounding of God's design. I want to experience living with what little you can carry on your back, free for a moment to live in a spontaneous world which allows you to adapt to weather conditions, wildlife, immediate physical needs - all the while knowing that a loving Creator has painted the landscape and has a watchful eye upon us, hoping we won't miss a moment of it.   Everyone hikes their own hike. Some mix the trail with hostels, hotels, restaurants, and the such. Others enjoy the community life of meeting and hiking with a new family on the trail. I expect my journey to be quite introspective, listening to my body for the length of each day's hike, listening to my soul for the connection I seek with my Creator, and letting the journey of the AT trail give me a clearer sense of the things that are worthy of our earthly days.   Life is an exciting journey. In just 30 days, the AT will become an actual part of that journey. I will take that expectation with me with every trip to the gym and every practice hike until then.Busy Livin'Bald Eagle","
",View Entry,"Apr 11, Thu",0
Realm IV,https://www.trailjournals.com//journal/entry/412448,"Crunch time is here for final preparations for our section hike. We take our first of many steps on the trail in just one week. The backpack has been packed and unpacked and packed three times in an attempt to get the weight in the 35 lb range. While it's too late to make any major changes now, I'll definitely work at lowering the weight in future years as we attempt to hike the entire AT over the next 5 to 6 years in one month segments.    I also get the privilege of starting the trail as a new grandpa. My third daughter is scheduled to deliver on the 10th of May, just two days before the journey to Springer, GA. I'll be both anxious to greet my new granddaughter, Annabelle, and to complete the first section hike through Georgia, North Carolina and the Smokies so that I hurry home to tell her all about it.    Tomorrow I make a last trip to the doctor to have a look at my knee to see if I'm a candidate for a cortizone shot, or whether we go with this old ""as is"" body. I've mentioned in other preparation journals that I've been experiencing some knee pain in my training. Regardless of the diagnosis, the intent is still to let the majesty and miraculousness of God see me through. I'll update this journal with results before beginning the actual hike.    I have committed the ultimate sacrifice by eliminatiung two of my snicker bars to help with pack weight. Actually, I might make those my celebrative snack just before starting the approach trail to Springer.     Getting away for even a month is taking a great deal of planning. I have multiple lists of final things to do to cover everything at home and work while I'm away. The planning is a stark reminder of how many things our lives are tied to. Hopefully the experience of the trail will be a life changing experience which affects the many unimportant things we attach our lives to. Doing that which is important, but not at the time urgent, is crucial to long term health and quality of life - easy to say, but hard to do!!    I just read the news that we may be joined by billions of locusts on the trail. Let's hope not!! There are much more soothing and calming sounds to go to sleep by than the deafening sound of the every 17 year menace.    Time to repack the backpack and weigh it again. This process has really given me a deeper appreciation for the serious hiker.Bald EagleWe're either busy dying or living.","
",View Entry,"May 06, Mon",0
Realm IV,https://www.trailjournals.com//journal/entry/412826,"Just 4 days away from leaving the city, traffic, and my Sleep Comfort bed for the serenity, heart pounding, knee jarring, starvation experience of a lifetime!!! What kind of crazy person would choose to inflict pain toward their body in order to expand their understanding of the hidden joys of life. I suppose it goes without saying that the price paid is directly proportionate to the effecttive quality of change that occurs in ones life.    We all live in light of our deepest desires. Our thoughts, our passions, our actions are all true indicators of the heart's direction. We may speak one way and live another. Reality is that actions speak (not more than words) but in spite of words.     This last week before the hike has brought some internal searching for me. For the past nine months, I have lived, trained and anticipated the hike with a childhood eagerness. Yet, for the last few days, I have finally had to deal with the emotions of leaving family, relinquishing responsibility, and beginning the quarantine of having little to no control of what happens at home. I suppose I can thank my parents a lot for that. Both Dad and Mom were and are dependable and consistent in everything they do. They were consistent in their parenting, consistent in their support, consistent in their responsibilities to provide, consistent in their faith and consistent in their love. And now I leave on Mother's Day and return on Father's Day, remembering and honoring them while absent, myself, from spouse, children and grandchildren. Yet I believe the price paid on the AT will bring me back a stronger husband, father and grandfather.    How does the hike fit in with my desires? Is it an attempt to declutter, simplify, zero in on solitude, community and personal direction? Is it a realization that everything the world has to offer is shifting sand, and therefore, a search for that which is lasting and solid? I must admit that I have no expectations other than what God reveals to me as I plant one foot in front of the other. My greatest preparation is to be acutely aware of the still small voice of God, to catch glimpses of truth with wide opened eyes, and to have a spiritual awakening that enables me better to apply myself to the real art of abundant living.    For years I have read and bought into the philosophy that one's past does not dictate one's future. And yet, in the study of human nature, including my own, I see patterns of behavior and thinking which fully reflects the choices of yesterday. This is one of the biggest lies to be embraced by people, for our past does, indeed, dictate our future. How does one then change their future if they are dissatisfied with today's results? Simply, we must intentionally choose to create a new past that will, then, dictate a newly chosen future. Perhaps this hike is an attempt to create a new past in some areas of my life. In reading other's journals, that seems to be a central thread of their experiences - at least for those who are on an inward journey as well as a physical hike.    I suppose this blog is an indicator of the reflective mood I currently find myself in. While I've prepared my body for several months for the trail's challenges, these few words are the mental and spiritual cleansing needed to now move forward. Tomorrow will engage both body and soul in a ""full steam ahead"" journey. In fact, why wait till tomorrow. It's time to go through the backpack again and shave off a few ounces, time to re-organize last minute tasks to do, time to re-test gear and make last minute preparations, time to begin a new future.    In response to my last post, the knee has been examined and diagnosed to be tendonitis. As I write this post, I am icing it and taking Naproxen for inflammation. It's good to know that the structure of the knee is good and all I need to do is manage the pain on the trail. That in itself gives me a sense of community since everyone on the trail shares in managing pain and soreness as in integral part of the hiking experience.     Chose Your Past, Create your Future,Bald Eagle","
",View Entry,"May 08, Wed",0
Realm IV,https://www.trailjournals.com//journal/entry/413692,"Leaving today for last visit to new granddaughter and on the way to Springer, Ga. See everyone on the trail.Bald Eagle","
","Springer, Ga","May 12, Sun",0
Realm IV,https://www.trailjournals.com//journal/entry/415736,"Finally able to update a little of our trip. We arrived at Amacolia Falls State Park to do the 8.8 approach trail to Springer mountain on Monday morning, May 13th. The approach trail begins with a series of 630 climbing steps up the water fall with fantatstic views. We (my son-in-law and I) immediately recognized that we were in for more than we expected. It is said that the Appalachian Trail is heart pounding on the way up and knee busting on the descents, and that is an understatement.     We completed 11.6 miles all the way up on top of Springer Mountain and then down to Stover Creek Shelter where we hund our hammocks for the night in a beautiful thicket of Rhododendron trees within 10 feet of a brisk stream. It was soothing to listen to the stream, but the weather dropped to 37 degrees that night, having us spend half the night shivering, even though we had about three layers of clothing on. Thanks for your prayers - so far the knee is holding out.","Springer, Ga
",Stover Mountain Shelter,"May 13, Mon",11.60
Realm IV,https://www.trailjournals.com//journal/entry/415741,"Today we bit off a little more than we were prepared for. We covered 13 miles of steep up and down terrain going over both Sassafras and Justus Mountains. On one of the descents my good knee developed a sharp pain on the outside and I found myself having to step sideways down the descents to keep from aggravating the injury. I was now wearing knee braces on both knees wandering whether my joints would hold up to this kind of punishment. Blisters began to appear, which are expected for all continuous hikers in some degree or another, despite all the trining and preparation. What I have quickly discovered is that there is no adequate preparation for this hike other than actually hiking the AT. This is simply a grueling experience for young and old (me) alike.    We've been doing our best to find good sources of water and filter as much as we can, but sometimes thirst overcomes common sense. At the top of sassafras Mountain, we discovered a gallon jug with the top cut off of it, catching drops of water from a rock face cliff. Both of us drank about 8 ounces of the water, which was readily available to any animal living in the area. After apologizing to the Lord for our stupidity and asking for forgiveness and protection from our poor choice, we are happy to report no side ill affects to date.      We again hammocked at Gooch Shelter and had a much more pleasant night with temperatures dropping only to about 55 degrees. Too many miles for us, though left me both tired and with a loss of appetite. I tried to eat a peanut butter/ pita sandwich, but it just stuck to the roof of my mouth as if I had no salive whatsoever. Needless to say, I am unable to eat the required calories at this time to keep my strength up.","Stover Mountain Shelter
",Gooch Mountain Shelter,"May 14, Tue",13
