Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Sooner or Later,https://www.trailjournals.com//journal/entry/518574,Started preparing for winter hiking in the Whites and for the trail. Went up Mt Cardigan. NO SNOW or ICE! There was plenty of gale force wind however. The countdown is at 61 days to summit Spriger,"
",View Entry,,0
Sooner or Later,https://www.trailjournals.com//journal/entry/518932,The Whites had brutal weather so climbed up and around Mt.Cardigan. Finally have ample snow and ice to hike in! The wind was also it's normal roaring self.I had a good opportunity to try out some new clothing for the upcoming hike. 49 days to Springer but whose counting.,"
",View Entry,,0
Sooner or Later,https://www.trailjournals.com//journal/entry/519418,I decided on a bus ticket to get to Atlanta as the price is very good.I've also moved my start date to Feb. 19. The anticipation grows along with the realization of all that needs to be accomplished between now and then. Each day that passes the trail grows larger in my mind.,"
",View Entry,"Jan 09, Sat",0
Sooner or Later,https://www.trailjournals.com//journal/entry/519688,"The ticket to Gainesville is bought,the Hiker Hostel will pick me up and they will drop me off on Friday morning. All that's left is to get my pass for the Smokies. This Saturday I'll weigh my contents for the pack. I do not want to exceed 36 to 38 pounds with food and water for the winter portion of the hike. I average 27 pounds in the summer. Somehow this doesn't seem real yet but I'm sure it will soon enough. 33 days before leaving!!!","
",View Entry,"Jan 10, Sun",0
Sooner or Later,https://www.trailjournals.com//journal/entry/520707,As the day draws nearer I have been on the trail most every day. It feels good to break away from work and prepare for the upcoming start on Springer. Todays hike was up Moose Mt. on the AT. The lower trails here are quite icy and the temperature too warm but the views are great! I planned to hike Franconia Ridge tomorrow but the weather forecast isn't good so I'll hike up Smarts Mtn. instead. 13 days and headed south. YES!!!,"
",View Entry,"Jan 11, Mon",0
Sooner or Later,https://www.trailjournals.com//journal/entry/521074,"My work is finished and its almost time to go. Somehow its almost unreal after waiting for so many years. My trail name was given to me about a year and a half ago by a couple from Virginia while they were section hiking in N.H. I carry a pack full of water and other supplies between Trescot Rd. and Moose Mtn. shelter. As I returned to the trailhead I found my son in conversation with them. As we talked I shared my desire to attempt a thru-hike and used the term sooner or later [probably more than once] which prompted him to proclaim it my name to which his wife gave affirmation. Wherever they are I thank them as it has stuck. I am also greatful for the timing as we have since lost our son, giving my trail name more signifigance to me on the cusp of my attempt to become a thru-hiker by reaching the iconic sign at the end of the journey.","
",View Entry,"Jan 12, Tue",0
Sooner or Later,https://www.trailjournals.com//journal/entry/521335,Sitting in a bus terminal at 1:56 in Richmond Va. It seems harder getting there than hiking. The good news however is that I'm on my way!! Dalonaga by 6:00 p.m. The trail Friday morning.,"
",View Entry,"Jan 13, Wed",0
Sooner or Later,https://www.trailjournals.com//journal/entry/521451,I made it to the Hiker Hostel last night and spent a wonderful time there. This morning was beautiful and reached Springer about 10:30 . I went up with Coach and we took photos. Then he went on ahead moving quite rapidly. I stuck to my plan of 8 miles so I was able to enjoy the sunshine and the trail at a slower pace. It was a picture perfect day! There are seven of us all tenting tonite under a nearly full moon. What an amazing way to begin the hike!,"
",Hawk Mtn. shelter,"Jan 14, Thu",8.10
Sooner or Later,https://www.trailjournals.com//journal/entry/521782,An easy day today with warm weather. I am still forcing myself to start low miles but will pick up the pace soon. There are more people starting than I thought there would be. On the trail a woman was running south asking if everyone was a thru-hiker because they were cooking hot dogs and had soda for us. I stayed behind with the packs while the rest went1.2 miles for them. They brought some back for me. The moon is full and the night warm.,"Hawk Mtn. shelter
",Gooch Mt. shelteri,"Feb 20, Sat",0
Sooner or Later,https://www.trailjournals.com//journal/entry/521784,The weather today has deteriorated . Every day is a great adventure. Let it rain! My plan changed twice today. I left the shelter at 5:30 a.m. with Mark and Storm. I moved ahead for Woods Hole shelter only to realize 11:30 stop time won't work for me so I headed for Blood Mt. to find the shelter soaking wet an muddy so I just went to Neels Gap to the hostel to dry myself and my gear. It continued to rain and drizzle. I spent the night and met Fresh Brew . The people out here are great !,"Gooch Mt. shelteri
",Neels Gap,"Feb 21, Sun",0
Sooner or Later,https://www.trailjournals.com//journal/entry/521786,Another great day for an adventure! Rain and drizzle are becoming a way of life. Wet feet becoming the norm . These are just to be expected and do not hinder the joy of hiking. I hoped to see some of the other hikers I started with but haven't yet. Fresh Brew left early and I passed him some miles in. I arrived at Low Gap shelter in the rain. There were two hikers there and Fresh Brew caught up. Natural came in soonafter. Rained all night . I have forgotten to mention the ever present shelter mice. They are a sight to behold. You have to only be smarter than a mouse to avoid disaster. I remain unscathed and will tent more when the gets better.,"Neels Gap
",Low Gap Shelter,"Feb 22, Mon",0
Sooner or Later,https://www.trailjournals.com//journal/entry/521794,"More of the same today with some good climbs over 4000 ft. The mountains in Georgia are rugged and more beautiful than I imagined them to be. I have seen some wonderful views but would love to come back when it's clear   Tray Mt. was the final climb for the day and somewhat tiring in the , rain? Yup it poured with a vengeance with high winds . There were 3 section hikers and Colin . That which was only damp became wet. I even put my outer shell over the end of my bag as it is down . In spite of these things I'm having the time of my life! The years of reading about and dreaming about this trail have become a wonderful reality!!","Low Gap Shelter
",Tray Mt. Shelter,"Feb 23, Tue",0
Sooner or Later,https://www.trailjournals.com//journal/entry/521838,"What a night at Tray mt ! The wind howled and the rain was sideways. I left early. My pack gained pounds of moisture and I laughed as I put on wet socks and boots. The forecast was for thunderstorms but if I waited for perfect weather I wouldn't make it halfway. As it turned out a few miles of weather turned to sunshine for a while with beautiful views. Eventually the rain showers came back as I came into the hostel for a zero. Top Of Georgia Hostel is remarkable! It's like an oasis in the mountains. The staff are so friendly and Sir Paks A Lot is a great host. I began drying out , showered, changed and went to Hiawassi and absolutely pigged out! With Colin and other hikers we spent a good evening together .","Tray Mt. Shelter
",Top of Georgia Hostel11,"Feb 24, Wed",0
Sooner or Later,https://www.trailjournals.com//journal/entry/521841,"My first zero yielded dry equipment , more gorging , and the appearance of Going Postal and Fresh Ground . (Yes I made a mistake. His name isn't Fresh Brew ) we have hiked together off and on for days in the manner of long distance hikers bouncing off of each other . It snowed a little but tomorrow it's time to get back to the trail. I finally have caught up with posts. I haven't had service and entered what I could for the last few days. I'll continue to post as I can. Thank you all for your support","Top of Georgia Hostel11
",zero,"Feb 25, Thu",0
Sooner or Later,https://www.trailjournals.com//journal/entry/521966,"I met Aleeve at Top Of Georgia last night . It's fun meeting other journalists from this site. I left in the dark and headed for Muskrat Creek. Postal and Fresh Ground not far behind. It was a great day. I took a lot of pictures and even figured out my first selfie at the NC/GA line. I am after all a little electronically challenged . It's exciting to be here though the winter weather conditions present some challenges . Fresh , Aleeve and I stayed out of the shelter and the shelter did fill. Wet feet and below freezing for all! Welcome to North Carolina !","zero
",Muskrat Creek shelter,"Feb 26, Fri",12.40
Sooner or Later,https://www.trailjournals.com//journal/entry/521968,"Brrrrrr! It was less than 20 degrees out this morning! It's been like getting the whole AT experience crammed into a small time frame. Wet everything, frozen shoes, etc. etc,etc. it's actually not a problem especially when still so excited and grateful to be here . Fresh and I left early with Aleeve right behind. It has been one of the most incredible hiking days yet. Bright sunshine and the warmth of the sun made for great fun. There's lots of snow but it was melting some today . I took a lot of pictures.","Muskrat Creek shelter
",Carter Notch shelter,"Feb 27, Sat",12.60
Sooner or Later,https://www.trailjournals.com//journal/entry/522483,Still cold but great hiking.Last night the shelter filled up and we were up later than usual.The end result was the most beautiful starlit sky I have seen since starting the trail! What I didn't know was that I would not be seeing Aleeve today. I like being around him. There are many chance meetings on the trail and the further up the trail the more meaningful they become . If I don't see him I wish him well. Today was like a little piece of home. Fresh and I climbed Albert Mt. It was steep and tall with a tower on top. The views were amazing !! We were pushing for Rock gap shelter only to find a tree fell on it during the last storm. No one was hurt.Instead we pushed hard for Winding Stair Gap and a hostel. I was able to get a new stove in Franklin and arrived at the hostel to find Postal and Colin there. What fun!! What a perfect day,"Carter Notch shelter
",Winding Stair Gap,"Feb 28, Sun",16.10
Sooner or Later,https://www.trailjournals.com//journal/entry/522484,Woke up early as usual [4:30]to a cold morning and headed out. It is amazing the changes in the body. My legs are becoming machines.we headed for Wayah shelter.It was a good walk today. Being up over 5000 ft. provides wonderful views.Postal is with us again and all is well in the world.We tend to hike the same and for now stick together. It's nice having company. During the day we pretty much hike alone and converge at the shelters providing fellowship and many stories. The only thing I miss so far is Betsy and my family and of course my bloodhounds but the journey does not go on forever and we shall be reunited. Another great day!,"Winding Stair Gap
",Wayah Bald Shelter,"Feb 29, Mon",11
Sooner or Later,https://www.trailjournals.com//journal/entry/522485,We headed out to get as close to the N.O.C.center. The journey is fun and wonderful but goals are still neccessary lest I would never finish.It's so beautiful I would get stuck in so many spots along the way. It was a perfect weather day today and the legs felt good. Sunrises have been a sight to behold. We converged on the shelter and settled in. Fresh dropped into the center and picked up a drop box and returned with a permit for me to enter the Smokies! YAY!! It began to rain and rained all night. Was able to stay dry.,"Wayah Bald Shelter
",A.Rufus Morgan Shelter,"Mar 01, Tue",16.50
Sooner or Later,https://www.trailjournals.com//journal/entry/522493,"Another early morning. Fresh and I headed up a very long climb up 5000 feet. Postal had to wait for the N.O.C. to open to get some stuff.Tru-Moo left with him. It was hard work rewarded by more views.As we neared Jacobs Ladder I was a little tired but ready for the challenge and once up was ready for the shelter. I didn't think Postal would make it that far but low and behold Tru-Moo and Postal both came in. We had a campfire,food,and good conversation.What more could a hiker want. It was real cold but manageable as we crawled in.","A.Rufus Morgan Shelter
",Brown Fork Gap Shelter,"Mar 02, Wed",17.20
Sooner or Later,https://www.trailjournals.com//journal/entry/522494,"Time to head into Fontana. It's one of those places I've seen pictures of and read about but never experienced.We hiked hard in the cold and made our way down by noon and stopped at the Pit Stop to get lunch,then on to the lodge to take a zero day and rest. This endeavor is great but a lot of work. Whoever said the only way to prepare for the trail is to hike it, is in my opinion 100% correct. We met an interesting couple and had dinner together. Everyone in the south has been so kind and friendly. Well I've caught up again. I'm not a prolific writer but will continue to keep the brief updates flowing","Brown Fork Gap Shelter
",Fontana,"Mar 03, Thu",11.70
Sooner or Later,https://www.trailjournals.com//journal/entry/523266,,"Fontana
",fon,"Mar 04, Fri",0
Sooner or Later,https://www.trailjournals.com//journal/entry/523267,"left the lodge for the shelter passing a quiet nero or basicly a zero in a really nice spot. The shelter filled up and we had a campfire,good conversation and thoughts for tomorrow.Fontana was restful with opportunity to eat well","Fontana
",Fontana Hilton,"Mar 04, Fri",1.20
Sooner or Later,https://www.trailjournals.com//journal/entry/523268,"The day started sunny and warm. It also started with a very long climb. the trail became somewhat muddy. I'm still in awe of the fact I'm on the trail. Its hard work yet so rewarding. each challenge provides opportunity in various ways.Confidence grows with every frozen boot or sore muscle as crazy as that may sound. The desire to perservere and the sights and sounds of the forest are as a salve for the soul. Anyway,having said thus, the clouds rolled in and rain poured down on the shelter tonight. As we all awoke we found a couple inches of fresh snow had fallen Another great day!","Fontana Hilton
",Spence Field Shelter,"Mar 05, Sat",17.30
Sooner or Later,https://www.trailjournals.com//journal/entry/523274,Started out in snow and wind which turned to MUD in the trail when the sun came from behind the clouds.It's a perfect time to be on the trail because the lack of foliage lends itself to constant views. I never tire of the constant companionship of the mountains surrounding me. The slow changing of the season toward spring is evident through the sounds of birds or the vegetation pushing its way through last falls leaves. The quality of the mountain water is like an elixir. I'm cautious of all but the springs that eminate directly from the rock and filter the rest. Some of the pure springs have pipes driven into them giving easier access. Beautiful Day!,"Spence Field Shelter
",Double Spring Shelter,"Mar 06, Sun",13.40
Sooner or Later,https://www.trailjournals.com//journal/entry/523275,I neglected to mention that yesterday I climbed Clingmans Dome. There is a strangely configured outlook there which gave a good opportunity for pictures.                                                                              The hike today keeps me about 6000 feet up moving over a number of ups and downs affectionally known (sometimes not so much) as PUDS or pointless ups and downs. The air is clear and cold making a great day to hike. The Smokies are a beautiful creation! As I come to the shelters this week I've discovered it is spring break. The complection of the group changes with all of the students but the excess of food they carry is beneficial to us.,"Double Spring Shelter
",Icewater Spring Shelter,"Mar 07, Mon",13.40
Sooner or Later,https://www.trailjournals.com//journal/entry/523339,Left the shelter early to another colorful sunrise. It was a little warmer today. The trail still remains icy in spots so I am glad to be carrying micro spikes. As always there are an abundance of views. As I got close to the shelter I could hear activity at the shelter. It was a small group of spring breakers that were young and somewhat immature. I questioned whether to stay or not but they settled down as more thru-hikers came in. One never knows what you'll find up here. We have been lighting fires in the fireplaces built into the shelters to a good effect as tarps also cover the entrances. The Smokies have really well built shelters . It's wonderful up here.,"Icewater Spring Shelter
",Tri Corner Knob Shelter,"Mar 08, Tue",12.10
Sooner or Later,https://www.trailjournals.com//journal/entry/523342,"Today is the last day in the Smokies. It has been challenging living up this high early in the season. The weather is unpredictable, the trail conditions range from ice and snow to mud with the occasional dry stretch. The feet are always the best barometer of the wear and tear one endures. Happy feet means more productive miles. It's that fine balance between making those miles while enjoying everything around you that makes the best hike. I descended to Davenport to the shelter which is the last to have a chain link face with a gate for bear protection. The others were removed because people began feeding the bears through them. There were three of us there and passed a quiet night.","Tri Corner Knob Shelter
",Davenport Shelter,"Mar 09, Wed",14.80
Sooner or Later,https://www.trailjournals.com//journal/entry/523352,Probably the most colorful and brightest sunrise yet! The downhill was shortlived and the climb never ending. It was the warmest day yet. The reward however was the moment I climbed Max Patch! Out of all I've seen so far this bald is almost indescribable. The entire top of the mountain is field with 360 degree views of mountains as far as the eye can see! It was hard to go down to the shelter but inevitably the time to leave the top came and another wonderful day done.,"Davenport Shelter
",Roaring Fork Shelter18.7,"Mar 10, Thu",18.70
Sooner or Later,https://www.trailjournals.com//journal/entry/523353,Today is the push to Hot Springs and a zero day. There is the usual climbs with dry trail and warm sun. Coming down the mountain you can see the town which is very welcoming. After a needed shower and change of clothes the eating process begins. Trail food is sustenance however the raging apetite sees town food as absolute bliss. Even a bunk is luxurious. I am staying at the Laughing Heart Lodge and find it to be an oasis along the trail. Great Place. Great People Great Time .,"Roaring Fork Shelter18.7
","Hot Springs, NC","Mar 11, Fri",18
Sooner or Later,https://www.trailjournals.com//journal/entry/524941,Spent the day eating and resupplying,"Hot Springs, NC
",Hot Springs,"Mar 12, Sat",0
Sooner or Later,https://www.trailjournals.com//journal/entry/524944,Hot springs gave me too much time off. My thoughts turned towards home and town life is too easy.I hesitated while climbing out but found my stride soon after. i've decided to limit my time in towns for nero's because i'm more comfortable in the mountains. The hiking was good. The weather questionable. Just before the shelter the skies opened up and I was instantly soaked. It didn't dampen my spirit however as this is the A T !!,"Hot Springs
",Little Laurel Shelter,"Mar 13, Sun",19.60
Sooner or Later,https://www.trailjournals.com//journal/entry/524948,"Dried out some and had a few more climbs.The temperature is warm. Along the way there was a fantastic exposed ridge walk! The views on both sides were both beautiful and totally different. One side was of the Tennessee valley and it,s farmlands. The other of unlimited mountain peaks. Some climbing was involved which made it more fun. Unfortunately the clouds rolled in again just before I got to the shelter and I was somewhat wet again. I fortunately bought crocks for camp shoes giving my feet at least a chance to dry out. Another great day on the trail!","Little Laurel Shelter
",Flint Mtn Shelter,"Mar 14, Mon",13.10
Sooner or Later,https://www.trailjournals.com//journal/entry/524954,"There was a big climb to start the day taking a lot of energy on the way to Big Bald. The middle of the day was what would be normal every day hiking now. It is warming up which i,m not particularly fond of being a winter person. At the end of the day the real climb began up Big Bald. I struggled a little by the end. It was steep and seemingly neverending but once on top of the bald it riveled Max Patch for the views! What a glorious end to a great hike!","Flint Mtn Shelter
",Bald Mtn Shelter,"Mar 15, Tue",18.90
Sooner or Later,https://www.trailjournals.com//journal/entry/524957,"It's a nice day. Maybe a little warm but I need to get used to it. The terrain is also pretty easy. I came into Uncle Johnny,s anticipating town food . I need to constantly moniter my weight as I have lost quite a bit. I,m going to sleep in a bunk tonight.","Bald Mtn Shelter
",Uncle Johnny's Hostel,"Mar 16, Wed",16.80
Sooner or Later,https://www.trailjournals.com//journal/entry/524958,There has been much confusion about the weather and climbing Roan Mtn in winter weather is not highly recommended so I will err on the side of caution. Waiting is not my favorite thing. I can't wait to get back on the trail.,"Uncle Johnny's Hostel
","Uncle Johnny,s","Mar 17, Thu",0
Sooner or Later,https://www.trailjournals.com//journal/entry/525865,Left in the dark and started in the cool of the morning. After awhile one can grow tired of conjecture concerning the weather and miles are not covered by sitting and talking about it. It is well known we all will experience bad weather or never finish. This day was nice! After reaching the shelter the clouds came in and the rain started. We fixed the roof the best we could but it still leaked. Just another great day of hiking!!,"Uncle Johnny,s
",Cherry Gap Shelter,"Mar 18, Fri",17.10
Sooner or Later,https://www.trailjournals.com//journal/entry/525867,OOPS! I got a little ahead of myself. This shelter leaked. The last one didn't. Tomorrow is the day to climb Roan Mtn. Today was somewhat short but a great hike. Normal ups and downs.,"Cherry Gap Shelter
",Clyde Smith Shelter,"Mar 19, Sat",9.10
Sooner or Later,https://www.trailjournals.com//journal/entry/525871,It was so foggy one could hardly see 5 feet with or without a headlamp! As soon as I could discern the trail I headed out. It was a really big climb that brought me above the clouds. The sea of cloud below showed mountaintops to be like islands surrounded by the sea. it was rather breathtaking to be sure. After a hard climb I made it to the top and took a side trail to the highest shelter on the A.T. I'm glad I wasn't staying there it was COLD! After more miles I reached Overmountain Shelter. The ice had been coming down periodically throughout the day but now turned to snow. Others filtered in and we made the best of a winter night basically in the open. We could see our destination on a bald for awhile until high winds and snow brought visibility to about zero. I LOVED IT!!!,"Clyde Smith Shelter
",Overmountain Shelter,"Mar 20, Sun",15.60
