Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Step and a Half,https://www.trailjournals.com//journal/entry/516079,I am a special education teacher that will be retiring at the end of April and starting my thu hike April 24. I haven't done any serious hiking since my teens when I had the wonderful opportunity to hike with my friend Steve in Colorado. Being from New York this experience was fantastic and I promised myself I would do it again. While I have done some small hikes I haven't done any serious hiking and will finally have the chance to complete a six month adventure in the wilderness. I am looking forward to this and thoughts of the trail and preparation have consumed me.,,Northbound,"Oct 20, Tue",0
Step and a Half,https://www.trailjournals.com//journal/entry/516198,"I thought I would write down a couple of reasons of why I want to hike the trail.    I like what I have read about the culture of the A.T, the trail angels, and the faith in humanity that it has renewed in me. I want to become a part of this culture    I want to be challenged by new surroundings, test my resolve to overcome pain, learn new things abut nature, and share those experiences with others. I also will not have to listen to all those presidential election adds that will be running non-stop all summer.",,View Entry,"Oct 23, Fri",0
Step and a Half,https://www.trailjournals.com//journal/entry/517264,"From November 1-6 I attended the Appalachian Trail Institute taught by Warren Doyle. I think I learned more from the wonderful people I met than Warren but I highly recommend this course. Warren is an interesting character. He certainly has a passion for the trail and is very knowledgeable about all aspects of successfully completing it. He is also a bit of a preacher and often goes off topic in order to preach his point of view to his students. He doesn't filter water, pay for lodging,use a tent, or cook on the trail. I will do all of these. Still deciding on gear and doing endless planning that will change many times before I take my first step.",,Mountain City Tennessee ,"Nov 13, Fri",0
Step and a Half,https://www.trailjournals.com//journal/entry/517457,"   I spent this Saturday at Letchworth State Park hiking what they classified as moderate difficulty. I hiked about 5 miles and it kicked my butt. It was enjoyable and I saw my first snow fall of the season, 11 deer-two at the first sighting and nine at the next, a woodchuck, a downy woodpecker, and numerous squirrels. The Genesee River's roar became hypnotic as I hiked and each step I took I felt I was becoming more and more in time with its flow. I also met a hiker from Buffalo! I thought I was the only one in this city.     On Sunday I decided that I would start walking to work instead of bicycling or driving. This will add 6.6 miles to my training schedule and I wanted to walk it on Sunday with a full pack to see how long it would take me.    On November 4, 2013 I was hit by a car while I was riding my bike to work. As I was walking by the intersection where this happened I got a flashback and pictured myself lying in the road face up in terrible pain. I had broken 3 vertebrae in my back, injured my knee, and bruised my ankle. I remembered how I tried to get up and the pain forcing me back down. That began a long ordeal that would keep me out of work for 10 months. I couldn't ride my bike I really couldn't do anything very physical and I began feeling sorry for myself. Mostly I sat on the couch and ate and drank too much.     As I stopped for a moment with a 20-25 lb. pack on my back and looking down at the road at the spot where I was two years and two weeks ago I began to smile. I had made it through not the most, but one of the most, difficult periods in my life. I knew right then that I will complete a thru-hike of the Appalachian Trail. I will pass that spot twice a day many times in the next 6 months and it will not be a place of sadness for me. It will be a place of inspiration. One of the many gifts I know I shall receive from the AT.   ",,View Entry,"Nov 16, Mon",0
Step and a Half,https://www.trailjournals.com//journal/entry/517641,"I am now going to start my hike during my winter vacation on February 13 at Springer Mountain Georgia. I will be hiking for six days with Earl Gray. She is an experienced hiker, fellow ATI attendee, and all around great person. I am fortunate that she has agreed to start my hike with me. My goal from now till February is to continue to lose weight and get my legs in shape so I am not constantly slowing her down. From March 19-26 I plan on picking up the trail wherever I stopped and hopefully make it to Fontana Dam NC. I will then resume my hike around April 24 at Harpers Feryy and hike to Maine, fly to Atlanta then hike to Harpers Ferry. At least this is what it looks like on paper. We shall see.    I hiked 12 miles in Hunters Creek Park Sunday. This park is about 40 minutes from Buffalo and this was my first time there. I was hiking with Spencer, a golden doodle, and we both had a great time. We both came back very muddy. We met a women named Sally who was hiking with a boarder collie and she provided me with some history of the trail and some ideas about where to hike. For the most part I hiked alone all day and despite the parking lot being half full with cars I felt that I had the park all to myself. I plan on going back after Thanksgiving.    Testing out a new pair of boots-- a pair of Keens which are wider in the foot box.",,View Entry,"Nov 23, Mon",0
Step and a Half,https://www.trailjournals.com//journal/entry/519873,"I have spent the last month researching, trying to get into shape, and mostly reading trail journals. I need to give a special thanks to Trail Pilgram and highly recommend anyone who is going to be thru-hiking this year read his 2015 journal. He is a retired Army vet and has done in depth research on almost every topic imaginable concerning the AT. I also have liked TNT, Last Chance, Lil Mermaid, Bonn Bonn, Yoda, and the current hikers Ak, Butters, Blizzard,and Slip Knot. Thank you all for inspiring me and providing great reading to get me started in the morning. Things are coming together and I am getting more excited each day.",,Home,"Jan 19, Tue",0
Step and a Half,https://www.trailjournals.com//journal/entry/520950,Had to change plans and cancel my six day shake down hike. Disappointed but still looking forward to May.,"Home
",View Entry,"Jan 20, Wed",0
Step and a Half,https://www.trailjournals.com//journal/entry/524900,"I know you will think this is crazy but I drove from Buffalo to Bland Virginia for a shake down hike with Earl Gray. A 1,000 mile round trip for 2 days and 20 miles on the AT. It was worth it just to be on trail and there were several lessons learned before I start my flip/flop at Harpers Ferry in four weeks on April 24. The trail this first day was difficult for me as I developed back pain that I haven't experienced in any of my practice hikes. 11 miles was too far for me the first day out of the box however I wanted to stay at the Big Walker motel in order to properly rest my aches and pains and regroup. I met Moxie and Bald my first Thru-hikers! The weather was fantastic and while I was exhausted at the end of the day it was well worth it. 1","VA Route 611
",Kimberling Creek ,"Mar 23, Wed",12
Step and a Half,https://www.trailjournals.com//journal/entry/525022,"Today was much easier then yesterday. 12 miles is too much for me until I get my trail legs. My feet are sore and I need to reevaluate my soles in both of my hiking shoes/boots. Talked with thru hiker ""Bones"" who has the same type of hiking boots as I and he loves them. Beautiful day to be on the trail today.","Kimberling Creek
",VA Route 611 ,"Mar 24, Thu",8
Step and a Half,https://www.trailjournals.com//journal/entry/529585,My home base trail angel Sue dropped me off around 6 am and I was on my way! The tail was fast today and I felt great so instead of stopping at Ed Garvey shelter I continued on to Crampton Gap. I made it here in about 6 hours. As soon as iI got here a turkey walked by to say hello. I am taking this as a good sign for my trip.,"Harpers Ferry
",Cramton Gap Shelter,"Apr 24, Sun",11.10
