Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Subman and Suds,https://www.trailjournals.com//journal/entry/476279,"This is Subman making our first entry to get this journal posted.Suds
and I can't wait to get on the trail. We have been backpacking as often as possible to stay in condition and are heading up to the Smokies next Wednesday for a short trip on the BMT. Would really like to Thru Hike the AT in 2015 but most likely it will be 1 March 2016",,View Entry,"Oct 12, Sun",0
Subman and Suds,https://www.trailjournals.com//journal/entry/479468,Today was beautiful 57° and sunny so Subman and I grabbed our packs and headed to Amicalola State Park. Starting behind the visitor center we began the approach trail. We must be somewhat in shape we didnt stop and completed two laps of stairs and coming down the old approach trail.March 1st 2016 can't come soon enough!,,Amicalola Falls step workout.,"Dec 27, Sat",0
Subman and Suds,https://www.trailjournals.com//journal/entry/479470,After hiking in the rain in the Grayson Highlands my shoes began producing massive amounts of soap suds. Thus I have earned my trail Name honestly and I have the cleanest feet on the trail!,,Trail Names,"Dec 27, Sat",0
Subman and Suds,https://www.trailjournals.com//journal/entry/483975,Suds and I hiked up the Approach trail to Springer today. Left at 1100 and got up to Springer around 1615. We met quite a few Thru-Hiker wanna-bes starting out. Our friend Trailchef was starting the next morning and we wanted to see him off. We met Super wolf and Conductor. It was a beautiful clear night with a lot of hikers tenting. The next day walking back to Amicalola we met many hikers struggling up to Springer some only made Black Gap Shelter. We tried to encourage them all. We wanted to go with them. 1 March 2016 can't come soon enough. Sub and Suds,,Springer,"Mar 15, Sun",0
Subman and Suds,https://www.trailjournals.com//journal/entry/503782,"Suds here,June brought my Family to GA to visit, and gave me an opportunity to share our plans and dreams with them. First week of June my parents visited. After suffering a stroke, it was wonderful to have my father be able to see the beginning of the approach trail. I have purchased a spot and they will follow our journey back in Ohio. the last week of June both of my sons visited. we visited Amicalola and climbed the stairs. I think they finally get what we mean when we say thru hike! more importantly they were encouraging! ""Mom you got this"" will take me a long way!",,Amicalola State Park,"Jun 23, Tue",0
Subman and Suds,https://www.trailjournals.com//journal/entry/503777,"The excitement of our thru hike is igniting. Subman and I have been hiking daily on a pretty consistent basis. they range from 4.5 to 7.5 miles in length. We are trying to build our strength and endurance, and for myself build a few calluses! we have also been trying to shed a few extra pounds that crept up on us throughout the winter. while on our hikes, we talk about our expectations for our hike and debate the gear we will take with us. how we will utilize each piece and more importantly who will carry it. lol.?? We are pretty much on the same page for expectations and seem to keep pace with each other well. How awesome my life friend and hiking buddy turn out to be the same person! this is going to be a trip of a lifetime.",,home,"Jul 05, Sun",0
Subman and Suds,https://www.trailjournals.com//journal/entry/510809,"Suds and I are anxiously waiting to start our hike next year. Just wanted to update some of our plans.Suds will keep working up to when we planned on leaving beginning of March. She gets 4 and sometimes 5 days off at a time since she works 12 hour shifts at a hospital. Now since we live so close to Springer we will start anytime after 1 January 2016 and hike on her days off as long as we have a good weather window. Our goal is to get through the Smokies by March 1st then be on the trail full time.We plan on signing in at Amicalola and hiking the Approach Trail her first 4 days off and hiking to Neels Gap.We hope everyone who followed me early this year and many more will follow along. We know next year will be crowded do to ""A Walk in the Woods"". For that reason we want to get a head start on the crowd.I have had some medical issues I'm working my way through so I can keep up with Suds Sub and Suds Ga-Me 2016",,View Entry,"Aug 20, Thu",0
Subman and Suds,https://www.trailjournals.com//journal/entry/517661,"Sub and I have been making our rounds visiting Family before taking off early next year on our thru hike. with the season of Thanksgiving upon us I can't help but feel so blessed! Being given the opportunity to Thru hike in 2016. So many variables falling into place. That we are Financially able to pay for our hike and maintain what responsibilities we have at home. Having each other to keep us company on the adventure of our lives.Having the support of our families and friends. All of these things are blessings!I am amazed at how many different ways we can do our hike. I'm so excited I can't wait to start. We keep tossing around the idea of starting Jan 1st. As you will probably find out I'm a cold weenie. When the thought of starting in Jan comes up I beat it back down by screaming ""are you nuts"" to myself. So the debate continues.we will watch the weather and decide what works best for us. both Sub and I like the idea of taking off at Springer and we keep on going until we reach Katadhin!If any of you are going to be early starters let us know we are near Springer if we can help??",,Home,"Nov 23, Mon",0
Subman and Suds,https://www.trailjournals.com//journal/entry/517915,"Suds here, It has been steadily raining here for the past two days. To fight the gloomy overcast skies Sub and I hit the Lake trail. Both days we hiked the 4 mile Amadahy Trail around Carter's Lake in the rain.It was a very reassuring experience, since we have the gear we plan to hike with, I know that my gear will stay dry. I had switched my garbage bag liner for a Z-Paks cuben fiber pack liner. It worked beautifully! Most reassuring was my toilet paper which stayed dry in two ziploc baggies. I belive I can do a wet day or two on the trail. I did get a blister under the callus on my little toe. I believe I will try out Luekotape next, it comes more highly recommended than my go to, duct tape. Sub and I will continue to squeeze in hikes until we take off on our adventure! In the meantime I'll just keep on dreaming??",,Gear rain check,"Dec 01, Tue",0
Subman and Suds,https://www.trailjournals.com//journal/entry/518718,"Just wanted to wish everyone a very Merry Christmas and Happy new year. Suds and I can't wait to get on the trail and start heading north. Best to the class of 2016
Yee Haa Let's go Climb a Mountain 
Subman and Suds Ga-Me 2016",,View Entry,"Dec 24, Thu",0
Subman and Suds,https://www.trailjournals.com//journal/entry/518881,Mingo is on the way to Maine as Hiker #3.Suds and I dropped him off on top of the Falls at Amicalola. We heard from him later in the day. He made it to Springer but was in rough shape. I told him tomorrow would be easier. Happy New Year to all from Subman and Suds,,View Entry,"Dec 31, Thu",0
Subman and Suds,https://www.trailjournals.com//journal/entry/518888,"The last two days were frustrating getting Mingo up to Amicalola. The plan was to hike with him to Neels Gap. After shuttling my truck up to Neels we had engine trouble but left it there not knowing if we would be able to drive it home. Also Suds got sick that night and was heart broken she wouldn't be able to hike up to Springer and bring in the New Year. After dropping off Mingo and getting him on his way we drove back up to Neels and thankfully got the truck back to my mechanic in Ellijay. We also got Suds repaired at a walk in Clinic in Blairsville where we were fortunate enough to meet Winkle and her Husband Greg. Awesome people that I'm sure we will get to know better in the future.The weather is going to be so nice for the next week we want to start our Thru-Hike now.We hope to go out and hook up with Mingo after Suds feels better. I hope everyone signs Mingos guest book with words of encouragement cause we are really rooting for him. This is his third attempt at a Thru-Hike.Subman and Suds 
                     ",,View Entry,"Jan 01, Fri",0
Subman and Suds,https://www.trailjournals.com//journal/entry/519339,"Suds here, A few developments in the past few days make our dream seem very real! I turned in my notice for work, Feb 13th will be my last day. Those I work with are very supportive and excited for me. I have purchased a National Geographic map of the AT to hang in the breakroom. they are very excited about following along my journey, even planning trail magic trips. many are requesting the Link to our spot so they can track us. their excitement feeds my soul! It is a little melancholy Leaving friends who have been there for me in good times and bad. 
After the disappointment of not being able to bring in the new year atop Springer Mt. This year is shaping up nicely. Sub and I have been training every chance we get. Using the Pinhoti Trail, Our Carter Lake trail, and today we did two rounds on the Amicalola Falls stairs. It felt geat!
We are watching all the early starters and wish them well. looking forward to making many friends along our journey.",,Home,"Jan 07, Thu",4
Subman and Suds,https://www.trailjournals.com//journal/entry/520091,"As we sit in our warm house watching the snow falling outside we patiently wait on our starting day. Reading journals and keeping in touch with other hikers keep me in the hiking mode. Suds and I have been training as much as possible to stay in shape but as most know backpacking on the AT is hard to equal.We have also been playing with our SPOT tracking device. After I messed it up Suds took charge and resent tracking Links that I thought I deleted. If anyone following our hike would like a Link to our SPOT,to see where we are real time, shoot me your email at submanat03@yahoo.com. This way you can find us at a Gap with a Picnic Basket. Or hop on and join us for a section.Was able to get on the trail with Slipknot a couple days where I also met AK. Ran into Winkle who has been working hard at the new camping area south of Hawk Mountain Shelter.Suds last day at work is Feb 12th so anytime after that if the weather is good we are GONE.Subman and Suds Ga-Me 2016",,View Entry,"Jan 23, Sat",0
