Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Suntory Time,https://www.trailjournals.com//journal/entry/521827,"Only 25% of thru-hikers who start the Appalachian Trail actually finish. The main reason why most people quit is because of an injury of some sort, although a lot of people also just kind of flame out. Most people quit before they reach the Georgia / North Carolina Border. It is generally acknowledged that if you make it into North Carolina, your chances of finishing go up.",,Odds of Finishing the AT,"Feb 25, Thu",0
Suntory Time,https://www.trailjournals.com//journal/entry/521828,"Is anyone else starting at Springer Mountain on Thursday, March 17th?I'm really looking forward to the start of the AT.",,Anyone Else Starting on Mr. Springer on March 17th,"Feb 25, Thu",0
Suntory Time,https://www.trailjournals.com//journal/entry/521883,This personal account of thru hiking the Appalachian Trail is definitely worth a read. https://www.washingtonpost.com/lifestyle/travel/what-i-learned-on-a-6-month-2200-mile-hike-across-the-appalachian-trail/2016/02/18/d7294088-9d1b-11e5-a3c5-c77f2cc5a43c_story.html,,Washington Post Article on Thru Hiking the AT.,"Feb 26, Fri",0
Suntory Time,https://www.trailjournals.com//journal/entry/521826,"Hi,
Just wanted to start my first post. 
I'm headed down to Georgia on March 15th on Amtrak's ""The Crescent"" from Phili's 30th Street Station. 
I'm getting off at Gainsville, GA and will be picked up by The Hiker Hostel. 
I'm starting at Springer on March 17th. 
I was actually able to score s roomette on Amtrak for just a small amount of additional cash. I get dinner and breakfast free and I also get to use the Club Acela Lounge at 30th Street Station at Philadelphia. I'm looking forward to the lounge, but I'm going to look a bit out of place. 
Amtrak has regulations that you can't take anything flammable and you can't bring a knife on board, even a pocket knife. I'm going to attempt to legally mail myself a butane fuel cartridge to Georgia as well as send my Victorinox knife in a pouch in the mail separately. 
Over the next couple of days, I'm going to put my things in storage. I have rented a storage unit for my things. 
I'm writing this using my iPhone. I intent to use it for photos and videos as well as Guthook's hiking guide. I plan to communicate as much as I can on the trail. 
Looking forward to the hike.",,Starting out March 17th. ,"Feb 28, Sun",0
Suntory Time,https://www.trailjournals.com//journal/entry/523246,"I've put my things in self storage and am currently working on doing a pack shakedown. I decided not to take a 0 degree bag and instead will take a 20 degree down bag that is half the weight of the 0 bag. I also decided not to take my down pants and my North Face Shell, and will instead take my Marmot Rain Jacket which is much lighter. I'm going to begin my journey on Tuesday by Amtrak down to Gainesville, GA. I've been reading that there may be a lot of people on the trail as well as the fact that there has been a norovirus outbreak in the Smokies. I've been trying to figure out how to prevent norovirus infection. I'm going to take some antibacterial soap with me but I don't know if this will totally prevent the danger. I sent my first resupply package to Mountain Crossings at Neel's Gap. I also got some really good trail food at Sam's Club. Looking forward to my trip in a few days.",,View Entry,"Mar 11, Fri",0
Suntory Time,https://www.trailjournals.com//journal/entry/523583,My Dad dropped me off. I'm waiting for my train down to Georgia. Hiker Hostel just called and said there are two other Nobos (North Bound Thru Hikers) on the same train. I'm going to try to track them down once I'm on board.,"
",View Entry,"Mar 15, Tue",0
Suntory Time,https://www.trailjournals.com//journal/entry/523906,"Got off Amtrak at Gainesville, GA. The train was only 30 minutes late. I, along with two others, were picked up by the Hiker Hostel. The Hiker Hostel was great. They took us in to Walmart and I had a great lunch at a Chinese Restaurant. It was wonderful. My pack is about 48lbs with water. I sent a bounce box to Mountain Crossings. Breakfast at Hiker Hostel was great. I was originally going to start on Springer, but the night before my departure I decided to start on the Approach Trail from Amicalola. It was a 2000 foot ascent. I was originally going to stay at Springer but I gave up at Black Gap Shelter a mile or so short of Springer. I slept for 11 hours. Got up this morning. Another fine day. Did the final summit push to Springer. I'm at Springer right now. It's a great day with wonderful views.","Black Gap Shelter Amicalola Falls AT ApproachTrail
",Hawk Mountain Campsite,"Mar 18, Fri",7.60
Suntory Time,https://www.trailjournals.com//journal/entry/524354,Well I did not get to Hawk Mountain Shelter as I had planned. A lot of effort expended just getting over Springer. Few do the approach trail but I wanted to actually come to the first white blaze. So I crashed and camped at Long Creek Falls. Let's see what tomorrow brings.Suntory Time,"Starting out March 17th. 
",Long Creek Falls,"Mar 18, Fri",5.40
Suntory Time,https://www.trailjournals.com//journal/entry/524355,I was tired after the previous day. Got trail magic quickly. I scored Little Debbies and a doughnut. Got to the Devl's Kitchen campsite around 6pm. My pack is too heavy but I am glad I brought the cold weather gear after all. It will be freezing tomorrow! Nice campsite. Some guy took a dump near where I was camped. Gross.,"Long Creek Falls
",Devil's Kitchen Campsite,"Mar 19, Sat",9.40
Suntory Time,https://www.trailjournals.com//journal/entry/524357,I was originally heading for Lance Creek campsite. Trail magic at Gooch Gap and Woody Gap. Weather was turning bad at Woody Gap. It was raining and getting colder. I did get a nice sausage sandwich and some tasty gumbo. Others were hitching into town. Then the sun came out and I started up the Trail. I got to the spring at mile 22.7. Cold! Some other guys were enjoying a fire near my campsite but I had a ramen and went to bed. It snowed! I had to wear all my stuff but it was ok.,"Devil's Kitchen Campsite
",Campsite at spring near mile 22.7,"Mar 20, Sun",8.20
