Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Swaggie and Matilda,https://www.trailjournals.com//journal/entry/548507,"After driving up the night before, we set out to drive over to the last section completion point at Crawford Notch and park the car, then shuttle back to the Falling Water trailhead to hike up to the AT where the two trails meet at Little Haystack Mountain. 

I'd forgotten just how steep the Falling Water trail is, this is the trail I walked down back in 2013 with a blocked small intestine, stumbling along like a zombie in great pain, severely dehydrated, barely able to walk. Coming up this same trail now I could scarcely believe that I was able to do it, it's so steep and rocky.


It's a beautiful sweeping vista along the Franconia ridge, above the treeline, with virtually a 360 degree view as you cruise along. We have a quick break and a snack before moving along the narrow ridge line, the highlight will be Mount Lafayette and it appears fairly close, but you can't actually see it and the hike takes much longer than we think.


It's down down to the Mt Garfield campsite, we have to set up on a platform, which presents some issues for a pole-less tent, there's no where to drive stakes into the ground to support the tent, so we have to figure a way to attach it to the wooden platform or on the sides. There's a nice SOBO couple setting up on the next platform and we chat for a minute.","Little Haystack Mountain
", Garfield Campsite,"Jul 31, Sun",0
Swaggie and Matilda,https://www.trailjournals.com//journal/entry/548602,"Typical AT Trail Scene in NH



Matilda in the Falls


The trail north from the campsite is basically a small stream as the spring runs down the rocks, it's very steep and slippery and I have to inch down, one of those scary New England descents that I'm not used to yet, one slip and yer gone.

It's looks like rain, and in fact its misting a bit, we approach the Galehead hut and decide to stop in for a break and see what happens with the weather. They have yummy ginger muffins and hot chocolate to warm us up, we can water up as well, but as we leave the rain comes down in earnest and we don rain gear and pack covers.

It rains into the afternoon, stopping for a break means getting cold so we gotta keep moving, the faster the better, but the rain makes the trail slippery and caution is advised.

We get to Zealand Falls Hut and decide to check out if there's space for the night, we're cold as we stop and hot meal and a warm bed would definitely be the prescription for the night.


Rainy PM View From the Hut


There's space, happy days, we get some hot water for soup and tea to warm us up, and then head to check out the falls, the rain has eased up but it's still dark and cold, that doesn't mean the falls aren't gorgeous though and we get some photos just in case the weather is worse in the am.

As the temps drop with the sun I'm starting to feel cold, didn't bring enough clothes for the weather in New England, I see someone wrapped in a blanket and think it's a great idea so get a few and wrap myself up, it helps a bit but still shivering.


Trying to Stay Warm at Zealand Falls Hut


Dinner is Beef Stroganoff, it's definitely an AMC version, no sour cream, just a kinda thin sauce, but I like to get some beef and eat as much as possible.

After dinner there's a short educational lecture by the resident geologist who describes how the Zealand Valley was formed by glaciers a mile thick, you can see the U shaped valleys in the distance. He talks about some of the beautiful hikes down in the valley, and I'm wishing we had more time to explore."," Garfield Campsite
",Zealand Falls Hut,"Aug 01, Mon",0
Swaggie and Matilda,https://www.trailjournals.com//journal/entry/548603,"Sunny Zealand Falls

Pancakes and bacon for brekkie at the AMC hut, it's a beautiful sunny morning by the falls, which look really spectacular in the early morning light, more like ledges actually, with the water sweeping over the rocks. We bask in the morning sun for a few minutes before heading off for Crawford Notch and more real food.

 The trail goes down steeply for a bit outa the hut then is flat as it winds around the opposite ridge, there's lotsa blueberries along the side and we stop several times to pick, a nice complement to the skimpie breakfast. It's a bit stingy of AMC to charge so much ($110) for a night and not offer a hiker sized breakfast to keep us going for a while.



Yummy Blueberries Trailside



Matilda Catches a Dip in Ethan Pond

Ethan Pond beckons, I need water and Matilda wants to swim, so we head in for water and a dip, it's warm as we are to discover. like most of the ponds. Then it's just a cruise down to 302 to finish the section, a last bit of a road walk to get to the car.
We drive into Gorham to check into the Top Notch Inn, looks pretty nice and the guy knows the local area well, then to Mr Pizza, one of the few places to eat in Town, not great food but great view of the river with a deck almost on top of it, and good draft beer. It's a buffalo chicken salad for me.","Zealand Falls Hut
",Crawford Notch,"Aug 02, Tue",0
Swaggie and Matilda,https://www.trailjournals.com//journal/entry/548923,"Atop Wildcat Ridge



Matildas Second Swim of the Hike

We already know this will be a tough day, up Wildcat Ridge from Pinkham Notch, so we need a good brekkie. It's gotta be the White Mountain Cafe, bagels and expresso, great way to start the day, then we head around to Pinkham Notch to the long term parking area, it's almost full and as we walk off, the last few spaces fill up, just in time.


Sunset on the Ridges of Carter Notch

It's typical AMC, the trail outa the parking lot is not marked at all, so we wander around for a bit, lost in a parking lot, OMG, end up by the road and I have to drag out my phone to see if we're on the trail or not, it's not, so we walk by the road for a bit to pick it up, it follows a small stream before heading up to the ridge line. Not bad for a while, it's just a generic AT steep climb, a thru-hiker blows by like he's running up the mountain, then another with audible music from a phone, we hear him from a ways back. It's the rock scramble that this mountain is famous for, it's really scary as you hang over Pinkham Notch, pack swinging on the breeze and the traffic and lodge visible below, if you dare to look down-I don't.It's a V shaped angle in the rocks that you have to wedge yourself in to get through, one slip is all it will take.
There's a chair lift at the top, tourists abound, some day hikers, we coulda put our packs on the chair lift and picked them up at the top.We hear later that some hikers go up with just a snack and water bottle and take the chair lift back down to pick up their packs, why didn't we think of that?
We ramble along for a while, there's an overlook of the notch with a bunch of SOBOs sitting around, they start a pipe and offer us some but we gotta get down to the bottom of the notch so we press on.The descent isn't too bad, just steep, nothing technical, we see some stealth sites trail side but keep going to the hut to check, they tell us of some nice sites behind the hut out of the Forest Protection Area (no camping zone), and we find a nice site.
Back to ??? hut for Matilda to swim and get water, then to the ramparts (a rocky overlook) to watch the sunset over the mountains in the distance.","Pinkham Notch
",Carter Notch Stealth Campsite,"Aug 03, Wed",0
Swaggie and Matilda,https://www.trailjournals.com//journal/entry/549194,"Early AM Light up Carter Dome


It's a steep climb to start the day off, up to Carter Dome with some nice views of the valley below us as we gain altitude. There's a bunch of Carter mountains on this section, middle, south, etc and also Mount Hight, which has tons of berries to snack on and keep us going up all these mountains.


Rest Stop on Mt Hight


It's the Imp Shelter for lunch and a huge aggressive fly arrives to share our meal, a real nuisance it buzzes around and around and really annoys us until I slow it down with a slap from a sweat towel and stomp it when it slows down.

We have trouble finding a campsite for the night, we see some nice spots but they have dodgy looking water supplies, or no water at all, so keep going but getting very tired late in the day, we finally find a so-so spot off to the side of the trail, it's not exactly flat and a bit buggy, there's a nice stream nearby though so it'll have to do, the good news is it shaved some miles off from tomorrow, where we head outa the mountains and into town.




Selfie on Mt Hight","Stealth Campsite in Carter Notch
",Stealth Campsite by a Stream,"Aug 04, Thu",0
Swaggie and Matilda,https://www.trailjournals.com//journal/entry/549822,"Great Swimming Hole in the Rattle River


Easy day, we're ahead of schedule, the trail follows the Rattle River for a while, there a great looking swimming holes dotted in the river as we follow and cross it, the area around the shelter is rumored to have the best though so we wait.

The trail is very easy now, just a gentle grade down, we dump off our packs and head down to the river to check out swimming, it's indeed a great spot, the water rushes over some rocks into a deep pool, it's too cold for me but Matilda jumps right in, I bathe my feet and wash a bit, get some lovely pix of the swimming hole.

We were gonna stay at the White Mountains Hostel just down the road a bit, but as I hike the thought came to me that the next section is one of the most difficult on the AT, Mahoosuc Notch with it's infamous 1 mile boulder scramble, so the brilliant idea is for us to skip it for now and do it together, it's a bit risky alone and it means Matilda can finish New Hampshire, strike another state off the list, so the plan is to drive to Andover and pick up the trail there.


Pine Ellis Hostel, Andover Maine


We head into the hostel to pick up a supply package that was mailed, it looks like a great hostel, very clean and they a wonderful system for doing hiker laundry-you take off your dirty stinky clothes and dump them in a hamper, then they supply clean clothes to wear until the laundry is done, the place is very clean and neat and the staff are all very friendly.


Festival in Andover


We shuttle back to Pinkham Notch and have some lunch, it's still early so we don't need to rush, soup and sandwich, then about an hour and a half to Andover to the Pine Ellis hostel, it's definitely an AT style place, a bit dirty and cluttered, very cheap is the good side, we hear news of prime rib for dinner and head over to the Little Red Hen.

There's a festival going on, just our luck, a band is playing at the commons till late and there are local artisans displaying there wares, with food as well, the prime rib wasn't so great and I'm regretting we just didn't come here to eat. A bottle of Jamieson helps the evening pass.","Stealth Campsite
","US Route 2, Gorham NH","Aug 05, Fri",0
Swaggie and Matilda,https://www.trailjournals.com//journal/entry/549196,"A zero day in Andover, very nice, the festival is going on with a parade, a chicken BBQ at the fire station and a vintage car show, should be fun.

The parade is kinda weird, there are lotsa military vehicles, including a tank with rubber tracks, but also some old restored farm machinery and fire equipment, and last comes a big horse and cart, the driver seems to be having trouble controlling the horses, it looks like at some point they're gonna plow into the crowd until someone grabs one of the lead horses and wheels them around away from the crowd.

The BBQ looks great, it's minus beer though so we decide to get it to go and buy a six pack from the General Store-all these little towns in Maine have a general store, pretty cool. Back to the hostel to sit on the grass and eat our BBQ washed down with some cold beer.

Then it's off the check out the vintage car show, there seems to be lotsa old cars for such a small town, they must be coming from miles around. There are some nice old Chevelles that somehow remind me of Norm Beechey's race car back in Australia in the late 60's, but when I look it up it seems Norm drove an earlier model. He was know as Stormin Normin for his flamboyant driving style, and his contests with Pete Geoghegan in the Mustang have passed into Australian motor racing legend.","US Route 2, Gorham NH
",Andover,"Aug 06, Sat",0
Swaggie and Matilda,https://www.trailjournals.com//journal/entry/549821,"A 13 mile slack pack, very easy after all that carrying a pack, and even the AT is easier. Near the end I bump into a couple and the guy is having some issues, when I tell them we're staying in Rangely that night he decides to bail and catch a ride.

Matilda comes bouncing down the trail as we near the road crossing and, there's a short steep climb up from a stream, at the road there was apparently some trail magic earlier but alls that left is a cooler of cold beer, not bad just the same.

The Town and Lake motel in Rangely is great, there's a beautiful lawn in the back that opens onto a lake, really pretty. For dinner we find a nice restaurant in town, they ask if we have reservations even though the place is empty, later it fills up and we see why.","South Arm Road, Andover
",ME 17 Oquossoc/Rangely,"Aug 07, Sun",0
Swaggie and Matilda,https://www.trailjournals.com//journal/entry/549823,"Another 13 mile slack pack, I'm liking this a lot. Matilda drops me off in the morning after we walk to the bagel shop just up the street from the motel, we bump into the couple we shuttled last night, he says his knee is feeling much better and will rest another day before going back out SOBO.Quick day, finish around 3 or so and we drive back into Rangely. I'm hankering for a steak and we find a hibachi at a general store. It's easy to just assemble one of grills that come with it, and there's a crude BBQ at the motel, we pick up some fast start charcoal and firewood and get a nice fire going, it's a bit late when we eat but tastes great, and we have a warm fire for the evening. The $12 hibachi will go back to DC to be used post hike for grilling steaks, it works better than gas for that.","ME 17 Oquossoc/Rangely
","ME 4, Rangely","Aug 08, Mon",0
Swaggie and Matilda,https://www.trailjournals.com//journal/entry/549824,"Back with a backpack, Matilda drops me off in the morning at the trail head and we say a sad goodbye as she's headed back to DC to continue work.It's a 4 day section so have enough food for that, but 3 days is also a possibility.

First stop is Eddy Pond, a lovely quiet spot, the guide says there's no camping by the lake shore, despite obvious signs of stealth campsites. I sit and listen for a moment, enjoying the silence.

Then there's a climb up Saddleback mountain, a downhill ski area, luckily the ski trails don't spoil the view. The trail opens out above tree line, it's a rocky scramble, not too steep though.

There's a small group of backpackers sitting on rock ledge having a snack, they invite me to join them and I do, it's sunny and outa the wind, very pleasant.

There are blueberries along the trail, getting thicker as we go up, very low bushes to avoid the brutal winter wind. Nearer to the summit there are more berries and crowds of day hikers picking berries, at the same time tramping all over the bushes, tsk tsk, it's an alpine environment and signs encouraging hikers to stay on the trail, lady backpacker admonishes them to stay on the trail.

Then it's up and over the horn and on to Redington Campsite, planned stop for the night, it's only 3 o'clock so decide to continue on to Poplar Ridge, another 2.7 miles, maybe 3 days is possible for this section.

At the Lean to there's already 2 hikers in situ, one sitting by the fire ring and another dead to the world on the shelter floor. It's Tuna Roll, I'll bump into him several more times, he's totally beat, so tired he can't even raise himself up.

More hikers stream in, the couple from Saddleback and 2 more women, Ninja who's doing a vacation section for 3 weeks, a claimed SOBO who doesn't have any fuel left, then she dumps her empty fuel canister out on the ground.

Tuna Roll and the male half of the Saddleback couple are ex-military and they get into a boring discussion over where they've been posted to, yawn. I doze off listening to music and playing Sudoko on the phone.","ME 4, Rangely
",Poplar Ridge LT,"Aug 09, Tue",0
