Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
The Coopers,https://www.trailjournals.com//journal/entry/522861,"This is the first entry for our upcoming hike on the Appalachian Trail. I will be hiking with my oldest daughter. We will be starting on Springer Mountain on March 13, 2016. The preparation for this hike has been ongoing for a very long time.It feels good to be lost in the right direction.",,First journal entry,"Mar 08, Tue",0
The Coopers,https://www.trailjournals.com//journal/entry/522872,"We are just a few days away from starting our journey. The Florida temperatures are supposed to be in the 80's this week. It's going to be a shock to our systems to go to the cooler temps of the mountains. I will be doing a walk this evening in running shorts and shirt, while planning on packing extra clothes for the tricky temperatures on the trail.But I'm looking forward to all of the changes we experience on the trail.It feels good to be lost in the right direction.",,Tricky Temperatures,"Mar 08, Tue",0
The Coopers,https://www.trailjournals.com//journal/entry/522895,"I needed three entries in order for my journal to get activated. The attached photo is of my daughter, Ariel, chillin' near Clingman's Dome parking lot last October.It feels good to be lost in the right direction.",,View Entry,"Mar 08, Tue",0
The Coopers,https://www.trailjournals.com//journal/entry/523192,,"
",View Entry,"Mar 09, Wed",0
The Coopers,https://www.trailjournals.com//journal/entry/523193,"Well I completed the last day at work. It's kinda weird leaving not knowing what lies ahead in the next few weeks. On a good note, I received my first trail Angel treat from my boss...a box of Clif crunch bars I've already packed some of them in my food bag. Preparations are in high gear now.It feels good to be lost in the right direction","
",View Entry,"Mar 10, Thu",0
The Coopers,https://www.trailjournals.com//journal/entry/523195,"We leave for Amicalola Falls tomorrow morning. I'm stuck between feeling on top of the world getting ready to start this trek to one second from peeing myself from the nervousness of it. Either way I get a warm sensation In addition, my daughter and I cootie-proofed our heads today at the barber shop. It feels good to be lost in the right direction.","
",View Entry,"Mar 11, Fri",0
The Coopers,https://www.trailjournals.com//journal/entry/523291,"We left for Amicalola Falls from Jacksonville, Florida this morning. My buddy, Tom, was sitting outside our house waiting to see us off. It was very nice of him to do that.Another friend, Will, was willing to take us us up to Georgia. We are very apreciative of Will taking the time to get us up to the beginning of our journey.We checked in as hikers #597 and #598. After the check-in we took some pics at the arch and the falls. Tomorrow is the BIG day!!!!Thanks to everyone giving us the great comments and we'll wishes.It feels good to be lost in the right direction.","
",View Entry,"Mar 12, Sat",0
The Coopers,https://www.trailjournals.com//journal/entry/523409,"Today was our first day on the AT. I have to admit I got a little teary eyed as we walked into the woods. It started out rainy and foggy but later in the day we had enough sun to give me a burn on my newly haircut head. Ariel was in her tent at 6:00 pm to recharge her body for tomorrow. Again,I want to give a thank you to Will. He even did the two mile hike in the rain and fog to the top of Springer Mountain so that he could get a photo of Ariel and me at the beginning.It feels good to be lost in the right direction.","Springer Mountain
",Hawk Mountain,"Mar 13, Sun",8.20
The Coopers,https://www.trailjournals.com//journal/entry/523623,"Day 2Yesterday was a good day. We topped Sassafras and Justice mountains. Between these mountains was a great place called Cooper's Gap We made it to Gooch Mountain shelter early. Had a little rain while setting up tents. There were about 7 official tents sites, but by the evening there were about 40 tents setup. It was crazy!!Day 3Today started off nice with a Trail Angel serving fruit and pancakes at Gooch Gap. The trail and weather were great. There were nice views all day. We had a second opportunity for Trail Magic at Woody Gap. A couple from Jacksonville were there serving drinks and snacks. Ariel had a Coca Cola and was was chat the rest of the day.","Hawk Mountain
",View Entry,"Mar 14, Mon",15.80
The Coopers,https://www.trailjournals.com//journal/entry/523624,"Day 2Yesterday was a good day. We topped Sassafras and Justice mountains. Between these mountains was a great place called Cooper's Gap We made it to Gooch Mountain shelter early. Had a little rain while setting up tents. There were about 7 official tents sites, but by the evening there were about 40 tents setup. It was crazy!!Day 3Today started off nice with a Trail Angel serving fruit and pancakes at Gooch Gap. The trail and weather were great. There were nice views all day. We had a second opportunity for Trail Magic at Woody Gap. A couple from Jacksonville were there serving drinks and snacks. Ariel had a Coca Cola and was was chat the rest of the day.","Hawk Mountain
",View Entry,"Mar 14, Mon",15.80
