Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Timeout,https://www.trailjournals.com//journal/entry/518457,"Originally I was planning on another thru-hike attempt in 2017, but things at work are leading towards moving that up a year. I'm still awaiting for a final decision/outcome from my bosses boss, to see if it is a go and if so, when, but I'm making plans based on it happening.2016 isn't the ideal year, 2017 would've been better. My youngest son is a senior in high school, so I'll have some of the same ""mental"" issues to deal with this time as I did in 2013. Added to that my daughter is getting married in June. But is there every a perfect time.On the plus side, I have a much better appreciation of what is ahead of me having done 1000+ miles and 2+ months 2013.   This time I'm use my zero days better, I'll be taking zero days around high school graduation and the wedding. In addition, I want plan other zero days around either visits to or from my family.",,2015 Hike Might Be In My Future,"Dec 15, Tue",0
Timeout,https://www.trailjournals.com//journal/entry/518458,"As I said earlier I'm much better prepared this time than last. Much of my gear is the same, but I have upgraded a few items with newer lighter versions. Also, 1000+ miles and 2+ months taught me what I really need, so I'll start out with fewer items and a much lighter pack. I'm also smarter about food and a resupply, so I won't be taking ""too"" much this time. I'll also be using little or no resupply boxes. I was simply shipping myself too much food. I remember giving away food at Fontana Dam because I didn't need it.I'm also lighter and healthier. I've kept about 10+ pounds from my first attempt. On the downside I am older . Also, I'm planning on leaving in early March which will add a few colder weather items that I didn't need before.But when it all said and done, I will definitely be carry less on my back and around my waist.",,Experience,"Dec 16, Wed",0
Timeout,https://www.trailjournals.com//journal/entry/518459,"I need a third entry to get published, so I thought I'd write about what I gained from my first attempted thru-hike, and.As I've already said, after a 1000+ miles and 2+ months, I succumbed to the ""mental"" issues. I missed my wife, family, friends, ... I was worried about what I was missing out of their lives. And that taught me their value to me. Since coming back my relationship with my wife is much stronger, we take more time for each other. It recharged and reinvigorated are relationship (I used that as an excuse why another thru-hike would be a great idea, ""if the last one did that, just image want another one will do"").Another something I've gained, is the value of experiences over ""stuff"". The experience of that hike is still with me today and is as strong then as now. It's value to me is priceless, you can't buy that, you need to have done it, so you can claim is as your own. As for ""Stuff"", when your needs are broken down into 3 simply things: food, water and shelter and your goal is simply to get from point A to point B, you realize you don't need a lot of stuff to be happy and fulfilled.Related to the above, I've learned that life doesn't need to be extravagant, expensive, complicate, etc.. to be fulfilling, I happier keeping it simple.One last comment. I've written a how life on the AT is simple, to paraphrase a saying I just read in a book ""simple and easy aren't the same thing"". AT life can be simple, but is never easy.",,What I Gained,"Dec 17, Thu",0
Timeout,https://www.trailjournals.com//journal/entry/521352,"Well after a few months of on and off again discussions, the word final came down on the Leave Of Absence. ""No"". The reason, get this, they (senior management) didn't what to set a precedent. Honestly, how many people take 6 months off. I can see it now, that big stampede to the door, “Hey, everyone Timeout is taking 6 months off, let’s all go…”. Yeah, not going to happen. Oh, and let’s not forget I already was approved and took a 6 months’ LOA in 2013 (though I only ended up using 3 months). So I guess the precedent was already set, huh! I bet if I checked, I’m probably the only one who’s taken a personal LOA longer that 6 weeks it the last decade. With no LOA, that leaves staying on or resigning. Well, dropped off the resignation letter this morning. (Honestly, I knew the LOA was an outside chance at best). So, with the resignation thing done, I’m all in now. Got to say it is a little bit liberating and troublesome all at the same time. Liberating in the sense I can put all the second guessing, sleepless nights, etc… behind me now and focus on getting ready. Troublesome, in it that this is the first time since 1984, 32 years, I haven’t had a job (I guess that’s liberating too).16 days from now “I’ll be back”. Can’t wait! Lot more anxious this time around, maybe I’ll say more about that later.Well, I still have two weeks of work ahead of me, and I’ll need to take care of all the HR stuff, so it is not all care free yet, so back reading journals, Oops, I mean work.",,Committed!,"Feb 18, Thu",0
Timeout,https://www.trailjournals.com//journal/entry/525606,"Well as I'm typing this I haven't even hiked a step yet, I'm still on the train. My 12:22 am train didn't leave until 3:20 am and I'm not expected to arrive until 10:30 am. My shuttle now has a conflict and won't be able to pick me up until noon (absolutely not his fault, he's going out of his way to still get me there). However, with such a late start I'm changing my plans and starting at springer, instead of the approach trail. I knew there would be setbacks, but I thought they'd happen on the trail not to it.Finally made it to springer mountain parking lot at 3:00, quickly hiked to the top and toke my picture, and then was off. Arrived hawk mountain at 6:30, setup. Ate and went to bed. Long first day.","Home
",Hawk Mtn Shelter,"Mar 05, Sat",8.10
Timeout,https://www.trailjournals.com//journal/entry/522813,"It was cold last night. Short rain shower not too bad, but woke to ice on the tent.About 2 miles in ran into trail magic put on by some 2014 thru hikers. Hot dog, candy and a Dr pepper, hit the spot. Had lunch at goche shelter, talked with a guy hiking with his dog. I miss Oliver already.Made it to lance creek by 5:30, setup, ate and joined the group there for some trail talk. All good, so far much better experience, lots of company this time..","Hawk Mountain Shelter
",Lance Creek,"Mar 06, Sun",16.20
Timeout,https://www.trailjournals.com//journal/entry/522877,"Good crowd, last night. Wasn't too cold, as we were down in elevation.Morning was cloudy, windy and cool. Took the half mile there and back trek to the next shelter to use the privy. Though privies aren't like home they beat a tree any day.Blood mountain was cold windy and since I have been there before I didn't stay long.Stopped in Nells gap picked up my resupply box and showered.I was going to camp with a group I met last night but they were going to camp right next to the road. Not a good idea, road noise, potential trouble with the locals, so I headed on to low gap.Got in too late to socialize. Lots of people here.It's all a bit of deja vu right now,I staying exactly the same places as 2013.","Lance Creek
",Lowgap Shelter,"Mar 07, Mon",18.90
Timeout,https://www.trailjournals.com//journal/entry/522972,"Beautiful day. A couple of good climbs andfeeling a little tried after yesterday, but was made better by my second dose of trail magic. 66 had Gatorade, fresh fruit and snacks, just what I needed.Hiked a bit with forester Gump, a 2014 thru hiker, that is doing it again. Guy is amazing he had his knee rebuilt, so to motivate him thru rehab, he said he thru hiker.Made to the shelter early, big crowd, but what was interesting about it was all the europeans. 2 Germans, 1 Dane and 4 from the UK.","Lowgap Shelter
",Tray Mountain Shelter,"Mar 08, Tue",15.40
Timeout,https://www.trailjournals.com//journal/entry/523170,"Another nice day. Nothing unusual or exciting about today, the miles came pretty easy and the day flew by. Ended up getting to the shelter by 2:30, so I took a hiker bath (washed off with my hand towel), did laundry and spent the rest of the day resting. Mixed crowd at the shelter, maybe about a dozen hikers of all ages.First shelter stay of the trip, I could hear the mice climbing the walls all night, no problems though.","Tray Mountain Shelter
",Plumorchard Gap Shelter,"Mar 09, Wed",15.50
Timeout,https://www.trailjournals.com//journal/entry/523171,"Well the original plan was to do about 12 miles, but l made to Standing Indian shelter by 1:00, too early to stop so we, pendexter and I, kept going.Arrived around 4:30, long day, but now Franklin is in reach.","Plumorchard Gap Shelter
",Cater Gap Shelter,"Mar 10, Thu",19.80
