Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Two Peas,https://www.trailjournals.com//journal/entry/520003,"Today we are logging our first journal entry after adding some of our gear. Big Cypress enjoyed a quiet birthday today, as we were rained out at our local medieval faire. More like flooded out, as it was sunny today. We've now nicknamed the event the Mudieval Faire.",,First Entry,"Jan 17, Sun",0
Two Peas,https://www.trailjournals.com//journal/entry/519813,"We are getting excited....time is ticking by quickly. Big Cypress working on ordering the last items we need. I, Moonbeam, added to our gear list and still trying to learn how to use this trail journals website, it's easy as a person reading journals, but much different as an actual journalist.",,Gear List Additions,"Jan 18, Mon",0
Two Peas,https://www.trailjournals.com//journal/entry/520002,"Down to 22 days tomorrow....today we worked on trail prep; as we have been doing for several months. I spent some time weighing new arrivals and I also put a few stitches to our mircofiber trail towels, so they don't fray away(very large, so we cut them in half and to cut weight) Big Cypress worked on his pack, testing equipment and starting to load boxes for mailing to ourselves. We've been reading the journal of SlipKnot, he started hiking north already. We wonder if we will see him along the way?! Praying he's prepared for this big blizzard getting ready to hit the east coast. As a matter a fact, hopefully WE are prepared well enough for a very snowman-esque hike?! We've planned and planned and re-planned, and Farmers Almanac says above normal precipitation for the east coast in 2016....we will soon find out! It's all very exciting!!",,Weights & Measures,"Jan 21, Thu",0
Two Peas,https://www.trailjournals.com//journal/entry/520332,"We have been working on our food drops and packing, unpacking and packing yet again our back packs....part of the process. Big Cypress's preliminary back pack weight is 40 and Moonbeam's is 32 pounds, including 6 days of food and 2 liters of water. Today's prep work....Making reservations for the hotel stay, for our night before our grand adventure starts!!",,Pack Weights,"Jan 28, Thu",0
Two Peas,https://www.trailjournals.com//journal/entry/520384,"Ok....it looks like the Farmers Almanac weather outlook is spot on for 2016. Topic of discussion...snow shoes, nough said!! Butterflies in tummy and big grins of excitement all at the same time!!",,Farmers Almanac,"Jan 29, Fri",0
Two Peas,https://www.trailjournals.com//journal/entry/520499,"Tomorrow will be 12 days until our start. Tonight we had dinner with my folks & sisters & brother in laws and one of our 3 nephews (on my side). We are blessed that my immediate family lives in the same zip code. This has only come about in the last couple years and I LOVE it!! Big Cypress's immediate family has lived close by, same town, not same zip, for as long as we can all remember!! We are so blessed and very fortunate!!The trail is marked with this white line/mark known as the Blaze. We will be following for 14 states!!",,Follow the White Blaze,"Jan 31, Sun",0
Two Peas,https://www.trailjournals.com//journal/entry/520788,"The ""shake down"", as Big Cypress said, was the norm before the deployment...so that's what we did today!! All necessary gear, 6 days of food, 2 liters of water - ready to walk out onto the AT today, if that was the plan, but we walked 3.7 miles around our piney woods for this days shake down. A few minor adjustments, and still on schedule!",,Shake Down,"Feb 05, Fri",0
Two Peas,https://www.trailjournals.com//journal/entry/520848,"The shake down continues....all is going well. Yesterday we hiked 5.8 miles to my folks house and ""hitched"" a ride from dad back home. Spent the evening with our only super bowl party attendy, our grandson, Emmett.",,First Hitchhike,"Feb 08, Mon",0
Two Peas,https://www.trailjournals.com//journal/entry/520930,"Trail Terms for those interested, this is several that we found informative and we will be using some of them. More to come and more out there. 2,000 Miler -- A Thru Hiker or Section Hiker who completes the A.T.A.T. -- Appalachian TrailAYCE --'All You Can Eat' Restaurants that offer all you can eat buffets are very popular with hungry hikers.Bald -- A low elavation mountain surrounded by forest yet devoid of trees on the crown. typically covered with meadows, balds can offer great views and are a good place to find wild berries, they also attract much wildlife. A southern term.Blazes -- are painted, 2-inch by 6-inch, vertical white rectangles that are placed at eye height on trees and other objects, in both directions, to mark the official route of the Trail. Side trails are marked with blue blazes. You see horizontal, diagonal, arrows, and other blazes along the Trail.Blue blaze -- Spur trails off the AT to bad-weather routes, views, shelters, water sources etc are often marked by AT style blazes painted Blue.Blue-blazer -- is a long-distance hiker who substitutes a section of blue-blazed trail for a white-blazed section between two points on the Trail.Cairn -- A obviously manmade pile of rocks erected as a trail marker. Chiefly used above timberline. Should be close enough to see the next one in heavy fog, and high enough to see above fallen snow.Double blaze -- Two blazes, one above the other as an indication of an imminent turn or intersection in the trail. Offset double blazes, called Garveys, indicate the direction of the turn by the offset of the top blaze.Flip-flop -- a term used to signify a hiker that starts hiking in one direction then at some point decides to jump ahead and hike back in the opposite direction. Some hikers on the AT will start hiking northbound from Springer Mt. and usually at Harpers Ferry they may decide to go to Katahdin and hike back down to Harpers Ferry, thus completing their thru-hike. This is a good way for someone to still get their hike completed if they are behind and their time is limited due to the oncoming winter.Harpers Ferry -- The ATC's National Headquarters and Information Center is located in Harpers Ferry WV, about 1000 AT miles north of Springer Mountain. A short blue blazed trail leads to HQ, where AT hikers traditionaly sign the register and have their photo taken.Hiker Box -- A cabinet or box at hostels where hikers donate unwanted food for the hikers coming behind them.Nero Almost a Zero ...in other words, a very short mileage day.NOBO Northbound thru-hiker (Georgia to Maine) SOBO Southbound thru-hiker (Maine to Georgia) Also a MEGAPUDS -- is thru-hiker shorthand for ""pointless ups and downs"", referring to the less interesting sections of mountains thru-hikers encounter from time to time; several PUDS in a row are MUDS, which is shorthand for ""mindless ups and downs""Purist -- A hiker who wants to pass every white blaze on the trailRegister -- A log book normally found at a trail shelter or a trail head. The original intent was for hikers to sign in so a searcher needing to find a lost hiker could tell where they last were.",,Some Trail Terms A thru R,"Feb 09, Tue",0
Two Peas,https://www.trailjournals.com//journal/entry/520972,"Shelter -- A three sided wooden or stone building, spaced out a half day's hike apart, near a water source, and with a privy. The AT has many kinds of shelters, from barns to cabins.Skunked -- Failing to get a car to stop when hitch hiking.Slackpacking -- to hike without a pack, which is sent ahead for pickupStealth -- a manner of camping where there is no indication that you are there, and no trace of your being there is left when you've left. Sometimes used as a term for camping illegally on public or private land.Stile -- Steps constructed over a fence to allow people, but not livestock, to pass. Also known as Dodgeway.Tent Pad/Platform -- At some camping sites, tenting is restricted to built up earthen 'pads' or wooden 'platforms' to ease impact on the area.Trail Angel -- Someone who provides unexpected help or food to a hiker.Trail Magic -- Unexpected, but welcome, help or food.Thru-hiking -- is the act of attempting to become a 2,000-Miler in a single, continuous journey.Turtle-ing -- a tumble in which hiker lands on pack and struggles to regain footing.Umbles -- Stumbles, Bumbles, and Mumbles that may signal a more serious malady like dehydration or hypothermia etc.Vitamin I -- Ibuprofin an over the counter anti-inflammatory drug that many hikers use while backpacking.Waterbar -- is a log or rock barrier that diverts water off the Trail to prevent erosion.Web Walking -- to be the first hiker on the trail in the morning, thereby clearing spider webs, usually with one's face.The Whites -- The White Mountains of New Hampshire.Whiteblazer -- A term from the Appalachian Trail to describe a person hiking pure (see purist), that is, hiking past every white blaze - which are the standard trail markers on the AT.Work for stay -- Some hostels, the AMC Huts in the Whites, and a few other places along the AT allow some hikers to work in stead of paying the fee for lodging.Yellow blazes -- Term used to denote the yellow center-line that is painted on a highwayYellow blazer -- Someone who hitch hikes around sections of trail by following yellow blazes.Yogi-ing -- is the good-natured art of ""letting"" food be offered cheerfully by strangers without actually asking them directly (If you ask, it's begging!).YMMV -- Your Mileage May Vary', hiker jargon for 'this worked for me, but your results/opinions might not be the same.'Yo-yo-ing -- is the act of completing one A.T. thru-hike, then immediately turning around to begin another in the opposite direction.Zero day -- is a day in which no miles are hiked, usually because the hiker is stopping in a town to resupply and/or rest",,Trail Terms Part 2 S - Z,"Feb 10, Wed",0
Two Peas,https://www.trailjournals.com//journal/entry/521024,"One more sleep until we are taken by our lil grandson, Emmett, and our son, and daughter in-love, to the southern terminus at Amicalola. We are going to miss spending time with our family and especially....yes, E. He's our first and only.Unlimited Power But those who hope in the Lord will renew their strength. They will soar on wing's like eagles; they will run and not grow weary, they will walk and not be faint.Isaiah 40:31",,Emmett takes Grampa & Gramma to Springer,"Feb 11, Thu",0
Two Peas,https://www.trailjournals.com//journal/entry/521132,"We spent the day sight seeing after a nice breakfast & sleep at the Lodge.Then we hiked our first 1 mile, since you have to take 6.5 miles dirt road to the parking lot, hike one mile South to the start point, then hike back out to the parking lot, then continue north. Tomorrow we will go back to the ""continue"" part. Emmett decided it was too cold to walk with gramma n grandpa, so he and Amanda stayed in the car. Patrick walked with us and took pictures for us. Butterflies left my tummy, but off the trail they returned!!",,One Mile Down,"Feb 13, Sat",0
