Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Two Socks,https://www.trailjournals.com//journal/entry/520982,"This is a test entry. Hopefully my technological prowess is up to standard. Still retiring in 11 days. My start date is still March 17th from Springer. Thank you Vince and Maggie for being such wonderful friends and for all of your support. The supper last night was lovely and I look forward to keeping my flask filled with ""WhistlePig"".",,Mt Katahdin,"Feb 11, Thu",0
Two Socks,https://www.trailjournals.com//journal/entry/521139,"I have been receiving many many messages of support. I cannot thank all of you enough. Your encouragement and support are a true lifeline for me. If he could talk, I suspect Sir Opie, my constant companion, would say the same!",,Mt Katahdin,"Feb 14, Sun",0
Two Socks,https://www.trailjournals.com//journal/entry/522814,"Well here it is the 7th of March. Epic angst is setting in. The myriad of details are flowing like a river through my mind, relentlessly and unceasingly. I want so bad to be outdoors and walking, especially in this glorious weather. I hope this beautiful weather will hold off till my start date, the 17th. Sir Opie, my loyal traveling companion, is looking around the house at all the stuff with great interest. His interest may wane when he finally has his full weighted pack (about 10lbs) strapped on his back. Up till now I have limited his pack weight to about 6 lbs. He seemed to tolerate that weight very well. I am working hard to limit my pack to under 40 lbs, even lighter if possible. The new Big Agnes tent cut 4 1/2 lbs off from my old shelter. Thank goodness for all the support, both physical and psychological, from family and friends. Could not even contemplate this trek with all of you. Many thanks, and profound gratitude to all of you.",,Mt Katahdin,"Mar 07, Mon",0
Two Socks,https://www.trailjournals.com//journal/entry/523162,"Friday March 11th. Lots of angst about preparations. What am I forgetting? Am I over packing/over preparing/ over thinking? Have I properly anticipated my true needs versus wants? Thank you so much Vince and Maggie Garland for letting me put so much food for shipping at your home. You are both the greatest. I am budgeting 3500 to 4000 calories per day, but also trying to keep an eye on nutritional value as well as caloric value. I am grouchy and owly when I am hungry, so I will apologize ahead of time for any shortness of disposition.Looking at the long range weather forecast for starting March 17th at Springer Mt and it looks good. Would be wonderful to have good weather for at least the first few days. Sir Opie's pack has come in fully loaded at 9.3lbs so I made the goal of keeping it under 10lbs. He only weighs 48 lbs and I am using the rule of no more than 20% of body weight for your pack. Now if I can only keep mine under 40lbs, I will be thrilled.",,Mt Katahdin,"Mar 11, Fri",0
Two Socks,https://www.trailjournals.com//journal/entry/523924,"3/17/2016First day on the trail. Tired, sore, but happy to be here. Hiked from Springer parking lot to Springer Mt. The trail starts at Springer Mt and goes back through the parking lot onto the trail. Overnighting at Hawk Mt shelter. Shelter is full so using my tent tonight. Sir Opie bunks in with me. Great weather, shorts and long sleeve t-shirt today. Tomorrow the same. Hot meal and coffee for supper. It was a great day. Ridge runner Leigh at Springer Mt, another one, Gus, about 2 miles before the shelter. Love my vitamin ""I""! Total mileage for the day about 9. Sir Opie on outdoor overload. Thank you Vince and Maggie Garland for launching me today!","Springer Mt
",Hawk Mt,"Mar 17, Thu",9
Two Socks,https://www.trailjournals.com//journal/entry/523925,"3/18/2016Hawk Mt shelter to Gooch Mt shelter. Tougher than I thought. Wanted to go farther but the body was not willing. Great weather, almost too warm. Sir Opie is a great companion but wants to walk much faster than me. Feet are ok, hips/knees/calves are sore. Another vitamin”I”night. Stopped at 1600 today. Started at 0915. Start earlier tomorrow. Trail magic of water today Cooper Gap. Took a ½ hour nap there. Yippee! Lots of fine folks so far, Jim and John from Lima OH, Fred, Zack, Tom from Syracuse. Talked about the Columbia bakery and Hydes hot dogs. Off to filter water, make supper, go to bed.
Tenting next to Pilgrim tonight. He is from Ellington, CT. This is his 3rd attempt at a thru hike. Great to see other ""oldsters"" with grey hair out here. 
Rain possible tonight and tomorrow. Left my rain jacket in the car with Vince and Maggie. Oh well! 
As an addendum - Thank goodness for ridge runners. Gentleman here last night with bad chest pains. He looked about my age and his son was with him. Not sure of the outcome, the ridge runner was on top of it. Heard a very low helicopter in the middle of the night.","Hawk Mt
",Gooch Mt Shelter,"Mar 18, Fri",7.70
Two Socks,https://www.trailjournals.com//journal/entry/524066,"Camped at Lance Creek tonight. Little rain shower when I first arrived but cleared off. Supposed to be chilly tonight. Big climb tomorrow over Blood Mt to Neil Gap. Small resupply at Neil Gap. Wonderful trail magic and trail Angels at Woody Gap today. Hot dogs all around with cold drinks, brownies, cupcakes,cookies etc. Opie even got two hotdogs. He was thrilled. Camped next to Johnny from Mashpea, MA. Tomorrow is Johnny's birthday, he will be 37. Also Oscar T from Boise. He is 73 and carrying a 62 lb pack. I do not envy him. Fred is still here with the pepperoni sticks taped on his hiking poles. Feeling better today, probably because my food bag is lighter. Calves are very sore, but the rest of the body is adjusting. Hope everyone is well, I am.","Gooch Mt Shelter
",Lance Creek,"Mar 19, Sat",8.50
Two Socks,https://www.trailjournals.com//journal/entry/524221,"Lance Creek to Neels Gap. Big climb over Blood Mountain. Pictures are on top of Blood Mountain. Climb was fine, the descent was treacherous. Had a slight fall, no harm no foul. Thought about spending the night on top of the mountain, but the weather was closing in with snow in the forecast. Elected to continue to Neels Gap, and decided to share a room at a local hotel in Blairsville with Johnny Sheets from Mashpea, MA. Today is also his 37th birthday. He likes the Pats and the Red Sox, heaven knows why. Lovely big eggplant parmesan meal at a nice Italian restaurant. The shower in the hotel was wonderful. Back on the trail tomorrow. Great bunch of folks to walk with. Fred we have trail named ""Trekaroni"" because he has two large pepperoni taped to his walking sticks. Vonnie is from Vermont and Chris from Indiana. Hope everyone is well, I am.","Lance Creek
",Neels Gap,"Mar 20, Sun",7.40
Two Socks,https://www.trailjournals.com//journal/entry/524378,"Longest day yet. Did not leave Neels Gap until about 1030. Glad I bought another jacket. Temp was about 35 and wind was about 30 knots. About a 1/2 inch of snow on the ground. Couple of pretty steep climbs/descents today. The climb at Testnatee Gap about did me in. Thought about stopping at Whitley Gap shelter,, but is about 1.2 miles off the trail. Did not want to have to backtrack tomorrow to get back on the trail. Made Hogpen Gap about 1600 and decided to push onto Low Gap. Had about 4 hours of daylight remaining and enough water to get Opie and I there. We made it in about 1900, both of us ""dog tired"". Filtered water, fed Opie, set up my tent, ate a couple of energy bars for my supper, hung my food bags on the bear cables and am turning in. Goal for tomorrow is Unicoi Gap. Will try to get a shuttle to Helen or Hiawassee and possibly take my first ""zero"" day on Wednesday. Today was hard on the hips and knees and really feeling it tonight. Some vitamin ""I"" and off to slumberland. Temp will be in the mid twenties tonight. Thank goodness for a great sleeping bag.","Neels Gsp
",Low Gap,"Mar 21, Mon",11.70
Two Socks,https://www.trailjournals.com//journal/entry/524496,"Fairly short day. Did not leave Low Gap until 1100. Delightful wx. High 50's, no wind. The rocks today were vicious. Lots of opportunities to fall, slide, etc. Opie and I made it through with no ill effects. Camped tonight at Blue Mt shelter. Great bunch of folks I am walking with. Mike from Rochester, Tom from Syracuse, Chris from New Albany, Indiana, Miranda from Pittsburgh, TX, Odin (he looks like a Viking) from everywhere. We do not hike together much during the day, but seem to end up in the same places at night. Tomorrow will be very short as I will hike to Unicoi Gap and hitch a ride into Helen, Ga. Already booked a local motel for me and Opie. I need a shower and a laundry. Trying to eat as much as possible, but hard to eat all I need to. Tomorrow night will be pizza (xl) with a beer. Water has not been a problem, just have to filter everything. Very lucky with almost no rain so far. Opie sleeps in the tent with me every night. Great foot warmer. Taking a few pictures but want to caption them before I post them. Starting to get my ""trail legs"" but still sore a lot of the time. Advil rules! Hope everyone there is well and in good spirits. I am.","Low Gap
",Blue Mt Shelter,"Mar 22, Tue",7.30
