Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
UpLink,https://www.trailjournals.com//journal/entry/524124,"So, I have been putting off starting this journal since my buddy, Lee and I have planned numerous trips and all have fallen through for one reason or another. I didn't believe it was actually going to happen but here I sit in the back of the car with our wives driving us up to GA to start our hike. I am not sure either of us is ready.Long hikes, short hikes, discussing gear, buying gear, trying food, etc... Not exactly sure what to expect as we have only hiked in Florida... You know, the flatlands.Lee is like a 5 year old, all excited and giddy... OK, I'm the same... But most who know me will tell you that I'm really a 5 year old in a 53 year old body... Never grow old, from what I've seen, it doesn't seem like too much fun.We shall see... On our way!",,On our way,"Mar 20, Sun",0
UpLink,https://www.trailjournals.com//journal/entry/524255,Got to walk around the falls with Tammy and we were greeted with snow flurries She decided her version of camping was in the cabin!,,At the Falls,"Mar 21, Mon",0
UpLink,https://www.trailjournals.com//journal/entry/524256,"Arrived at the lodge and was greeted with snow flurries on the deck.It's awkward cuz this Florida boy thought, 'How cool, some fog is rolling in!'",,At the lodge,"Mar 21, Mon",0
UpLink,https://www.trailjournals.com//journal/entry/524704,"Kissed the wives goodbye and we were off! Excited, loaded down and at the first climb... Slightly winded. Finally, got to Springer and did it all... Photos, signed the book, hello to other climbers and headed to the shelter. My buddy was not happy about it so we decided since it was early to head out and see where we could get.   Ended up at the Stover Creo shelter and pitched outlet tents. Day one behind us and even though it was only 6pm, I asked if it was too early to go to bed... All around said yes, so we talked for an hour and turned in at 7.Great first day!","At the Falls
",Springer Mtn,"Mar 22, Tue",11.60
UpLink,https://www.trailjournals.com//journal/entry/524708,"Up early and out the door ! Still excited, feeling good ready to go.The first food bridge and I almost had a problem but I regined my balance and only dropped one pole in the water... I was trying to do something and it clearly didn't work. Very pleasant walk and then we got to Long Creek Falls . Awesome sight . Then on to 2 big climbs and desents.   I'll just say walking on rocks is not fun but made it in time to Justus creek to get a great spot right next to the creek.Tired so we turned it early. (I'm seeing a pattern).","Springer Mtn
",Justus Creek,"Mar 23, Wed",11.60
UpLink,https://www.trailjournals.com//journal/entry/524713,"Sassafras Mtn was tough yesterday so I may look at my Guide more so I can get psyched up as needed... Not knowing what is ahead is scary and at the same time cool.Some really awesome views today. We talked about heading into a hostel tonight as the weather is not good and supposed to rain all night. John and I convinced Lee to press on to Lance creek and hunker down in our tents and ride it out. Unfortunately, all tent sites were occupied there so we had to move on.   Decided to go to Henry Gap @1 mile away as Lee said it didn't look too bad of an uphill climb, well and it gets us closer to Blood Mtn(4500ft) which is suppose to be pretty tough. So here's the thing... We think we missed Henry Gap... Pretty sure we did. Found a campsite at a small gap just after there... Again, we think.I am snug in my tent as the rain falls... Another successful day.BTW, I stood on Preaching Rock today... And did not get hit by lightning. Whooda thunk!","Justus Creek
",Henry Gap,"Mar 24, Thu",11.90
UpLink,https://www.trailjournals.com//journal/entry/524819,"Woke up early to a cold, windy day... Went back to bed which was warm and dry.Not often I get to do that.Finally got going on the trek to Blood MtnThe first climb was tough and it took me a good hour before I was feeling good. Lee left early and I caught up with him on the climb before Blood.I found the climb up Blood not a bad as I had envisioned but was still thrilled when I came around the bend and saw the shelter. Had lunch on the outlook with a group of college kids on spring break... From Florida, no less.The descent was difficult at first with all the rocks but got better, probably because we knew Blood Mtn cabins and a hot shower were at the bottom.Checked in and ordered a meat pizza and wings as an appetizer.I am now sitting on the back deck of the cabin in the sun, CLEAN, relaxed and content.Not sure what our plans are for tomorrow yet but will advise.First phase of the hike completed successfully!","Henry Gap
",Neels Gap,"Mar 25, Fri",6.60
UpLink,https://www.trailjournals.com//journal/entry/525140,"Left Neels Gap after a great night sleep and another shower.Saw some really great views today.I felt great all day, almost like my trail legs had arrived.It seemed that there was one great view after another and the hiking wasn't too difficult If only it could all be like this...Got to Low Gap shelter around 3 and set up Note to self... Level tent site will always make for a better night's sleepSet my tent up on a slight incline and kept sliding off my pad during the nightAwoke feeling a little tired, but packed up a wet rent as is rained all night Another note.... Helpful hint...a single wall tent accumulates condensation on the inside so you either need to wipe it down or dry out the tent... Go with a double wall, it will make life easier.Thought about my family a lot today, wish they. Plus all be here to experience this!Another night and some tough days coming...","Neels Gap
",Low Gap shelter,"Mar 26, Sat",11.50
UpLink,https://www.trailjournals.com//journal/entry/525141,"Left low gap shelter pretty early and the fog was here.We were to be up over 3000ft all day and it felt that way The walk was awesome and different... No views other that the feeling you were in a Wes Craven movie set, eerie, fog and a soft drizzle most of the day. My legs felt strong and the miles were flying by, very enjoyable.Lee left camp before me but we had decided to go into Helen tonight to see the city, so we only needed to go to Unicoi gap @ 9.7 miles out ending with the descent down Blue Mtn... @1100 ft in 1.5miles... I can't really explain that descent, one of the hardest so far, slippery rocks, roots and mud... One of the best feelings so far was reaching the bottom... I had called Tammy from the top of Blue and got to talk to Talley and Seth also.... They were preparing Easter birch for the family... Very cool, but I was thinking about a mamossa ....When we got to the Jnicoi parking lot it was raining pretty good, but apparently a group of folks had set up our Easter brunch ... More trail magic... WoohooI facetimed the family to show them our brunch and got to talk to them all including Braxton, my grandson who had to show off his e aster basket and a large egg he was chasing around... A great dayGot even better when Boy Wonder(a southbound they hiker in 2010) showed up and offered us a ride into Helen... Very cool to all involved","Low Gap shelter
",Unicoi Gap,"Mar 27, Sun",9.70
UpLink,https://www.trailjournals.com//journal/entry/525142,Walked around Helen this afternoon and decided to sit at a restaurant overlooking the Chatahoochie river and order some German food for dinnerThe rest is needed and decided that we would zero tomorrow to let our aching bodies recover Works good for me as I have a few business issues to deal with anyway.Dried out all my gear and made sure we a re ready to go...Man have I missed coffee.Ok and beer!Watched a guy fishing during dinner hook and lose one trout then catch a nice 3lb brown trout Perfect dinner entertainment if you ask me.More to come as we get back on the trail...,"Unicoi Gap
",Helen,"Mar 27, Sun",0
