Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Wazo,https://www.trailjournals.com//journal/entry/512204,"I made a decision that I wanted to hike the AT about 30 years ago. It is a dream that I have never let go of. Lots of other dreams have come and gone. Some have been realized. Some were failures. Most just drifted away. The dream to hike the AT has never left me. I’ve backpacked sections of the AT. Mostly this has been in Virginia – Shenandoah National Park and portion close to the Blue Ridge Parkway, Mt. Rogers, as well as doing the entire Presidentials. I’ve done some monumental backpacking trips including Denali National Park, the Canadian Rockies, and Buckskin Gulch + the Paria River Canyon.    Backpacker names Buckskin Gulch as one of the top ten most dangerous backpacking trips. I think it is one of the most beautiful although I was glad to get out of the slot canyon without any rain falling. Besides those trips, I’ve done a lot of additional backpacking in West Virginia, Dolly Sods for example, as well as in Virginia and Pennsylvania.    All these trips have not lowered my desire to hike the AT, they have intensified it.I made a decision, with full spousal approval (thank you, Eric) on a flight home from my niece’s wedding about a month ago. It still hardly seems real.   In the mean time, I have taken a deep dive into all things AT including reading several books (favorite so far is AWOL on the Appalachian Trail), looked at the ATC website, read journals and packing lists here on Trails Journals, and corresponded with a 2014 thru hiker, Nubbins, who provided me with a lot of good information. Thanks to Nubbins for being my first virtual trail angel. My plan is to try a flip-flop starting in Pearisburg, VA starting on St. Patrick’s Day, March 17th. I am hoping that will give me time to head north, make a quick diversion to DC, be in Harpers Ferry for the ATC's Second Annual Flip Flop Kick Off and continue towards Maine. There are a lot of ifs in that plan with heading north as the only part of the plan.Well, here I am 30 years later, getting ready to live the dream.",,Getting Started ,"Aug 31, Mon",0
Wazo,https://www.trailjournals.com//journal/entry/512274,"My quest for lightweight, but affordable, gear continues. For some reason, selecting a tent has been especially difficult. This is coming from someone who already ownes 5 tents! I quickly dismissed the idea of a tarp. Bugs love me, and I believe I have already donated my quota in blood. Hanging in trees in a hammock looked interesting until I started thinking about being stuck in one in the middle of a strong and prolonged storm - way too enclosed. So I decided on an ultralight tent and eventually narrowed down to a Mountain Hardware SuperMega UL1. I can actually sit up in it. Plus it was $100 off at REI. It is samll and weights in at 2 pounds 2 oz on my kitchen scale, a few ounces over the advertised ""trail weight"" which is expected.Shoes and socks are next on the list. That decision will make the tent look like a walk in the park!",,Tent Arrived,"Sep 01, Tue",0
Wazo,https://www.trailjournals.com//journal/entry/512276,"The reactions to my planned AT trip have been very mixed. The vast majority of people are excited for me even if coming from friends who consider getting into a pool as a nature adventure. There have been a few ""are you crazy"" reactions.   And, of course, there are the fears about bears and rattlesnakes. I guess people don't consider that I hike here in Arizona all the time and the Sornoran Desert is crawling with western diamonbacks. I see them on the trail. I've seen them on our driveway. We've had them visiting on our patio. Overall, the feedback has been great. I am so glad to have the support of my friends and family. It means so much.",,Reactions,"Sep 01, Tue",0
Wazo,https://www.trailjournals.com//journal/entry/512432,"After dreaming of an AT thru hike for over 30 years, I made a decision to try a thru hike in 2016. My plans started before I knew about the upcoming, now released, A Walk in the Woods movie. And, I am guessing that most of you, like me, have some concern about how this movie will impact the AT going forward. Will the 2000+ starting thru hikers swell to 3000 or 4000? Will the all dire predictions of more overcrowding come true? Only time will tell. However, here is my take. I went to see the movie last night. First, there were only about 15 of us in the theater, the largest theater in a mega suburban multiplex movie house that often has waiting lines for opening night of smash movies. Again, a total of about 15 of us were there. The short version of my review is that the movie is just dull. It isn't funny. It isn't heartwarming. There really is very little to like or to dislike other than a handful of beatuiful shots of the AT and the Appalachian Mountains. Nick Notle was very good, excellent. Robert Redford was, well, perhaps a whole lot less than very good. I don't see this movie as lasting long in the theaters or bringing out big crowds to see it or bringing out hords of new hikers to the AT. I wanted to like this movie. I've loved the AT most of my life. I think Robert Redford has done a lot to increase environmental awareness. However, the movie was just boring and not engaging at all.
A pretty balanced review from the New York Times:
http://www.nytimes.com/2015/09/02/movies/review-a-walk-in-the-woods-with-robert-redford-is-a-scenic-trek-spoiled.html",,A Walk in the Woods (the movie),"Sep 03, Thu",0
Wazo,https://www.trailjournals.com//journal/entry/513378,"I've backpacked for over 30 years. During that time, I've seen ""the latest thing"" come and go so many times that I can't even remember all the things I could not possibly live without. Backpackers fall victim to advertising and self-appointed experts as much as any group of people. Magazine and websites that depend on manufacturing advertising dollars actually drive the consumerism. Most experts are sponsored, and many opinions expressed on website discussion boards are those of people who have limited experience beyond what they currently use or, in many cases, what they plan to use. Boots are a great example. They went from giant leather clodhoppers in the 1970s to synthetics with almost mandatory GTX and big clunky Vibram soles in the 80's back to ""light weight"" leather (which were actually heavier than the prior must haves - think Vasque Sundowner GTX at 3.3+ lbs) and now to trail runners. First strong ankle support was a must evolving to today's no ankle support. Loaded packs have gone from around 40+ lbs to well below 20 or even 15 pounds for the most Spartan ultra light backpacker. Light weight is great but often leaves no margin for error nor does it leave much room for comfort in many cases. Through all of this, I am attempting to find a balance between weight, comfort, and safety. An early March start date, even when starting in Virginia after Mt. Rogers, can involve straight up winter and snowy conditions. Perhaps worse is 35 degrees and rain. Staying warm is important. Avoid hypothermal is vital. I am also trying to avoid getting sucked up into opinions about “must haves” that did not exist a decade ago when people were successfully thru hiking the AT and the PCT. Some of today's must haves are great. Many will not last until the end of the decade. Sure, I can sleep under a tarp and have wind, rain, and bugs plague me all night, but do I want to? I think some type of real tent - dry and free from blood sucking bugs - would serve me better. A bivy is just too small, but I think I can live with a very small one person tent that I can actually sit up in. Having a decent stove (Jetboil Flash, for example) might be better than a super cat alcohol stove? I happen to have saved a good supply of Fancy Feast cans, so I am still pondering that question. Again, the quality of the experience is a balance among weight, comfort, safety, and convenience. I am working through my list as carefully as I can. Using lighterpack.com has been very helpful in getting my pack weight down. It is a great tool that is free. My current pack weight is 16.2 pounds with winter gear but without food or water. It includes what many consider a luxury item - my kindle. I think I would go crazy without it, so it seems more required than optional for me. All this obsessing over weight and comfort, safety, and convenience is a lot more fun than I would have ever expected. One person I've emailed with told me it was the second best part of her thru hike after the hike itself. I guess that makes me feel pretty good about the actual hike. I'm having a blast!",,"Ounces vs. comfort, safety, and convenience","Sep 14, Mon",0
Wazo,https://www.trailjournals.com//journal/entry/513399,"We spent a long weekend at Grand Canyon National Park with a bunch of friends which we do every year on the weekend after Labor Day. On Friday and Saturday, we did some hiking. The first hike was Bright Angel Trail, 5 miles down to Indian Garden and 5 miles back up. The trail is switchbacks, but it is entirely down and then entirely up. There never is a break. On Saturday, we did about 8 miles on the Rim Trail which is essentially flat. The weather was perfect. Highs just over 90 and lows about 50.   Nice sleeping temperatures.My favorite sign on the Bright Angel Trail - ""Going down is optional. Coming back up is mandatory.""",,Grand Canyon - lots of elevation change,"Sep 14, Mon",0
Wazo,https://www.trailjournals.com//journal/entry/514003,"Since this is a 30+ year dream, I have to say that the idea of doing a flip-flop has not entirely settled well with me. My dream has never been to start in Harpers Ferry or in Marion. My dream has always been to have the full AT experience including the kind of crazy conditions at Springer. It is the AT thru hiker experience for the vast majority of people. With that said, I can see why the ATC is asking people to consider alternative starts. After over a month of flip-flopping on the question of to flip-flop or not to flip-flop, I finally resorted to the Magic 8 Ball. Although I have absolutely no belief in the Magic 8 Ball beyond it being a fun toy, it seems the ultimate way to make a decision when both options are about equally attractive with no especially strong downsides to either. I also know that the Magic 8 Ball is heavily weighted to answering Yes or Signs Point to Yes over No. So, I asked Eric to tell me what to ask the 8 Ball. He asked, ""Should he start in Georgia?"" The answer was YES, not even Signs Point To Yes. He could have just as easily asked if I should do a flip-flop or start in Virginia since I think outloud about this far too much. He is kind to listen.So I will having an early start in Georgia, February 23rd. I've already booked my shuttle and hostel for the 22nd at Hiker Hostel (hikerhostel.com). Now I just need to start watching the cost of tickets to Atlanta. I'll also need to tweek my gear list just a bit. I guess a Patagonia Nano Puff is in my future. : )This is starting to feel very real, and I like it. 155 days.",,To flip-flop or not? The Magic 8 Ball decides,"Sep 21, Mon",0
Wazo,https://www.trailjournals.com//journal/entry/514096,"I got an email from Hiker Hostel (hikerhostel.com). They do not start the Thru-Hiker Special until 2/24, so my start date will be 2/25. The only reason I am posting this is that some people might be interested in the thru-hiker special (and not in my start date change). The thru-hiker special is a smoking deal. The 2015 price was $80. For that you get:•    Shuttle from North Springs MARTA Station or Gainesville, GA to the Hostel•    Overnight stay in one of our bunk rooms•    Breakfast•    8 oz of white gas or denatured alcohol (additional fuel may be purchased by the ounce)*•    Shuttle to Amicalola Falls State Park or the Springer Mountain parking lot (0.9 miles north of Springer Mountain on USFS 42)Hiker Hostel is listed on the current ATC shuttle list. The have a great website with videos. Other than that, I really don't know anything more about them.156 days.",,Revised start date,"Sep 22, Tue",0
Wazo,https://www.trailjournals.com//journal/entry/514510,"Reading about and picking new equipment is so much fun. A lot of my backpacking gear is old and heavy. it is fine for a weekend or a week, but not for a thru hike. So, I've spent the past several weeks reading equipment reviews and journals to try to find the right equipment. I'm wearing out our kitchen scale! One of the things that has become very obvious to me is that I lack the opportunity to test this new gear out as much as most people do. Here in the Sonoran Desert, it is still pretty much full on Summer. The reality is that I really will have no local opportunity to test winter gear unless I go up to Flagstaff or some other area at a much higher elevation. We don't even get a frost every year here. The same lack of testing opportunity is true for my new rain gear - Outdoor Research Helium II rain jacket and Helim rain pants. Maybe I will get in the shower with it or put it on and run out into the next rain we get. That could be a month or more away; we only get 10"" a year.The one good thing about doing a lot of desert hiking is the idea of rattlesnakes really does not bother me at all. We have a lot here, and I see them while hiking enough that I am respectful but not freaked out by them. In reality, we get them on our patio, on the driveway, and I'm sure that there are always one or two some place in the yard. Bears and moose are another story, however, although I have had some close enounters with bears and bears with cubs while sections hiking the AT in SNP. They seemed to be less bothered by me than I was by them. I hope that trend continues.As my AT gear drawer gets more crowded, the more excited I get. 150 days!",,Shopping for AT gear when it is 104 degrees,"Sep 27, Sun",0
Wazo,https://www.trailjournals.com//journal/entry/514521,"If anyone is willing, I would appreciate a review of my current gear list. My current start date is 2/25, so I am a bit heavy on the clothing weight.A few things I am not sure about: 1. Boots vs. trail runners (with or without gaiters?) for the start? Right now I am leaning towards boots with the idea of switching to trail runners after Mt. Rogers.2. For an early winter start, I feel like I need a full set of clothes for day and a dry set for night. That might be reduced when it gets a bit warmer and hypothermia is not as big a risk.3. My sleepipng bag is warm. I have a 4oz silk liner. Not sure if I need it or not in light of my camp/night clothes? Do I need it? On my list, items with a gold star means that I need to still buy them. If you have a better suggestion, let me know. If there is no gold star, it is unlikely that I am going to trade out a big ticket item for a similar big ticket item. For example, I got a smoking deal on a Thermoball jacket by The North Face and would not be inclined to trade it for a Patagonia Nano Puff, which is very simialr and gets similar ratings. Same with my Super Mega UL 1 tent although I am open to swapping that out for a tarp or a hammock when it is a bit warmer.Here is the link: http://lighterpack.com/r/4xcgvtAny feedback is welcome and thanks a lot for helping me out.",,Gear List Review Request,"Sep 27, Sun",0
