Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
greentree,https://www.trailjournals.com//journal/entry/518902,"To Friends & Family:   I still pinch myself to realize that it's not a dream any longer. I still have a lot of prep to do and gear to buy before March, and it's easy to become overwhelmed with all of the various thoughts about the hike. I'm truly thankful for this incredible opportunity and for all of the support you provide!","
",View Entry,"Jan 01, Fri",0
greentree,https://www.trailjournals.com//journal/entry/524490,"The anticipation is nearly over...Starting at 0400 from Towson, MD. Down to Atlanta at 0815.Amicalola at 11ish. Mt Katahdin at ...See you on the flip side.",,The Eve of,"Mar 22, Tue",0
greentree,https://www.trailjournals.com//journal/entry/525716,"Very little sleep before the 0400 wakeup to a 0615 flight from BWI to ATL.After a 45 minute train ride from the airport to North Springs, I met up withthe mildly flamboyant and obnoxious Survivor Dave for my shuttle to Amicalola Falls State Park. Started hiking at noon and it was a rough 9 miles to get to Springer at 1700. Collapsed from exhaustion at the campsite. My tenting neighbors just stared blankly at me. Clearly, there will be a conditioning introductory period. But, it's official! The thru-hike is underway.","Towson, MD
",Springer Mountain,"Mar 23, Wed",8.80
greentree,https://www.trailjournals.com//journal/entry/525718,"Felt like I had new legs as I hiked down the mountain. But that was just it - I was going downhill... Soon enough, the trail went back up and I was back to slow labored strides. After being used to day-hiking without a pack and going blazing fast, having a ~35lb. pack has humbled me and cut my speed in half. I think that I'll get the speed back in a week or so when my legs get stronger. All in all, I love being out here.","Springer Mountain
",Justus Creek,"Mar 24, Thu",14.40
greentree,https://www.trailjournals.com//journal/entry/525720,"So I know I said that I would take my first couple weeks easy, and limit my mileage to about an average of 10 miles a day, but it's just my nature to push myself. Georgia hiking is pretty tough. No level hiking, all up and down. Still getting used to the disparity from a quiet, peaceful experience of hiking the trail throughout the day, and coming into a crowded, noisy campsite in the evening. All part of the package.","Justus Creek
",Jarrard Gap,"Mar 25, Fri",12.30
greentree,https://www.trailjournals.com//journal/entry/525721,"By the way, I forgot to mention I had my first bit of trail magic yesterday at Woody Gap. Trail magic is free food and stuff for thru-hikers by former hikers or supportive townspeople. Anyway, I'm getting faster at breaking down my tent, having breakfast, and getting going. The first two miles was a climb to Blood Mountain, which had the best views so far. It was also a popular spot for day hikers. Unfortunately, it was overcast today and the visibility was poor. As the day wore on, my feet became more painful, especially my left arch where a subdermal blister has been forming. I hope that my low arches don't eventually handicap me from completing the hike.","Jarrard Gap
",Sheep Rock Top,"Mar 26, Sat",15.60
greentree,https://www.trailjournals.com//journal/entry/525723,"Happy Easter! Thank you God for everything!Thick fog most of the day, and it was cold, wet, and pretty much miserable hiking weather. Thankfully, more trail magic was waiting for me at Unicoi Gap. Hot dogs never tasted so good. These trail angels were all former thru-hikers. Trail magic certainly reminds you that what you are attempting is pretty special. I decided then and there, that I needed a little break, so I hitched a ride (my first hitch ever) to the town of Helen, a tacky alpine-themed tourist trap, but it was offseason. I got a room for the night and I guess I'll put in extra miles tomorrow.","Sheep Rock Top
",Unicoi Gap; Helen,"Mar 27, Sun",10.60
greentree,https://www.trailjournals.com//journal/entry/525724,"Felt great starting out having had a shower and a bed. 16.7 miles later, it was as if that never happened and I was dead exhausted and sore again. Oh well, this is trail life.","Unicoi Gap; Helen
",Dicks Creek Gap,"Mar 28, Mon",16.70
greentree,https://www.trailjournals.com//journal/entry/525727,"Pretty weird going the whole day without any hint of it being my birthday, but also kind of nice to have it go under the radar. Celebrations on hold.","Dicks Creek Gap
",Muskrat Creek Shelter,"Mar 29, Tue",11.80
greentree,https://www.trailjournals.com//journal/entry/525728,"Generally, North Carolina hiking is a lot more tame so far than Georgia. Very welcome. Pumped out a lot of miles today and felt pretty good. Blisters are multiplying on my feet, and my left arch is still worrisome, but my legs are getting stronger. Looking forward to seeing Spring out here soon.","Muskrat Creek Shelter
",Betty Creek Gap,"Mar 30, Wed",16.20
