Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
moondog,https://www.trailjournals.com//journal/entry/521560,"This is a four day hike on the AT in Massachusetts. Started today at the Kellogg Rd parking lot in Sheffield. Thanks to Joe for giving me a ride here and hiking in for about a mile. It was a beautiful day for hiking. First time hiking with a full pack. A little harder going uphill compared to using a day pack. Still made thirteen miles to Mt. Wilcox North shelter. Hiked over East Mountain, through Ice Gulch, by Benedict Pond and ended on Mt. Wilcox. Cold night in the low twenties - warm in my sleeping bag.",,Mt. Wilcox North Shelter,"Nov 16, Mon",13
moondog,https://www.trailjournals.com//journal/entry/521561,"Slow moving this morning. Getting warmed up. Didn't start until 8:30. Made fourteen miles to Upper Goose Pond cabin. That was work! Shoulders are sore and legs tired. Otherwise it was a great hiking day. Hiking level and downhill are fairly easy. Made one five mile section in two hours this morning. Uphill is another story. Much slower. Met some day hikers today. One of them is planning to hike the AT, starting in March also. Hope to see him on the trail.",,Upper Goose Pond Shelter,"Nov 17, Tue",14
moondog,https://www.trailjournals.com//journal/entry/521562,"Today, I got started by 8:00. My body is pretty tired. I made nine miles to October Mountain Shelter and listened to my body and stopped for the day at 1:30. Another great hiking day. It is supposed to rain tonight and tomorrow. I will stay in the shelter tonight instead of tenting. It's so quiet with no one else around. Also boring. Shoulders feel better today, but since my legs are tired, I stopped. Hopefully, the rest will be beneficial.",,October Mountain Shelter,"Nov 18, Wed",9
moondog,https://www.trailjournals.com//journal/entry/521563,"Got up this morning to a wet day. The rest was a good idea. I feel much better this morning. After a breakfast of mac and cheese, I headed out to make it to Dalton. Only had a few sprinkles during the day, but got a little wet because the trees and bushes were wet from the night rain. Made twelve miles to downtown Dalton. Was picked up by Joe and Jan at about 1:15. This was quite the experience. Can't wait to go to Georgia in March.",,Dalton,"Nov 19, Thu",12
moondog,https://www.trailjournals.com//journal/entry/522667,"Today, seven hearty hikers from the Berkshire Knapsackers gave me a farewell hike on the Thunderbolt trail on Mount Greylock.   This is an elevation gain of 2,200 feet in two miles. A great workout. We finished the day with a short celebration at Thunderfest in Adams. Thanks to the hikers and all the Knapsackers that have wished me well on my new adventure. Springer, here I come!",,Mt Greylock Summit,"Mar 05, Sat",0
moondog,https://www.trailjournals.com//journal/entry/523429,"Duffy, from the hiker hostel, gave six of us a ""fun"" ride to Springer Mountain over sixteen miles of forestry roads in a large van. It had rained hard during the night which made the dirt road slick. No problem for Duffy. We were all excited to get started, even in a light rain. I met Bald Eagle and , since we hiked at the same pace, we stayed together. The sun came out in the afternoon making the hike much more pleasant. Carrying a total of 44 pounds. Not my best idea. Thought we would have much cooler weather. Today's high was about 70. Hope it gets cooler so I can use my winter stuff. We made it to Hawk Mountain Shelter and settled in for a good night's sleep. Also met Elle, Camel, Umgawa, and Catfish Jon. Lots of great people having a fun time. Day 1 was great.","Springer Mountain
",Hawk Mt Shelter,"Mar 13, Sun",8.10
moondog,https://www.trailjournals.com//journal/entry/523626,"Thought we'd make 12 miles today, but didn't make it. We had a few showers today. Met Walden and Twiggy (from Johnson City, TN). Stopped at Gooch Mt Shelter because I was too tired. There were a lot of hikers here. Lucky to get in the shelter. The ridge runner is also Moondog. It was still a great day, even with a few rain showers.","Hawk Mt Shelter
",Gooch Mt Shelter,"Mar 14, Mon",7.70
moondog,https://www.trailjournals.com//journal/entry/523632,"Had a better day today. Been hiking with Bald Eagle and Don joined us after lunch. It was very sunny and got to 75 degrees. What happened to winter hiking??? Lance Creek campground was full, so we pushed on and found some flat space at Henry Gap. Got Gatorade, cookies, and chips from trail angel at Woody Gap. Great! Our tent site was near a woman's house and she told us we could get water from her tap. How nice.
Thanks to all the folks that have wished me well in my guest book.","Gooch Mt Shelter
",Stealth Tenting - Henry Gap,"Mar 15, Tue",9.30
moondog,https://www.trailjournals.com//journal/entry/523738,"Today was a short day to Neel Gap. Hiked over Blood Mountain - good workout. Another hot day. Still looking for winter hiking. Hiked with Bald Eagle and Nailgun. Beautiful views on Blood Mountain. We decided to get a cabin and treat ourselves to a nice comfy night. Met a lot of other hikers here that we've seen the last couple of days - Marmalade, Mylar, Catfish Jon, and Camel, to name a few.","Stealth Tenting - Henry Gap
",Neel Gap,"Mar 16, Wed",6.60
moondog,https://www.trailjournals.com//journal/entry/524380,"Today was the first double-digit miles day. What a great feeling, besides being tired. Still together with Bald Eagle and Nail-gun. We have a good time hiking together. The Georgia mountains are pretty tough. This isn't as ""easy"" as I thought. No physical problems yet, other than being tired at the end of the day. Met the Griswold family, section hiking to Unicoi Gap.","Neel Gap
",Low Gap,"Mar 17, Thu",11.50
moondog,https://www.trailjournals.com//journal/entry/524382,"The three amigos finished an ""easy"" day of 11 miles on Rocky Mountain (not ""the"" Rocky Mountains). At Unicoi Gap we had some trail magic - water, fruit, and chips. Then we climbed up Rocky Mountain and set up a stealth camp just short of the summit. Mylar stopped by, but continued on north.","Low Gap
",Rocky Mountain,"Mar 18, Fri",10.80
moondog,https://www.trailjournals.com//journal/entry/524383,"After coming down from Rocky Mountain, we had to go up Tray Mountain. This was a long grueling up-hill climb. I understand what MUDs and PUDs are for sure. We made camp quickly and ate early due to expected bad weather at night. Grumpy and Whisper, with Boomer the dog, joined us. We lucked out again and only had some heavy winds. It did get much cooler. We did here coyotes at night. This was the first evidence of wild life.","Rocky Mountain
",Sassafras Gap,"Mar 19, Sat",9.30
moondog,https://www.trailjournals.com//journal/entry/524385,"The three amigos with Whisper and Boomer headed out today with visions of a zero day in Hiawassi. We only had to go six miles. I guess the last three big days took their toll on our bodies. It seemed more like twelve miles today. Anyway, we made it and Bald Eagle's wife, Robin, picked us up and into Hiawassi we went. Had a nice dinner of ribs (yummy) and a good night's sleep in a bed.","Sassafras Gap
",Dick's Creek Gap,"Mar 20, Sun",6.30
moondog,https://www.trailjournals.com//journal/entry/524387,Bald Eagle and Robin drove us to breakfast and then for laundry. After laundry they took us to a couple of stores to shop for some necessary things. Trail Angel Robin left us with some fruit and goodies. They left to pick up their daughter and will be back tomorrow to pick us up. Nail-gun and I did some shopping for supplies and then went to the post office to send some weight home to lighten the pack. Also got a shave and haircut. The body is very happy with no backpack to carry. Tomorrow we start up again.,"Dick's Creek Gap
",Hiawassi,"Mar 21, Mon",0
moondog,https://www.trailjournals.com//journal/entry/524784,"Bald Eagle, Robin, and their daughter, Chickadee, picked us up at 10:30 and we all crammed into their car for the ride to Dick's Creek Gap. Started hiking at 11:00. Can't thank Robin enough for all she did for us. She is a true Trail Angel. Didn't have my best legs as we started an immediate climb. As the day went on I felt better. Nail-gun and I were faster and forged ahead to Plumorchard Gap. Had some lunch until Bald Eagle and Chickadee arrived. When they were rested we continued. Nail-gun and I were so focused on the trail that we passed a campsite unknowingly and made it to Bly Gap in North Carolina. WOW!!! State number one is done. We camped here for the night with a lot of other hikers. We did 9 miles today in relatively short time. Felt good.","Dick's Creek Gap
",Bly Gap,"Mar 22, Tue",9
