Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
AT-AT Walker,https://www.trailjournals.com//journal/entry/567265,"If you're new to my journal, hello! 
Maybe you found me from my TEDxUCLA talk?TEDxUCLA Hike Your Own Hike If you're interested in the 2015 or 2016 AT Journals, you can access them from the ""My Other Journals"" tab on the left.* * * * * * * * * * * * * * * * * * * It's here again! In roughly 10 days. I have my flight, but the actual date of starting will depend on my lovely friend Gish, who picked me up from the trail last year in a car full of Appalachian root beer, pretzels, and Tasty Kakes. He has graciously offered to take me back to where he collected me last summer, which feels like an awfully auspicious way to start off the third summer of hiking the AT. Plus, he's basically the Ambassador of the Keystone State, and will be able to join me for some sections! (PA family, UFC, Pilgrim, and friends along the way - You are all invited to come out and day hike with me if you want!)The Pennsylvania section is notorious for being awful and rocky (and awfully rocky). The fact that the trail runs through a Superfund site where you can't drink the water is also discouraging. But it is also the state of my childhood, and runs near some places that are very important to my family (Hawk Mountain!), so I'm pretty excited to tackle it. In planning my trip this year, I think there's a good chance of me making it to Maine, barring serious injury, fire, horrific weather, or being sucked into Zero Day vortexes. Straw from last year, and Buddha from much longer ago, have been giving me great advice about preparing for the Whites, and I've contacted some friends and the family of a former student who I'll be visiting along the way. And there's going to be a Zero Week at Lake George! So there's going to be some exciting differences to this year's hike. Also, I'll be starting so far north I may very well begin in the thru-hiker bubble.I hate goodbyes, and the goodbyes this year as I prepare to go are much harder than they were before. I'm lucky they're so hard. :-)",,View Entry,"Jun 03, Sat",0
AT-AT Walker,https://www.trailjournals.com//journal/entry/568607,"What a day! Breakfast of champions at the Gish home (same baked French toast I devoured at the end of trail last year), then Gish drove me to Old Forge Picnic Area where Straw, Atlas, and I did some serious time under a pavilion last year.As we neared, we saw the road closure sign. So my return to the AT officially started with a 1-mile road walk!It was insanely hot and humid. But familiar. I took 2 or 3 breaks to take off my shoes, air my feet. I drank LOTS of water. I kept my promise to myself to keep my mileage low.I didn't see another person all day until just before the shelter. There I met two other English teachers! We first talked about how books are too heavy to take on the trail...and then shared the books we brought! Older man who studies Religion and Philosophy - Sins of Scripture. Me - second half of Sister Carrie. And then Fletch (whose name is synonymous with so many jokes thanks to the guys from high school obsessed with the movie) said, ""I brought two books by Neil Gaiman.""NEIL GAIMAN!Did I whip my head so fast that it nearly cracked? Did I start gushing about American Gods? Did I ask to take a photo of him and his books (Cheap Seats and Fragile Things) by the fire?You bet I did.Set up my tent for the first time this trip, crawled in, collapsed in the heat. Day One done!","Old Forge Picnic Area
",Rocky Mountain Shelter,"Jun 12, Mon",8.70
AT-AT Walker,https://www.trailjournals.com//journal/entry/568609,"The thing I appreciate about rattlesnakes is that they let you know where they are. This one was right next to the trail and caused quite a ruckus as I neared. First I tried throwing a rock to encourage him to move. Rattlesnake DGAF. I weighed my options...the foliage in the area was thick, to go around the snake would mean me scratching up my legs and seriously increasing the odds of poison ivy, ticks, and yeah, more snakes. So I hesitantly went past him, leaned as far over as I could get! (and then took photos to torment ya'll with later)Today was again stupid-hot. I drank my full load of water (3 liters) and now I'm lying on my thermarest in a clearing, eating a bowl of ramen with peanuts (no nori, alas!), and feeling pretty good. There are thru-hikers here with two huskies who have been traveling since Georgia! I've met several people who started in March at Springer. I asked the Ridgerunner at the shelter if this is the bubble, but she wasn't sure. So far, no Frankenlegs, no hiker hunger. But I know they're coming!","Rocky Mountain Shelter
",Birch Run Shelter,"Jun 13, Tue",13
AT-AT Walker,https://www.trailjournals.com//journal/entry/568813,"I'm cheating a bit with today's pic - it's actually from yesterday. But you needed to see some PA rocks!

Today I passed the midpoint of the AT - one of them, at any rate. Harpers Ferry is celebrated at the psychological midpoint, so I think I celebrated that last summer. And it feels weird celebrating when I've only been hiking 3 days. The official midpoint, btw, changes every year as they add switchbacks, resections, etc.
Still, by whatever measure, I've done half!

Today I had a lovely 15 minute foot soak in a stream and reached  Pine Grove Furnace, where I could order food (veggie wrap!), charge my phone, and get wifi! (which is how I got blog entries up so quick)
I met a SOBO named Handy and we chatted for a spell about the usual: gear, food, feet, favorite places on the trail. I asked him where he thought the bubble was, and he said it's more like a lava lamp - dispersed groups of people. I like that analogy.

I didn't have a set plan of where to stay for the night - too soon to cave and stay in a hostel, too far to the next shelter. So I hiked up out of the park and looked for campsites with people. They were all empty. Finally I chose one, hung my bear bag, and settled in for what was likely to be a less-than-restful night of What Was That Noise?

And then a dad and his two young daughters (Icy Pop, Mosquito Bait, and Roadrunner) showed up! I had seen them briefly at Birch Run shelter the night before. 

Turns out, the littlest girl is nervous about sleeping in the woods...she prefers if other people are in the area.

""Me too,"" I confided.

I was so glad to hang out with them! They reminded me of 12 Feet Walking from last year.

Parents who take their kids into the woods are the best.","Birch Run Shelter
",Campsite at 1105.9,"Jun 14, Wed",13.40
AT-AT Walker,https://www.trailjournals.com//journal/entry/568814,"In my defense, the mega-day hadn't been the plan...

We all woke up at 6 am and chatted while packing up. Icy Pop was giving his girls a tutorial in blister popping...it was both gross and really sweet.

Convo with Icy Pop:
Me: Do you think the ""rock maze"" will actually be a maze??? (visions of John B's maze from S Town in my head)

Icy Pop: Probably not. Probably will be terrible.

Me: . . . (remembering last year, when I figured out things with cool names are trying to disguise how awful they are)

Actually, the rock mazes (there were two) today were fun. Only one part was steep enough that I had to put down my poles to pull myself up. They weren't ""mazes,"" but you could tell someone thought it would be fun to lead hikers through the rocks. All the scrambling reminded me of the young rock climbers I know back in LA, and how much fun they'd have here! (shout out to Chance and Naomi!)

Anyway, here was the rough plan for the day, and what happened. Two years ago, one of my students at UCLA invited me to stay with her family, the Pipers, who live right off the trail. It took me this long to get there! So I was planning to get there by the weekend. But then I did more miles yesterday, and the next shelter was just 10 miles - I hit it early afternoon, too soon to stop. There was a campground coming up, and the stop for the Pipers, which was even further. Surely I couldn't hit 20 on my 4th day back.

But the maps showed the last 8 miles to the Pipers were soooo flat....and it was going to rain. And with the weird spacing between shelters, and no camping allowed between them, it would be perfect...

Still, over 20 in the first week. I decided to play it by ear, see how I felt when I reached the campground. The flat hike was too tempting. Off I went!

I forgot from last year - weird flat lines on the map mean walking through fields and pastures. After all the green forest, it's such a shock to see gold fields and blue skies!

I took so many great photos. The ""Jesus light"" hit just as I emerged, and I took tons of shots with it.

And to entertain myself during the last two hours of walking...I concocted this:
(to be sung to ""The Sound of Silence"" by Simon & Garfunkel)

Hello frankenlegs, my friend
It's nice to walk with you again
Along the trail I'm slowly creeping
Fighting bugs even while sleeping
And the vision that was planted in my brain
Still remains
Walking all the way to Maine

For restless days I walked alone
Up this Pennsylvania stone
Beneath a halo of mosquitoes 
I turned my face to a few SOBOs
When my eyes were stabbed by the flash of someone's headlamp
(and I'm still damp)
Echoes the sound of hiking poles.
------I should probably keep my day job.
-----Thoughts while waiting for the ramen to cook: if it feels like something is crawling on you, it is.

(this was creepily prescient in hindsight, as once I showered at the Pipers I found my first deer tick. It was DISGUSTING. I will spare you the photo I took of it through a magnifying glass)

The Pipers are amazing. I am so delighted to have met them, had dinner with them, had lovely conversations. It is all worth whatever pain comes my way tomorrow, when my feet get me back for breaking the ""low mileage"" rule.

More to come!
P.S. Seriously, I won't get Lyme disease (at least from today) It wasn't really attached, wasn't filled with blood. It was sooo tiny. I originally thought it was a scab. I wasn't sure until the magnifying glass. See, this is why I needed to hike for 20 miles to take a shower to tick-check!
P.P.S. Also saw a copperhead snake.","Campsite at 1105.9
",Old Stone House Road / The Pipers,"Jun 15, Thu",21.50
AT-AT Walker,https://www.trailjournals.com//journal/entry/569329,"Happy Bloomsday! In honor of the day, I hiked a bit to the start of Telemachus.
I'm  exhausted. My bag was heavy with goodies from the Pipers and I made the rookie mistake of fully loading up on water and there were both steep climbs and stupid endless expanses of rocks. Finally I get the thing about Rocksylvania. The rocks aren't consistent or pervasive. And there's different kinds.
I passed a shelter earlier and met Landlady (named for a character from Kung Fu Hustle). There were tons of kids there - some kind of outdoor ed program for kids from troubled families. They offered me a s'more, and suddenly I had a ring of kids around me:
""How do you charge your phone?""""What are the ski poles for?""""What if you see berries and you don't know what they are?""
The last question was funny, because that just happened. I saw blackberry-looking things falling from trees and showed a photo to Mrs Piper to find out if they were edible. They're mulberries! So you know what I immediately picked the next day...
The guide book had the first ""very rocky"" warning for the stretch today. And for the first hour of it, I was like, okay, this isn't so bad. During the second hour, it became ""wait a minute..."" And by the third hour: SCREW THIS! TAKE DYNAMITE TO THE WHOLE MOUNTAIN! 
It was just a field of pain as far as I could see.
The problem is that there's nowhere big enough to put down your whole foot flat. So you're constantly wobbling on your heels or the balls of your feet or getting stabbed in the softest parts of your instep. Seriously!
My feet seem okay though....I soaked them in a piped spring for 15 min.
So I was miserable by the time I reached the shelter...when who should I see sitting there, but Red!
What are the chances I'd run into someone from last year?! I was so delighted to see a familiar face.
When he saw me, he said, ""Happy Bloomsday!""","Old Stone House Road / The Pipers
",Cove Mountain Shelter,"Jun 16, Fri",15.80
AT-AT Walker,https://www.trailjournals.com//journal/entry/569332,"Thoughts On Mulberries:
They have less flavor / more grit than blackberries
They have a mild flavor, like plums
It's impossible to get them off the tree without the teeny stem. It's impossible to get the teeny stem off without the berry exploding.
It's fine to eat the teeny stems.They stain on contact.
What are the rest of the lyrics to the song with the monkey and the weasel?!?!
* * *
I'm tenting in a meadow full of lightning bugs. I'm here with Al from White Horse, the Yukon. He's carrying two beautiful Irish pipes, several kinds of tobacco, and a water bladder of Laphroig 10 year old cask strength Scotch (""It tastes like the sea - the peat, the smoke, like a beach fire,"" noted Al.) Clearly, his presence classes up the place, wherever he goes.
We sat on the rocks, watched the lightning bugs, and talked. An unexpected, lovely end to a long day. I walked through Duncannon, where they were having a little AT festival. I ate scrapple and pancakes at a diner, but couldn't finish them. Hiker hunger hadn't kicked in yet. Neither has frankenlegs, although I think they're close - I feel stiffness. 
I spent 15 minutes lying on a rock photographing a turtle, who seemed to be gazing off into the abyss. 
Things I Have in Common with Majestic Turtle:
-we both like a pretty view-we both have a fondness for green-we both carry everything on our backs","Cove Mountain Shelter
",Peters Mountain Shelter,"Jun 17, Sat",15
AT-AT Walker,https://www.trailjournals.com//journal/entry/569400,"I'm writing this by the side of an amazing fire Nightcrawler made. We all dried clothes at this shelter with a sweet water source with a metal trough / basin that sounds like a Zen water fountain.
Today...what a day. First time caught in the rain, but on the way down, there were two families who converged at the road crossing to do the most epic trail magic! There was a woman grilling hot dogs with one hand and holding a TARDIS umbrella in the other. There was fruit and candy and Dunkin donuts and coffee....we all gathered under the awnings and talked and ate (in the photo, you'll see Al behind me, smoking his cigar and being dapper)
The families were so lovely to talk to. Thank you!!!
It was a long day with a long climb, so the trail magic really helped. At the end of those miles, I was going through the entire Weird Al Yankovic catalog in my head, just to distract myself.
Stuff I noted during the day:
- startled a wild turkey mama and baby
- noticed how, with the insane humidity, it was just like hiking in a sauna
- ""what's on your arm?"" someone at Trail Magic asked me. And I realized there's so much crap on my arms (mosquito bites, random bug bites, sunburn, bruises, scratches) that I had no idea which he was asking about
- I ate it on the rocks today. The cuts look like paper cuts....but from rocks
New hikers I met: Fake News & Landlady, NightcrawlerMy favorite night so far, gathered around the fire, sharing Al's bounty, talking. I was too tired coming in to set up the tent, so it was my first night in a shelter this trip!","Peters Mountain Shelter
",Rausch Gap shelter,"Jun 18, Sun",18
AT-AT Walker,https://www.trailjournals.com//journal/entry/569744,"morning:
A raccoon got into Fake News' and Priestess' food bag last night. It wasn't hung high enough - as opposed to mine and Nightcrawler's, which were hung up ridiculously high.
""You should have hung it with ours,"" I told Fake News.
""Now I have a Carole King song stuck in my head,"" he replied.
""Which one?""
(singing) ""And it's too late baby, now it's too late...""
* * * * *
7:35 pm
Sitting by the fire, enjoying being *dry*. Today got rough. It had been so damn humid and sticky. . . and then when I finally got to the top of the mountain / ridge, it got so darn windy. I could hear the trees shaking around me and started to think about them possibly falling down. It was super rocky (big surprise) and it started raining, and I lost track of the blazes, which can easily happen on rocky sections. I knew I'd gone off trail, so I turned my phone off airplane mode to check my position on Guthook (app for the Appalachian Trail).
And as soon as I turned the phone on, it blew up with tornado warnings. ""Take shelter immediately,"" it said. Um, I'm on the top of a ridge line, two miles from the nearest shelter?
And then the lightning began. So between the tornado warnings and the lightning and me being on a ridge, I was freaked. So I did what I always do when stuck on a ridge in a storm: run. 
I was running over wet rocks. I didn't even know if tornadoes touched down in mountains, but I wasn't going to wait to find out. 
I ran so fast I caught up to Al and Nightcrawler, just as they were reaching the shelter. Al was continuing on to the infamous 501 shelter where you can get pizza delivered. But Nightcrawler and I stayed, started a fire to dry out our shoes, entertained ourselves with MREs we found in the shelter (they taste a bit like apple pie crust???). I started a batch of Jello (in honor of Atlas, who taught me to make trail Jello last year - by ""refrigerating"" it in a stream!).
Later we were joined by Sweetheart from Germany, Monkey Man, and Primo, who brought a guitar wrapped in trash bags to protect it from the rain.
Primo is currently playing the guitar - it looks like he's snake-charming the fire with it. He's playing a Justin Vernon (of Bon Iver) song and singing. It's beautiful.
I'm developing a cough. I'm worried I'm getting sick. I've never been sick on trail before....being in the wet clothes for so long can't be good. 
Guess it's me and the guys in the shelter tonight.
Words of advice from Primo: ""Never trust anyone in full camo.""","Rausch Gap shelter
",William Penn Shelter,"Jun 19, Mon",13.40
AT-AT Walker,https://www.trailjournals.com//journal/entry/569745,"I'm sitting on a swing - a massive, 30-foot high swing on this crazy property I don't even know how to describe. Now I'm moving to a manmade swimming hole that's fed by a spring. There are adorable little stripey frogs with green mouths that keep jumping into the water as I walk by. I'm now standing in a little outlet that leads to a waterfall - a very unusual way to get my daily 15 min foot soak!
I got here kind of by accident. Handy at Boiling Springs had mentioned it, and something about it being wrong in the AT Guide, but I didn't catch what was wrong. It was listed in the guide as a Mennonite church that takes in hikers from the 501 Shelter road crossing. It's not. It's a guy, Breathe Easy, who actually lives 9 miles further up the trail (where he leaves trail magic every day!) and takes in hikers in his home, sort of like a hostel, and offers rides to Mennonite church services.
But because it was wrong in the book, he offered to get me anyway when I called.
I'm due to hit a town, Port Clinton, in two days. But then yesterday happened, my hiking clothes were soaked, and I spent the night in a shelter full of mouse poop (with fresh mouse poop by our heads in the morning), where a cockroach crawled out from under my camp shoes...and with a cold coming on....I decided it would be good to get inside and clean up and dry out a bit, even if it meant taking a nero.
Once we arrived, Breathe Easy made me a raspberry kefir milkshake and a wrap...showed me his garden and some of his projects. Later he taught me how to make zucchini bread! (the Mennonites in this area are known for having tons of zucchini....if you leave your car unlocked at a church service, the back seat is likely to be full of zucchini when you return!)","William Penn Shelter
","501 Shelter / Breathe Easy's ""Mennonite Church""","Jun 20, Tue",4.10
