Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Beaker,https://www.trailjournals.com//journal/entry/552006,"I added my name to the Appalachian Trail Conservancy's thru hiker registry today, so I guess it's official. My Flip Flop hike will start from Davenport Gap, NC on March 25, 2017 and head north to Katahdin before jumping back to Davenport Gap and heading south to Springer.",,View Entry,"Nov 30, Wed",0
Beaker,https://www.trailjournals.com//journal/entry/552128,"I first started dreaming about thru hiking the AT when I heard about it as a teenager; however, it was always one of those ""someday"" dreams pushed to the background as my life was occupied with such things as building a career and raising kids. Blogging for my brother (All In) on TrailJournals when he hiked the trail in 2011 rekindled the glowing embers of the banked coals of my long dormant dream; however, when I picked up a hitching thru hiker (Patriot) near the Mt Rogers Visitor Center the next year, the embers flared up into full flame. After telling my wife about the encounter when I got back to our home in West Virginia, she said, ""I think you should do it"". It took another five years to reach a point where I could realize my dream and actually attempt a thru hike. During those years I started reading TrailJournals entries from other thru hikers (my all time favorite TJ blogger is CoMOMdo of the Florida Flip Floppers - check it out) and reading books about all aspects of a thru hike. I have been a backpacker all my adult life (hey, when you live someplace as special as WV - how can you NOT hike?) and have hiked portions of the AT in Virginia and Tennessee; however, they've always been shorter hikes of 2-4 days in duration. This was a whole new beast which would require a lot more planning and research!",,View Entry,"Dec 04, Sun",0
Beaker,https://www.trailjournals.com//journal/entry/552412,"My current plan is to start at Davenport Gap, NC on March 25 and head north. When I reach Mt Katahdin, I will secure some as yet undetermined means of conveyance to get me back to Davenport Gap and hike south to Springer Mt. (this plan is subject to change depending upon the outcome of a developing situation at work). For all you non-hikers out there, this is known as a Flip-Flop hike. The vast majority of thru hikers start at Springer Mt, GA in Mar/Apr and hike north to Mt Katahdin, ME. A few start in the North in Jun/Jul and hike south and even fewer still start somewhere in the middle (most often Harpers Ferry, WV) in Apr/May and hike north to Katahdin (Flip) and then jump back to Harpers Ferry and hike south to Springer (Flop).My plan had always been to do a ""traditional"" Flip Flop from Harpers Ferry. This was attractive for several reasons. First, it is the closest access point to the AT from my home in Morgantown, WV. Second, it kept me out of the overwhelming crush of hikers starting from Springer between Mar 1 and Apr 1 (known fondly as the Bubble). Third, it allowed me to miss winter weather in the Smokies. Fourth, it allowed me to experience both the comraderie of a northbound hike with all the NOBOs and the more solitary nature of a southbound hike with much fewer SOBOs on the trail as I headed south. Finally, it allowed me to start my hike as part of the 3rd Annual Flip Flop Festival at the AT Headquarters in Harpers Ferry (having already attended the 1st and 2nd Annual Festivals). Unfortunately, real life interfered with my ideal hiking plan and I found myself hemmed in at both ends by non-hiking events that required me to start my hike no earlier than Mar 25 and finish no later that Sep 16. These time constraints would have put me in Vermont at the height of mud season if I started that early from HF and in the broiling heat of VA in July for the second half of my hike, neither of which was too appealing.Still wishing to avoid all the problems associated the overcrowded trail conditions resulting from the Bubble by starting from Springer on Mar 25, I consulted with the wise and all-knowing Laurie Potteiger of the AT Conservancy. We studied the map and looked at my start- and end-date requirements and determined that a modified Flip Flop starting at the northern terminus of the Great Smoky Mountains National Park at Davenport Gap would best fit my needs. This would put me ahead of the Bubble, allow me to miss butt-deep snow in the Smokies and would still provide me with a piece of the solitary SOBO hike when I Flopped to Davenport Gap in late summer to finish out the hike. So, that's where the plan now stands. Only, just last week a new development cropped up at work that may throw this whole plan out the window. But, that's for another installment...",,View Entry,"Dec 12, Mon",0
Beaker,https://www.trailjournals.com//journal/entry/552618,"On December 12, my employer announced a Voluntary Separation Program to reduce headcount. Interested employees were requested to apply for the VSP and Management would determine, based on whatever arcane formulae they used to determine headcount reduction needs versus employee skillset needs, what employees qualified for the VSP. On December 21, my wife (who works for the same employer) and I found out that we qualified for the VSP. Woo hoo! Our last day of employment is January 11; however, we will continue to receive pay and health benefits for several more months. So, in effect, my employer will pay me to hike the AT! Merry Christmas to me! And a Happy New Year!I had previously planned to start my thru hike on March 25 because I planned to continue working until our company's annual bonus payout in mid-March. Now, with the VSP, I can start the hike in late February (on or about the 25th) from Amicalola Falls and get out ahead of the Bubble. I am currently re-evaluating my equipment choices to determine what changes I need to make to account for the earlier start date (I hope to post my gear list soon). Having previously been caught in an early April blizzard in the Smokies on a section hike several years ago, I know that Winter is not done with this area for several weeks to come. One thing that will need some adjusting is my shelter. I plan to carry a Jacks R Better Bear Mountain Bridge Hammock. With the earlier start date, I will need to add an underquilt and underquilt protector for added warmth. This, of course, adds to the weight of my pack. What can I remove from the the pack to help compensate for the added weight? Hmm, decisions...decisions... I suspect I'm going to be busy in the New Year reworking my pack! Beaker",,View Entry,"Dec 25, Sun",0
Beaker,https://www.trailjournals.com//journal/entry/553156,"There are a ton of books out there that can teach you the mechanics of preparing for and completing a thru hike. I only know of one book, called Appalachian Trials, that addresses the psychology of thru hiking. In it, author Zack Davis states that one of the things you need to do is publicly state your intention. That way, in those low times when thoughts of quitting cross your mind, you will think of everyone who is following your hike and, rather than disappoint them, or maybe just to save face, you keep on hiking. Pretty soon things turn around, the rain stops, the sun comes out, and you wonder why you ever thought about quitting in the first place. Well, let me tell you, even though I hadn't really planned it, I have definitely publicly stated my intentions! When word of my Voluntary Separation from my employer got out, people started asking me what I planned to do. My thru hike seems to have struck a chord with everyone! I think everyone who is not taking the package sees this as a romantic adventure and an escape from the hum drum life of a laboratory. Tomorrow is my last day - all that's left now is the exit interview and turning in my company ID. After some traveling to visit kids and grandsons and some long overdue painting around the house, I will be hitting the approach trail at Amicalola Falls on February 26 (my 53rd birthday!). I have been doing preparation hikes with full pack in nearby Cooper's Rock State Forest. Last week, it was 16 deg F and 6 inches of snow. I am pretty happy with my chosen gear and feel pretty good about my readiness for winter in the southern Appalachians. Not ultralight by any means, but not too bad weightwise. Definitely better than what I carried in the 80s and 90s! Just a few more tweaks...",,View Entry,"Jan 10, Tue",0
Beaker,https://www.trailjournals.com//journal/entry/554086,"I worked my last event yesterday at Monongalia EMS. So, now I am no longer working as either a scientist or a medic and I am now officially completely unemployed (at least for the next six months or so). Of course, I have been able to fill my days with LOTS of painting. My wife, Marguerite, is completely on-board with me taking the next 5-6 months to hike on the AT; however, she did have two stipulations: (1) I would carry and use my shiny new SPOT Tracker she got me for Christmas and (2) I would help her paint all of the rooms in the house that I have been meaning to paint for the last 8 years or so before I left. Eight years of painting compressed into about 3 weeks is a lot of painting. At least it has kept me from obsessing about trail planning.Although not obsessing, I have continued to make changes to my gear, even as my start date creeps under the one month mark. I just wasn't happy with my winter pack weight. Total pack weight with water and food was still over 30 lbs. So, after much soul searching and internal debate, I have decided to start the hike with a Zpacks Altaplex tent rather than my Jacks R Better Bear Mountain Bridge Hammock, allowing me to shed the additional weight of a suspension system, full tarp, underquilt, UQ cover, and spreader bars. Although I much prefer my hammock to sleeping on the cold, hard ground, dropping the extra weight will take some of the stress off of the titanium plate on my right clavicle (the result of sailing over the handlebars of my mountain bike several years ago). Once I shed the winter gear, I plan to return the hammock to my pack until I reach the Whites in NH, at which time I plan to switch back to the Altaplex.",,View Entry,"Feb 02, Thu",0
Beaker,https://www.trailjournals.com//journal/entry/555155,"I am spending the night at my stepson's house in Knoxville, TN. Then tomorrow Chris is taking me to Amicalola Falls State Park in Georgia to start my thru hike. I plan to do the Approach Trail tomorrow and actually reach Springer Mountain Monday morning for the official start of my thru hike. This has been a dream whose realization has been a long time coming. This never would have happened if my wife, Marguerite, had not been so understanding and supportive and actually encouraged me to give this hike a try. On my way here, I passed where the AT crosses under I-81 in SW Virginia. I couldn't resist stopping to take a photo of the iconic white blazes.",,On your mark...get set...,"Feb 25, Sat",0
Beaker,https://www.trailjournals.com//journal/entry/555226,"Today was a really great start to my AT adventure. Chris and l arrived at Amicalola Falls State Park around noon and I registered as AT thru hiker #230 for the 2017 season. The weather was spectacular! Blue skies and   temps in the high 50s. Chris and I then passed through the arch behind the visitor's center and started up the 8.8 mile approach trail to Springer Mt and the start of the AT. The first thing you hit is a set of 650 steps that parallels Amicalola Falls. Ugh! At the top of the steps, Chris and I parted ways and I continued along the approach trail. The previously busy trail got very quiet after I got away from the tourist attractions. I took this opportunity to put on my hiking kilt since I was no longer in danger of mooning all of north Georgia as would have happened if I climbed the steps in my kilt. Over the next 7 miles I did see a lot of day hikers. I also passed a few thru hikers as we struggled our way up to the long climb to Springer. It's kind of funny, we are all kind of tentative. We don't want to sound overly boastful and proclaim loudly the we are going all the way to Maine! We also surreptitiously check out each other's packs trying to determine if they know more about what they are doing than we do. After climbing and climbing and climbing for 7.4 miles I finally reached Black Gap shelter. I had planned to stop there for the night rather than push on to Springer Mt; however, when I got there I was the only person there and I still had over two hours of daylight. So, I decided to push on to Springer. What a great decision! When I reached Springer there were 8 other people enjoying the setting sun. Everyone was sort of keeping to themselves and almost shy. I decided that would never do and started introductions. It turns out we had people from FL, NH, NY, Philly, Paris, and South Africa! We all then proceeded to the shelter together and had a nice evening filtering water, fixing dinner, and figuring out the bear cables (cables that suspend your food in the air out of reach of bears). It is now 8 pm (hiker midnight) and we are all tucked in our sleeping bags in the shelter or our tents and ready for bed. All in all, a great day!","Amicalola Falls
",Springer Mt shelter,"Feb 26, Sun",0.20
Beaker,https://www.trailjournals.com//journal/entry/555319,"Hawk Mt Tent Site 2 /27/17Today was another good day on the trail. I awoke to overcast skies and the feel of rain in the air. It was a pretty cold night and I discovered that my 20 degree rated down quilt wasn't quite as warm as I'd hoped. Tonight, more layers of clothes. Once again, I kept the mileage low as I build up my hiker legs. As a result I had a leisurely morning and didn't leave camp until almost 10 AM. I saw several more hikers starting from Springer Mt this morning, having decided to forego the Approach Trail. The range of hikers is fairly amazing. I had three twenty-somethings blow by me like I was standing still. Come to think of it, I was standing still taking a water break when they passed; but you know what I mean. Not five minutes later, I met a woman heading southbound. The first thing she said to me was ""I'm going home. I've hiked five miles and my feet hurt, my toes are tingling, and I'm hallucinating that the creek is talking to me."" I'm not making this up! Of course, she had a pack as big as she was. I'm amazed by the number of people who have an overly romantic view of hiking the AT and come out here with no idea what they are getting into only to quit a few miles into the hike. After a nice lunch near a waterfall, the rain arrived. Rain. Lifebringer to a parched land crying for water... The tears of the Angels come down from Heaven to water the little flowers... I hate rain. Luckily, I was able to ride out the worst of the high winds and lashing rain at a pavilion that the Bethel Baptist Church generously makes available for thru hikers. After the rain passed, I hiked on to the Hawk Mt Tent Site. This site just opened this season in an attempt to relieve the overcrowding at the Hawk Mt Shelter that occurs every year when the crush of hikers known as the Bubble arrives. Luckily, my plan to get out ahead of the Bubble has been successful. There are quite a few hikers out here; but, it isn't overwhelming yet.","Springer Mt shelter
",Hawk Mt Tent Site,"Feb 27, Mon",7.20
Beaker,https://www.trailjournals.com//journal/entry/555351,"2/28/17 Woody Gap,GAMiles hiked: 20.6 Miles left: 2169.7Rain. Again. Lots of rain. Everything is damp. Yuck. The day started out nice. I woke up at 6 AM just as it was getting light. A fog had settled in overnight and the woods had that really cool, mysterious look to them. It has been a bit of an issue adjusting my sleep schedule. I climb in my tent when it gets dark and I read or write my blog and generally fall asleep by 9 pm or so. Of course, being one of those people who only sleeps about 5 hrs a night, I am wide awake by about 3 am. So, by 6 am when it starts getting light I'm more than ready to get up. I am also one of those people who can't just hang out very well, so by 8 am I was ready to head out. I started out hiking this morning with a 20 Something named Alexa. We were hiking along at a good clip and having a pleasant conversation. Then we reached the first climb of the day. I told her to go ahead since she would probably be faster than me on the climb. Well, that took care of hiking with Alexa! She was gone! I had a couple of pretty steep climbs today. But the trail is so nice and well maintained it wasn't too bad. Volunteers from the GA AT Club maintain this section of the trail and they do an excellent job. I also met two Ridge Runners. They are people who patrol sections of the trail and answer hiker questions and help educate hikers about Leave No Trace and hiker etiquette. I truly appreciate the work these people do to make this trip possible. Of course, by leaving so early, I reached my planned stopping point at Gooch Mt shelter by 1 pm, which was way too early to stop for the day. So, on the third day of my hike I broke my rule of no 10+ miles in the first week and pushed on to Woody Gap. Alexa was also at Gooch Mt Shelter when I arrived and we discussed pushing on a little further. She headed out while I was packing up my lunch and I haven't seen her since. About 2 pm the rain arrived, heralded in by several rounds of thunder. I quickly donned my Goretex jacket and my rain kilt and covered my pack just before the skies opened up. The problem with hiking in a Goretex jacket is that it keeps the rain out; however, you get just as wet from sweating. I slogged on and finally arrived at Woody Gap in the pouring rain. There is a hiker hostel nearby that will pick up hikers and shuttle them to the hostel for the night. I decided it would be nice to get out of the rain, so I called them. Totally booked for the night! Bummer. I guess it's tenting in the rain for me. About that time, another hiker I had met, Ant Man, showed up. We found a suitable tent site and pitched our tents in the rain and have settled in for the night. Unfortunately, the Weather Channel is predicting severe thunderstorms tomorrow. Bummer.","Hawk Mt Tent Site
",Woody Gap stealth site,"Feb 28, Tue",13.20
