Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bigfoot,https://www.trailjournals.com//journal/entry/633756,Drove 100 mi to Vernon NJ trailhead and did 5.1 to shelter. First mile took an hour due to high elevation and Rocky terrain. The next miles were ok. Bunking with guys from GA and Midwest. Shelter here is excellent complete with a bear box for food storage. Doing a little over 12 tomorrow.,"Vernon NJ
",Waywayanda shelter,"Apr 20, Thu",5.10
Bigfoot,https://www.trailjournals.com//journal/entry/633757,"Difficult hike to Wildcat. I dedicated this days hike to Timothy Wildcat, the best Main Coon cat around. Stayed with Running Bear from GA and Kansas and friends from Missouri. Great time at dinner was had by all. Hike was difficult ups and downs one after another. Hasn't been an easy day yet.","Waywayanda shelter
",Wildcat Shelter,"Apr 21, Fri",12
Bigfoot,https://www.trailjournals.com//journal/entry/633758,"Lots of cold rain made for very slippery rocks, my and roots cut my miles short. Took me 10 hrs. to do 8 miles. Set up my tent on top of the mtn. Turned Sunny that evening.","Wildcat Shelter
",Arden MT ,"Apr 22, Sat",8.10
Bigfoot,https://www.trailjournals.com//journal/entry/633759,"Met Little Beat from Maine here. He tented while I sheltered.Enroute about 2 mi from Fingerboard I passed thru the ""lemon squeezer"" . Believe me, it squeeze d more than lemons. It's a cave like ravine combing a technical climb and carrying your pack thru the squeezer.","Arden MT 
",Fingerboard Shelter,"Apr 23, Sun",5.50
Bigfoot,https://www.trailjournals.com//journal/entry/633760,Very technical hike to shelter with difficult ups and downs that don't let up. Shelter is about 1 mile off trail. Surreal views of the Hudson and Manhattan skyline. Even more stunning views at late at night.Spent last 3 nights with Little Bear from Maine. Two more folks from West VA showed up and enjoyed the fire I built which is a fireplace set directly in the shelter. They too ooohd and aaahd at the glistening NYC skyline. If you can make this shelter please do it.,"Fingerboard Shelter
",West MT Shelter,"Apr 24, Mon",8.40
Bigfoot,https://www.trailjournals.com//journal/entry/633761,"Made very good time in the rain while watching foot placement each step of the way due to slick surfaces.Motel was nice and comfortable and near food resupply and restaurants.Sadly, due to sheer exhaustion over much technical terrain throughout NYS, a swelling knee and a heavy pack weight needing belt adjustments, I am aborting my hike prematurely.Lesson learned for next hike is to be more physically fit, somehow digdeep to find more ways to drop pack weight by 12 to 15 pounds.I'll be back with the right stuff hopefully in September to a new trail section.Thanks for viewing my journal. This is Bigfoot.","West MT Shelter
",Bear MT Bridge Motel,"Apr 25, Tue",8.10
Bigfoot,https://www.trailjournals.com//journal/entry/633872,"Finalizing packing. Have weight down to 35 lbs down from 45 last April.  However, I've reasoned that factoring in diminishing food and water during each week, my average weekly pack weight is about 31.7 lbs.
Some weight saving measures include changing to a 0.9 oz BRS stove from my 7 oz Coleman; swapping a 3.5 lb Bear Grylis zero bag (more like 35) to a  1 .8 lb Snugpak (compressed size of 6x8"" vs 9x14""). Saved 3 oz going to a less frills smaller headlamp for a much lower cost.",,View Entry,"Aug 13, Sun",0
Bigfoot,https://www.trailjournals.com//journal/entry/633368,"Arrived at Atlanta airport this morning and was promptly picked up by Ron Brown in his trusty Rav 4 who then drove me 90 miles to Springer Mt to start my hike northbound.  If you haven't had the experience, Ron is one of the best shuttlers out there. Prompt, courteous, kind and a joy to talk to.  Ride from airport was 3 hrs N to the Chattahoochee Forest by Ron Brown who took the high road the 10 of 90 miles over a road that looked like it was used for tax etc practice. Twice I thought Ron broke his front axle. His Toyota Rav 4 had 499,793 on the OD, waiting to Go Pro the 500k.
Ron actually drove me to the Big Stamp Gap trailhead about a mile N of Springer.  I then hiked southbound back to Springer and then northbound so to get in the correct miles. After doing the backward mile I got photos at the first blaze at Springer.  See attached.I ended today at Hawk Mt. shelter with not too much of a problem.  Did good today. For me its good. I'm 67 and not 27 but in decent shape but can't do the long miles.  Not that I could handle longer miles (which I usually prefer not to) but I enjoy taking in those rare moments that only the AT can bring. I have been so looking forward to this trek since last year.First days hike saw rain halfway to Hawk. No biggie but got soaked. Met up with Scott from Ontario, CDs. Trail to Hawk was strenuous in parts but made it in time expected.","Atlanta airport to Springer Mt
",Hawk Mt. shelter,"Aug 15, Tue",9.30
Bigfoot,https://www.trailjournals.com//journal/entry/633365,"Today was a good day weather-wise and also hiking from Hawk shelter for 7.7 mi. Terrain much more difficult than yesterday.  Not many folks on trail and had Gooch shelter all to myself. Hopefully the traffic picks up a bit more so I can befriend our interesting fellow hikers.
Stayed with Matt, his goal is 100 in his week's vacation. 
In honor of the recently deposed former WH Communications Director , I gave the Gooch a smooch in honor of da Smooch.
The hike to Gooch like most terrain going N from Springer was strenuous at times and not so the rest of the trail.
A little rain dampened the end of the day.","Hawk Mt. Shelter
",Gooch Mt. Shelter,"Aug 16, Wed",8
Bigfoot,https://www.trailjournals.com//journal/entry/633473,Easy hike today.  Found nice clearing for tent.  Fell short of Woods Hole shelter by 1 1/2 mi due to lateness. Pitched a tent near summit of this mountain. Difficult hike today. Getting late on these postings due to poor reception.,"
",Gaddis Mt,"Aug 17, Thu",10.90
