Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bop,https://www.trailjournals.com//journal/entry/556694,"Well, we've been buried in 16 inches of snow from a Nor'easter here in upstate New York. It's put a bit of a crimp in my final training hikes, but given me a good excuse for relaxing and trying to get my affairs in order before I hit the trail in another 11 days. Hopefully the relatively warm GA weather around Amicalola will continue, and I won't have to cope with snow on the trail.I've put together a tentative hike plan, gathered and tested my new gear and clothing, and bought all my food and beverage mix for mail drops along the way. Just need to box it and my seasonal clothing up, and put together a list of possible shipping addresses for motels or hostels where where I might crash when in town. My wife is our official post master and will ship them out.For anyone interested, my major gear consists of: OBOZ Sawtooth mid boots, ULA Circuit pack, Enlightened Equipment Revelation 20 degree down quilt, Z-Packs Haxamid Solo Plus tent, Black Diamond Alpine Carbon Cork poles, Jetboil Minimo cooking system, Thermarest Neoair mattress, and a variety of outwear from Outdoor Research, Eddie Bauer, and L.L. Bean. I'll rate the gear at the end of my hike. My next post should be from the trail - wish me luck and good weather!",,View Entry,"Mar 17, Fri",0
Bop,https://www.trailjournals.com//journal/entry/557128,"Here on the edges of the Adirondacks we are still facing winter. However, in Georgia they're now facing record heat. I think I'd like to be warm. I'm in the final throes of packing, and expect to be ready to begin our drive on Sunday to Springer Mountain.   This past weekend, our daughter and her family came to ski, and to wish me best of luck on the trail. To remind me of this luck, they left me a small horseshoe to take with me. I feel I'm blessed. I have the backing of my wife, my daughter and her family, and many friends who are all excited for my journey and wishing me the best. I must admit, I'm starting to get nervous. The date is fast approaching, and I was never sure whether it would ever really arrive. I can't believe I finally have the chance to experience one of my bucket list wishes. In many ways I feel I've been blessed. I've had a great career, a wonderful wife and family, a chance to work with various charities to assist them in their growth, and now, a chance to finally hike the trail and learn a bit about myself along the way. But, beneath it all, I'm starting to really feel nervous. This is such a major undertaking, and so different from anything I've done in the past. I'm getting up there in years, and I've had open heart surgery, back surgery, and, while serving in the Army, developed ulcerative colitis which required major abdominal surgery. So, I'm facing over 2200 miles of hiking over rugged terrain, with a slightly used body.I guess if I can do it anyone can, and maybe that's the greatest benefit of my hike, to help other see that you can overcome your own limitations, and still achieve your dreams, even though they may seem out of reach of the time. Well, that's about it for now. I'll update you all when I actually leave for Amicalola, and wish you the best till then.",,View Entry,"Mar 21, Tue",0
Bop,https://www.trailjournals.com//journal/entry/557628,"Twelve hours of driving brought us to Roanoke, Virginia, nearly 700 miles closer to Amicalola, and from 34 to nearly 80 degrees, with daffodils and flowering trees providing a welcome relief to winter. I'm sure the down puffy will prove useful during late nights in the mountains, but I'm glad I also have a t-shirt and convertible pants to help cover the temp swings. I just spoke with an old friend from my motorcycling days, who moved from MA to VA a decade or more ago. He told me there seems to be a lot of rattlers out early this year, and to ""keep my eyes open, and don't try to play with them"". Seems like sound advice! I'm hoping to hook up with him and his wife in Buena Vista VA in late May. Tomorrow we'll head for Gainesville for last minute provisioning and a nice dinner before heading for Amicalola on Monday. Happy Trails,Bop",,View Entry,"Mar 25, Sat",0
Bop,https://www.trailjournals.com//journal/entry/557775,"We spent last night in Gainesville, and drove the 38 miles to the Amicalola Falls Lodge in rain. The lodge is lovely, and the fire welcome. However, the views are non-existant. We are really fogged in, with heavy storms forecast for tomorrow, my first trail day. West of us, in Texas and Louisiana, they are having softball-sized hail, and tornados. We expect a portion of that storm to move through this area tomorrow, with clearing skies tomorrow night. Speaking of the trail, I reigstered at the visitor's center here at the park, one of around 40 North Bound, or NOBO, hikers starting out each day from here, headed north. I'm officially hiker 1294 of this year's NOBO class.   Hoping I'll be among the 10% or so of the registered thru hikers to stand atop Katahdin later this fall. Tomorrow's the big day, storm or no storm. My wife Dawn is planning to hike with me from the trailhead to the plaque atop Springer that marks the southern terminus of the trail. There, we'll get a photo, say what will probaly be teary goodbyes, and I'll head north into the wilds of Georgia. Happy Trails, Op",,Fogged in at Amicalola,"Mar 27, Mon",0
Bop,https://www.trailjournals.com//journal/entry/558071,"My wife joined me for the 2 mile round trip from the trailhead to the plaque atop Springer. Along the way, we met Kansas and Whiskey Mike. The day proved partly cloudy, the rhodadendrum groves were 12 feet of lushness (although not yet in bloom), and the streams were running well. Whiskey and I hiked part of the way together to Stover Creek Shelter where we had lunch. Whiskey Mike decided to take a break, and so Kansas and I hiked to the Hawk Mountain Campsite together, getting in around 5:30. Tents were set, dinner eaten and water refilled. The campsite is lovely, new, and well equiped with several bear boxes and a privy. The hike down to the campsite was rather lengthly at .2 miles or so, and steep, and it was another 0.2 mile downhill walk from there for water. The water, once reached, was running well. Be aware that the army ranger training brigade was active in the area. Machine gun fire and explosions continued till around 9PM. Tomorrow I'm heading for the Justus Creek Campsites at mile 14.4.
Happy Trails,","Springer Mountain Trailhead
",Hawk Mountain Campsite,"Mar 28, Tue",8.40
Bop,https://www.trailjournals.com//journal/entry/558078,"Today was rough. I was up early and on the trail before 8AM. Just north of the Hawk Mountain Campsite there is a great stream for resupply. I stopped at Hawk Mountain Shelter to sign the log and make some hot cocoa. The day was sunny and warm, and I was stiff from yesterday's hike, and I had been awoken several times last night due to leg cramps. I should have listened to my body. I've been hiking slowly due to torn tendons in my left foot, so I'm only averaging a mile an hour. As a young soldier, I developed a serious intestinal illness that resulted in the loss of my large intestine. As a result, I suffer from chronic dehydration, and today was the perfect storm. I sweat heavily at the best of times, and today was warm and humid. I'm moving slowly because of the tendon, so it's longer between water stops. So I became very dehydrated. My legs were very stiff and cramping whenever I stopped for a break. When I'd stand up after a break, my vision would go black. There is no place to refill water bottles between Hawk Mountain and an undocumented military water trailer at Cooper gap. So, by the time I was coming back down off Sassafras Mountain, I was out of water, my legs were spasming, and I couldn't eat anything because I had no saliva. Not a good situation. My wife picked me up at Cooper Gap. I'll take a day off, regroup, get myself hydrated (it takes me 24-36 hours to do so), and I'll go to Mountain Crossings to see if I can lighten my pack enough to carry additional water in a bladder.   I'm hoping to get back on the trail by the day after tomorrow.","Hawk Mountain Campsite
",Justus Creek Campsites,"Mar 29, Wed",4.90
Bop,https://www.trailjournals.com//journal/entry/558243,"Well, I'm back lumbering along the trail. After spending nearly 40 hours getting rehydrated, stretching, and removing some items from my pack to reduce weight so I can carry more water, I got back on the trail where I had left it two days ago, at Cooper Gap. Today I slack packed. I carried only my water, emergency supplies, and food other than breakfast and dinner. This brought my pack weight way down, so I could hike easier and faster, covering 8.3 miles in 6.5 hours. Not fast, but faster than the 1MPH I had been averaging. The weather was also much cooler today day, with bright sun and the residual clouds from last night's storm. All the creeks were running, and water was easy to find.   My wife Dawn hiked in from Woody Gap, so I could hike my last 1.5 miles today with her. Tonight is my last night in the hotel with Dawn. Tomorrow, she will drop me at Woody Gap, and start her long solo drive home. I'm losing my local support, and will miss her terribly. I have two tough days coming up, culminating with the appropriately named Blood Mountain. I hope to take a partial day off at Mountain Crossings at Neal's Gap, a store and hostel at the foot of Blood Mountain, where I will resupply. Happy trails,","Cooper Gap
",Woody Gap,"Mar 31, Fri",7.30
Bop,https://www.trailjournals.com//journal/entry/558583,"Today I said good bye to my wife, Dawn, knowing I was now committed, since she had to return home to New York, our dog, and her store. I climbed up out of Woody Gap with tears in my eyes. I stopped for water at a lovely trailside waterfall just north of Lance Creek. I was planning to stop at Woods Hole shelter for the night, but still had energy, so I decided to push on over Blood Mountain to Neal's Gap. This would be my longest, and toughest, hike to date. The Hike over the 4457' high Blood is tough. At a break part way up, I noticed I'd lost my wide mouth 1 litre Nalgene bottle. I had taken a brief spill earlier, and assume it slipped out then. I let the ridge runner know, should someone find it, that it belonged to Bop, and that I would be at Neal's for the night. I got to Mountain Crossings about 5:30, just in time for a pizza and Coke, before they closed at 6. I ended up giving away half the pizza to other hikers, then headed up to the tentsite for some well deserved rest. Happy Trails,","Woody Gap
",Neal's Gap,"Apr 01, Sat",10.80
Bop,https://www.trailjournals.com//journal/entry/558579,"Had a rather rough night. I spent the night tenting just behind Mountain Crossings, and didn't sleep well. It was blowing hard, cold, and the tentsite sloped. The Cuban fibre pan in my tent is about as slippery as ice, so my mattress pad took a bobsled run to the low end of the tent every half hour, at which point I'd have to roll off the pad in the cold, and slide it back uphill. I think I got 1-2 hours sleep. After packing up, I hit Mountain Crossings, where I had a pack fitting session, bought a new 1 litre Nalgene to replace the one lost yesterday, and went through the supply box my wife had dropped off for me a few days earlier. I ended up bouncing most of that box forward to the Top of Georgia Hostel, where I'll be staying in a few days. I also bit the bullet, and bought a new Big Agnes Fly Creek HV 2 Person tent, shipping my old tent home. It added a pound to my pack weight, so let's hope it is worth it. Then I hit the trail for Hogpen Gap. At Tesnatee Gap, just as I was facing the really steep climb up Wildcat Mountain (500 feet elevation gain in less then half a trail mile), and feeling sorry for myself, since the trail angel who had been there passing out Mountain Dew, had pulled out just as I descended, in pulls two new angels with chips and beer. Yippee!After carbo loading , I made it up Wildcat, and on to Hogpen. Got my new tent set up, water filtered, dinner, and a sponge bath in (it's really bad when you can't stand your own smell). Bad weather is headed our way, so I think I'll do a zero in Blairsville tomorrow, if I can find a ride. Happy Trails!","Neal's Gap
",Hogpen Gap,"Apr 02, Sun",6.90
Bop,https://www.trailjournals.com//journal/entry/558578,"A new trail friend, Paul, and I flagged down a ride early this morning from Hogpen Gap, where we'd spent the night with around 15 other hikers. Kansas was there as well. Last night I tried out my new Big Agnes Fly Creek HV 2 tent. Much roomier and comfortable than my old cuban fibre bare bones tent. So, why did we leave the trail and backtrack to The Holiday Inn at Blairsville, you may ask. Simply, a STORM. Not just any old storm, but a real life threatening event. Winds are forecasted to reach 100 MPH, with damaging hail and tornados likely. 10 of last night's group were planning to make a run to the next shelter, about 4 miles away. I imagine that shelter, Low Gap (that sleeps 7) will see 25-30 bodies trying to find refuge from the storm tonight. I hope they all make it through safely. We were lucky this morning. Another hiker had arranged a shuttle into Blaisville from our campsite for 7:30 this morning. Paul and I were to accompany her, but were about 2 minutes behind her as she hiked up to the road. The shuttle didn't wait, so we were stranded in pea soup fog and rain at the side of the road. I tried calling shuttle services to no avail, when, out of the fog appeared a father in a pickup truck, looking for the nearby invisible parking lot, to pick up his son and his son's fellow hiker. So, we had a comfortable ride right to our hotel, where we were immediatly checked in, in time for continental breakfast. A subsequent shower and clothes wash in the tub, and I'm starting to feel human. Paul and I are hoping to head back to Hogpen tomorrow mid day, depending on weather. Happy Trails!","Hogpen Gap
",Blairsville GA,"Apr 03, Mon",0
Bop,https://www.trailjournals.com//journal/entry/558922,"Paul's wife got up early to shuttle us back to Hogpen Gap from which we had left yesterday to take shelter in a hotel under threat of a damaging storm. The weather this morning was great for hiking: sunny, cool, dry, and breezy. We made good time, hoping to make Unicoi Gap before another round of forecasted storms hit. Along the way, we stopped at Low Gap Shelter for water, and the wildflowers were in bloom along the stream banks. Given the severity of last night's storm, I imagine the shelter must have been packed tbe previous night with worried hikers.   Throughout the afternoon we passed trailside waterfalls and rushing streams swelled by last night's storm. Unfortunately, our energy and the daylight wained as we were about 3.5 miles fom our goal. I was running low on water, and so filtered 4 liters from a stream. Immediately after the stream we found a good tenting site, and met Josh, an IT data analyst, who is section hiking to prepare for an upcoming sporting event. Tomorrow, we'll need to hit the trail early to beat the next storms arrival, forecast for 8 AM.","Hogpen Gap
",Tentsite near Blue Mountain Shelter,"Apr 04, Tue",11.20
Bop,https://www.trailjournals.com//journal/entry/558927,"Early this morning, Paul, Josh, and I broke camp and started a fast hike to Unicoi Gap. Once more, another dangerous storm is forecast, with hail, high winds, possible tornados, flooding, and lightening....pretty much armagedon but without the plagues. The storm was to start around 8 AM, and we didn't want to be out on an exposed ridge in its fury. Paul and I left first, knowing the younger, and more fit, Josh would quickly overtake us. Paul stopped for water just as Josh caught us. Josh and I continued on together hiking as fast as I could. Paul had planned to finish his hike at Unicoi, so he could return to work, and his wife was to pick him up mid-morning at the parking lot in the gap. Josh and I needed to arrange a hotel room in Hiawassee Georgia to split, and a shuttle service to get us there from the gap. Unfortunately, we started out later than we should have, so I found myself on that dreaded exposed ridge, using my cell phone to make arrangements. Lightening was dancing on the surrounding peaks, the rain was beginning, gusty winds were using our packs for sails, and I was having little luck, with nearly all available rooms taken. I eventually booked one of the last (read expensive) rooms and a local shuttle company. As I made these arrangements, Kansas caught up with us. He informed me he has adopted a new trail name: Cowboy. The trip down the final mountain into the gap was steep, wet, and slippery, with many rock scrambles and areas where the preceeding storm had washed leaves onto the trail (hiding roots and rocks), and turning the Georgia clay into slick puddles of red. When we finally made it down, we found someone had vandalized five cars in the parking lot the previous evening. So, Paul met his wife and is headed home. Cowboy is in a hotel in Helen GA, and Josh and I are splitting a room in Hiawassee. The weather ""experts"" are forecasting another major storm for tonight and tomorrow morning, at which time the temperature is to drop precipitously, and the trail ahead of us will see freezing temps, snow, and 40 MPH winds... Can you say blizzard? Most of the hikers here in our hotel plan to stay through tomorrow night. Time, and the weather, will tell. Happy Trails!","Tentsite near Blue Mountain Shelter
",Hiawassee Hotel,"Apr 05, Wed",3.50
