Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Cool Breeze,https://www.trailjournals.com//journal/entry/368120,"Well, here I am again. Looking forward to my next big section hike of the AT. I will be starting sometime between September and November 2012. I plan on doing 210-280 miles in 14 days starting from Dick's Creek Gap in Hiawassee, GA and ending somewhere in Tennessee. I am starting the training now. A friend of mine is planning on going with me. He is starting his prep now also. I have already decided on some gear changes and started purchasing. I am listing them in my gear section. I will write as I can on my preparation.",,First Entry,"Feb 28, Tue",0
Cool Breeze,https://www.trailjournals.com//journal/entry/370139,I am really excited. I am already doing massive planning for this hike. I am keeping busy buying new gear to lighten my load. I am currently serving in Afghanistan so this journal and planning my trip is keeping me sane right now...,,View Entry,"Feb 29, Wed",0
Cool Breeze,https://www.trailjournals.com//journal/entry/370140,"Looks like I may be adding a few people to our little trek. Beau, Lope and his wife and maybe Penny may go on this big adventure. We are still in the early planning phases but we will see how it will all shake out. I have purchased some new equipment for this hike. I have added it to my planned gear list and updated the pictures. It is still a work in progress so bear with me. I am so excited I can't wait!",,I can't wait,"Mar 21, Wed",0
Cool Breeze,https://www.trailjournals.com//journal/entry/371499,"Training has started for the trail. The goal now is a minimum of 300 miles in 21 days. Maximum is trying to reach the Virginia Border. Training is key to this planning. That would mean averaging 19-20 miles a day. I have 5 months to prepare so I think this is attainable. Another friend is thinking about going. Right now it looks like Beau, Lope, Rosson and myself (maybe Lope's wife) are on the list. This morning I ran 3.5 miles in 33 minutes at 5000ft elevation. I plan to start walking with a pack more and continuing to hit the gym. I have purchased most of my gear. I still lack my waterproof/breathable jacket and trail shoes. I will be buying the jacket around July and the shoes right before I hit the trail. My gear has changed considerably this year. My old gear list is under my old trail name (Facetious (2011) - on the option menu on the left if you would like to compare). I have strived to get some lighter equipment. My gear list is dependant on when I can actually hit the trail. The range is between September to November. If it is September I may drop a few things out but towards November I don't want to take any chances. Let me know what you think?",,View Entry,"Apr 02, Mon",0
Cool Breeze,https://www.trailjournals.com//journal/entry/371911,"It looks like the list of people has changed again. Beau, Lope and I are definitely going. Rosson and Penny are still hopefuls but it looks like that is the list for now. I can't wait. Beau, Lope and I did a practice hike this morning of 5 miles with packs. Everything is on track so far. I changed all my bags out for Cuban Fiber. My base weight right now is around 15 pounds. Not bad for a winter weight for me (I know I could go lighter if I had to). I still have a short list of stuff I want to buy before my hike. I really hope I get to go in September. I will be going regardless of when I get home. My 11 year old Son may be doing the first day with us. That would be fun. That's all for now...",,View Entry,"Apr 05, Thu",0
Cool Breeze,https://www.trailjournals.com//journal/entry/373352,"I am looking at changing cameras. I think waterproof and shockproof may be a good idea. I am looking at a Fuji model. The XP20 (14 MP) to be more precise. I think I can get a pretty good deal on one. 
Looks like the list of people going is now down to Beau, Lope and I (maybe Rosson too). I am sure it will continue to evolve. 
More preperation has been done. Hiked a mountain in Surobi with combat gear for fun and ran 5 miles this morning. When I actually get back on the trail it will be surreal!",,View Entry,"Apr 15, Sun",0
Cool Breeze,https://www.trailjournals.com//journal/entry/377166,"Well, I am still here in Afghanistan. Doing as much prep as I can from here. I am always thinking about ways to lighten my pack. I like my creature comforts so I can't imagine that I will ever get down under 10 lbs (except for maybe summer). One of the ideas I have been thinking about is I usually carry 1 more full meal when I am hiking than what I am expecting to eat. I have been doing this for safety reasons. I am now rethinking this and may begin to just carry 2 small pouches of Lipton soup as a light weight alternative. Let me know what you guys think of this? I have put up a pretty comprehensive list of gear with pictures. I would also be interested to hear your opinions of my gear including ways to shave weight. Every time I think I am as light as I can go I think of another way to lighten it some more. Right now I have my base pack weight down to right at 15 lbs with about 4 pounds of clothing worn (including hiking poles and shoes). It looks like for family reasons I may shorten my hike back to 14 days. The plan is constantly evolving. This would still put me through the Smokies which is my goal for this hike. It is still Lope, Simmons and myself going. Lopez said his wife is seriously considering it again. I haven't heard from Rosson if he is still going or not. In the end it doesn't matter to me. I will go all by myself if need be. It would be fun to go in a group but isn't necessary. I can't wait!",,Me again...,"May 09, Wed",0
Cool Breeze,https://www.trailjournals.com//journal/entry/386847,Still in the Stan. Updated my gear entries with a few last minute changes. The clock is ticking!!! I can't wait. It may be down to me and Beau now. Lopes is still hanging on. We will see what happens. The plan is back to 2 weeks through the Smokies starting at the GA/NC border. I can't wait. I have my meal plan and resupply planned. The plans are becoming finalized. It is almost time!!!,,View Entry,"Jul 20, Fri",0
Cool Breeze,https://www.trailjournals.com//journal/entry/387038,"Let me clearify a few things. First I have purchased all equipment except my shoes. I will buy those and make sure they are broken in right before the hike. I am looking at the Inov-8 X-Talon 212. I have heard good things about them and figure I may give them a try. I have purchased some of my food. I am going with Mountain House Pro-Packs and Packit Gourmet meals for some of my dinners. I have a full list of groceries to buy right before I leave. The trail has pretty much been planned and everything is as ready as I can get it from here (Afghanistan). I have detailed spreadsheets with everything that needs to be done as soon as I get home. It is settling into the 14 days of hiking starting at Dick's Creek Gap Hiawassee, GA and hiking through the Great Smokie Mountains National Park. Hopefully starting in mid September. The temps look like they will be between 70-80 during the day and cool at night. Taking a minimum amount of cold weather clothing for elevation. I am so pumped. Enough for now. I will write more soon...",,Time is dragging...,"Jul 21, Sat",0
Cool Breeze,https://www.trailjournals.com//journal/entry/394193,I got to the trailhead at Dick's Creek Gap around 9 am. I was waiting for Beaux to show up when he called and said he was still an hour away. I made a few gear videos at one of the picnic tables and then repacked my food and backpack while I waited. Beaux finally arrived and we got started a little after noon. We started North Bound from Dick's Creek Gap at Hiawassee which is where I ended my last section hike of Georgia (6 days North Bound from Springer to Dick's Creek Gap in 2010). The climb was steeper than I remember. Funny what your memory does to things. We crossed over the Georgia/North Carolina in roughly 9 miles. We stopped and took pictures at the sign and then took pictures of the bent tree just into North Carolina. We easily made it to Muskrat Creek Shelter and decided to call it an early day and started to get settled in. Muskrat Creek Shelter is pretty run down. I would not recommend staying there unless you have to. It was quiet though and we decided to bear hang our food bags more for the practice (there were no bear poles at this shelter) than anything else. We ate dinner and turned in for the night. This reminded me of how tired you get every day and how a good night sleep can change things for you.,"Dick's Creek Gap, Hiawassee
",Muskrat Creek Shelter,"Sep 15, Sat",11.80
