Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Fatboy & Ginger,https://www.trailjournals.com//journal/entry/554035,"I'm lying in my warm soft bed and relishing the comfort. I know it'll change soon. We'll be leaving home in 20 days to begin our journey. Our discussions after dinner these days seem to generally center on one subject. The Appalachian Trail has invaded our lives and is calling us daily. My wife and I are eager to begin but I'm a little fearful too. I turned 60 a few months ago and I wonder how my old body will hold up. I could lie and talk about my conditioning efforts to prepare for this adventure, but my truth is: I'm winging it. We have a three day hike in a week to sort out equipment, packing, food, and pack weight but that's it. See why I'm scared?If you could prepare by reading, I'd be set. I've read countless books about the AT, scrutinized gear reviews, engaged in lengthy conversations with sales people at outfitters, and have been obsessed with hiking. I just haven't done it yet.The details of leaving our home for six months are being crossed off daily. It's almost time to go and we're going to do this!
I've never been sorry for being nice.",,View Entry,"Feb 01, Wed",0
Fatboy & Ginger,https://www.trailjournals.com//journal/entry/554065,"The reality is beginning to set in. We've decided on trail names. Fatboy & Ginger will be starting from Georgia the first week of March on our adventure. We are so grateful for each other and our loving relationship. I'm honored every day with the blessing of my beautiful wife. We have reached out to friends for help and they all have responded with generosity and kindness. Our home and pets will be well cared for.
I've never been sorry for being nice.",,View Entry,"Feb 02, Thu",0
Fatboy & Ginger,https://www.trailjournals.com//journal/entry/554118,"We spent the evening packaging food for our ""shakedown"" hike next week. It's intimidating trying to figure out what,how much, and how to pack this stuff. Food has always been a very important part of my life. Now I need to consider how much it weighs and how easily it's going to cook! Emotions come into play and differing perceptions of how to complete this surface.This may be a lot more complicated than I thought.
I've never been sorry for being nice.",,View Entry,"Feb 04, Sat",0
Fatboy & Ginger,https://www.trailjournals.com//journal/entry/554215,"We're packed and ready for our shakedown hike to begin tomorrow. The Lone Star Hiking Trail is only a few hours away and we plan to be there by early afternoon tomorrow. We've packed as though we were ready for 3 days without resupply except water. We get to test our packaged meals and weight carrying comfort. My pack is ~45 pounds and Ginger is carrying ~30. Those are proportional to our size so we'll see if that's realistic. We're excited!
I've never been sorry for being nice.","
",View Entry,"Feb 05, Sun",0
Fatboy & Ginger,https://www.trailjournals.com//journal/entry/554216,"We're packed and ready for our shakedown hike to begin tomorrow. The Lone Star Hiking Trail is only a few hours away and we plan to be there by early afternoon tomorrow. We've packed as though we were ready for 3 days without resupply except water. We get to test our packaged meals and weight carrying comfort. My pack is ~45 pounds and Ginger is carrying ~30. Those are proportional to our size so we'll see if that's realistic. We're excited!
I've never been sorry for being nice.","
",View Entry,"Feb 05, Sun",0
Fatboy & Ginger,https://www.trailjournals.com//journal/entry/554428,"Our shakedown hike was a success! We spent three nights on the Lone Star Hiking Trail and had a lot of laughs. We carried WAY too much stuff and it was hot. The important thing for us was: we learned a lot about our water filtration and what clothing really is important. It rained very lightly one night so we had a wet tent but nothing else got wet and we were comfortable. We did have one water crossing that wasn't much fun, but we made it without major incident. Fatboy has been wet and muddy before. Ginger made it look easy, but that wasn't really a surprise because she's the athlete! We decided to walk the roads to avoid the water crossing on the return trip and met a very nice lady named Kim. Her car had a paw print sticker that said ""Who Rescued Who?"" so we knew she must be OK. It seems there are a lot of people who are intrigued by seeing people out walking with packs on their backs. We also met a Texas Wildlife Game Warden named Brown. She was very helpful. When we told her we planned to walk a gas line easement to get back to the trail she informed us that we would cross a deer lease if we did that and if caught we would be prosecuted for trespassing. She suggested she give us a ride back to the trail head, which we accepted because we wouldn't be able to access any public land with the remaining daylight. It turns out that she delivered us back to where our truck was parked. That was a good thing because Fatboy had a recurrence of a chronic foot problem that was making walking become increasingly painful. We finished our hike one day early and headed home. We accomplished what we wanted with this hike and are looking forward to starting the AT soon.
I've never been sorry For being nice.","Trail head #11 near Cleveland, Tx
",Lone Star Hiking Trail,"Feb 09, Thu",0
Fatboy & Ginger,https://www.trailjournals.com//journal/entry/554723,"We aren't sleeping well. Visions of hiker meals are dancing in my head. We've spent the last few days exhausting all of the local grocery stores' supplies of dried vegetables and fruit bars. I'd ordered some items from Amazon but I wasn't prepared for the quantity of food required for 125 trail days. We both are committed to eating nutritious meals as much as possible and don't want to have to rely on what we can get from sources on the trail. I found a website called My Yummy Life written by a lady who makes hiker meals for her husband. This was very helpful and included lots of tips and tricks for making meals tasty and easy to prepare. Our kitchen was the assembly line and lots of zip lock baggies have been filled and proportioned into boxes for delivery to friends who've agreed to mail supplies to us. Our meals are almost set!
The details of leaving our home for six months are almost all complete and we are both ready to just get started. We're going to miss our dogs (Cleopatra, Droo, and Pete) and all of our local friends but we both recognize how blessed we are to be able to participate in this experience with each other.
I've never been sorry for being nice.","
",View Entry,"Feb 10, Fri",0
Fatboy & Ginger,https://www.trailjournals.com//journal/entry/555471,"We had three flights scheduled to get us to family en route to begin our hike. Our earliest flight was at 0530 and was without any trouble. We arrived in Houston on time but the plane nose gear steering mechanism needed repair so we were delayed past the connecting time for our flight to Newark. I have a map so I already know that Newark NJ is NOT between Houston and Akron OH. Airline travel makes for interesting journeys. At the end of the day we arrived in Akron at 2115 instead of the 1345 as per our original schedule. We did have the pleasure of meeting a mother traveling with her 8 month old son, Joseph, and sharing some time playing with him and listening to her story. It was wonderful to be with a young mother who really seemed to enjoy her child and let him be a baby without worrying about everything. He crawled around and played with the straps on our luggage and never became fussy once. She was refreshing.
We spent the next few days celebrating family birthdays and explaining why we were going on our adventure. Most of the people in both of our families don't seem to understand why we would begin a trip like this but they are all very supportive and loving. We're very grateful for that.
We had a day of travel via rental car with an overnight in White Sulfur Springs W Va and a final destination of Dumfries Va. We spent a couple of nights with family and somewhere along the way both started to feel sick. We flew from Washington DC to Atlanta and were met by Josh from the Hiker Hostel. (Here's a hint. If you need to use the restroom in the MARTA, ask before you exit the station. The restrooms are very poorly marked, locked and require an attendant to give you access. You have to pay $3.50 to get back in just to use the facility. It's a bummer but if you have to go, you have to go!)
The Hiker Hostel was really nice and the people were very helpful. We were both feeling quite ill and fortunately had arranged to be in a private cabin. A private bathroom was a benefit for everyone. I can't imagine what a nightmare it would have been for us to be in a communal living situation. We decided we weren't ready to hike the next day so we arranged to stay at the Amicalola Falls Lodge. We arrived at the lodge early in the morning and the staff was very helpful. At this point Ginger was almost curled into a fetal position and exhausted and I could barely stand. The staff made a room available for us and we both fell into a glorious bed and slept most of the next 24 hours.","Corpus Christi, Texas
","HIker Hostel, Dahlonega Ga","Feb 21, Tue",0
Fatboy & Ginger,https://www.trailjournals.com//journal/entry/555494,,"Amicalola Falls State Park + Lodge
",View Entry,"Feb 22, Wed",0
Fatboy & Ginger,https://www.trailjournals.com//journal/entry/555496,"First post from Jen, who has emerged from the delirium of The Flu!After months of dreaming, planning, reading and preparing , we are here at the AT Approach Trail, about 8 miles from Springer Mountain, the official southern terminus of the Appalachian Trail. And we did a portion of it yesterday. Twice.Our health test while recovering was to hike down the 600+ steps from Amicalola Falls lodge, leaving our packs at the top. ... which meant we'd eventually have to come back up.At the visitor center, we registered our thru-hike. I am Hiker No. 348 for 2017; Nathan is 349. Then, cheery, seasoned hiker Rachel (AT 2015), with the ATC, handed us that school bus yellow AT Leave No Trace placard I so coveted from online photos. ""Bears are real,"" she shared, and showed us her canister adorned with claw marks from Tray Mountain. I'm glad we splurged on one to carry ourselves. It added some weight, but looks like it'll be worth it. And by packing our double sleeping bag instead of two individual ones in their separate stuff sacks and liners, we banked 2 pounds. At the last weigh-in, without water on board, Nathan's pack was 34 pounds. Mine is 29. We think this is a good place to start.Rachel showed us a parallel path back to the lodge -- sans steps! -- and we concluded that one more night at the lodge would be wise. We will begin tomorrow, Saturday, March 4, 2017, somewhere along the Approach Trail and hike past Springer.In the meantime, the good folks at Amicalola Falls State Park Lodge are taking good care of us and other hikers who file through. The annual AT Kick Off starts this evening but is underway in earnest tomorrow, with many presenters and authors whose names we recognize. I don't believe in coincidences any more, except to at first acknowledge the coincidence, then give credit to a Higher Power whose plans I can't possibly fathom. I sure do get a kick out of watching them unfold ... or looking back and seeing the gift in what might not have felt like it at the time.What am I talking about?We planned to start the trail two days ago. Had I not been so weak and ill that we checked into the lodge, we would have been exposed on the trail when a severe storm blew in with golf ball hail, lightning and 50 mph winds. Never mind the rain that we're sure to see plenty of later.Plus,We'd almost giving up on the Approach Trail and considered a shuttle to Springer, missing out on the Falls experience and walking through that famed arch I've seen in movies and photos and wanted to be a part of. I thought of it like a wedding threshold. Turns out, we could approach The Approach creatively! There, we met a woman traveling the country solo in her RV with a motorized scooter, grateful for parks like this one that are ADA accessible. Nathan took her photo at the Falls. Had we not decided to ""slack-pack"" the Approach Trail flip-flop style, we wouldn't have met Rachel, with her recommendations and affirmations (and a photo of us in the arch, which she took and texted from her personal phone because ours weren't cooperating).And what I always come back to:Nathan, and the experiences that brought us together and the adventures we get to have together. Not just talking and scheming but actually doing. I heard Nathan chatting with sweet Barbara, who got us into a Lodge room in record time before I hurled again. Barbara shared with him that we're doing her bucket list. After a few pleasantries and jokes, Nathan asked, pointedly, ""What if someone takes the bucket away?""We're not going to wait to find out. Today is it.
jen","Amicalola Falls State Park + Lodge
",Zero Day,"Mar 03, Fri",0
