Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Ghosthiker,https://www.trailjournals.com//journal/entry/577811,"Added this day back in. Refer to September 16, 2017.","Hogback parking mile 1236.7
",Compton Gap Parking mile 1225.7,"May 15, Mon",11
Ghosthiker,https://www.trailjournals.com//journal/entry/564891,Breakfast at Front Royal Diner with Pam than drove the hour or so to Harpers Ferry. Registered for my section hike and Dave dropped me off and drove away. Kind of a boring day. Lots of rocks already. Not a whole lot of big views. Ed Garvey Shelter is cute. Met Nemophilist there. She started her thru hike on the south side of Shenandoah. Went the long steep 0.4 miles down to water. Ugh but I needed water. Passed on through Gathland State Park and continued on all the way to Rocky Run Shelters. There are two shelters here. Arrived at 7 pm. My feet are having a hard time getting  used to my trail runners. Soaked them in the creek while waiting for dinner to rehydrate. There are several others here but all in tents. Too nice to be in the shelters. Nice day.,"Harpers Ferry WV
",Rocky Run Shelters,"May 16, Tue",15.40
Ghosthiker,https://www.trailjournals.com//journal/entry/565043,"Woke up at 5:15 and couldn't go back to sleep. Went and got my food bag and made coffee.  Made some scramble egg breakfast tortillas, packed up and on trail by 6:30! Hiked almost 2 miles and found a free shower at Dahlgren Backback campground. Also charged my phone and got rid of trash. Starting off to be a great day. Testing out my Swiftwick socks today. Love them so far. The trail is smooth today too. Arrived at Washington  Monument State Park at 9am. Met DoRag. He didn't even come 0.1 off trail to see the monument because he is doing the 4  state challenge and started at midnight this morning. Sounds miserable. I took my shoes off   and went up barefoot. Nice cold stones! Most of today was just kind of boring. Stopped at Annapolis Rocks. The elevation is just not high enough for me. Very hot today. I stopped more often and put my feet in water. Found a little campsite before the creek at Warner Gap Hollow. Hunters are out and have been shooting all day long. I am camped too close to them. Talked to Dave in the phone. He is home now. He could hear the shooting in the background. Hope I don't get shot tonight.","Rocky Run Shelters
",Warner Gap Hollow,"May 17, Wed",18.80
Ghosthiker,https://www.trailjournals.com//journal/entry/565195,"Hiked out at 7:30am. Uphill to an unknown rock top view. Continued on and met Linda, Phil, I think, and dog Scout. Collectively Bounders. They have two cars and bound ahead and hike south. Met some guys who started at Harpers Ferry on Sun and Mon and are thru hiking. Patrick and Permethius (fire god?) Got to a cool place called High  Rock by 9 am. Graffiti covered rock may have been old fire tower. Redleg took my pic for me. Also here was Wizard another I can't remember name. Deb and Colie, a mother and daughter hiking together found me at Pen Mar Park and gave me their leftover food since they were getting a package in Waynesboro. Trail Magic from a hiker! MD-PA border by 1pm.  After reaching the border it seemed like the miles just flew by. Next thing I knew I was going up from 1000' elevation to 1900' elevation to Chimney Rocks! Beautiful up there. I decided to go on in to South Mountain to what used to be the Tavern. Still there but called motel. Had a burger, fries and beer! They have an outdoor shower and said I can set up my tent but there is a drunk named Billy here and I haven't decided as of 9:30 pm. Well it is 10:30 and almost everyone has left. I will tent here tonight.","Warner Gap Hollow
","South Mountain, PA","May 18, Thu",19.60
Ghosthiker,https://www.trailjournals.com//journal/entry/565264,I didn't get much sleep last night. Traffic went into the night and began in the weeee morning. I walked back to the trail at 7. Thought the 5 miles to town would be a piece of cake. Well it was some terrible boulder barf most of the way. I got to the road about 10 am and decided to call the Scottish Inn. Nikki picked me up and brought me the 3.5 miles or so. Shower and then breakfast at the Flamingo Diner! Will do chores and doctor my feet. Looks like rain tonight. I plan to head out tomorrow.,"South Mountain, PA
",Fayetteville ,"May 19, Fri",5
Ghosthiker,https://www.trailjournals.com//journal/entry/565455,"Had breakfast at 6 am at the Flamingo. Packed up and found Nikki. She took me to the post office where I mailed home winter type stuff. Hope it's not a mistake sending home my long johns. Then she dropped me off on the trail at 9:15. Today's trail was so lovely. First was Caledonia State Park where the trail meandered on the edge of the park. Lots of folks out today with lots of dogs. It is the weekend and the temp is in the 60's. What a difference from yesterday's muggy hot steam bath. About 1 pm I arrived at the PATC cabin where there was a Boy Scout troop getting water. I ate lunch and talked a little. Later I met Tink and Think who are from Florida. Avid outdoor enthusiasts who have ridden their bikes from Florida to Oregon in one single trip! Wow! I find myself just a little envious of couples who do these things together. I also met a fun hiking group called the Wackos! They are from TX and LA. They started hiking sections many years ago and began another on the 17th. They are staying in a cabin while they do long day hikes. What a fun group. Thank you for the huge oatmeal cookie! I posted the picture with them in photos. Hope to stay in touch with them. When I arrived at Toms Run Shelter it was noisy with lots of folks out tenting for the weekend. I found a little stealth campsite 0.2 miles past them next to a lovely creek. Made stroganoff for dinner. Soaked my feet in the creek and then hung my food bag in a tree. I have not seen any bear scat but since I am so good at hanging my bag, thanks to Qinti, I might as well be safe. I will sleep better. It was really a perfect day today with lovely gentle trails. I hiked all day in my sandals. My feet are happy","Fayetteville 
",Stream past Toms Run Shelter,"May 20, Sat",16.40
Ghosthiker,https://www.trailjournals.com//journal/entry/565524,The hoot owls made noise all night long. Got up early and made coffee and a breakfast burrito and hit the trail. Immediately saw the halfway marker! It's on wheels so it can be moved as the trail distance is always changing. I arrived at Pine Grove Furnace at 8:15 am. Met Trippin here. She began in Springer back in February but has spent some time off trail. I had a chicken quesadilla with avocado from the store grill. Saved half for lunch. Found out the Ironmasters Mansion Hostel was closed. Happy I decided not to come all the way here last night. Checked out the AT Museum and signed the log. The trail was nice again today. I decided to go to church this evening and was able to send a message to Carlisle Church of Christ. Member and my trail angel Ann picked me up PA 94 at 4:30 and brought me to town. Went to Arby's first and then service at 6 pm. Such a wonderful congregation. Everyone was genuinely interested in my crazy hike! After church Ann brought me back to the trail after stopping at McDonalds first for a milkshake! Thank you so very much Ann for everything! I hiked just a mile in and found the campsite by the stream. There were a few other tents on the other side. Hung my food bag and soaked my feet. Still having a little trouble with my right pinky toe. I was able to hike in my shoes today without the insoles.  Might be sandals tomorrow though. There is a huge section of about 18 miles where camping is not allowed. From here it would be about 22. I don't think I will push it. I think I will break it up and head to Carlisle. We'll see.,"Stream past Toms Run Shelter
",Campsite at AT mile 1112.9,"May 21, Sun",14.60
Ghosthiker,https://www.trailjournals.com//journal/entry/565578,"I have decided to relax today. Did 8.1 miles in to Boiling Springs today. Today was kind of fun. I enjoyed the Rock Maze and then the gentle walk through the corn field. I messed up and didn't notice the trail to the view at Center Point Knob. This knob was the original AT midpoint. It took me 4 hours to go the 8 miles today but I took more breaks too. This is a really cute little town. I had a fantastic raspberry white chocolate latte and then a salmon ceaser salad. Was able to get in touch by way of message with a lady who has bunks for hikers with sheets!  Thank you Iceman for the phone number. I think my pinky toe needs the rest of the day off. Lisa from Buck Off Hostel picked up a bunch of us at the AT Conservancy. She has 5 bunks and others can tent. Beaker, Ringer and 1stSarge are here. Also is a young girl named Spitfire hiking a long section SOBO, and the mom and daughter team, Tenacity and CurlyQ. Sat around the fire while clothes washed and we ate hot dogs or grilled cheese. I am sleeping on the third level top bunk. Hope I don't have to get down and go to the bathroom in the middle of the night.","Campsite at AT mile 1112.9
",Boiling Springs,"May 22, Mon",8.10
Ghosthiker,https://www.trailjournals.com//journal/entry/565773,"I had a hard time sleeping last night. I think it was a combination of this hard thin mattress, the internet, the bright Christmas lights right outside, some snoring, and the fact there was really no sheets just a blanket and and old flat pillow. I used my sleeping bag on top of the quilt that was on the mattress. I need to go back into the woods for good sleep. I am writing this at 4 am while I listen to snoring with my earplugs in. And now the roosters have started crowing! I went ahead and got up about 5 and made some coffee. Waited for Shane to leave for work and jumped in his jeep for a ride to the AT conservancy. Had a great breakfast at Cafe 101 and was on the trail by 9. The trail was super lovely and flat meandering through fields and meadows for about 13 miles. I made great time. I met the Wackos again out hiking today. Lois called themselves that and it might stick with me but Francis wants a different group name. You guys are such an awesome group. Give me a new name and I will change it!  The trail went up steeply to Darlington Shelter. It was only about 2 pm so I continued on. Saw Early Bird and Thor again.   Got a pic with Thor. They drive up north and always hike south. I'm sure I'll see them again. I got water at the last stream before going up to Cove Mountain. I carried extra this time hoping to find a stealth campsite and not have to go to the Shelter but did not have any luck. I arrived at Coved Mountain Shelter at 6:30pm and tried to set up my tent I what I thought was flat. I had a hard time finding ground without rocks and my stakes just didn't work. I decided to just head to the shelter. There are 4 men here. A father and son team, staying in the Shelter and two others out in their tents. They are not hiking together but are all doing some sectioning. I have 4 miles to Duncannon tomorrow. I don't plan to stay there just eat and grab some supplies.","Boiling Springs
",Cove Mountain Shelter,"May 23, Tue",21.60
Ghosthiker,https://www.trailjournals.com//journal/entry/565947,"Oh my, this man in the shelter can snore! I got off the bunk and went and reset up my tent at 12:30am! Finally got some sleep. Was on trail by 7 and about 30 minutes in, a young man named Dakota hiked with me asking me all kinds of questions. He lives in Duncannaon and just finished high school and comes up here all the time. At first I was annoyed because he hiked so close behind me but later found him to be good company. He told me all about the town. He took my pic for me at Hawk Rock. I wish so so bad I would have gone one more mile to the sweet campsite up there. We hiked down talking the whole way and at 8:20 I was in town. Time just flew by. I went to the Sunoco to clean up and he went home. Oh breakfast at Goodie's was super delicious. Met Splint here. He is raising money for Make-A-Wish Foundation. He is going north so I will see him again I am sure. The hikers I have met this year are pretty amazing. I am really enjoying this years hike. Feels like my first year again! I did not enjoy walking through town to get back on the trail. I did stop at The Old Sled Works antique mall. I thought I read they had ice cream floats but it was old fashioned sodas. I didn't get anything and walked the 0.4 miles back to the trail. The trail goes across the freeway bridge. Ugh! I felt like Dustin Hoffman in Rainman. The trail climbs straight up out of town. Great views. At Clark's Ferry Shelter I met NoRush, who is camping here tonight, ToughBroad, and her husband Bearsweatz here to get water also. They Hiked the PCT thru in 2016 for their honeymoon. They hiked on and so did I. The rocks were not bad today. The other fantastic view today was at Table Rock. The elevation was only 1333' but the view was amazing. Slightly overcast all afternoon. I arrived at Peters Mtn Shelter just after 6 and thought about staying inside but there were lots of stinky hikers and Halfway admitted he snores. I pitched my tent. Made some mac n cheese and talked with section hiker Hans. Also met Rattler who had thru hiked back in the 80's. Gave me some pointers about what's to come in the rest of PA. I love my tent spot tonight. There is a 90% chance of rain but not major rain. Hope it's just light. I will sleep well.","Cove Mountain Shelter
",Peters Mtn Shelter ,"May 24, Wed",15
