Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Happy Feet,https://www.trailjournals.com//journal/entry/575814,"I will be getting back on the trail at Harpers Ferry on Thursday and hiking south with Trail Snail (TS). TS is a hiker from Germany that I hiked with for a while in April. She made it to Maine and has spent the week with us getting some rest and relaxation before heading south to Georgia. My primary goal is to complete the section through Shenandoah National Park, a little over 160 miles. If everything feels good and I am enjoying it, I'll keep going! Like last time, I will try to update the journal whenever my phone has data. Photos will be uploaded when I get wi-fi. So if you see a photo in a recent entry, you may want to look at earlier entries or click the photo link. There may be more photos on Instagram since that is a little easier. Just search for ""alstoffa"". I do enjoy your comments and will try to respond. Wish me luck!",,View Entry,"Aug 22, Tue",0
Happy Feet,https://www.trailjournals.com//journal/entry/575903,"Getting excited about heading out on the trail tomorrow. The weather looks to be a little cooler with a drop in humidity. I will probably spend today packing and repacking. Tomorrow morning, Dolora will drop Trail Snail and me off in Harpers Ferry. I'll be heading south this time and starting off with a section of the trail I haven't hiked before. Dolora will be meeting us in Front Royal on Monday for a late lunch/early dinner and some resupply. Then it is into Shenandoah National Park (SNP) where we can eat at a wayside, sort of a camp/park store, and resupply almost everyday. About eight days later, Dolora will again meet us as we leave SNP. It will be nice to start off with a pack that is not too heavy and reasonable mileage. Hope my feet hold up better than April!",,View Entry,"Aug 23, Wed",0
Happy Feet,https://www.trailjournals.com//journal/entry/576029,"Drove to the Appalachian Trail Conference Headquarters in Harpers Ferry. There was some discussion about a new trail name with Dolora and Trail Snail (TS) since ""You Can Call Me Al"" gets shortened to Al and that's not a real trail name. I said Happy Feet would be good if my feet were okay this time. Dolora and TS liked that trail name.  While walking, TS and I decided that Happy Feet would also work if I had foot problems as an ironic trail name. I still need to think about it for a day or two. Trail Snail had another photo taken and met another hiker from Germany at the AT HQ. We took the side trail to the AT and headed south this time. Dolora hiked with us across the 340 bridge. Said our goodbyes, until Monday, and headed from West Virginia to Virginia. Beautiful hiking weather for Virginia in August, less than 80 degrees and low humidity. About 9 miles today to David Lesser shelter. Beautiful shelter with a deck and swing in the cooking shelter. Level tent sites have benches and a picnic table. The spring is a little far away down a steep trail but running well with nice cold water. A bunch of hikers stopped by for water and some ate but it looks like we may be the only two here tonight. The forecast is for no rain. If that holds, I'll already have as many days with no rain as my April hike! Feet are happy so far.","Harper's Ferry Appalachian Trail Conservancy
",David Lesser Shelter,"Aug 24, Thu",8.70
Happy Feet,https://www.trailjournals.com//journal/entry/576126,"There were a few raindrops last night but the tent was dry in the morning. I'll count that as no rain. Already as many rain free days as the last hike! One more hiker came in last night. There was another food bag hanging on the bear pole when we left. Maybe in the shelter. After about seven miles, we hit the ""Rollercoaster"". It lasts for thirteen miles and is mostly up and down with few views. Ran into quite a few section hikers there. My pack is only 26.5 pounds since I've dropped a few items and we plan frequent resupply stops. Since we were replying at Bears Den Hostel and it didn't open until five, there was a short side trip to the Horseshoe Curve Restaurant for a late lunch, early dinner of a cheeseburger and fries. There are some advantages of the AT crossing so many roads. From there it was a short trip to Bears Den and off to our campsite. One other hiker here tonight and another dry night forecast. My feet are still happy today. If they are happy tomorrow evening, perhaps a new trail name. 11.7 miles today plus one mile of side trails.","David Lesser Shelter
",1002.7 mile Campsite,"Aug 25, Fri",11.70
Happy Feet,https://www.trailjournals.com//journal/entry/576199,"Saw three deer, or at least tails in the first half hour of hiking today. After 2.7 miles this morning, Trail Snail (TS) celebrated having only 1,000 more miles to complete the Appalachian Trail. She's counting down miles now instead of up. Lots of section and day hikers out for the weekend. It's easy to tell by looking at backpacks. Day hikers have small packs like the kids use for school. Section hikers have big, heavy packs. Thru and long distance hikers have the packs in the middle and everything looks more used. ""Wizard"", who summited in Maine with TS passed by today. The ""Roller Coaster"" consisted of eight climbs without a view. Checked out Rod Hollow Shelter where we planned to stay but it was early so we headed down the trail to camp besides a stream and avoid the crowds at the shelters on weekends. Probably only room for one more tent but no-one else here yet. Another dry day, twice as many as last trip! Next week doesn't look as dry. Let's hope the forecast is wrong. Did eleven miles and finished the ""Roller Coaster"" today, plus about 0.2 miles of side trails. 
Feet are fine today. I think the change in trail names is good to go. I will be changing to Happy Feet as soon as I figure out how...","
",991.7 mile Campsite,"Aug 26, Sat",11
Happy Feet,https://www.trailjournals.com//journal/entry/576275,"I forgot to introduce another hiker term yesterday. It's PUDS, Pointless Ups and DownS. The hike thru the Roller Coaster yesterday was full of PUDS. No views all day.The weather today was as good as it gets in Virginia during August. Low humidity with a high around seventy. The lack of continuous ups and downs made it better. The trail goes through Sky Meadows State Park. It was nice to have some open fields for a bit instead of the usual ""Green Tunnel"". We stopped at Manassas Gap Shelter for lunch but since the weather was great and the trail easier than yesterday, decided to head for Jim and Molly Denton Shelter. This is one of the nicest shelters I've stayed at. The shelter has a nice deck with an Adirondack bench, separate cooking shelter and a solar (cough, cough) shower if you don't mind cold spring water and no door. Still nice to get the grime off. This is our most crowded camping so far, three other people here tonight. Saw one more deer today. Got a better glimpse of this one, probably born this spring. Did 16.8 miles today. I'll see how I feel in the morning!Tomorrow, after a short five miles, we meet Dolora for lunch and resupply in Front Royal. Trail Snail needs to visit an outfitter looking for new insoles , her feet are still bothering her. Then it's in to Shenandoah National Park in search of a bear photo.
At the bench in the photo, we met a couple out on a day hike. He had a pretty bad blister on his heel. Using some of our foot aid supplies, we fixed him up hopefully making the trip back to their car a little less painful.","991.7 mile Campsite
",Jim and Molly Denton Shelter,"Aug 27, Sun",16.80
Happy Feet,https://www.trailjournals.com//journal/entry/576379,"Easy 5.2 miles this morning. To US522 in Front Royal, where Dolora met us with food for the next section. After finding out the barbeque place we wanted to eat at was closed on Mondays, we went to lunch at the Knotty Pine Restaurant. Everyone had an excellent breakfast for lunch. Found the local Wal-Mart and some insoles for Trail Snail. Then off for ice cream. During our travels, we also picked up some dinner for later. Dolora dropped us off at the Mountain House Cabbin (that's how it's spelt). Spending the night here with Trail Snail, O Man and Flower Child. Nice little hostel that was originally a log cabin and slave quarters. Will probably zero tomorrow and stay here another night. Calling for pretty good rain tomorrow and we need to stay in a campground on Sunday night during Labor Day weekend. Adding one day let's us get into the campground.
There are some advantages and disadvantages to hiking the next 103 miles through Shenandoah National Park (SNP). The advantages are fairly easy terrain and frequent  ""Waysides"". Wayside is the park term for a sort of convenience store for visitors. We can resupply every day or two and have a meal at the wayside. This helps keep pack weight down. The disadvantages include crowds and bears. The crowds largely disappear during the week and will pretty much be gone after Labor Day. While it is a highlight to see a bear, since they are not hunted in the park, they are accustomed to people. Most of the shelters on the AT have either bear boxes or bear hooks to keep your food out of their reach. You can hang your food from a tree when you camp but the bear boxes and hooks give you a much better feeling of security. So while hiking SNP, we'll be tenting near shelters. This pretty much sets mileage for each day. We are planning to be out of SNP in 11 days.","Jim and Molly Denton Shelter
",Mountain Home Cabbin - Front Royal,"Aug 28, Mon",5.20
Happy Feet,https://www.trailjournals.com//journal/entry/576411,"Well the decision to zero today is looking pretty good. Rain started before it got light. At ten am, it is 57 degrees with a steady rain. Up to 59 degrees at 6 pm. Scott, our host made a wonderful breakfast for Trail Snail, Flower Child, O Man and myself at eight. We all slept in since everyone is staying a second night. Scott filled us in on the history of Mountain Home at breakfast. It's has a historical designation. The main house built in 1847 will open as a bed and breakfast next June. Trail Snail had hiked with O Man in New Jersey and New York so they did some catching up last night. O Man is retired from Corning and lives in Corning, NY. He is a flip flopper like Trail Snail. We had a nice conversation after breakfast about work, retirement and children. His oldest son is in medical school and doing a residency in Charlottesville where Greg went to school. O Man is planning to meet him in Charlottesville. 
The hostel is filling up tonight with three additional hikers since there was a steady rain all day. Getting a little cozy. I'm ready to get back hiking. Additional hikers are Princess Bubblegum, a maybe 20 something gal, and Hippo, an older German man, both flip floppers. Hippo is chatting it up with Trail Snail in German. Also in is Flash, an 18 year old male south bounder doing 20 mile days.
I have had very limited cell service in my previous treks through Shenandoah National Park . So I'm not sure how frequent my updates will be. Going for dry weather tomorrow.","Mountain Home Cabbin - Front Royal
",Mountain Home Cabbin - Front Royal,"Aug 29, Tue",0
Happy Feet,https://www.trailjournals.com//journal/entry/576693,"After breakfast at Mountain Home Cabbin, Trail Snail and I headed out. The rain had finally stopped. Everyone at the hostel was heading in different directions. Flower Child and Flash are hammocking here tonight plus another tenter. O Man was planning to visit Urgent Care to have an ankle checked out. Princess was planning to hike along Skyline Drive instead of the trail. Hippo was planning on a zero, another day at the hostel. We entered Shenandoah National Park (SNP) after about 4 miles. We'll be in SNP for about 10 days. Hiking is really pretty nice, not a lot of rocky stretches and the climbs aren't too steep. Today's animals included a deer, a hummingbird and a squirrel. We only passed a few day hikers. We're tenting as usual and there are two other hikers in the shelter.Trail Snail (TS) went to the spring to get water. I heard a bunch of shouting and whistles blowing. Since SNP is known for its bears, I figured someone on the trail to the shelter saw a bear. When TS returned, she said she was filling her water bag and turned around to find a bear about ten feet behind her. She yelled to the guys in the shelter and blew her whistle. The bear was not aggressive and ran away. Unfortunately, no photos.While we were eating dinner at the table in front of the shelter, Moving Target came by for water. TS hiked for a couple of weeks with him through New Hampshire and Maine. They summited Kahatdin together but they didn't plan th hiker south together.Looking forward to breakfast and maybe lunch tomorrow at the wayside. That's where I'll resupply with food.","Mountain Home Cabbin - Front Royal
",Gravel Springs Hut,"Aug 30, Wed",13.80
Happy Feet,https://www.trailjournals.com//journal/entry/576694,"Got on the trail about 7:45. When I got to Elkwallow Wayside around eleven, Trail Snail (TS) was chatting with Moving Target. Had an egg, cheese and ham muffin and a cup of coffee. Picked up a couple of items for a short resupply. Ramen and Spam for dinner. While we were packing up, Flower Child and Flash came in. TS and I looked at the weather forecast with heavy rain Friday night and Saturday. We altered our plans a bit to do more miles today so we could resupply and get to a shelter earlier tomorrow. Seemed like a good idea but that added an 1,100 foot climb at the end of the day when we were already tired, making a 17.5 mile day.Got into Byrds Nest #3 Hut after five. There's a group of about a dozen hikers, maybe a college group, loud. About 5 hikers in the shelter. Flash is hammocking here as well. A nice six or eight point buck came into our camp while setting up. Looking forward to another good breakfast or lunch tomorrow. Six miles to the restaurant and result. Feet are still doing well and the weather has been great for August in Virginia.","Gravel Springs Hut
",Byrds Nest #3 Hut,"Aug 31, Thu",17.50
