Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Hodge Podge,https://www.trailjournals.com//journal/entry/538442,Day-dreaming of a future AT hike reading accounts of quite a few 2016 hikers. I hope Rabbit gets back on the trail soon! Weather has become perfect here in Colorado making we want to get out more but I have to finish work first...,,View Entry,"Jun 16, Thu",0
Hodge Podge,https://www.trailjournals.com//journal/entry/542794,"Finally decided on a new pack and since I worked for Osprey Packs in the past, I had to go with an Atmos 65 and support the southwest Colorado businesses! Recently moved (close by) and have not had an opportunity to get out with the new pack but expect to start soon, as in this coming weekend. Really enjoying the posts from this years hikers and hope they all make it!",,View Entry,"Jul 19, Tue",0
Hodge Podge,https://www.trailjournals.com//journal/entry/543496,"Congrats to North Star! He summited Katahdin yesterday. He is one of the 2016 hikers I have followed from his start in GA. Very similar in age and experience and very insightful in trials and challenges along the way. Latest is how he will integrate back in to home life, which is something I have thought about extensively. Only one way to find out!",,View Entry,"Jul 25, Mon",0
Hodge Podge,https://www.trailjournals.com//journal/entry/545054,"Have begun gathering gear that I can use in the future and am stuck between water filter choices. I currently use a PUR Hiker (now Katadyn) with a water bladder. This is great for filling the bladder especially from hard to reach and small water holes where the intake hose just drops right in and you can easily pump water out. Problem with this is weight, approximately 12 oz. I am trying to loose weight and this is an area of opportunity. I am intrigued by the Sawyer Mini and Squeeze water filters at 2 and 3 oz respectively. They can be spliced into a bladder hose or used on a water bottle. Obvious advantage is weight and size, I see the only down side is not being able to pump from difficult water sources, having to use a bottle to scoop out water may get challenging. Anyone have experience with these and can make a recommendation?",,View Entry,"Aug 08, Mon",0
Hodge Podge,https://www.trailjournals.com//journal/entry/545802,"Time has begun to continue gearing up for a future trek. I have been backpacking for a long time and have accumulated a full, large walk-in closet of great gear over the years. Unfortunately most of my tried and true pieces are just simply too heavy to bring on a thru-hike. Most notably is my Osprey Highlander from 1999 which has been all over with me. The Highlander fits like a glove and distributes and carries weight like you would want in a pack, but mine tipped the scale at almost 7 lbs. Replaced with a 2016 Osprey Atmos 65 at just under 5 lbs, more than 2 lbs saved. My dad got me a Sierra Designs Clip Flashlight in 1986 ($120 back then) which has probably been overused now but is still in good shape. Not a freestanding tent but I have always been able to find a spot to pitch it. Weighs in at 4 lbs, 7 oz. Great 30 years ago but too much in 2016. Am looking at the Big Agnes Fly Creek UL 2 weighing 2 lbs 5 oz, losing 2 lbs 2 oz, almost half, from the Clip Flashlight. Finally going to a Sawyer Squeeze water filter from my PUR Hiker, saving 8 oz.Will be more to come but have already saved almost 5 lbs off my base weight. Looking to hit that sweet spot around 15 lbs base. My old items have already section hiked all of VA, and will be sad in a way to leave them at home, but time to move on.",,View Entry,"Aug 15, Mon",0
Hodge Podge,https://www.trailjournals.com//journal/entry/546069,"Have been way overthinking the gear and what I have vs what I should buy way too much lately. The dilemma is do I go for new gear or use what I have? Example: I have many packs (8, yes, I am a gear head and could probably purge some) that all have different functions. Some used more than others but all in excellent condition. I could use my old Osprey Highlander (7+ pounds), Osprey Crescent 50 (4 pounds 10 oz) or purchase a new pack (which I have done, Osprey Atmos 65 4.5 pounds) or drop into a lightweight or ultralight pack saving precious ounces to the tune of several hundred dollars. I like a beefier suspension and can find one in a lighter pack but for a price. Following much internal debate, I have decided that in the beginning I am going to go with what I have, Osprey Crescent 50, and see how it works with the thought of switching to a lighter system if needed. I can still cut at least a half pound or more from the Crescent on items not needed and call it good.Additionally, I am not going to get trapped into this again and go with what I have unless it simply will not work. I am sure I am not the only one with this problem...",,View Entry,"Aug 18, Thu",0
Hodge Podge,https://www.trailjournals.com//journal/entry/550046,"Still working on updating my gear, most of my current gear is from 1998-2004 and new stuff is so much lighter. We will see what gets replaced. Due to work and other commitments, I have not been able to get out as much as I would like yet but I plan on a lot of snowshoeing and XC skiing this winter! Added a couple of pics of my stomping grounds here in southwest Colorado.",,View Entry,"Oct 04, Tue",0
Hodge Podge,https://www.trailjournals.com//journal/entry/552522,"A snow storm over the weekend gave me an opportunity to gather my gear together and begin sorting what I would need. With everything pictured for winter hiking, am at 20 lbs 4 oz not including food, water and fuel. The hard part begins of cutting weight down while still having enough for cold weather. I am debating in my mind: ""this water bottle is 1.4 oz, should I leave it behind?"". I assume this will go on until I get through the arch in GA and am committed either way. Makes me laugh thinking about it.",,View Entry,"Dec 19, Mon",0
Hodge Podge,https://www.trailjournals.com//journal/entry/552749,"As 2016 finally comes to an end I am excited that I have finally committed to my upcoming adventure and saddened at the same time. The world lost a lot of wonderful people this last year, artists, musicians, actors, sports greats and one of the last great pioneers. 
Carrie Fischer's recent departure hit me particularly hard. I first saw her as a wide eyed 8 year old blown away by Star Wars. The Star Wars fascination continues to this day but she was great in Blues Brothers and other roles, even writing a play and books. Most notable overcoming addiction as this has taken too many too early.Let's hope 2017 fairs better for all.",,View Entry,"Dec 29, Thu",0
Hodge Podge,https://www.trailjournals.com//journal/entry/552901,"Welcome to the new year! Just bought my plane tickets to the East Coast. Will be staying with my parents in Richmond VA for a few days then they will transport me to GA to begin the AT adventure!Gear is ready, have begun the packing and unpacking phase to narrow down the weight. Still at 20 lbs for winter so I have some work to do. XC ski training has begun with the goal of 12 miles at 9500' elevation before I leave. We will see how that goes...Bring on 2017!",,View Entry,"Jan 07, Sat",0
