Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Hummingbird,https://www.trailjournals.com//journal/entry/417245,"Dear Journal, 
It's been a long while now since the thought was put into my head to hike that long trail from Georgia to Maine. My friend Tom mentioned it and would tell me about a group who are planning to begin the hike in April of 2014. They would all be over sixty years old. I thought it was intriguing, but not something that I could do. I would be sixty by then. hmmm..
It's funny how something will stick in your head and come to mind from time to time. Actually, this thought has been coming up much more often than from time to time. I began to read books and look up the Appalachian Trail online to find pages and pages of information sites. The desire and fire to hike this trail has set in deep!
Why am I going to hike this Appalachian Trail?
Because I want to do something awesome for myself. Because I will be sixty years old and still able to do it! Because I hope that the beauty of the mountains will bring me closer to nature and to God. That I will better understand and appreciate my life I have lived so far and what life has yet to show me. 
I'm going to hike the AT and I am going to be the one in four who makes it all the way from Georgia to Maine!",,Why I want to hike the Appalachian Trail ?,"May 29, Wed",0
Hummingbird,https://www.trailjournals.com//journal/entry/417292,"Good Morning Journal,This is a mystery question!   Ha.   All through the years there have been various miles quoted. With our GPS technology now, we should have an exact distance. With changes made in the trail since its creation, the distance has changed with it.   Here is what I have found in my research.2,015 miles from ""The Appalachian Trail"" by Ronald Fisher 19722,155 miles from ""There are Mountains to Climb"" by Jean Deeds 19962167.9 miles from ""Blind Courage"" by Bill Irwin with David McCasland 19922179.1 miles from ""The AT Guide"" by David""Awol"" Miller 2013 editionHave you noticed it gets longer with time? Ha..",,Just how long is the Appalachian Trail ?,"May 30, Thu",0
Hummingbird,https://www.trailjournals.com//journal/entry/417982,"Wow.. How quickly the time passes when there is so much to do.   I worry a little that I can't be ready for next April. Then I tell myself that's foolish. There is plenty of time to be ready as long as I stay focused.   I'm enjoying reading the journals from those who are preparing to hike and those who are currently hiking. I can ""feel"" the trail through their words. I'm learning from you what to expect and what I will need to do to prepare for my own thru-hike.   Thank you for the time you share here.",,June 1st..,"Jun 01, Sat",0
Hummingbird,https://www.trailjournals.com//journal/entry/418688,"Hi.. I'm still learning how to use this journal and find that I sometimes lose the entry before I post it. How strange is that. I have to start all over. Then I wonder if there will be a group of half finished entries showing up.. Ha.
I had a good hike on the 5th of June. It was a beautiful day and I really love being up in the canyon enjoying the view and the solitude. The picture I'm including is half way to the top of the canyon. 
Wish I could spend more time out there but life requires food and food requires money and money requires work.",,Everyday brings us closer... ,"Jun 06, Thu",0
Hummingbird,https://www.trailjournals.com//journal/entry/422422,"Hello all you hikers...I haven't been doing well at keeping up with my journal. I still have time to make it a habit before I hit the trail in April. It seems so far away and yet when I realize how quickly these past three months have passed, I feel I better get myself on track. Couldn't figure out why my journal entries so far haven't shown up and hopefully have that solved. Obviously, if you are reading this I have figured it out. Ha.It's been a busy month. I have enjoyed reading the journal entries everyday even if I haven't been inclined to write my own. There is an amazing group of people here and I look forward to meeting some of you next year. Thanks to all of you who are hiking right now. Your information is invaluable to my preparation. It is helping me choose the right things I will need for the hike and eliminate those things I thought I should take. Going light is certainly important to enjoy the hike to the maximum. I am not planning a ""race"" to the finish but I certainly do want to finish! I hope you all had a great June.. Father's Day and the arrival of ""Summer"". Happy Trails,Hummingbird",,Where does the time go?,"Jun 27, Thu",0
Hummingbird,https://www.trailjournals.com//journal/entry/422472,"Good Morning.. It's a beautiful day in Santa Monica..Easy day today. I have two dogs to walk (I'm a dog walker..) and the rest of the day is mine to get out and hike.. I'm looking forward to that! I hike the Temescal canyon trail .. several times.. It's a 3 mile loop that elevates one thousand feet. By using this trail I can keep track of my distance and experience the climb and decent. So far I have made four continuous rounds before the sun set. Most of the time, I can squeeze in two rounds a few times a week. I need a full day to reach my current goal of 20 miles or more. I'm feeling fit. Also working on my cardio strength with morning workouts. Fast paced walking on the beach in the sand is another option I have that I don't do often enough. I need to measure the distance between the Santa Monica pier and the Venice pier to set my goals. Now I do one round and feel it! Ha..Bicycle riding is another activity that helps me prepare for the hike. Rick and I get out on the bikes once a week if possible. We ride twenty to thirty miles along the beach. There are a few inclines but it's mostly for pleasure of sharing outside time together and enjoying the view of the ocean and beaches. I've begun to enter my gear into the Journal. This is great! Have a wonderful day!",,Setting up Gear entries..,"Jun 27, Thu",0
Hummingbird,https://www.trailjournals.com//journal/entry/423520,"Here we are into July now. Time is just moving right along. The excitement is growing as well. 
Thanks to all who have left me notes and share emails. It's nice to meet you and share your thoughts on the hike as well as get to know who you are. The hiking ""family"" extends beyond the trail both before, during and after the hike. 
Tomorrow will be a busy celebration day. I had a head start with Santa Monica celebrating with fireworks last Thursday. They always fire them off a week ahead. ??? So I get to enjoy them twice. Here and again in Tujunga where my guy Rick lives. 
Yesterday I went hiking in the canyon. I will add a couple of photos to my collection. It always is nice to get out there and away from the hustle and bustle of my daily life. Traffic in California is horrible and I find that raises my ""stress level"" the most! What a relief it will be to get away from it while I'm on the trail. 
Tried out my sleeping bag again last night. I'm not used to a mummy bag and find it a bit confining. I found myself on top of it in the morning.. ha. What is that saying? Practice makes perfect! I do need to practice setting up my tent. It's supposed to only take 3 minutes when you know how to do it. 
Have a wonderful holiday. Eat lots of hotdogs and hamburgers.. potato and macaroni salad.. watermelon.. and all those foods you associate with it!",,Welcome July!,"Jul 03, Wed",0
Hummingbird,https://www.trailjournals.com//journal/entry/424696,"My friend Ann sent me a ""mountain"" song and it gave me the idea of adding songs here for those of you on the trail now and for those of us who will soon be there this coming year.   I'm printing off the lyrics to take with me on the hike when I find myself alone. It's not unusual to hear me singing on my little hikes now when there is no one else around.. ha. Today I send this one especially to those on the trail who all have had to deal with that tremendous amount of rain we have had this year.. enjoy!   I'm going back in to read more entries from you wonderful people. 
Lyrics at http://www.stlyrics.com | Johnny Nash - I Can See Clearly Now lyrics",,I can see clearly now..,"Jul 09, Tue",0
Hummingbird,https://www.trailjournals.com//journal/entry/425762,"Time is marching on and it won't be long before the six month countdown begins. I have set the six months before I hike to be my ""pressure"" time frame. Pressure to get out and hike every chance I can. Hopefully some overnights included. Pressure to say ""No"" to those things that constantly come up to distract me from this plan. Pressure in putting everything in order so I have no ""worries"" about coming back when I finish. The journal entries keep me focused and I do thank everyone who is sharing their present hike with us and those who are preparing as I am. Along with the journals, I am reading all the books I can find on hiking as I look for ways to make my hike the best it can be. I ordered the "" Appalachian Trail Thru-Hike Planner"" through Amazon and it's on it's way. With all the new gear and books, it feels like Christmas in July! I'm off to walk the dogs and then have the afternoon to go on a beach walk. Walking in the sand really helps with the cardio workout! Good for the feet too!",,Moving along..,"Jul 16, Tue",0
Hummingbird,https://www.trailjournals.com//journal/entry/428487,"Hello.   Another month closer.. Yes!   Seven more to go.. I read Brian Beaton's entry on his first preparation camp night. It made me smile and laugh out loud.   I will begin my ""practice"" nights before too long. Right now I am in the moving mode. Gave my notice to my landlord and began the shifting of my ""stuff"" to Rick's house. We have our marriage license and now are working out the wedding details with our schedules and the minister. It will be a private, intimate affair.. If you aren't reading Sisu's entries, you really should be. His writing is wonderful and makes me wonder if he writes articles for publications. The latest one is on electronics to take on the trail. I will have my smartphone and camera but no other gadgets. I'm not a ""purist"" but I do want this hike to be a connection with Nature. Since I don't ""plug"" my ears into music now, I don't see a reason to do it then. Don't get me wrong. I do like music and I'm sure I will be humming as I hike.. After all ""Hummingbird"" is my trail name. Ha. I've been checking out the Southwest Airline schedule watching for the first opportunity to book my flight on March 30th. Right now they are up to March 7th scheduling. I check it every few days.If I can get to Amicalola Falls the day I arrive, I will begin to hike the Approach trail in the morning and leave from Springer Mountain on the 1st of April. That would be nice if it works out this way. I will check out my options to get from Atlanta to the Approach Trail when I have my plane ticket. Hopefully, ""Survivor Dave's Trail Shuttle"" will work with my arrival. There are other services if it doesn't. I hope you have a good month and make time for hiking.. All is well..",,Welcome August,"Aug 03, Sat",0
