Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
HyLo,https://www.trailjournals.com//journal/entry/604821,"I am interested
in joining Warren Doyle’s 2017 van-supported Appalachian Trail thru hike.  Those who join this “expedition” must meet
certain training requirements.  Basically,
at a minimum a person must attend 4 prep hike training sessions held over the
course of 1 1/2 years.  These sessions consist of meeting for 4 days and
hiking 3 consecutive days during that time.  The last day is a
""reality check"" where we meet as a group and talk about the hike -
how we feel physically, how we like hiking in that manner, etc.
From
March 28 – 31, 2016, I attended Warren Doyle’s Appalachian Trail Institute where
Warren provided classroom instruction related to AT topics and conducted
several low mileage hikes.  This allowed
me to meet the first of four requirements needed to join the 2017 AT
expedition.",,View Entry,"Mar 28, Mon",0
HyLo,https://www.trailjournals.com//journal/entry/604822,"I
attended my 2nd prep hike training session from 03/31/16 - 04/02/16.  During
this time, we hiked for three days as follows:
Kimberling
Creek to Garden Mt (17.4) to Picnic Pavilion (17.6) to Mt Rogers Visitor Center
(23.4).  Both nights at Garden Mt and the
Picnic Pavilion were cold and windy. 
Rather than set up a tent, I slept one night in the covered back of a truck
and the other in a van.  Three people
with whom I had spent most of my time hiking decided, upon reaching the Picnic
Pavilion, that they were dropping out the next day.  This made me sad and led me to exclaim to Warren
that “they are dropping like flies”.
These
miles will count toward section hiker status. They will have to be done again
if I try to get thru hiker status.",,View Entry,"Mar 31, Thu",0
HyLo,https://www.trailjournals.com//journal/entry/573380,"I attended prep hike training from 09/30/16 to 10/02/16 with a group from Warren Doyle's Appalachian Trail Institute. 
During this time, we hiked the following:
Pine Grove Furnace SP (PA233) to Caledonia SP (US 30) (19.6) to PA/MD state line Pen-Mar Park (17.9) to Turners Gap US4OA (23.5).I flew in from Atlanta and spent my first night at a hotel in the area.  I slept in a vehicle in Caledonia SP.  It was cold that night.  I stayed at the hostel in Pine Grove.  
Until 09/30/17, these miles will count towards thru hiker status. After that, they will count for section hiker status, unless I hike the miles again.",,Turners Gap (US40A),"Sep 30, Fri",61
HyLo,https://www.trailjournals.com//journal/entry/552834,"I intend to thru-hike the Appalachian Trail, beginning on April 29th and finishing September 15th or 16th. At my age (60), I don’t want to beat up my feet, knees, and hips any more that I have to. I was fortunate enough to find, and join, Warren Doyle’s 2017 “expedition” hike. This will be a van-supported hike whereby I will carry a daypack (essentially slack pack) and have my other camping equipment (tent, sleeping bag, ground pad, food, etc) delivered to a pre-determined site each night. The benefit is that I will have to carry less weight, thereby covering more miles in a day. The potential downside is that I will be hiking a set schedule. There are only 2 built-in rest days. I will have to hike whether I feel like it or not. I will not be able to hole up when the weather is bad.",,View Entry,"Jan 01, Sun",0
HyLo,https://www.trailjournals.com//journal/entry/552835,"HYLO: My family refers to me as “RYBO”, short for “Run Your Butt Off”. I earned this name because my mother says I like to pack 36 hours into 24, and I like to stay busy and tend to run people ragged. HYLO is a takeoff from RYBO. It stands for “hike your legs off”. I feel this will be fitting since I will be “Hiking Your Legs Off” for over 2,000 miles. Also, I am sure this adventure will be full of highs and lows in the form of altitude ups and downs on the trail and emotional highs and lows from the challenges of the trail.",,View Entry,"Jan 01, Sun",0
HyLo,https://www.trailjournals.com//journal/entry/552836,"My home and family are in the Roanoke, VA valley area. In July 2015, my company closed its building and I was transferred to Atlanta, GA. For 18 months from July 2015 to December 2016, I lived in the north-Atlanta area. While I didn’t like living away from my family, this move greatly benefitted my preparation for a thru-hike. REI was directly across from the MARTA train station where I caught the train every day to go to work in Mid-Town. This made it very convenient to research and purchase equipment. I joined two Meetup hiking groups (Hike Georgia and Happy Trails) that posted challenging hikes every weekend. The people in these groups were great mentors and hiking buddies with whom I had a lot of fun and made some great memories. I also got to experience the Appalachian Trail in Georgia and see why, with all its ups and downs, it kicks many thru-hikers’ butts.",,View Entry,"Jan 01, Sun",0
HyLo,https://www.trailjournals.com//journal/entry/558757,"I
attended my 4th, and final, prep hike training session from 03/31/17 - 04/03/17.  The miles hiked over these days will count towards a thru-hike as long as I finish hiking all of the trail by 03/31/18.I retired on January 1, 2017 and am now living back home in Salem, VA. This enabled my husband, Reid, to drive me from Salem to Harrisburg, PA to meet the group for our final training hike.  Scott Grebe and Arlene Rios met us in Harrisburg where we all spent the night in a hotel and had a delicious meal at an Italian restaurant.    
This is the last of our training hikes before leaving on our journey on April 29th. It was a cold rain all day. We hiked on a ridge a good portion of the time where, on a sunny day, I imagine there are some beautiful views of the valley below. This wasn’t the case today as a fog hovered over the valley all day. This was a day where you learned to accommodate the wet rain as positively as possible. We set up our tents in the rain and slept in the rain. I am very pleased with my tent. I stayed dry and very comfortable.
The intricate road system of bridges crossing over the river that can been seen as you descend the ridge into Duncannon is impressive.",,Sherman Creek Rd (Duncannon),"Mar 31, Fri",18.30
HyLo,https://www.trailjournals.com//journal/entry/558758,"We had our wet camping gear packed in the van and were ready to go by 7am. Today’s terrain consisted of more ridge-walking but also large rock outcroppings to hike over. Pennsylvania is known for its rocks. This is because this is how far the glaciers got before they receded and left their treasures of rock. There was no rain today but also no real views. I did see this interesting tree. At first I thought it was a tree that housed many messy birds. After looking at it more, I realized the mess is sap. It must be a good tree for getting food. It was cold and windy as we set up camp for the night. I was impressed how quickly my wet nylon tent dried out. I went to bed feeling nauseated and dealing with the runs, which had been coming on all day. Although we stopped to eat at a diner that served large portions of food, I was able to eat very little. I slept very comfortably in my tent despite having to get up in the middle of the night to find a tree. We were treated to the sound of barn owls singing during the night.",,Lisburn Rd,"Apr 01, Sat",21.90
HyLo,https://www.trailjournals.com//journal/entry/559277,"I seriously considered bailing out of the 22.6 mile hike today after dealing with last night’s symptoms and still having them this morning. Had I done this, it most likely would have been the end of my thru-hike attempt. Thru-hiking isn’t always easy and fun. Fueling my body with nothing more than 3 electrolyte gel tabs and 1 ½ bottles of vitawater, I hiked slower than normal but completed the mileage for the day. My ray of sunshine on this not-so-great-day was encountering a guy with a young benji-type, blonde-haired, black-bearded dog. When the dog spotted me, we connected like friends who were thrilled to see each other. I outstretched both hands into the air and enthusiastically said “hi”. Upon release, the well-trained dog (Randy) came running to greet me. He was a happy dog having a great time with his owner on the trail. Previously, he had been turned into a kill shelter (even though the prior owners had microchipped him). I commented to his owner that he would obviously have a good life now. (I wish I had gotten a picture. I need to learn to take time to take pictures of things that might have some meaning once the opportunity has passed.)
We are in the Cumberland Valley. We hiked through Boiling Springs and around its community lake, which made for a pretty area. Today was opening day for fishing and there were many people on the shore casting their lures. I talked to one guy who has been tying fly lures since he was 12. He showed me a case of beautiful, small, intricate, fly ties that he had made. (Again, I should have taken a picture.) From Boiling Springs, the hike went through some expansive farm fields then headed into the mountains for the rest of the day.",,"Pine Grove Furnace State Park, Gardners, PA","Apr 02, Sun",22.60
HyLo,https://www.trailjournals.com//journal/entry/559283,"This is a recent conversation I had while discussing my thru-hike during dinner with some family members:
Family Member (FM): We hate to think about you being gone for 4 ½ months.
Me: I really hope you will be supportive of me going on this thru-hike.
FM: We support you in that we hope you are successful in completing your 
hike. That doesn’t mean we have to be happy that you will be gone 
for 4 ½ months.
My Mom (who always sees the bright side of things): Look at it this way. 
At least we love you and want you around instead of saying “thank 
goodness you will be gone for 4 ½ months”.
Summary: I have the support of my family AND they love me and enjoy my 
company!",,View Entry,"Apr 03, Mon",0
