Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
J-walk ,https://www.trailjournals.com//journal/entry/549614,"Less than 7 months to be ready...Been reading, researching, shopping, exercising and planning. From what I've read, I don't know if one can be completely ready? Do I tent or Hammock? I am excited to take the journey.",,View Entry,"Sep 25, Sun",0
J-walk ,https://www.trailjournals.com//journal/entry/549615,"Early this year when I decided that hiking the AT could be a reality, I wondered if I could physically do the hike. I had sat for the past 8 months at a desk job. My body was tired of sitting long days. I joined a get healthier program offered at work and I decided to go to a physical Therapist to work out some leg muscle problems that were caused from sitting at my job. As my legs began to move and got stronger I went to an exercise specialist to get assessed and to get a Rx for exercise. I told him of my dream to hike the AT and he said ok lets do this. He gave me some exercises to help strengthen my muscles I would be using backpacking/hiking. Along with those exercises and stretches as I have become stronger, I feel like my dream of hiking the AT is a real possibility! I look forward to hitting the trails now that the weather isn't 110 degrees!",,View Entry,"Sep 26, Mon",0
J-walk ,https://www.trailjournals.com//journal/entry/549616,"Been multiple times to REI and other Outfitters. I have only bought socks & pants so far! I am nervous and worry that if I buy things and find that I don't like them it will be a waste of money. But I think there is a learning/spending curve to be expected. I've been researching gear and asking questions to hikers that are thru hiking this year and hikers that have hiked in the past. Their info from their experiences have been awesome! (Thank you Storm, Hazel, IWOX, and Trail Dames for answering all my questions!) Also found looking at others Gear list on their Trail Journal has been helpful too. I have a list now of what I think I want to purchase. My biggest question is: Tent or Hammock? In the next couple of weeks I will start making my purchases. Any thoughts or helpful hints about gear are greatly appreciated.",,View Entry,"Sep 27, Tue",0
J-walk ,https://www.trailjournals.com//journal/entry/553133,"Today January 9, 2017, I embraced the idea of thru hiking the Appalachian Trail fully. Since March 2016 until now, I've have read a lot about hiking the trail, but wasn't really sure if it's what I should be doing, I have wanted to but wasn't sure. Today I made the decision that I was going to thru hike, and all the confusion about whether I should go or not, melted away and I can now see it happening clearly now. I feel peace in my decision, but yet I'm scared to death about the unknown. I have so much to do. I talked to Kim a friend I will be thru hiking with. We both registered Today at the Appalachian Trail Conservancy to start March 22, 2017 from Springer Mountain, the beginning of the Appalachian Trail in Georgia. So much to do, just 2 1/2 months away- Whoohoot!!",,Prep,"Jan 09, Mon",0
J-walk ,https://www.trailjournals.com//journal/entry/553888,Enjoyed a morning hike with my new hiking shoes and trekking poles. Climbed up and down rocks/boulders for practice. I realized that I need to do more of this! I've been walking/hiking on even terrain to much. Time to step it up!! 7&1/2 weeks until start date- the start of new beginning!,,View Entry,"Jan 28, Sat",0
J-walk ,https://www.trailjournals.com//journal/entry/554664,A Beautiful Morning walkabout town. Cool and Crisp to start my walk. Spring has arrived to the desert- Birds and blossoms. Walked Up hill and down trying to imagine what the trail will be like... Then a stop at Starbucks my favorite Hot Chocolate to Celebrate my Birthday. A beginning to a Blessed day.,,walkabout Town,"Feb 15, Wed",3
J-walk ,https://www.trailjournals.com//journal/entry/555487,"I gave my notice at work a couple of weeks ago, thinking I still had plenty of time before my hiking start date of 3/22/2017, yesterday I realized there's only 3 weeks 6 days to go! And so much to do!! Excited and nervous!
As I have told others of my adventure that awaits, it has been enjoyable to see/hear their response to: ""I'm going to take 6 months off work to hike the Appalachian Trail"" = Disbelief, surprise, laughing, astonishment, excitement, worry, concern, Happy and yes Joyful!
I have appreciated all the words of advice from: ""make sure you carry bear spray"" to ""make sure you tuck your pants in your socks to avoid ticks"" & ""carry extra shoes so you can change when your feet are wet"".All the advice, I believe are others ways of helping and wanting to see me succeed at thru hiking the AT! I'm grateful to family, friends, co-workers, and even strangers that have seen me wearing my hiking boots and carrying my backpack around town, & those who have signed my guest book already- Thank you for your encouraging words!",,View Entry,"Mar 03, Fri",0
J-walk ,https://www.trailjournals.com//journal/entry/557048,"Arrived at my daughters house been having fun with the grandkids. Putting together some drop boxes. Going back thru my gear, taking stuff out then adding it back- lol Can't wait for this journey to begin!! Tomorrow off to Amicalola Falls to stay the night, Then Wednesday start at Springer Mtn.",,View Entry,"Mar 20, Mon",0
J-walk ,https://www.trailjournals.com//journal/entry/557620,"Met my Friend Kim at Amicalola Falls Visitir Center, we will be hiking together. We met last July at a Trail Dames Hiking conference in North Carolina. We both wanted to hike the Apilachian trail. We decided to hike together- Kim's husband didn't want her hiking alone and my kids didn't want me hiking alone so we were happy to meet each other and now we are hiking together.. We weighed our Backpacks out in front of the visitor centers. Mine weighed 34.5 lbs. with food for five days and 2 liters of water. I was shocked it weighed so much!! (When I got to the lodge and I went thru all my stuff and gave a bag to Kim's Husband to mail to my daughters., I probably got rid of only one pound- but that is one pound less to carry!!Register the start of hike I am number 1101 to regestiter a thru hike.",,Amicalola Falls lodge for the night,"Mar 21, Tue",0
J-walk ,https://www.trailjournals.com//journal/entry/557865,"Day one;Springer Mountain to Somewhere by Three forks:
Cant believe today is the day to start my thru hike if the AT! My Friends husband drove us to Springer Mountain parking lot and as we got out of the car we had our first encounter with ""Trail Angels"" - two trail Ambassadors offered to keep our packs in their car so we could slack pack up to top of springer (which is about 1mile up to the start of the AT) We stowed our packs in their car. I was hoping to be able to slack pack up Springer mountain to the start, it came about-our first Trail Magic!! (Trail Angels are people along the trail that randomly show up and do trail magic- trail magic can be anything that helps the hikers like giving them food, water, or a ride or bandaids etc.) We were given Reese's peanut buttercups- they were a nice pick me up treat along the trail. . We stopped at Stover creek Shelter and ate our lunch and I got my ""Spot all set up to use. We stopped for the night at Three Forks. We stealth camped (that means we camped not at a designated shelter or a camping area.) The falls near by were beautifuland a nice end to the day. We collected water from the creek and filtered it. We set up camp- I had trouble hanging my hammock-not very proficient at it yet! It is comfortable sleeping but a pain to put it and the tarp up. Made dinner a freeze dried beef stew and some mashed potatoes A good day we went farther then we thought we would! 
Please sign my guest book and if you have any questions ask me and I'll try to answer them.","Springer Mountain Georgia
",Somewhere by Three Forks,"Mar 22, Wed",5.30
