Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Kidney Stone,https://www.trailjournals.com//journal/entry/559080, ,"Springer Mountain
",Hawk Mountain Campsite,"Mar 11, Sat",7.40
Kidney Stone,https://www.trailjournals.com//journal/entry/559081, ,"Hawk Mountain Shelter
",Gooch Gap Shelter,"Mar 12, Sun",8.40
Kidney Stone,https://www.trailjournals.com//journal/entry/559082,,"Gooch Gap Shelter
",Neels Gap,"Mar 13, Mon",15.60
Kidney Stone,https://www.trailjournals.com//journal/entry/559083,,"Neels Gap
",Low Gap Shelter,"Mar 14, Tue",11.50
Kidney Stone,https://www.trailjournals.com//journal/entry/559084,,"Low Gap Shelter
","Hiawassee, GA","Mar 15, Wed",9.70
Kidney Stone,https://www.trailjournals.com//journal/entry/559086,,"Hiawassee, GA
",Addis Gap,"Mar 16, Thu",11.20
Kidney Stone,https://www.trailjournals.com//journal/entry/559088,,"Addis Gap
",Muskrat Shelter,"Mar 17, Fri",17.30
Kidney Stone,https://www.trailjournals.com//journal/entry/559089,,"Muskrat Shelter
",Carter Gap Shelter,"Mar 18, Sat",12.50
Kidney Stone,https://www.trailjournals.com//journal/entry/559090,,"Carter Gap Shelter
","Franklin, NC","Mar 19, Sun",15.90
Kidney Stone,https://www.trailjournals.com//journal/entry/559091,,"Franklin, NC
","Franklin, NC","Mar 20, Mon",0
Kidney Stone,https://www.trailjournals.com//journal/entry/559092,,"Franklin, NC
","Franklin, NC","Mar 21, Tue",0
Kidney Stone,https://www.trailjournals.com//journal/entry/559093,,"Franklin, NC
",Wayah Bald Shelter,"Mar 22, Wed",11
Kidney Stone,https://www.trailjournals.com//journal/entry/559094,,"Wayah Bald Shelter
",Wesser Bald Shelter,"Mar 23, Thu",10.60
Kidney Stone,https://www.trailjournals.com//journal/entry/559095,,"Wesser Bald Shelter
",Nantahala Outdoor Center,"Mar 24, Fri",6
Kidney Stone,https://www.trailjournals.com//journal/entry/559096,,"Nantahala Outdoor Center
",Sassafras Gap Shelter,"Mar 25, Sat",6.60
Kidney Stone,https://www.trailjournals.com//journal/entry/559097,,"Sassafras Gap Shelter
",Brown Fork Gap Shelter,"Mar 26, Sun",9.10
Kidney Stone,https://www.trailjournals.com//journal/entry/559098,,"Brown Fork Gap Shelter
",Fontana Dam,"Mar 27, Mon",13.20
Kidney Stone,https://www.trailjournals.com//journal/entry/559099,,"Fontana Dam
",Fontana Dam,"Mar 28, Tue",0
Kidney Stone,https://www.trailjournals.com//journal/entry/559100,,"Fontana Dam
",Fontana Dam,"Mar 29, Wed",0
Kidney Stone,https://www.trailjournals.com//journal/entry/559101,,"Fontana Dam
",Mollie's Ridge Shelter,"Mar 30, Thu",11
Kidney Stone,https://www.trailjournals.com//journal/entry/559102,,"Mollie's Ridge Shelter
",Derrick Knob Shelter,"Mar 31, Fri",12
Kidney Stone,https://www.trailjournals.com//journal/entry/559103,,"Derrick Knob Shelter
",Mt Collin's Shelter,"Apr 01, Sat",13.50
Kidney Stone,https://www.trailjournals.com//journal/entry/559104,,"Mt Collin's Shelter
","Gatlinburg, TN","Apr 02, Sun",4.50
Kidney Stone,https://www.trailjournals.com//journal/entry/559105,,"Gatlinburg, TN
",Peck's Corner Knob Shelter,"Apr 03, Mon",10.30
Kidney Stone,https://www.trailjournals.com//journal/entry/559106,,"Peck's Corner Knob Shelter
",Davenport Gap Shelter,"Apr 04, Tue",19.60
Kidney Stone,https://www.trailjournals.com//journal/entry/559107,,"Davenport Gap Shelter
",Brown Gap Spring,"Apr 05, Wed",13.40
Kidney Stone,https://www.trailjournals.com//journal/entry/559108,,"Brown Gap Spring
","Hot Springs, NC","Apr 06, Thu",23.30
Kidney Stone,https://www.trailjournals.com//journal/entry/559109,,"Hot Springs, NC
","Hot Springs, NC","Apr 07, Fri",0
