Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Lightning Bug,https://www.trailjournals.com//journal/entry/576759,"When we hiked up old blue mountain mountain we had to call the place we were going to stay at which is called the cabin and the people who own it are called Honey and Bear they are really nice and they feed us breakfast and dinner which is awesome. I met their great grandson, his name was Josh and he was 13, and another boy named Lenny. We had apple wars and made shields , it was really fun. We liked it so much that we didn't want to leave so we slack packed so we could come back. It was amazing.","
",View Entry,"Aug 02, Wed",6
Lightning Bug,https://www.trailjournals.com//journal/entry/574835,"Today was my first day hiking the Appalachian trail it was a great day and I was really excited to sleep in my hammock but we didn't find a good spot and there was a lot of new noises so I ended up sleeping with my parents in the tent. My parents and little sister's names are, Mama Pajama/mom, Papa Bear/dad, star shine /Sister, and lightning bug me","
",View Entry,"Aug 04, Fri",0
Lightning Bug,https://www.trailjournals.com//journal/entry/574883,"Today we hiked the bigelows it was very beautiful at the peaks. We are splitting it up in two days, but I think that I could have hiked it in one day, because I wasn't tired when we got to our campsite, but our campsite was very beautiful we had a platform so that was a great blessing and our water source was amazing. It was a spring and it was almost like it came right out of the fridge and it tasted so good. :)","
",View Entry,"Aug 09, Wed",9
Lightning Bug,https://www.trailjournals.com//journal/entry/575540,"Today we stayed at the Stratton motel and took a zero day(which means hikking no positive miles). The people are very nice and friendly ecspecially a guy named Tree hugger ,he shuttled us in and out of town ,and played card games with me. My favorite part was probably eating dinner, we ate at the white wolf and there food was amazing.","
",View Entry,"Aug 14, Mon",0
Lightning Bug,https://www.trailjournals.com//journal/entry/575546,"We hiked the saddleback mountains today. I especially like it when we climbed huge slabs of rock, right by waterfalls and how we were exposed above treeline for over three miles. At the top of the mountain the view was amazing and it was so windy that the wind blew of the sign that told us the elevation of how high we were off the wooden post which was crazy ,and Starshine was leaning forward and was not falling because the wind blew her really hard.","
",View Entry,"Aug 17, Thu",9
Lightning Bug,https://www.trailjournals.com//journal/entry/575547,"Yesterday we hiked two miles from the lean to to get to the farm house so when we got to the highway parking lot we had no cell crevice so we couldn't contact the shuttle so we were about ready to put our thumbs up but then a trail angel offered us a ride to the farm house ,and her name was sister bear. So that was a big blessing.","
",View Entry,"Aug 18, Fri",2
Lightning Bug,https://www.trailjournals.com//journal/entry/575846,Today we stayed at the farm house and it was really nice and the people were friendly and there were kids so Izzy had really fun. We took a zero day so we got to get to know the town and we ate a this place called the red onion it was almost like a American Italian restaurant and it was really good I had pizza and chilli I know it's a weird combo but I was craving both and was surprisingly good. Then when we went back to our room we got ready to hike tomorrow and I was so tired and ready to go to sleep.,"
",View Entry,"Aug 18, Fri",0
Lightning Bug,https://www.trailjournals.com//journal/entry/576099,"Today we hike a mountain called Venus mountain it was quite fun but it was also really hard and I was sore. It was very pretty we stopped at a waterfall to eat lunch and it was amazing. We went uphill for a while to get to a shelter called the bemis mountain leanto, and it was my first time sleeping in a leanto and it was quite nice because my mom were way ahead and after setting everything uP we didn't know what to do so it sportive felt like a zero day. And we didn't have to take our tent Down so it was really nice. That was my first leanto expirience.","
",View Entry,"Aug 20, Sun",0
Lightning Bug,https://www.trailjournals.com//journal/entry/576760,"When we hiked up old blue mountain mountain we had to call the place we were going to stay at which is called the cabin and the people who own it are called Honey and Bear they are really nice and they feed us breakfast and dinner which is awesome. I met their great grandson, his name was Josh and he was 13, and another boy named Lenny. We had apple wars and made shields , it was really fun. We liked it so much that we didn't want to leave so we slack packed so we could come back. It was amazing.","
",View Entry,"Aug 26, Sat",6
Lightning Bug,https://www.trailjournals.com//journal/entry/576758,"Today we did the mahoosuc notch and the mahoosuc arm. We slaked packed ,which means we only carried enough stuff for one day so our packs were way lighter except for izzys. The notch was like a rock jungle gym. When I first saw the boulders I had no clue how I was going to do this ,because they were just so big and steep ,but once I started climbing I thought it was really fun. Sometimes we had to take of our backpacks and go under boulders and drag them through and papa bear spotted ice so I walked back to him and saw the ice block it was really cool [: . The notch took us about 2 1/2 hours but it was so much fun I wanted to do it again. Papa bear had a banana in his pocket during the notch because he had forgot about it and at the end it was like banana pie filling. and then the arm was a lot of rock slabs and some boulders but we were going up into higher altitude but it wasn't as hard. We stayed at this really nice lean to and it had a cooking area ,so that was cool. Good night","
",View Entry,"Aug 28, Mon",0
