Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Lil Cub,https://www.trailjournals.com//journal/entry/452904,"Destination Cold Creek Shelter4.8 miles. I woke up this morning with some bad news. My hiking partner ""Wave"", had a family emergency so he had to leave the trail this morning. It is a sad day for me but while being sad, I too am happy that we both got to hike some together. I thought about Wave all day while hiking. I was hoping that Wave would be able to rejoin me at some time in the future. But if not. It's ok. I hope and wish him success and I am thankful I got to know him. He talked about his family , his friends Erny and Joe and others as well as his daughters and ex wives. I really miss him. But my hike goes on and I am making good miles now. It's AWESOME !!!I left Cold Springs Shelter early after Wave set out to return home. I arrived at Cold Springs Shelter fairly early. There was one female hiker there already, Clamity Jane. S great older lady who is hiking to loose weight and she doesn't even like hiking. I slept in the shelter because it was supposed to rain. Other local hikers arrived along with Tom, an older thru hiker who's son is ahead of him by about 2 days. It rained some during the night but I was dry in the shelter. I didn't sleep well. Seems that I may switch from a tent to a hammock. From what I hear it's much better on the back. So any donations would be helpful. This is the last water source for the next 7 miles so I will fill up all containers in the am.","Cold Springs Shelter
",Cold Creek Shelter,,4.80
Lil Cub,https://www.trailjournals.com//journal/entry/337128,"I plan to hike in 2012. This journal is now being created to assist me in making the arrangements,document while learning in detail about what to expect and therefore be prepared as best I can. I want to find a good thruhiker journal for a NOBO hike in 2011 to follow. That way I can have a different perspective about the journey. David Millers AWOL on the Applichian Trail, id definately a fast track, with many physical challenges. I tend to want to follow a well prepared hiker who isn't going to fast track, and see the trail from a more relaxed perspective. Everything in me is about hiking the AT. I sleep, work, eat and shower, thinking about the hike. This journal will begin with a brief introduction about who I am and my quest to hike the AT. I hope I am able to find a serious individual who is planning to hike in 2012 as well that possibly could be my counterpart. So far many have said yeah I will go with you but way to often, saying and wanting to are two different things. I am as close as I have ever been in a serious departure in April of 2012 to fullfill a 9 year plus planing endevor, to thruhike ""The Applichian Trail"".",,"Mt. Kataden, ME","Feb 20, Sun",0
Lil Cub,https://www.trailjournals.com//journal/entry/337173,"Today I am refelecting on my pre-hike planning. It all began back in 2003. This entry refelects back to that point, giving some background about my hike planning. The story begins on Saturday, January 15, 2003 at 3:05pm: I arrived at work that day and the weather is cool in the shade. I wanted to start this journal with some thoughts, ideas and plans about my hike which I had initially planned to start in mid March of 2006. This is more than enough time to plan such a hike of the AT. I actually began planning this adventure while taking a year off from my nursing carier. During the first three months of my break, I began to search the internet for some local trails and camping sites, many of them I had known about since high school, and wanted to refresh my spirit. I had been away for many years after I graduated, so now was a time to get reaquainred with my old stomping grounds. I discovered the AT and have become obsessedly determined to complete a thru hike of the AT begining at Springer Mt;GA to Mt Kataden in Maine. At that time, I had been working a part time job driving a cab to put money aside for this trip. There have beem multiple setbacks since my original planning began. Christmas in 2002, was difficult and overspending depeleted my funds and my chevy truck, a Silverado needs a transmission. I had planned to sell the truck and use the funds to assist with the finances for the trip. I wanted to have no less than 8K saved for the trip. I continue to sock away until I am finally able to have enough funds to keep the household afloat and not have to worry about home until I return from the trip.I plan to take no less tha 6 to 7 months to complete the hike. I want to enjoy this once in a lifetime experience. At that time I had $400 saved and had hoped to sell the chevy soon. I had planned to make daily enteries into my journal while on the trail. I also had planned to enter notes about my planning as as time progresses, updateing plans, schedules and goals. Good Luck To Me...Thanks be to God for all his wonderful blessings. I thought that I needed to put away $400 per month from Jan 03 to Feb 06 for this trip, along with the proceeds from the sale of my truck, I would have approx 8K, and equipment and supplies still needed to be purchased as well. MONDAY MARCH 21, 2005- wow a little over 2 years since my last entry in my hand written journal. I had purchased an Ospry 75 pack.(I have found this pack to be very good, lightweight and functional. At that time I was also so excited about aquiring the remainder of the equipment I would need for this hike. It seems that my hike might be delayed. I have had an offer to purchase a small business, and I was then in the planning of opening it up. I had to use some of my reserve hike funds to assist me with the opening of this new business. I still have to get the truck repaired at that time and my roommate wasn't paying his bills, and a great portion of the funds were stollen from the safe. I feared at that time that I may have to postpone my hike for another two years,(2007). Little did I know it was going to be another 5 years before I could seriously plan to take the time off for this hike. However now, during this time I was able to begin to rebuild my relationship with my daughter and son. My next journal entry would be 6 years later; here is a recap.WENSDAY JANUARY 26, 2011 4:45PM: nOW ITS BEEN 8 YEARS IN THE PLANNING. IT WAS AT LEAST 5 YEARS AND 9 MONTHS SINCE MY LAST JOURNAL ENTRY. I have been running my busness (Crestview Taxi LLC) for the past 5 years. With the economy on a down slide, the BP spill, and a weakened economic outlook, we just arn't making any money. I need new cabs, and need to update some much needed equipment in the cabs. Much blood, sweat and tears have been shed into making this company grow and be a success. This business like many others seems to be declining, and may eventually meet the demise like so man others have. There is one thing that hasn't been taken away yet and that is the desire to do a thru hike of the AT. Now if the monies from BP come in, as they should, for the Business as well as for personal, I am going to close shop, send my secretary on a cruise, and I am going to the woods for a while. My next entry is a bit uplifting. It begins on Wednesday Jan 26 2012 second daily entry. I feel a renewed strength in planning my 2012 hike. But work has me stressed out, I will continue to go forward in planning my hike. If I don't get the funds from BP, I fear that my hike will permenately lost. I am now reading David Millers AWOL on the Applichian Trail, a great book full of information, but the hike is too fast track for me. I want to soak it all in as I hike, I want to take the time to do it right, and enjoy the full scope, including hardships, frustrations, and rewards.",,View Entry,"Feb 21, Mon",0
Lil Cub,https://www.trailjournals.com//journal/entry/337183,"I am still planning and reviewing my equipment options. I will follow Debbie Ames as she starts her hike in late March 2011. I am comtemplating on revising my start date to begin March 1, 2012. However I would like to visit https://mail.google.com/mail/?shva=1#inbox/12e10ec17d5ce30f Dahlonega, GA for the second anual ""Spring On Springer"" Festivle.",,AT,"Feb 22, Tue",0
Lil Cub,https://www.trailjournals.com//journal/entry/367458,"I picked up Old Corpus this morning and gave him and his granddaughter a complementary ride to the FT Trail_head on US 85. He has hiked the AT, FT and the PC. Ahhhh it's such a joy to help out fellow hikers. It's been pouring rain here for the past 3 days, so I am sure parts of the FT will be ummmmm, shall we say wet.",,View Entry,"Feb 23, Wed",0
Lil Cub,https://www.trailjournals.com//journal/entry/367460,"I had once again planned to begin my hike of the AT on March 1, 2012. However, due to uncontrollable circumstances, I now have to postpone again. I will not be able to do my hike this year as planned. It's so disappointing.",,"Mt. Kathdin, ME","Feb 24, Thu",0
Lil Cub,https://www.trailjournals.com//journal/entry/440651,"Wow, here it is 2014, and I am being very optimistic about selling my business and hitting the Trail this year (2014) Been planning since 2005 and had to cancel every time. My Prayer is that I am not disappointed this time around. So with that said, I only have a few weeks to finalize everything. I am planning to start in early March 2014. While waiting to confirm the buyer is serious and complete the deal, I am already making prep. 
I would love to find another hiker who is planning a NOBO and hook up.",,A New Begining,"Jan 05, Sun",0
Lil Cub,https://www.trailjournals.com//journal/entry/440775,"Ok, Today is Tuesday January 7, 2014 and it's 17* here this morning. Ice everywhere. And yesterday met with my buyer and we confirmed the deal. Now this should be finalized within 2 to 3 weeks. Whew, so little time to get it all ready. I still need to purchase a few items like a stove, replace my tent and sleeping bag, and water containers. I am still organizing and getting my lightweight pack ready. It seemes at this point it's a go.",,Confirmation,"Jan 07, Tue",0
Lil Cub,https://www.trailjournals.com//journal/entry/440930,"I met with my buyer yesterday to review the contract to sell my business. Everything is looking good and going smoothly. Byer was impressed with the Contract, and the final closing should be within the next few days. I still have lots of planning and things to finish up before heading to the Lodge at Amicalola Falls State Park.   I am SOOOOOOO EXCITED THAT THIS DREAM IS NOW COMING THROUGH.Happy Trails",,Confirmation,"Jan 11, Sat",0
Lil Cub,https://www.trailjournals.com//journal/entry/441277,"Much to my disappointment, yet another delay has come up. First, a delay in closing the deal on the selling of my business. However it will be completed by the end of this month. Then, I have 2 eye surgeries that have been scheduled for Feb 18 and another March 18. So my start date will not be on March 1 as planned. April 1,2014 is a more realistic goal at this time, baring any further delays. I am continuing to address all my equipment and making some adjustments to lighten the load.",,Mt. Katahdin in Maine,"Jan 19, Sun",0
Lil Cub,https://www.trailjournals.com//journal/entry/441349,Thank you Dennis for taking on the challenge.,,Transcript,"Jan 20, Mon",0
Lil Cub,https://www.trailjournals.com//journal/entry/454079,"Destination ""Cable Gap Shelter "" 6.1 miles   I woke up after a long night of rain. I wanted to get started early but the rain held me up , again.   Good thing I only had a short day. I arrived at Cable Gap early as I was able to hike downhill pretty quick, but not before making another short steep climb up about a half mile before heading back down again. I was very anxious to get going. I arrived at the shelter at about 4pm. There were only 2 other hikers there, ""Ducktape and John who doesn't have a trail name yet. . I had met them both in passing before. We all decided to stay in the shelter because there was more rain forecasted. I wanted to get a very early start around 6am to reach Fontana Dam the next morning. Sent from my iPhone  2 Attached Images","
",Brown Fork Gap Camp and Shelter,"Jan 28, Tue",9.10
