Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Negotiator,https://www.trailjournals.com//journal/entry/554160,"The temperature was around 32 at 6:30 this morning at Oak Mountain and seemed like a great day for a long hike. I have been getting my pack ready for my AT adventure beginning in April and hiking with it for the past couple of months to get my old bones familiar with a heavy load. I have been hiking with anywhere from 32 to 34 pounds and can easily hike 6 to 10 miles before stopping to take a breather. Hiking in the cooler weather helps a lot since hiking in 70 degree temperatures causes a lot of sweat to develop and drains my energy. I hiked the 6.7 miles on the blue trail and saw no one. The trail was basically dry and Peavine Falls was flowing with a lot of water again after the recent rains. The blue trail is pretty tame once one makes the ascent to the top of the ridge which is a little over 1000 feet.   I took a rest after about 5 miles to take in some calories and drink some water. It was a little cool while eating my snack since I had worked up a sweat and there was a cool breeze blowing. I finished the blue trail at the South Trail Head and started hiking the white trail back to the North Trail Head which is about 6.3 miles. The hike takes me over the highest point at Oak Moutain which is the Shackleford Ridge at almost 1300 feet. Great views during the winter when the leaves have dropped from the trees. I just love it up high where you can view this beautiful planet, it is just great to have this opportunity to experience such views. After finishing the white trail I took off on the yellow trail from the North Trail Head and hiked 2-3/4 miles around Serenity Lake. The Lake was filled from the recent rains and the water was flowing abundantly over the dam. A great place to stop for a snack is right below the dam and being able to see and hear the water rushing down to the stream below. This beats any restaurant that I have ever visited. Hiked the 2-3/4 miles back to the North Trail Head finishing my hike for the day. I felt that I could have hiked more but figured there are a number of days before I begin hiking the AT again so I headed home for a nice afternoon meal with my wonderful wife. Enjoy theis beautiful planet.",,"Oak Mountain State Park, Birmingham, AL","Feb 03, Fri",18.50
Negotiator,https://www.trailjournals.com//journal/entry/554169,"My pack is ready after going through it a number of times. The weight with 2L of water and about 7 lbs of food is around 33 pounds. I have been hiking with this amount of weight over the past couple of months and it feels about right. Of course the weight will vary, up and down, while hiking due to the usage of food as I hike and resupply. I have toyed with the idea of using my hammock to begin in April but I feel it will be too cold and I do not want to carry the extra weight of an under quilt. I plan to use my Big Agnis 2 man tent. It is light weight and easy to put up. My sleeping bag is rated at 15F so I should stay warm enough and if necessary I will wear my puff jacket at night. Enjoy this beautiful planet.",,AT,"Feb 04, Sat",0
Negotiator,https://www.trailjournals.com//journal/entry/554170,"I plan to hike tomorrow, 02/06/17, at Oak Mountain State Park. The weather looks cool in the morning, so I will probably do just 12 miles. We are getting a good rain today so the streams should be full of water. The sound of the water is like music while hiking the trails. Enjoy this beautiful planet.",,Oak Mountain State Park,"Feb 05, Sun",0
Negotiator,https://www.trailjournals.com//journal/entry/554823,Hiked at Oak Mountain today. Left out on the Yellow Trail and and connected with the White Trail at Maggie's Glen and hiked up to Shackleford Ridge which is the highest point on the trail at 1250+ feet. I hiked to the end of the trail and returned to Peevine Falls on the Blue Trail. The water was rushing over the Falls after the recent rains. Many of the streams that were dry have water flowing in them now which is good to see. Many of the small trees that were harmed in the drought last year appear to be under distress and will probably not make it. I noticed where a troop of Boy Scounts planted some trees at different places at Oak Mountain. It good to see that we have young men that really care about our planet and are helping to take care of it.I plan to hike again on Sunday since it will be a while before I can hike again. I am having a cataract taken off my left eye and will be unable to pick much weight up ore do extensive exercise until it heals (probably a couple of weeks). Total miles hiked today - 13.,,"Yellow Trail, White Trail and Blue Trail","Feb 16, Thu",0
Negotiator,https://www.trailjournals.com//journal/entry/554831,"Hiked out on the Blue Trail past Peevine Falls to the South Trailhead and then back to the North Trailhead on the White Trail. Met quite a number of folks on the trails today. The weather is just beautiful and the flowers are coming up. It will not be long before the forest will be green again and winter will only be a memory. The temperature was around 38 when I started out around 6:30 AM and by the time I finished hiking it was around 70 degrees. Needless to say the sweat appeared during those uphill treks. I am carrying a 34 pound pack that adds to the fun while I am hiking so I knew that the sweat would happen. At any rate, any time I am out on any trail it is not boring and my mind is at peace. I am thankful that I have a place like Oak Mountain to hike.When I left Oak Mountain the parking lots were filling up and the entrance was backed up for several hundred yards. There were hikers, bikers, and folks that just wanted to go sit by the lake. Just a beautiful day.",,Oak Mountain,"Feb 19, Sun",0
Negotiator,https://www.trailjournals.com//journal/entry/557753,"Well, this is the last week that I'll be home before I get back on the trail on April 2. I feel that my pack is ready for a long walk to Maine. The weather looks good for Sunday and I'm hoping the rain holds off until I can get at least one day of hiking accomplished before it begins. As I mentioned before, Mustardseed, my daughter, and I began the trail at Springer Mountain last year and got off in Erwin Tennessee. Last November, I hiked from Erwin to Damascus with a friend Steve Manley. This will be more of a section hike (a long section hike) and not a thru hike but it is my hike. I appreciate my wife for supporting me in this endeavor since the responsibility of our home is on her shoulders. Also, I will always be thankful that my daughter, Mustardseed, got me interested in hiking and camping. I just enjoy being the woods surrounded by nature and all it has to offer. A hot cup of coffee by a babbling stream beats Starbucks anyday.Until Damascus.","Springer Mountain
",Damascus,"Mar 27, Mon",469.20
Negotiator,https://www.trailjournals.com//journal/entry/558961,"I wanted to start this journal earlier about my hike but due to no service for either Verizon nor AT&T I am putting the last 4 days into this one journal entry. I have hiked 63.2 miles since Damascus.Beginning another hike trying to get to Maine and stayed at the Lazy Fox B&B last night in Damascus. My daughter and her husband Bill drove me to Damascus and also stayed at the Lazy Fox. We had dinner at Bobo's and then watched some of the basketball playoffs. The next morning we had a great breakfast that Miss Ginny made for us. If you're ever in Damascus make sure you go and stay at the Lazy Fox and enjoy that great breakfast.My daughter Michelle got me off on April 2nd from Damascus and she was able to walk with me the first mile to get me on the trail. I will certainly miss Mustard Seed very much on my hike but I know her thoughts are with me (my daughter and I hiked from Springer to Erwin last year). I will also miss my lovely wife who is taking care of the home front while I'm hiking.The first day on the trail I met Breeze, a southbound hiker from Maine headed to Springer. She was looking for somewhere to have dinner. I told her that we ate at Bobo's for dinner the night before in Damascus and she said she would look it up when she got there. It was a good day for hiking in the mountains and I was able to walk 15.8 miles to the Lost Mountain shelter. At Lost Mountain I met several thru-hikers going northbound like Skydive and Walden. I was the first one to get to the shelter so that is where I stayed and it was a pretty good night's sleep. I got up early the next morning heading out for Wise shelter.The hike to Wise shelter was going to be along one. We also knew that there was a storm brewing and that we might not be able to make it and wouldbhave to stop off at Thomas knob shelter. About halfway up Mount Rogers, Virginia's highest peak at 5729 feet, the bottom dropped out of the sky. The wind was blowing fiercely and the rain was coming down sideways. When you're climbing a mountain where you start off around 3,300 feet and your going to the height of 5430 feet and the rain is blowing everywhere and the wind is blowing your Poncho around it is tough hiking.I wanted to stop at Buzzard Rock which was at 5080 feet but was unable to. The wind was blowing so hard on the ball up there about Buzzard Rock that I could barely stand up. There was a group of people that hiked up from a blue-blaze trail and wanted to see the rock but it was just too windy for them to go up there.At any rate, I made it to Thomas knob shelter. Which is at the 497.3 mile mark so I was able to get 12.3 miles and during that miserable weather.A group of Boy Scouts came in about 45 minutes after I got to the shelter and they were all drenched. Also later on there were several section hikers and thru-hikers that came in to the shelter and we had to make room for all the people to get in. No one was going anywhere for the rest of the day because the wind kept blowing in the rain kept coming down in sheets and we were concerned about the stability of the shelter. Everyone got in the shelter and were able to get dry clothes on to prevent hypothermia. It was a noisy night with all the people in there so the amount of sleep I got was very little. It was good seeing the young men and women that were working on their Eagle badge and they were real nice kids and their parents were super. I have a Therm-a-Rest mattress which is inflatable and pretty comfortable compared to those foam pads. During the night a sixteen-year-old scout slept next to me on his pad and he kept trying to get on my inflated mattress all night. Trying to push a big kid who is sound asleep off your mattress is tough. But we made it through the night and I got up early the next morning heading out for Hurricane shelter.I wanted to get somewhere where I could dry my clothes out from the day before so I stopped at WISE shelter to do that. The sun came out and it was just a beautiful day other than being quite windy. I hung my clothes out on the trees and stayed there for about 45 minutes while I ate brunch and looked around to see if I could see any of the wild horses since I was so close to Grayson Highlands. The clothes mostly got dry so I packed up and headed out to see the horses at Grayson Highlands. It was real windy up in the highlands but I was able to run across several horses and I've attached a picture of one of them that just walked up to me and wanted something to eat. The Rangers up there ask visitors not to feed the horses but I bet you 90% of the people carry carrots or apples up there to feed them. I have attached a picture of one of the little ponies that came up to me looking for something to eat. After getting pictures of ponies I headed out for Hurricane Mountain shelter. I did stop by Old Orchard shelter and there was a hiker there by the name of Now or Never and about the same age as me. We talked for a few minutes and then I left. He mentiond that he was headed to the same shelter that I was and that he would see me later on. He did come in to the shelter a little later and said he rolled his foot on one of the many rocks coming down the mountain to Hurricane shelter.Hurricane shelters located at 513.4 mile marker and when I got there no one was there. Later on Ant-Man and Dakota showed up and in a little while later Now or Never showed up. Two other hikers showed up a little later so we had the group for the night. It was a warm night and very uneventful other than two hikers that snored loudly that kept us awake part of the night.I left Hurricane shelter heading for Partnership shelter, which was about 18 .8 miles away. The day was very blustery and there was a projection that we would have a thunderstorm early afternoon. Going through the many trees on top of the mountains that I was hiking was a little scary in the sense that limbs kept falling out of trees while the wind blew across the crest of the mountains. I guess in this situation you just put your head down, look at the trail and keep walking because if a limb falls on you and kills you it's just your time to go. I stopped at some roadside at one of the gaps and made brunch. The wind was still blowing even at the lower elevations and I was sitting there getting my utensils washed up down a hill by a stream and the wind picked up heavily. As a result my chair blew off and was headed for the creek. The water in the creek was moving swiftly and if my chair got in the creek I would never see it again. I had to go down this embankment in a briar patch and retrieve my chair because I don't know what I would do without my little hiking chair. I'm thankful that the briar patch caught the chair before it got in the creek. It is an Alite Monarch chair that is worth its weight in gold. A lot of people wonder why I'm carrying a chair but when I get to camp and I am able to sit down with my back supported by this little chair it is so comfortable. I wouldn't lose that chair for anything.I made it to Partnership shelter and called Jim Sparks to pick me up. Jim's telephone number for his cell phone is 276 - 378 - 4781. He said to share this number with other thru-hikers because he wants to help out any way he can. Jim Sparks is a great guy that helps hikers out! He picked me up and drove me into Marion and I'm staying in a hotel here tonight. I plan to pick up another rain suit since my other one blew apart and is useless. We're supposed to have rain almost all day today and snow tonight in the mountains. I don't know how far I'm going to hike today or if I'm going to hike at all. I'll look at the weather forecast and if I can get out I will at least try to make it to Atkins which is a little over 12 miles. Until next time!","Damascus
",Parternship Shelter,"Apr 05, Wed",63.20
Negotiator,https://www.trailjournals.com//journal/entry/559007,"Partnership Shelter to Atkins, VAHiked 11.6 miles today for a total of 544 miles. This was a short day because we are expecting anywhere from 1 to 6 inches of snow tonight and I certainly didn't want to be on the trail during that type of weather. We will see in the morning what happens and if there's not more than a couple inches of snow I'm heading out.Last night I had dinner at a good Mexican restaurant near the hotel. This morning I got up after the rain that we had during the night and went to McDonald's and ate two egg and cheese biscuits, boy were they delicious. Also, the coffee has improved greatly since the last time I had coffee at McDonald's so I'll try to again someday. I then walked across the street to Walmart and picked up a rainsuit since my poncho got devastated by the wind.I got my pack repacked and I called Jim Sparks to come pick me up to take me back to Partnership Shelter to continue my hike on the trail.Jim Sparks, The driver that picked me up at the shelter, is one of the nicest individuals I believe I've ever met. Jim was a coalminer and has black lung and it forced him to retire. He picks up hikers and will not take any money for the trips he makes. He makes almost hundreds of trips a year and never charges anyone anything. As a matter fact he has a camper in his backyard where two hikers that are low on money are sleeping until the weather gets better. These ""mountain folks"" are some of the best people that I've ever been associated with. They really care about their fellow man and it shows in what they do for people. Just to give you another example, Jim told me about the Settlers Museum on the hike to Adkins. I visited the museum and saw how the Germans moved southward into southern Virginia and northern North Carolina and Tennessee and settled the area. They do not charge thru hikers but you can make a donation. Next door to the museum is an old-school house where they have hiker food and also other items that hikers might need at no cost, you can make a donation.Getting back to Jim Sparks. Jim shared with me that in the Town of Marion he counted 76 deer on a plot but you can't shoot deer inside the city limits. Also he shared with me that there were 47 turkeys on another plot that's also within the city limits and you can't shoot them either. My son-in-law would love this place with all the wild game that's out here since he enjoys hurting very much. As I was hiking today I saw two deer, two ducks, and two turkeys. The turkeys were on the side of the road going up to the shelter, the deer were on the trail and the ducks were on the trail.The weather was windy on the trail today and there were limbs falling again. It rained about halfway on the 12 mile hike but I made it to the hotel that I'm staying in located in Atkins. I hope the weather clears up so that I can just spend seven days on the trail in my tent or in a shelter which is a lot better than sitting in a hotel room. I guess one of the best things about my current situation is that I'm looking at the Masters golf tournament right now and so it makes life OK.I ate at another Mexican restaurant today when I got into Atkins and it was just as good as the Mexican restaurant last night. I've got to start walking more miles or I'm going to gain some weight out here on the trail which is unbelievable.There are several other hikers here at the hotel that have been here for a couple of days and they told me about the Barn Restaurant up the road that has a great breakfast. I plan to go up there around 7 o'clock when they open in the morning and eat all I can before I head out (if the snow is not too deep).This is such a beautiful planet and I am able to see some of the best that the planet has to offer out here (both people and nature) where nothing disturbs it but the trail. I am so lucky. Until later.","Parternship Shelter
","Adkins, VA","Apr 06, Thu",11.60
Negotiator,https://www.trailjournals.com//journal/entry/559476,"Adkins Virginia to Bland Virginia total miles 46.1Adkins to Lick Creek campsite 18.4 miles.From Adkins to Lick Creek I crossed the quarter way point on the way to Maine. It was rocky and snowy while hiking early in the day. I sought shelter for about 30 minutes until the heavy snow stopped. I started hiking again hoping to make it to the next shelter without any issues. I made it to Lick Creek, a camping site which was 18.4 miles for the day. I put my tent up under a beautiful rhododendron garden by a large stream. It was certainly nice going to sleep listening to the water flowing. I also ran across Huggs and Trinity while there and they also camped there that night. I got up early the next morning heading out to Jenkins shelter.Lick Creek to Jenkins shelter 16.4 miles.It was a cold morning when I got up at Lick Creek but I started out with hopes to have an easy day. That was not the result for that day. First of all there was snow melting in the lower elevations which made the trail very slippery. In the higher elevations the snow was deeper and if you're going downhill the slopes were very slippery. For instance up on Chestnut Knob where the shelter is located, it is a beautiful site looking down in the valley, but it is deceiving because snow awaits. I took this Beautiful sight in and then started almost a vertical downhill. This downhill faces the north and the snow was about 4 inches deep in the trail. Going straight down hill trying to keep from busting your bottom is tough when it goes down for 1.5 miles. The trail today was also tough because there are many ups and downs along the ridges and rocks all over the path which made hiking tough. Hiking shoes will not last very long going over rocks like I did on this particular part of the trail.Jenkins shelter to Bland Virginia for a total of 11.3 milesI continue to meet new hikers at shelters this includes Sleuth, Doc, and also I saw Antman. Meeting different people on the trail helps you understand what's ahead on the trail and it also is very entertaining since there's little other communication tools available. The hike today was very uneventful. It was a very easy hike to Bland compared to what I've been through the last week or so. I was picked up at the trailhead by Bubba who runs a shuttling service. He is a very nice gentleman that got me into Bland. I needed supplies so I went to Dollar General to pick them up. The people there were very nice and helped me get my supplies together. I then went to the Dairy Queen and had a chicken sandwich, fries and a Dr Pepper. I usually drink diet Dr Pepper but under these circumstances I think I can eat anything with sugar in it and it would not amount to much. Also, I need all the calories that I can get to sustain energy under trail conditions.I plan to be dropped off tomorrow and make it to Helveys Mill shelter and meet up with the group I was hiking with. This includes Sleuth Huggs and Trinity.Later.","Adkins, VA
","Bland, VA","Apr 09, Sun",46.10
Negotiator,https://www.trailjournals.com//journal/entry/559816,"Bland to Pearisburg, VAIn Bland Virginia I went to the Dairy Queen and had two chicken sandwiches, they were yummy. I picked up some supplies at Dollar General. I stayed in Bland overnight and was picked up the next morning by Bubba's Shuttles. Bubba took me to the AT trailhead the next morning. I had planned to go to the shelter where my hiking friends were but the shelter was 3/10 of a mile off the trail so I decided to go on. I hiked all day and made it to Dismal Falls. When I got to the Falls Doc and Ace were already there so I set up my tent by them and we got a fire going. We all decided to jump in a deep part and take a good bath which we all did. We also washed her clothes. We set around the campfire and told stories that night about our hiking adventures. I met two hikers I had not met before, Dax and Brown Bear. The rest of the crew came in a little later that included Hugs, Trinity, Sleuth, Moses and Ant-man. I did get over to Trent's Grocery and got me a pecan cluster ice cream bar and a peach tea. Boy were they good. The hike today was 20.2 miles.Dismal Falls to Pearisburg I decided to make a long hike today all the way to Perrysburg. Doc in Ace got off at Woods Hole Hostel to see their beekeeping activities, so I had to hike the rest of the 10 miles alone. It was 25.1 miles and boy was I tired at the end of the day. The sun was bright most of the day sweat was flowing profusely down my body. I did make it after about 13 hours of hiking. Of course this included a few stops to eat and rest a bit. I decided to stay in Pearisburg to get some supplies at Walmart. Also I went to a Chinese all-you-can-eat buffet here in Pearisburg and it was really good. The Chinese lady waiting on me though kept telling me to eat slow, eat slow. As anyone can tell you who has hiked a lot, when you see a lot of food you just can't get enough. I plan to do only a short hike today, maybe nine or 10 miles up the mountain and stay in a shelter there.Later","Bland, VA
","Pearisburg, VA","Apr 11, Tue",45.30
