Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Poncho Gorilla and Idgie,https://www.trailjournals.com//journal/entry/481137,"Sitting in the house in Western Kentucky contemplating whether to continue my plan to retire in January 2017 and start the hike in March 2017 or retire in January 2016 and hike in 2016. Financially, I can afford to do it but know that another year of solid pay can make a big difference. The other thing I think about is free standing tent or not free standing. Since my wife will be hiking with me, we can share weight if need be. Choices are Big Agnes Fly Creek or Zpacks Duplex. A close friend of mine who completed the PCT in 2014 says the decision is a no brainer. He says you cannot go wrong with Zpacks. I have a hangup because I have never had a NFS tent and worry about not being able to stake down on rocky ground. Last item, I go back and forth on is the type of stove. I currently have a pocket rocket and a caldera. Have given thought to Jet Boil as well. Leaving for a 4 mile hike in a 1/2 hour on this unseasonably warm February morning. Be Safe!",,View Entry,"Feb 07, Sat",0
Poncho Gorilla and Idgie,https://www.trailjournals.com//journal/entry/481159,"I am driven by goals. It seems if I do not have a goal, I am not a pleasant person to be around. That criticism comes from my wife of 30 plus years. She is absolutely correct. I have a number of goals from thru hiking the AT to self contained bicycling across the USA via the trans american route. The conflict I have with my goals is tearing away from my high school cross country team coaching. It is a job that I take pride in and love trying to influence young men to push themselves during a race. I just need to retire or my goals will not get accomplished!",,View Entry,"Feb 07, Sat",0
Poncho Gorilla and Idgie,https://www.trailjournals.com//journal/entry/481163,My wife and I went on a 4 mile hike out the front door with loaded packs. Mission was to hike some hills and stop for a cup of tea heating the water with the caldera cone stove. All went as planned. Our 2 cairn terriers enjoyed the walk as well. I like the stove but am not totally in love with it (yet). Still debating the pros/cons of alcohol stoves.,"
",View Entry,"Feb 07, Sat",0
Poncho Gorilla and Idgie,https://www.trailjournals.com//journal/entry/481556,,"
",View Entry,"Feb 08, Sun",0
Poncho Gorilla and Idgie,https://www.trailjournals.com//journal/entry/483861,"It has been a good training week for both of us. I got back in the pool to swim laps after a 2 year absence. Also, I made it to spinning class for 2 sessions and some weight lifting. Idgie walked or ran each morning. Additionally, we hiked 5 miles last Sunday and 7 miles today with packs that weigh 15 lbs. At the half way mark, I get out the Caldera Cone Stove and we brew a couple cups of tea and have some food. I am getting to really like this stove setup. The great thing about daylight savings time is being able to get some time to walk around our 30 acre field with the dogs after supper each evening. The temperatures have been great and spring is a great time of the year. Be Safe, Poncho and Idgie",,prep hike,"Mar 15, Sun",0
Poncho Gorilla and Idgie,https://www.trailjournals.com//journal/entry/484203,"Training for AT 2017 is going well. Daily workouts at YMCA consist of weight lifting to lap swim to spinning class. Being a school teacher, I have a short break coming up after Easter. Idgie and I need to go to Wilmington, NC to see our month old grandchild. That is exciting. However, on the return trip, we are going to Georgia! We are going to stay one night at Hiker Hostel and hike from Woody Gap to Neel Gap. this will be another step towards our goal. To many, this hike may be a light weight way of prepping for a thru hike. However, to us it is the first of many steps. As a couple in our late 50's, we have deliberately chose to slowly work our way into the proper mental and physical shape prior to starting an epic adventure.","prep hike
",View Entry,"Mar 16, Mon",0
Poncho Gorilla and Idgie,https://www.trailjournals.com//journal/entry/485854,Idgie and I completed a 10.9 mile training hike. Gear is continuing to be added to pack. We had hiked over 7 miles the previous Saturday and wanted to build on that distance. Temp was 35 degree with a brisk north wind. All went well according to plan.,"prep hike
",View Entry,"Mar 28, Sat",0
Poncho Gorilla and Idgie,https://www.trailjournals.com//journal/entry/486008,"Got home and my Big Agnes Copper Spur Tent UL 2 was waiting for me. Idgie and I loaded the packs and went for a hike. The hike route was hilly but it was a fast 6km with seeing about 20 deer. After the hike, I took time to put the tent up. My initial impression is that I do not like it. The plastic center piece on the cross poles seem a little cheesy to me. Therefore, I will evaluate the tent once again when I get home from work today. Also, it weighed in at 3 lb 7 oz. That was not what I expected for weight without footprint. I may look at the other choices on my list from Tarptent and Zpacks.","prep hike
",View Entry,"Mar 29, Sun",0
Poncho Gorilla and Idgie,https://www.trailjournals.com//journal/entry/486009,"Got home and my Big Agnes Copper Spur Tent UL 2 was waiting for me. Idgie and I loaded the packs and went for a hike. The hike route was hilly but it was a fast 6km with seeing about 20 deer. After the hike, I took time to put the tent up. My initial impression is that I do not like it. The plastic center piece on the cross poles seem a little cheesy to me. Therefore, I will evaluate the tent once again when I get home from work today. Also, it weighed in at 3 lb 7 oz. That was not what I expected for weight without footprint. I may look at the other choices on my list from Tarptent and Zpacks.","
",View Entry,"Mar 30, Mon",0
Poncho Gorilla and Idgie,https://www.trailjournals.com//journal/entry/486797,"Idgie and I were on our way to Wilmington, NC and decided to stop and do a short hike on the AT. We went out and back from mile marker 240.0 south to Davenport Shelter 237.2 according to AT Guide by Awol.It was uphill and probably we saw 20 thru hikers. It was great talking to some of them. It was fun. It is all part of the plan. Next Thursday, we will be in Georgia for a 2 day hike. Be Safe!","I- 40 North Carolina
",Davenport Shelter,"Apr 04, Sat",0
