Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Rabbit Hole,https://www.trailjournals.com//journal/entry/545808,"For those of you following along, Here is the link to my current gear list. I try to update it when I make changes. https://lighterpack.com/r/krczm 
Some basic FAQ's for friends and family stumbling upon this: 
In order of most common question.
1. Will you carry a gun?
No, its heavy and not needed for long distance backpacking.
2. Will you be hunting, how will you get your food?
No, the same way you do. Through grocery stores, fast food, and the occasional questionable gas station food. 
3. Aren't you worried about being mauled by a bear or crazed hillbilly or wildlife in general?
No. Well, maybe a little but statistically the car ride I take to work everyday is more dangerous.

No, the biggest threats to me are lymes disease, noro virus, and hypothermia. wildlife can be an issue but its mostly mice eating through my pack and stealing food. 
4. Why are you hiking alone?
I'm not. While I will be technically solo, thousands of people through hike Northbound every year around when I am leaving in March. I will be around plenty of people and with all likelihood will be grouping up with people who hike similarly to myself. 
5. How much food are you carrying?
Enough to last anywhere from 1-5 days. The east coast is very populated and you're never that isolated until you get wayyy up north. 
6. How much weight are you carrying?
Depends on amount of food but my base weight is 12-15 pounds depending on spring/summer/fall. With food and water the most I'll ever carry is around 30 pounds. 
7. Distance traveled?
My goal is to average 15-20 miles a day with a day off in a hostel or motel every 10 days or so.",,Intro,"Jun 15, Sun",0
Rabbit Hole,https://www.trailjournals.com//journal/entry/461827,"This week I have decided that within the next two years I want to hike the Appalachian Trail. I have loved hiking but want to take my relationship ""to the next step"" no pun intended. I have been buying all sorts of AT related books and trying to plan/go on as many weekend hikes as I can in the next two years. My main goal is to condition my feet and lose a little weight before I begin. Starting this weekend I plan to hike about 15 miles north of Harpers Ferry with my girlfriend (who I'm trying to convince to come do the whole AT but I think she may not have the feet for extended hikes). 
After this weekend I'm planning on hiking my favorite trail and my ""origin story"" the Laurel Highlands Hiking Trail. My first hike was in high-school and we did about 30ish miles of the 70 mile LHHT. It's relatively flat with some stunning views and very comfy shelters with good water and firewood. This journal will force me to expose my dirty thoughts of hiking the AT to the public and commit to the insane idea brewing inside of me. I hope any stranger reading this will reach out to me with their experience/advice and or friendship over the coming two years before I embark. My biggest challenge over the next two years will simply be life and financial preparation considering I right now owe about 80k in student loans or roughly 1,000$ a month in debt. I will be aggressively paying down debt, hiking, and rising through the ranks of my company until I have to take leave or resign from my job and become unemployed for roughly 6 months(I hope not). At this stage I am mostly writing this out to organize my own thoughts and objectives but it can't hurt for the hiking community to see. Hopefully my feet and knees and wallet cooperate over the coming seasons. More training entries to come.
- Trail Name TBD
A.F.",,Pre Hike #1,"Jun 17, Tue",0
Rabbit Hole,https://www.trailjournals.com//journal/entry/520726,"I got back on trail-journals two years later...sorry about that.So here goes the update. (this incoherent rambling is mostly for myself to organize thoughts so if you want to follow me down my rabbit hole please help yourself)I was planning on two years from when I wrote my last entry in 2014, the date has now been adjusted and finalized pending any major setbacks. Mid to late March 2017 is my target start date from Springer roughly 13 months from now. I'll try to break up my thoughts into categories for this entry to help organize for myself and possibly you, whoever you may be. (Who reads prehike journals from someone who isn't leaving for another year.) :PPlanning/logistics:Well, I have begun aggressively saving and figuring out how to maintain my life while I'm gone and jobless. This includes student loans, car payments, bills, rent, credit card debt, and insurance for me/my car. OH, I forget to mention the obvious one.. all my food, gear, and hostel costs while on trail! Between cost of hiking and keeping my debt ship afloat, I estimate I need roughly 10,00 for funding 5 months of potential hiking time. I'm shooting to hike it under 5 hopefully 4-4.5 to trim costs a little while still getting the experience I am seeking.Research:As an analyst professionally I take data and research to an extreme. On this front I feel much better about things than where I was 2 years ago. I also may have got my trail name already. Whenever I am researching or reading or obsessively updating my gear spreadsheet my girlfriend says, ""Uh oh you're in the rabbit hole again."" I like the ring of Rabbit Hole and I may go with it to avoid silly names. Despite being a pre-trail name it is extremely appropriate. I have been for lack of a better word obsessed on reading and understanding as much as humanly possible about the various facets of a thru hike not just on the AT, I think I caught the JMT and or PCT bug as well. I have been reading just about every book involving the AT or PCT I can get my hands on. I discovered a few wonderful pod casts which led me to many many other great resources. Shout out to The Trail Show and Pox and Puss pod cast, they're really entertaining and both offer great leads for improving your philosophy or gear. As for books I've read at least 15-20 so far on the topic but the most entertaining or useful to my own journey in trail education and gear have been (in no particular order);-Thru Hiking will break Your Heart-I Hike-Skywalker- PCT and AT book-AWOLS trail journal book-Walking with Spring-(The aptly named) How to Hike the Appalachian TrailInternets shout out:-Andrew Skurkas site lead me to some great places for researching and the proper mindset to hiking-White Blaze and all of it's glory (White Blaze was especially useful because once you get to a certain point with hiking and understanding via research you can begin to disagree with what advice is being dished out there and improve upon it or disagree with it, that's when you know you may have a shot)My researching and obsessiveness has ebbs and flows. Right now, since I'm approaching the t minus 1 year mark, I'm researching my pants off as this idea of passion and madness becomes a reality. :oThe last 3 months or so I hit fatigue in prepping/researching/caring and was focused on real life stuff. For now I am back until the weather gets better and I can begin doing some more heavy training and hiking.My researching has brought me to a critical decision I must make over the next year. With the current gear I have, I can save roughly a pound by going with my Warbonnet Hammock over my tarptent double rainbow. Now that's a pretty significant difference in hiking style for most people and for me. I currently only have 2 nights logged in my hammock vs dozens and dozens in my tent. I seem to like the hammock but it's still a little alien to me and I know I don't have the system fully ready for a 3 season on trail. I will be putting both systems through some trials this year and make a call around this time next year. Me mentioning saving a pound in shelter system brings me to another point my research has led me to. PACK WEIGHT MATTERS, I have a few hundred miles from weekends and multi-days under my belt and this is fairly obvious to most backpackers. But, it should have a dramitic effect on my health and distance hiked per day. The trail show especially has put me down the path to a light weight philosophy. I am there to hike not to camp so I need to be as minimal as possible. This butts heads with my general be prepared philosophy and I'm slowly finding my own balance. I am not quite ultra light or whatever silly classification is trending right now but I am lighter than I was. This is all that matters. On my first backpacking trip Dicks Sporting goods was my exclusive outfitter and my total pack weight was probably around 45 lbs (this was 2007 well into the ultra light movement. My current WINTER 5 day setup is running around 35lbs with 5 days of food and 3 liters of water.) I'm making great progress. My big four currently run 8.5lbs going with a tarptent, going with a hammock will run me down to 7.5lbs. Most of my lightweight struggle comes from gear I own vs perfect gear. I began my trail equipment shopping rampage about three years ago before I understood the full plethora of options available for pretty much anything made for the outdoors. A perfect example of my struggle is my Jetboil Sol. I bought it three years ago for long distance hiking. I generally like it, other than the original I bought melted on my first overnight with it. Don't leave oatmeal unattended (less than 8 minutes away from stove, Whoops) on full blast, or your jetboil will begin to melt. FYI, REI somehow let me exchange it for a new one. I probably should have had my hikers license revoked on that but nature called and I left it unattended. ANYWHO, my jetboil. I love it now, and it also FAIRLY light weight for a canister stove. After I had owned this wonderful device I got more serious about alcohol stove research and began to have buyers remorse. I could make a fancy feast or a more professionally made one online for a fraction of what I paid for my Sol. However, My Sol which is no longer sold in stores (I think due to it's tendency to melt in certain situations) is a darn light canister system. Fuel not included the pot/stove weighs 9 ounces. Now I could go down to maybe 6 ounces with a good titanium pot and a super fancy alky with wind screen but the cost of my current stove is enough. This is my gear dilemma in a nutshell. I have pretty decent lightweight gear but it isn't gossamer or z packs or whatever. If I went full bore I could cut at least 3 pounds from my pack but at the cost of at least 600 additional dollars which I'd rather use to my trail savings account.Current Big 4 Gear:Phantom 32 - Light but could do betterTarptent Double Rainbow - Light but could do betterThermarest Neo air xlite - Light but could do betterGranite Gear AC 60- Light but could do better.^ in my early stage I did well purchasing and researching these things but I now realize for a bit more dough I could replace all of these and cut pounds. But, I wont. Mostly due to cost but also, my setup is light but could do better. The level of gear research has made me hate gear with a passion. Gear gets me there and hopefully it doesn't hinder my journey. That's the prime directive of gear, everything else is superfluous. But, until the ole money tree hits me with a few bricks of it's fruit I have to settle for my current lightish setup.I'll post a few more times on my gear mostly to workout my sleep system so I don't die in a storm but I'm more or less settled with my big items until after the AT thru attempt.Luxury Items: Bum bum bummmmI have about 2 lbs of weight which I badly want to bring but fret the hassle of carrying it. My nice point and shoot Sony and a case for it and my external battery to run my phone/watch/headlamp/camera. All the cords battery and camera weigh roughly 2 pounds. This bugs me...I decide I will start with these items unless my trail testing this year convinces me otherwise. I can always send them home on trail and go all ihpone airplane mode if needed.Training/Dieting/HikingThe next year will be fairly rough on my normal state of living. On top of budget cuts to save, I am also dieting and plan to hike a lot more. The most important piece of gear you can have is your body. I'm trying to get this old hum dinger into shape ASAP. The dieting is going fairly well, the training and hiking more have begun slowly. I have a 16mile flat walk day hike planned 2 days from now to see how the old body reacts. (my longest day with pack on trail has been 14 miles through moderate and easy terrain.) This 16 miles will be a flat towpath hike on the C&O canal just to check how my feet and knees hold up in optimal conditions. MY KNEES AND FEET SUCK. I have to get some issues worked out with my feet and my knees hurt on stairs right now at work or in the metro...I hope it's from being overweight otherwise I'm in trouble. Both my parents and one grandparent have had various knee surgeries already. This for me as of now appears as the biggest threat to me getting to Maine. The pain comes and goes and sometimes comes lightly on weekend trips but I have no idea what's going to happen going 2200 miles. Hiking Trips Past and Present (my crappy hiking resume)Laurel Highlands Hiking Trail- 2005 High School 60ish miles over 2 trips one ended in total fucking disaster. I'll be happy to tell you the story if we ever meet in person...it's nuts.Weekends and Day Hikes all over VA/MD- Last 2-3 years I've done many trips around SNP/Dolly Sods/Washington Forest. I do usually a 10-20 mile weekend trip whenever I can get away with it.Smokies Winter Hike-One of the most risky and fun and challenging hikes I have been on was with two buddies and very little research into the trail and terrian in January in the Smokies. It was pretty much straight up to 5,500 feet over the first 2 days with light snow and lower temps than expected. I had all my clothes in a 32 degree bag in about 15 degree temps. It was a rough night but I got through and now I know I can survive the cold.LHHT Thru Hike (Coming Soon)- The lady and I are going to do the 70mile LHHT as a thru in 4-6 days. This mostly will serve as my main shakedown this summer before next year.C&O Hike (Coming Soon) 60 miles- This is kinda just for kicks and makes a super convenient hike and a test simply on mileage with no terrain or gain to test the feet and knees. Should be 20MPD from Harpers Ferry to Georgetown back home. This will be fun because we can train to Harpers and walk home along the potomac in a very risk free setting to do some bigger mileage checks.-----------------I'm tired and done rambling. Have mercy on your soul if you just read that. Like I said this is for me just to get my thoughts into some sort of organization and map my goals and explain the Rabbit Hole I'm coming from. -Rabbit Hole GA-ME 2017",,Pre Hike #2,"Feb 04, Thu",0
Rabbit Hole,https://www.trailjournals.com//journal/entry/520728,"I will update this page Saturday with my 16 mile test hike. Temps will be in the 30s-40s with level and easy walking. Debating on doing a small day pack or putting all the fixings in my standard setup as a weight training as well. We shall see. Update: due to some family things I had to cancel, will attempt next Saturday if the weather holds.P.S. John Muir is an American hero.",,Pre Hike #3,"Feb 05, Fri",0
Rabbit Hole,https://www.trailjournals.com//journal/entry/520902,"I have added a little training during my work day! I work in a 9 story building, so I have begun stair climbing multiple times a day whenever I get water, food, or take a bathroom break. My goal is to get 15-20 flights of climbing in a day since sitting in a chair all day makes me go crazy. Also, bought a few months to a gym since weather is bad and city walking is boring and flat. I might as well be warm this winter while I do it. My primary goal while at the gym is cardio health and strengthening my knees since they are causing me slight pain when going up/down stairs or hills. I'm still hoping it's simply an issue of gaining muscle and losing weight to remedy the pain but we will see. I will be scheduling a doctors soon to have them checked out.""Keep close to Nature's heart... and break clear away, once in awhile, and climb a mountain or spend a week in the woods. Wash your spirit clean."" -JM",,Pre Hike #4,"Feb 06, Sat",0
Rabbit Hole,https://www.trailjournals.com//journal/entry/522095,"Training Hike(s) Saturday 27th and Sunday Feb 28thOld Rag Summit in SNP-9 Miles (2k gain, 3300ft summit with intense scrambling in parts)Great Falls to Georgetown-14 Miles of flatI finally got to do some hiking since the weather was nice. I hiked great falls to Georgetown in a nice flat towpath that is my local weekend jaunt, just to get some mileage in and see the super flooded and high Potomac River after all the rain and snow melt we have had. That was Saturday, towards the end of the hike my right hip flexor was starting to really bug me and it become fairly painful to take steps, other wise I felt pretty good but I got some pinky toe blisters. I think I'll start trying to do hip flexor stretches to help prevent it from hurting on long hikes. I may have to buy bigger/wider shoes, not sure why my toes are being smashed all of the sudden.I then did Old Rag circuit with my girlfriend on Sunday. For some bizarre reason this mountain and my bowels are linked. I NEVER have to go to the bathroom(bathroom=#2) on day hikes but out of the 5 times I've summited old rag, I've had emergency bathroom breaks about half way up 3 different times now. (LNT was used) Anyways, aside from poorly treated pinky toe blisters from the previous hike they got very angry towards the end of this one and I was limping pretty good the last 2 miles. But no serious knee or hip pain while walking on this hike. I am still going to go to the doctor soon and see what else I can be doing to minimize the pain for knees and hip flexor.3Old Rag is one of my favorite day hikes, it's scenic and has an intense climb with a spectacular payout once you hit the rocks. If you are within a 3-4 hour drive or section hiking the AT I highly recommend you check this mountain out.The funny thing about Old Rag is you see some people who have no business doing these rock scramble. About 15-20 minutes before the summit we passed a couple just riding the struggle bus trying to scramble up. I'm all for getting as many people as possible to see these types of views but this woman had worn down sneakers without tred without and gear and in blue jeans and had to to be pushed up and over several rocks by other hikers. We commented to ourselves that for her safety we hope she turns back soon, but hey HYOH and we kept going. After we were about 1/3 down the mountain we ran into a ranger asking about a couple who should have been home by now and it fit the description of the couple hiking without proper gear or footware. I gave them my best estimation of where they would be and we went on our way. I imagine they had to hike for at least 2 hours in pitch black depending if they turned back or tried to summit and hike the easier fire road down the other side. I doubt they had a light with them so it may have been a very long, cold, and dark walk to the car. When we passed her sunset was only an hour and a half away. As soon as I summited we kicked it into gear and held a 3-4mph pace the whole way to our car and it was still completely dark when we arrived. Anyways, Old Rag is one of my favorite hikes in SNP and for anyone on the AT if you have the time I recommend a little side hike to check it out.So overall my little 24 mile weekend went well other than some sore feet and a hip flexor issue which I will work on. I'm trying with what little free time I have to stack big miles to see how my body handles it. It seems 10 miles right now is my pain free and no recovery needed limit. Pushing now to be able to do 2 15's back to back with the same feeling and then up it to 20's back to back. It should take me all summer to get there but I am doing everything I can to prepare for this trail. These prehikes are also training for my big AT training hike on the 70 mile Laurel Highlands Trail. My girlfriend and I are planning to do it in early June. We both are trying to be able to hit at least 15 mile days since we have to do a 17 and a 19 mile day on that hike.",,Pre Hike #5,"Feb 28, Sun",0
Rabbit Hole,https://www.trailjournals.com//journal/entry/522512,"I've been doing lots of research on hammocks and the Benton MacKaye Trail. I think I will be using a hammock on my thru, and starting out, doing a large portion of the BMT as an alternate to the AT to avoid some of the early crowds since I'm leaving around the peak start time. I think this will give me the extra adventure I'm seeking and also keep me away from big crowds and give me some alone time to start out on the trail. I will have plenty of time to socialize on this hike, why rush it. As for a hammock, I will be using the Warbonnet XLC blackbird my girlfriend gave me as an xmas present last year. She got me a tarp for it as a gift for xmas this year. Now I just need to figure out how to use the thing in storms and learn all the ins and outs. I've been going down the hammock rabbithole a lot lately looking at videos from shug and reading on the hammock forums.This weekend my girlfriend and I will be hiking the Signal Knob circuit hike. It's a ten mile loop and it was used as a confederate lookout during the war. I love hikes that have a little history mixed in.Still awaiting results from doctor and was referred to a podiatrist for all the crazy foot pain I'm having. So hopefully that goes well. Overall the training and diet is generally going well so far. Until Next time,",,Pre Hike #6,"Mar 04, Fri",0
Rabbit Hole,https://www.trailjournals.com//journal/entry/522699,"Well, I hiked Signal knob twice this weekend. Once solo, once with my girlfriend to check it out and get some decent miles in. I felt pretty good overall. I did the 10 mile loop both timesIn about 4 hours. Pretty happy with pace considering the climb and amount of large rocks coming down the second half. Little soreness in toes but no blisters and only a little tiny bit of knee pain but it went away fairly fast. I met a thru hiker named SciFi who is going to start his flip flop from Harper's Ferry in a month. Signal Knob is a very pretty hike and it's only 60 miles from DC so it is a nice ""quick"" place to hit for a day out. I also got to test out my new hammock tarp at the top and learn a little about tying it down. Next week will be Dolly Sods 22 mile overnight. I absolutely love this hike and hopefully I'll post a few good pictures next week. That's all for now.",,Pre Hike #7,"Mar 05, Sat",0
Rabbit Hole,https://www.trailjournals.com//journal/entry/523486,Whoops. Ended up sticking around home and hiking great falls. I got cocky and was basically trail running with a 30 pound pack on and rolled my ankle pretty good on some tree roots on a sandy downhill section. Have to keep off for 3 days and hopefully by 2 weeks I'll be hiking again.Luckily the x rays don't show a break. Now I have to really be careful and strengthen this ankle back up. So I think I'll be using poles and boots for everything for a bit until I feel comfortable in low cut shoes again hiking. Hopefully dolly sods will happen in 2 weeks.,,Pre Hike #8,"Mar 12, Sat",0
Rabbit Hole,https://www.trailjournals.com//journal/entry/532329,"Just A quick update. I've gone on two hikes since my injury and I'm still recovering. Sprains take FOREVER to heal. I did a 15 mile 2 day in Seneca Creek WV. by mile 7-8 my foot was killing me each day. I did a day hike last weekend at signal Knob and almost re injured it. The rocks there are brutal and again by mile 8 my ankle was shot. I hope in another month I can do more miles without the extreme pain. I still get some pains just walking around day to day. I need to heal ASAP so I can continue my training hikes.One other note is the sad passing of Baltimore Jack the thru hiker / trail angel. I was looking forward to meeting him on my hike next year. He does a great interview on the Pox and Puss podcast if you're interested to hear some of his stories. Also, his roughly 15,000 posts on whiteblaze will live on to inform the masses about the ins and outs of the AT.",,Pre Hike #9,"May 10, Tue",0
