Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Rocketman & Princess,https://www.trailjournals.com//journal/entry/556676,"We're only about 4 days from kickoff at Springer Mtn. We've been gradually putting things in place for several months and I think we'll be ready. Our basic plan this year is about the same as before: we want to slack-pack as much as possible and this year we plan to take our car along with us (same as last year). It takes some extra work and driving some gravel roads, but it's much more comfortable for us than conventional back-packing and the car takes some of the uncertainty out of relying totally on shuttle drivers.This year we plan to start at the top of Springer. Last year we started at Amicalola Park and climbed the approach trail and we took some cool photos of the falls as we trudged up the endless stairs. But this year we'll drive up to the parking lot near the top and hike about a mile back to the top of Springer - then turn around and start the trek northward.We've made a few changes since last year. I picked up Lyme on my first thru-hike and several weeks of antibiotics appeared to fend it off. The next year I found a bulls-eye and did the doxy regimen again. Last year, late in the season, I found a large tick chewing on me and decided to take doxy as a precautionary measure. We always did daily inspections, but the ticks can be very, very small. This year I decided to send my hiking clothes off to have them pre-treated with Insect Shield. We'll still do the tick checks and I'll wear long clothing as long as I can, but I'm hoping the permethrin will fend off the pests.We also decided to carry a second satellite communicator this year. On some sections Princess and I start at opposite ends and pass each other during the hike. So now when we're hiking alone, each of us will have a communicator in case we run into a problem when the other isn't nearby (and we don't always have phone service). I learned that Garmin has absorbed DeLorme and is changing the hardware, but I was still able to get a DeLorme SE and activate it on the Garmin system. It seems to be working fine. And we picked up the latest version of the AWOL AT Guide in both the hardcopy and PDF version. We particularly like the PDF on our iPhones since almost all of the parking areas have GPS map links that we can use in our car's nav system. And we have the Guthook AT Hiking Guide that also locates the parking spots - including photos. There are also photos of many of the road crossings, trail crossings, shelters, water sources, etc. Slack-packing makes electronics easier to carry since we can recharge them almost every night.",,"Norfolk, VA","Mar 16, Thu",0
Rocketman & Princess,https://www.trailjournals.com//journal/entry/556995,"Our target start date is getting close. We're working on closing out all the loose ends here at home like mail, taxes, utility bills, doctor appts, etc. And getting everything ready to pack along with us. Of course we've had some practice at preparation the last few years, but it's still a challenge. Princess is super organized and her gear is in pretty good shape. I'm not. At least she helped me get things together today and I'm in better shape than I was. We plan to hit the road Tuesday AM, headed toward Georgia and Springer Mountain.Physically we've been working for a couple of months on conditioning. But I certainly don't feel as fit as I have for the past 3 years. We've put in 3 or 4 hours at our local Y every day. But our cardio component hasn't been as intense as before. So our plan is to take it easy and try not to overdo it. It is an endurance event, not a sprint. And the Georgia hills can be quite a challenge if you're not in great shape.",,"Norfolk, VA","Mar 19, Sun",0
Rocketman & Princess,https://www.trailjournals.com//journal/entry/557279,"We left Norfolk later than planned yesterday (Tuesday) and finally arrived in Blue Ridge, Georgia around 10. So we decided to sleep in late today and delay our AT start until Thursday. Yesterday was unusually warm in GA and the heat culminated in a band of severe thunderstorms that swept through Blue Ridge just after dark. It had everything: heavy rains, wind gusts, lightning and hail. Driving through it was nasty, but we were glad that we weren’t in a tent last night.We took advantage of the spare time today to drive to Amicalola Falls and register for the hike. We were #s 1113 and 1114, so a lot of hikers are already on the trail. We didn’t stay long, we took a photo at the stone arch, walked around for a few minutes and then headed back to Blue Ridge. On the drive back we stopped at the North Georgia Mountain Outfitters. We should have stopped there in the past, it has a wide variety of gear and I picked up a couple of things that will be useful on the trail. The owner is an AT hiker and was very helpful.Our last stop was at the grocery where we stocked up on what we think we’ll need for the next few days. I marvel somewhat at the difference between this year’s hike and our first AT hike in 2014. For our first hike, food prep was paramount. We estimated the number of meals that three of us (Ranger was with us) would need for about 6 months of hiking, subtracted the meals we thought we could get at hostels, etc. along the way and then we prepared all the rest. We had a large dehydrator (6 trays I think) and we ran it 24/7 for months. We had breakfasts, lunches, snacks and dinners (24 different types of dinners). All very healthy things. Then all the meals were prepackaged and vacuum-sealed and sorted out into 22 mail-drops along the way. Then we packed each mail-drop in a pre-labeled box along with other expendable supplies (dozens of things) that we expected to need and Alan, our trail boss, mailed 1 or 2 boxes out to us every week or two. It was a great plan and it worked well for several months, but we began to get tired of a steady diet of dehydrated food — even though it was varied. We stumbled on slack-packing somewhere in NC/TN and were doing it more and more in VA. After Harpers Ferry we slack-pack as often as we could. On the second half of the hike we turned into trail angels with all our dehydrated food. Now all we need is a sandwich for lunch, some protein bars, and some nuts. We have breakfast and supper off-trail. It really simplifies things for us.Sorry about nostalgic reminiscence. Our grocery trip today was pretty quick. Then we spent the evening getting our gear ready for an early start tomorrow. We plan to start with an assault on Springer and then we’ll see how far we get.",,"Blue Ridge, GA","Mar 22, Wed",0
Rocketman & Princess,https://www.trailjournals.com//journal/entry/557511,"We’re officially back on the trail. As I described in our “About” entry, we actually started hiking the AT in October and November, 2016 when we hiked the Smokies, from Erwin, TN to Atkins, VA, and from the James River Bridge to Front Royal, VA. So now we’re starting at Springer, filling in the sections in GA, TN, and NC that we missed last fall and then continuing north from Front Royal.Today was a challenge, namely getting back into the hiking routine. Waking up in the dark, remembering everything we need in our packs, making sure the electronics are charged, packing everything in dry-sacks or baggies, etc. We were finally on the road about a half-hour later than planned. The temp was cooler than we expected and there was enough wind to make it really cold, but manageable. We went directly up the long gravel road to the parking lot close to the Springer summit. After parking there, we both climbed the mile or so up to the summit and took the customary photos at the AT terminus marker. The parking lot was about half-filled, but we never saw another hiker on the way up or down from the top. We hoped to find someone at the top to take our photo, instead we ended up taking a shot of each other. Eventually we saw plenty of other hikers, particularly after we started passing the shelters and campgrounds. We’re starting out using a ""key swap"" strategy where Hiker 1 gets out of the car at one end of a section and starts hiking. Hiker 2 then drives to the other end of the section, parks the car and starts hiking back in the opposite direction. So we pass each other somewhere along the section. When Hiker 1 reaches the end of the section, they drive the car back to the beginning and pick up Hiker 2. It sounds complicated, but it’s not really. It does take longer because of the extra driving, but the person who is driving gets a little rest and it’s a good time to drink water and munch a snack. The length of the section we pick is determined by how far we want to hike and the availability of access roads and suitable parking areas along the trail. Sometimes if there are enough access roads, we can break a day into 2 or even 3 sections. So we get to see (pass) each other more often along the trail. The biggest benefit of this strategy is that we don’t have to rely on shuttle drivers. We both have keys so we don’t actually have to swap keys - it would be really bad if a hiker got to the car at the end of their section and didn’t have the key. The trail is in great shape in spite of the volume of hikers that have started this year. The trail is clear and clean. There is some debris on the trail from the storms last night, but not very much. I did encounter one Ridge Runner named Bill and it appears they are working hard to keep the trail in top condition. There seems to be plenty of water in this area, not an abundance - but an adequate supply. Not many photogenic spots along this section of trail, but I’m beginning to recognize a lot of it from previous hikes.","Blue Ridge, GA
",Gooch Gap,"Mar 23, Thu",0
Rocketman & Princess,https://www.trailjournals.com//journal/entry/557514,"We had a very special evening yesterday. We learned a couple of days ago that Honey and Bear, a beautiful couple that keep a hostel near Andover, Maine called “The Cabin"" are currently in this area and we managed to arrange an evening with them. Apparently they typically take a winter vacation in FL and this year they are returning through GA. For several years, a thru-hiker named Hopper has been helping them during hiking season and has become a close friend. This year Hopper volunteered to help a paraplegic do a portion of the trail (more about this later). So we made arrangements to meet them in Dahlonega, GA and have dinner there. Princess’ brother (Ranger) and his wife (Gay) joined us - as well as Hopper. Ranger has also stayed at their Maine hostel so it was a great reunion. Both Honey & Bear are veteran hikers, intimately familiar with the rigorous hiking in the Maine and New Hampshire area. For the last 2 years, Bear and Hopper have enabled us to slack-pack most of the way from Gorham to Rangeley (including Mahoosuc Notch). And they have a treasure trove of great stories of all the legendary AT hikers who have passed through their door. So we all had a tremendous time.More about Hopper’s special duty: she signed up to join a team of volunteers who committed to help take Dr. J, a paraplegic, along a part of the AT. Most of the rest of the team are students from the University of Clemson. They have spent the week carrying Dr. J and her gear, as well as their own along the AT here in Georgia. They have camped out every night, including the ferocious thunderstorm that passed through 2 days ago. We met Dr. J and the whole team when we picked up Honey, Bear and Hopper and it’s clear that the experience has been very rewarding for both Dr. J and also the team who has worked with her. If anyone is interesting in participating in this extraordinary experience, leave a contact point in the guest book and someone will get back to you. A few words about our AT hike today. Gooch Gap was our starting point and we ended up at Neels Gap - a very, very long day. I think we overextended ourselves and violated our “take it easy in the beginning” guideline. We felt pretty good at the start and the temp was warmer than yesterday. Unfortunately, as the day progressed and we climbed higher, the clouds moved in and we went through periods of heavy mist and light rain. Blood Mountain is the highest point on the AT here in GA. Today there were no views and the trail was wet in many places, especially on the northern side of the mountain - which is also the rockiest. We made it without any slips, trips or falls. But our leg muscles are really hurting from the climbs. Tomorrow will be a shorter day. Neels Gap was a highlight of the day. The Baptist Churches in the area hosted Trail Magic for hikers under the boot tree in front of Mountain Crossings, the outfitter in the building at Neels Gap that was built by the CCC. Highlights: grilled hamburgers and great desserts, as well as other goodies.","Gooch Gap
",Neels Gap,"Mar 24, Fri",0
Rocketman & Princess,https://www.trailjournals.com//journal/entry/557616,"Yesterday was not as damage-free as I thought. After sitting for a bit last night, I realized that I had a problem with my right hammy and my left quad. Neither seem to be severe, but I backed down on distance and pace today and we may do the same tomorrow. I suspect that yesterday I tried to come down the NoBo side of Blood Mtn. too fast and over extended my right leg. I still did some miles today, but much slower.The day got off to an interesting start. We took a one-lane gravel road across the Chattahoochee River as far as we could go towards the Big Stamp campground (the road continued, but was gated). Today was the first day of turkey hunting season in the area and we found a large group of hunters at the gate. One of them was just coming back to their camp with his trophy Tom and he was happy to pose with his prize. From that point, I followed the road beyond the gate on foot and then took an unmarked trail (using Guthook as a guide). The whole approach was perhaps 2 or more miles uphill from the gate. Finally the trail came out at a fire ring adjacent to the AT. GPS electronics is great!There was a large group of hikers at Hogpen Gap enjoying a trail magic setup. I didn’t spend much time there, but I did hear that the water source at this gap is contaminated and is roped off. Fortunately, we carry enough water in bladders to get us through a day’s hike. We do carry Sawyer mini-filters in case we run short, but the 0.1 micron size we use won’t filter out viruses.Both Princess and I saw a lot of hikers on the trail today. The skies were overcast in the morning, so it stayed cool. No rain on us today, but rain is forecast for tonight and the next 3 days. So hikers are preparing for a wet start to the week. We have been staying with Ranger and Gay in Blue Ridge most of the week. But our hiking sections are getting farther away and it's taking us a lot longer to drive to and from the trail. So we plan to move on to Hiawasse, GA tomorrow.","Neels Gap
",Poplar Stamp Gap,"Mar 25, Sat",0
Rocketman & Princess,https://www.trailjournals.com//journal/entry/557721,"Today the weather was less cooperative than previous days. Rain was in the forecast for last night, today and the next 2 days. And it showed up pretty much on schedule. Not continuous, drenching rain, but cloudy, misty, drippy conditions with occasional brief heavy showers. Incredibly, it didn’t seem to dampen hiker’s spirits. I did some SoBo miles today and virtually everyone I met was smiling and in a good mood. Granted, I didn’t meet that many folks when it was raining hard. Anyway, everybody seems to be coping with it for now. From my perspective, one of the real drawbacks of rainy weather is that we lose all of the long-range views. Winter or early spring hiking in Georgia on clear days provides some spectacular vistas from the mountain tops and ridges. Without leaves to block the view, we can get unfettered views that will diminish when the foliage arrives. But the clouds have been low for the last several days, hugging the mountain tops and obscuring the views. One hiker today commented that he was tired of walking in a fog. Maybe things will improve by Tuesday or Wednesday, but we’ll soon be out of trail in Georgia.As I noted yesterday, we packed up our gear and prepared to leave Ranger & Gay’s house and move on to a location closer to where we’re hiking. It’s hard to leave since they are such gracious and accommodating hosts, and there home is very comfortable. Plus they have 2 sweet rescue dogs, Tootsie and Sadie, that have developed a real bond with Princess. Nonetheless, it’s time to go, so we packed the car and made arrangements to stay in Hiawasse for a couple of days. One thing I haven’t mentioned is that we’re becoming a little more adventurous with regard to trail access roads. We’re supporting ourselves with our car and using “key swapping” to cover the distance. Late last year we decided to trade our Prius in on a new Toyota RAV4. We wanted something a little more substantial, more comfortable, and more suitable to support hiking. I’ll skip the comparisons, but the RAV4 is doing great. But today was a real test. We were able to navigate the RAV4 up Indian Grave Gap Rd. and then Tray Mountain Rd. over to Tray Gap. The route is mostly gravel, one-lane with turn-outs and not well maintained in some sections. The “S” gears behave like a standard transmission which is very helpful on these roads. And today, we had to “ford” a stream that was overflowing the road. It’s not recommended with the electrical hybrid system, but the water wasn’t high enough to cause a problem. The ability to use these gravel access roads opens a lot more opportunities for slack-packing sections.Sorry about rambling regarding vehicles, but trail access roads are an important consideration to slack-packers.","Poplar Stamp Gap
",Tray Gap,"Mar 26, Sun",0
Rocketman & Princess,https://www.trailjournals.com//journal/entry/557866,"Hiawassee is an attractive town close to the sprawling shoreline of Lake Chatuge and not too far from the AT. We’ve been here a number of times, mostly while hiking. I always had the impression that it is somewhat larger than it is. But when looking for restaurants it’s pretty limited, with the exception of BBQ. However, there is good BBQ. We are weathering some wet weather here. We got drenched at the very end of the hike yesterday, and it rained intermittently overnight. Today started overcast and eventually improved to broken sunshine with only a few sprinkles along our part of the trail. But tonight several bands of thunderstorms are passing through and the trail will likely be wet in the morning. Plus more scattered rain is forecast tomorrow. Enough whining. Today’s section included Tray Mountain, Kelly’s Knob and Powell Mountain. Tray does not provide a panoramic view and there is very little room at the peak. Near the peak, the trail is narrow with bushes on either side. Further on down the trail there is a side trail near Powell Mountain that leads to a vista - but we generally don’t take blue blaze side trails. Given the overcast, the long-range views were not dramatic. So we don’t have many photos of today’s section. Princess was able to offer some suggestions to a hiker with blisters. Last night in the laundry room here at the motel, she talked with a lady who is having a terrible time with blisters. Her blisters are so bad that she planned to take a zero today to get medical attention. Princess has helped me overcome blister problems in past years and she offered the girl several strategies that might help. We've tried a lot of things like variations in socks, liners, toe guards, trimming shoes, panty hose, etc. She also passed along some supplies including: leukotape, alcohol swabs, and blister band-aids. It will be interesting to find out if she did see a doctor today and how she fares in the next few days. Blisters are a perennial trail problem, often ending thru-hiker hopes. And wet weather makes a bad situation worse, it’s hard to keep wounds clean on the trail.","Tray Gap
",Dick's Creek Gap,"Mar 27, Mon",0
Rocketman & Princess,https://www.trailjournals.com//journal/entry/557987,"[FYI, there is now a direct link to my latest entry: www.trailjournals.com/Rocketman2017]We rose today in darkness and a quick look outside revealed lots of water puddles. The rain last night was accompanied by lightning and thunder. After a breakfast of French toast and a bagel & cream cheese, we set out. The sky was overcast and a cloud layer floated at the top of the highest mountains while the lower slopes were in the clear. Our target section today was Albert Mountain to Wayah Gap. We jumped ahead several sections since the Forest Service isn’t scheduled to open a mountain road that we need to use until April 1. And since the first is on Saturday, we don’t know if they’ll open it Friday - or more likely Monday. In fact, we’ve heard rumors that they opened it early because of the warm weather and we may check it out tomorrow. But if not, then we’ll just drive back to pick up these sections next week. An example of the added flex of slacking with your own car. So anyway, we drove up the long access road to Albert and parked about a quarter mile from the fire tower at the summit. I joined Princess in the climb up to the top for photos. The NoBo climb up Albert is steep and rocky at the end. The rocks were wet and somewhat slick, good practice for climbing. We took photos of each other, but the view from the top was straight into a cloud. Too bad, we’ve had some good long-range vistas here in the past.I've included 5 photos from today, including each of us on Albert and a dramatic shot showing a burned out section of the woods that we passed through. I'm sure we'll see more of this as we pass further into NC.I wonder if I’ll ever get used to driving these mountain access roads. Today some of the access roads were 10+ miles of narrow twisty-turny, one-lane gravel roads with steep drop offs. We don’t meet many cars and most of those are hunters, not hikers, so they’re familiar with the roads and accustomed to greenhorn drivers (I hope). I did have to drive across another river ford today — not fun, or recommended.The weather today improved steadily. By late morning the temp rose from low ‘50s to near 60 and burned off most of the low clouds. Later it peaked over 70 in the valleys and the breeze on the trail felt good. Mostly sunny with a few clouds, finally great views of the mountains.Since we’ve jumped ahead, we’re in a different set of fellow hikers and we’re also in North Carolina. But we’re not quite finished with Georgia and I’m not sure when we’ll hike through the last section there.","Albert Mountain
",Wayah Gap,"Mar 28, Tue",0
Rocketman & Princess,https://www.trailjournals.com//journal/entry/558091,"First thing this morning (once we were on the road) was to check out the forest service road up to Deep Gap. We learned that it is in fact open even though the Forest Service recordings indicate that it won’t be open until April 1. And when we finally reached the end of the road at Deep Gap (about 6 miles of white knuckles) there were at least a half dozen vehicles already parked there. And it turns out that the gravel road is in pretty decent shape. So we revised our plans for the day and did a key swap between Deep Gap and Dick’s Creek. We met several other hikers along the way today. I’ve included photos of Stargazer and Chandler. I hiked with Chandler for a while and learned that he lived in Virginia Beach and also studied at George Mason (albeit several years after I attended there).I’ve included photos of Chandler, Princess and myself at the NC/GA state border marker on the trail, and a scenic photo showing what a nice day it turned out to be. It started out chilly, then later zoomed up into the mid-70’s. It was almost too hot for me, there was a lot of climbing today and I ran out of layers to shed.We checked out of the Holiday Inn in Hiawassee this morning and moved to the Nantahala Mountain Lodge run by Maggie and Wiggy. We didn’t know about this lodge until last year when Wiggy shuttled us and told us we should consider staying here if we came back. It is really attractive and set up especially for hikers. Wiggy did a thru-hike in 2010 and built in all of the features that he appreciated in the hostels he visited during his hike. We learned that he built the hostel himself. It’s very comfortable and we plan to stay here several days while we hike through the area.","Dick's Creek Gap
",Deep Gap,"Mar 29, Wed",0
