Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Speckled Hen,https://www.trailjournals.com//journal/entry/551771,Prepping for cold overnight trip,,Thanksgiving 2016,"Nov 24, Thu",0
Speckled Hen,https://www.trailjournals.com//journal/entry/554302,"Wow - Great send off from my friends and co-workers as I retired Jan 31. Have now moved to Florida and will soak up some sun before hitting the trail. The weather has been so warm I was tempted to start early, but after waking up to 18 degrees in Blairsville, Ga decided to stick with the plan. Did a quick hike out to Long Creek Falls while in Blairsville.Speckled Hen","
",View Entry,"Nov 27, Sun",0
Speckled Hen,https://www.trailjournals.com//journal/entry/555701,"Packed and waiting to start. Staying with friends that will take us to South end trailhead- Springer Mountain - in the morning. Pack feels heavy with winter clothes,food for 3 days and 2 liters of water.","
",View Entry,"Mar 06, Mon",0
Speckled Hen,https://www.trailjournals.com//journal/entry/555870,"Started at trailhead-1015. ~7.4 miles actual AT ,made camp and ate in rain, in the tent by 4p trying to stay warm and dry.","Springer Mountain
",Hawk Mt tent site,"Mar 07, Tue",7.40
Speckled Hen,https://www.trailjournals.com//journal/entry/555948,Heavy rain last night then windy after 2. Sunny todayday 2 -8.4ish miles up and over-sassafras mt and Gooch Mt . Tent pole broke did temp fix. Tent site on slope should be a busy night trying to stay in bed.,"Hawk Mt tent site
",Gooch's gap,"Mar 08, Wed",8.40
Speckled Hen,https://www.trailjournals.com//journal/entry/555980,Day 3-sleeping on the sloop was not too much fun. Met Mother Nature and her husband Smokestack both trail ambassadors. Nice folks doing a great job helping folks ~8.1 miles. Ups and downs but not too bad. Nice weather today. Lots of pics Will download when I get to free Wi-Fi.,"Gooch's gap
",Lance Creek,"Mar 09, Thu",8.10
Speckled Hen,https://www.trailjournals.com//journal/entry/556058,Went up and over blood Mt today. Yuck but great views. At Bull gap tonight. Cold and windy in the 30's. Chance of snow tomorrow night. Found website showing weather at shelter.look for AT weather select State and shelter. Tomorrow we should be at low gap,"Lance Creek
",Bull gap,"Mar 10, Fri",8.50
Speckled Hen,https://www.trailjournals.com//journal/entry/556125,"Let me start by thanking friend Nancy for the gift of ""packit gourmet"". Had a great breakfast day 4. very cold so windy last night. Out of camp as soon as daylight.Lots of ups an downs today but no biggies. Had sleet an snow this afternoon. Expecting snow tonight hopefully not a lot. Trail magic by Bobby today hot tea and a tangerine. Really perked me up to finish the ~10.4 miles. Going to Unico gap tomorrow. Will take our first 'zero' day Monday (no miles hiked).More equipment malfunction s.the zipper broke on my husband's (G2) sleeping bag and batteries died on his headlamp.","
",Low gap,"Mar 11, Sat",10.40
Speckled Hen,https://www.trailjournals.com//journal/entry/556221,"Cold night-Woke up to 1/2 inches of snow. Thanks to the folks that went out early we were able to see the trail and most of the obstacles. Ups , downs rocks, mud and some ice made the hike today seem long. We are at Top of GA hostel tonight and tomorrow. Weather is supposed to be very cold for next several days so we will find a hotel near by. This may also give G2 a chance to get his sleeping bag fixed G2","Low gap
",Unico Gap,"Mar 12, Sun",9.70
Speckled Hen,https://www.trailjournals.com//journal/entry/556271,"Zero day - cleaned and dried gear.picked up Replacement tent poles and 1st bounce box. Went shopping on line- G2 ordered replacement sleeping bag, I ordered replacement wool top and bottom. We will wait out the cold in Hiawasee tomorrow and Wednesday hopefully back on the trail Thur weather permitting.","
",3/13/2017,"Mar 13, Mon",0
Speckled Hen,https://www.trailjournals.com//journal/entry/556381,Moved to hotel. A room to ourselves and our own bathroom what a luxury. Add pictures.,"3/13/2017
",Zero,"Mar 14, Tue",0
Speckled Hen,https://www.trailjournals.com//journal/entry/556503,"Another zero day waiting on the weather to improve. We plan to hit the trail again tomorrow, It is expected to be cold but warming up. Lots of folks in Town with us. Busy day - talked with Boomer at breakfast, lunch with Cur Dog and beer sampling with Onthego. Waiting on pizza for dinner.","Zero
",Zero Hiawasee,"Mar 15, Wed",0
Speckled Hen,https://www.trailjournals.com//journal/entry/556737,~5.7 today got to Unicoi~9:30 we climbed 2 steep Mt so just had a short day. We had a fabulous view of the ballot.windy and chilly night.,"
",Tray Mt shelter,"Mar 16, Thu",5.70
Speckled Hen,https://www.trailjournals.com//journal/entry/556740,Long day . Chilly start but sun in afternoon.all ups felt steep melting snow made for muddy slippy trail . Both G2 and I fell. G2 skinned his shin pretty good yesterday as well.,"Tray Mt shelter
",Dick's Creek campsite,"Mar 17, Fri",11
Speckled Hen,https://www.trailjournals.com//journal/entry/556957,Rained all night but stayed warm. Got awakened at 10 by group coming parking lot. Rained all morning and everything was wet so we stopped after~ 4.5 miles. Supposed to get below freezing tonight and wanted to get everything dry. We did.,"Dick's Creek campsite
",Plumorchard Gap shelter,"Mar 18, Sat",4.50
Speckled Hen,https://www.trailjournals.com//journal/entry/556964,Cold and windy last night. 12.2 miles today. Trail was mostly dry so easier footing. If not for Courthouse Bald it would have been a nice walk in the woods. Finished GA and? started on North Carolina. expected below freezing again tonight but 70's forcast for tomorrow.,"Plumorchard Gap shelter
",Standing Indian shelter,"Mar 19, Sun",12.20
Speckled Hen,https://www.trailjournals.com//journal/entry/557177,11.3 today. Trail was mostly good under foot today. Lots of level to easy grade only a couple of climbs.maybe I'm slowly getting my trail legs . went through a lot of burn area today. Stopped at Betty Creek campsite.,"Standing Indian shelter
",Betty Creek campsite,"Mar 20, Mon",11.30
Speckled Hen,https://www.trailjournals.com//journal/entry/557179,12.2 miles today. First thing was hike up Albert Mt. Close to 1000ft elevation change in ~3miles. The last qrtr mile was wicked rock scramble. We hit the 100 mile mark shortly thereafter. Stopped today at Winding Stair Gap. Took shuttle into town plan to take a couple of zero days.,"Betty Creek campsite
",Winding Stair Gap,"Mar 21, Tue",12.20
Speckled Hen,https://www.trailjournals.com//journal/entry/557250,Lazy day in Franklin. Walked to laundromat & grocery store. Took local transit to other side of town for lunch and visit to outfitter. Good deal $1 each way. Headed out for supper now.,"Winding Stair Gap
",Zero Franklin,"Mar 22, Wed",0
Speckled Hen,https://www.trailjournals.com//journal/entry/557338,Another zero in Franklin. Added photos. Will check out the 2nd outfitter in town today just because it's there.,"
",Zero Franklin,"Mar 23, Thu",0
Speckled Hen,https://www.trailjournals.com//journal/entry/557470,"~8.2 miles today. Left Franklin / Winding Stair gap around 9 then up and over Silar Bald. Fell / slid off the trail today, went about 4 ft below the trail before I got stopped. Luckily nothing seems to have gotten hurt. Went 3/4 way up Wayah Bald and decided to stop at campsite. The next shelter is ~3 miles further and on the other side of the Bald. Lots of folks have passed us today so expect the the next site will be crowded. Interestingly? most of the folks we've seen today appear to be over 50.Left my spare long sleeve shirt at the hotel so will if I can make it to Fontana with only one or may have to buy another at the Nantahala Outdoor Center (NOC). Had a new shirt shipped to Fontana Dam so will try to make do.Shout out to Franklin for having such friendly people. We were lucky to get a ride into town when we needed it. The lady at the laundromat sewed up Tom and my pants for free, and we had interesting conversations with several locals.","Winding Stair Gap
",Wine Spring Rd campsite,"Mar 24, Fri",8.20
Speckled Hen,https://www.trailjournals.com//journal/entry/557593,"13.4 miles today - our biggest day so far this adventure. Up and over Wayah Bald, Copper Ridge Bald, Rocky Bald (within .1 mile of top) and Wesser Bald. Had trail magic twice. Group out of Franklin had set up a tent with soups, salad, drinks and dessert about 7 miles into our day. Then at Tellico Gap we got a coke and tangerines.Both were wonderful treats and made the day go by easier.Met lots of new folks today-papa John and trail princess, Pa John among others.Shelter/ campsite is full. Weekenders and Thru's. Lots of dogs in camp as well. Loose dog peed on G2's pack-not nice. Rain is expected tomorrow so hopefully it will wash off and not stink. Expect to pass thru NOC tomorrow. Will resupply and get a new long sleeve shirt. We are still not seeing animals except for a squirrel, vole and gophher. Birds are getting more common though.","Wine Spring Rd campsite
",Wesser Bald shelter,"Mar 25, Sat",13.40
