Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
SunSeeker,https://www.trailjournals.com//journal/entry/556829,"I am so excited to be returning to the trail. I will be starting my thru-hike on Sunday, April 2, from Atkins, VA hiking north to Mt Katahdin where Mark, my husband, will pick me up and I’ll return to Atkins, VA hiking south to Springer Mountain. Depending on when I reach Mt Katahdin, I will either go directly to Atkins to hike south or return home for a couple weeks before going to Atkins. We have an extended family vacation planned in September that will help determine what I do.Why Atkins? The main reason is that I’ve hiked everything south of Atkins before. In 2009, I hiked from Springer to Damascus, VA and while living in North Carolina I hiked the Damascus to Atkins section. I really liked the Grayson Highlands area and did quite a few overnight trips in this area. So, if for some reason this hike ends early, I will have covered new ground. Atkins also allows for some shorter sections with Trent’s Grocery, Pearisburg, Four Pines Hostel and Daleville nicely spaced for resupply and showers during the beginning of the hike.Hopefully, I will be avoiding the huge bubbles. I love being around other hikers and everything that includes, but not as large as what is hitting the Smokies this week. The snow storm has them stacked up in large numbers right now. I read in someone’s journal that as many as 60 hikers left Fontana Dam on Thursday to enter the park. I’d like to avoid numbers quite that large. The main group leaving Springer will undoubtedly reach me, but the number of hikers should be smaller then what originally started.By starting at mile 544 on April 2, the time constraint of hitting Mt Katahdin before it closes is pretty much eliminated unless I go at quite the snail’s pace. This allows me a little more freedom with my time and pace. I want to keep it about the journey and not the destination.",,View Entry,"Mar 18, Sat",0
SunSeeker,https://www.trailjournals.com//journal/entry/556884,"I got off the trail in 2009 for several reasons: my feet were killing me, it stopped being fun and I missed Mark tremendously.I never did really figure out what was going on with my feet. I have an extremely high arch and the front of my foot is very wide although not long enough to be able to wear men’s shoes. I now hike with arch supports and I finally found a pair of boots that gives the front of my foot plenty of space even at the end of the day when my feet are tired and swollen. Last time I hiked in trail runners, but have chosen the La Sportive FC 4.0 GTX Hiking Boots this time. I like the vibram sole which reduces the pounding the front of my foot takes. They feel lighter on my feet then most boots and really give the front of my foot plenty of space while allowing me to lock the heel in place. My feet may very well end up being as sore as last time. I’ll let you know in May.I really need to make sure I hike my own hike and keep the trip about the journey and not the destination. At the beginning of my 2009, I was having a wonderful time. I actually hiked down other trails to see some sights when it was so foggy I couldn’t see any of the sights on the trail. The last couple of weeks I started hiking with another hiker. I really liked hiking with Tanglefoot, but I lost control somewhat of my hike. It started being about the miles, picking up the pace and the final destination. I need to stay in control of my hike. Missing Mark. Oh how I missed him during my 2009 hike. It seemed like I hardly ever had a signal in the towns on my phone and I didn’t’ have texting capabilities. This time if I have a signal on top of a mountain in the middle of the wilderness, I will call home even if it is just to say hello. We can also text to stay in better touch. I can also text other family and friends which will help with the homesickness. Since we live in Ohio instead of Texas this time, he is a lot closer if I just HAVE to see him. Bottom line: I know more about what to expect on a long distance hike and I am, hopefully, mentally tougher.",,View Entry,"Mar 19, Sun",0
SunSeeker,https://www.trailjournals.com//journal/entry/556889,"I need three entries to go live, so I thought I’d talk a little about a few things I hope to do differently.In 2009, I stayed in shelters the majority of the time. There are so many positives about staying around the shelters. They usually have a reliable water source close by, the other hikers that congregate around them in the evening provide some wonderful social interaction, most have privies and when it’s raining they draw me in like bee to honey. However, they aren’t always spaced well for me and I never sleep all that well. Of course, I still plan on using them, but if I get to a shelter early and it’s too far to the next one, I will tent somewhere along the way. Between Awol’s trail guide and Guthook’s phone app, I should be able to look ahead and figure out the likelihood of finding an adequate tent site. The army did teach me to read topographical maps which will also help in this endeavor. I may not have a site with water, but I will plan accordingly.Make my daily mileage about how my body feels that day instead of hitting predetermined location. This sounds like common sense, but I tended to make a plan for stops for the next section while in the preceding town. I then followed that plan. If I got to a shelter early, I’d stop early. If I was exhausted, I’d do the miles anyway as there was a deadline of hitting My Katahdin before it closed. I hope this time to listen to my body more. I’m a planner, this will be easier said than done. But I will try to stay aware.I am doing maildrops again; however, it will only include breakfast and dinners and my dinners will include much more variety. I will buy lunches and snacks in the towns according to what I want at that time. All my dinners in 2009 were just add boiling water and wait. I have some of those, some Lipton sides with ingredients to add and some “homemade” meals. Some of these do require some “cooking”, but I like food and I like variety. And whenever possible, take lunch/dinner from a Subway or some other portable “real” food as I leave town.I’m excited to get this hike going. I am a much more experienced backpacker and I’m ready.",,The Third Entry,"Mar 19, Sun",0
SunSeeker,https://www.trailjournals.com//journal/entry/558687,"What a beautiful day to start my hike! Mark and Steve dropped me off at the trail head. Steve took some pictures of my departure -- I can't wait to see them. It was really hard to say goodbye to Mark, but hopefully I will see him again over Memorial Day Weekend. The trail today started off fairly flat which was a very nice way to start the day. Usually when I leave town the trail likes to go straight up, so it was a nice surprise. The trail had a little bit of everything today. I went through several open wide pastures that give lovely views of rural Virginia farmland. I saw lovely little farms while dodging some cow patties, but didn't see any actual cows. I did hear them though. In one pasture, I decided to take a break, enjoy the sunshine and check out some birds overhead. The monocular showed them to be vultures that came to circle over where I was sitting. I told them I was still alive and kicking and they flew back to their original location. I walked by babbling brooks and a creek with cascades. I walked under several Rhododendron tunnels and can't wait to see them bloom. I had to go over and through what felt like a dozen stiles. The majority were ladders requiring me to climb up one side and down the other. Those had an opening close to the ground for dogs to duck under. The ladders would be hard for a dog to negotiate. They keep the cows where they belong I guess. I had to climb several mountains and for the most part they were nicely graded with switchbacks. There was only one section coming down that had a lot of rocks to be negotiated. It took awhile for the traffic of I-81 by the trail head to fade away, but when I left that behind I heard many birds. I even saw a few. I saw a squirrel hanging out on the trail that decided I needed to be scolded about something before he scampered off. I saw some pretty wildflowers which made my day as well. I was originally going to stop at Possum Campsite a couple miles before the shelter. It was a very pretty setting, but a little to close to a busy road for me. It was only 3:30 anyway; therefore, I hiked to the shelter. I did fine with the mileage and just struggled a bit with the last climb of the day. I saw a couple hiking southbound that were hiking with a baby. She was carrying the baby in a carrier on her back and he seemed quite happy and content. They started in Catawba and are doing a southbound flip flop. I wished them much success on their journey!The only other hiker I met today was Salesman. Very nice guy that is staying here at the shelter as well. We had dinner and a nice chat about his trip so far. The weather is gorgeous so I decided to tent just a bit away from the shelter. No cables here for my feedbag so I had to string a rope for my food. As always, it took several tries to get the rope over a branch, but success was finally mine. Tomorrow will probably be a shorter day for me. I have the biggest climb of the week and a thunderstorm is predicted for tomorrow evening/night. The first shelter is at 9 miles and the next at 20 miles. I think 20 is a bit much, so 9 it is. If we do get the thunderstorm, I'd like to be in the shelter. We shall see what the day holds and I will see how I feel in the morning. I do hope I get many more days like today.","Atkins, VA
",Knot Maul Branch Shelter,"Apr 02, Sun",14.70
SunSeeker,https://www.trailjournals.com//journal/entry/558773,"I slept really well last night. I was off a bit from the shelter and it was extremely quiet and peaceful. I was up and packed and on the trail by 7:30. There are thunderstorms in the forecast and I will be going up and across an open ridge line. The biggest climb of the week is today with a 2000 feet of elevation change. 
I talked to Salesman and Script as I was leaving. Salesman is headed to the next hostel and Script is headed to the next shelter 10 miles from this one. One thing about starting at Atkins is that everyone I see already has their trail legs and soon leave me behind. I just have to do what I can do. Script did say there was a slower group behind me but wasn't sure how far behind. But with the miles Script can do, I'm not sure what slower really means.
The hike started out pretty nice this morning with a nice downhill start. It was fairly warm, but overcast. Definitely a nice way to start the day. I was soon headed up the first upgrade. Salesman passed me and said it was just a bump. It felt like it was bigger then a bump to me! Then some more downhill until I started the 2000 ft climb. It had a lot of steps built in and it was very steep in sections. I just kept putting one foot in front of the other. Did you just see that? Script flew past at a very fast clip. I just kept plodding along. About 4 miles to my destination, I walked into the open clearing of Chestnut Ridge. The climbing wasn't as bad from this point forward There were many little birds in the clearing and I enjoyed their company. I love to hear them sing. About 2 miles from my destination is a pretty little pond which is also the water source for the shelter. I stopped to fill up with water and it started to drizzle. I went ahead and put my pack cover on and my rain gear. As I continued my trek, the fog started rolling in as well as getting quite windy. And then the skies opened and buckets started falling. The fog was getting quite dense and I was hoping I didn't just walk right past the shelter. 
And then I saw a four sided shelter with a door!!!! Marvelous shelter. When I walked in Script was still there eating lunch. We talked a bit while he packed up. I got here quite early after only doing a little over nine miles, but this is my home for the night. The shelter has a tin roof and I can barely here myself think it is so loud. But I'm warm and dry and happy. The privy is a three sided affair that I will only visit in between lulls in the rain. I hope there are some lulls anyway. 
So this evening, I will read and relax. Tomorrow has a lot of down, but I will have to tent somewhere tomorrow night. The shelters are about 10 miles apart and 10 isn't enough and 20 is too far. Hopefully the weather is a little better. But I am extremely happy to be here and dry. 
The rain ended in time for me to see a beautiful sunset. I can also see the views from up here on the ridge. Looking south is a wonderful mountain view with the sunset make the clouds very colorful. Looking north is a beautiful valley view, but I don't know what town I'm looking at. Pretty though.","Knot Maul Branch Shelter
",Chestnut Knob Shelter,"Apr 03, Mon",9.40
SunSeeker,https://www.trailjournals.com//journal/entry/558900,"I did not sleep well last night. The wind was gusting causing the door to bounce open and shut. Once I didn't think any other hikers were going to show up, I looped a rope that was around the door handle and some nails there. Once that was quiet the mice were out. They buried acorns in my boots and chewed a hole in my compactor bag, both noisy and pesty. There was another hiker there with me with a newer Thermarest. It is more comfortable and lighter weight then the old one, but it makes a tremendous amount of noise whenever the sleeper moves. In the morning, she thought I had slept well, but I just said I have a quieter sleeping pad. I packed up early and hit the trail. It was quite foggy and windy up on top of the ridge when I set out. For awhile I would dip down below the fog (would that make it clouds instead of fog) and then climb back up into the fog. It finally cleared up and ended up being another magnificent day. AWOL's guide to the Appalachian Trail showed very little elevation gain today, but it pretty much went up and down all day just in smaller amounts at one time then yesterday. One of the features listed in AWOL's guide to the Appalachian Trail today was the Garden Mountain, rock outcropping at mile 570.5 (mileage is from Springer Mountain in Georgia). However, I saw so many rock outcroppings today I have no idea which he was referencing. So I picked one in the sun and had my morning snack. Rocks were definitely a part of the hike today. They make me walk a bit slower as I have to adjust to step on, over, or around them. Some of the white blazes have been painted brown. What is up with that?!?!? Several times I thought I had somehow gotten on another trail marked with brown blazes. I'd walk a bit further and see a white blaze. Not sure what the brown blazes are for. I've heard of white, blue, pink and yellow blazes, but not brown. I only saw a couple people today. One woman I met at 3:30 or so that was hiking to the shelter I left at 7:30 in the morning. She must be a much faster hiker then me. I saw another woman just out for a day hike with her baby. Great day for a day hike! I saw two other backpackers going the same direction as me, but they were towards the end of their day and we're exhausted and not in the mood for talking. I am at a great campsite tonight, it even has a picnic table. Picnic tables always make me smile. There are pine trees around a nice flowing creek. The babbling creek should make sleeping nice tonight. Hope so anyway. On that note I'm going to hit the sleeping bag.","Chestnut Knob Shelter
",Laurel Creek Campsite,"Apr 04, Tue",15.10
SunSeeker,https://www.trailjournals.com//journal/entry/559067,"I slept so good last night. I was tired after a long day of hiking. I haven't slept that well in a long time. I woke up at 6 and was on the trail by 7. The first part of the day was a pretty ridge walk. I had fresh legs so the hike to the top of the ridge was not too bad. The trail followed the creek with some cascades for awhile. Always nice. I waited till I got to the top to eat breakfast and enjoyed the early morning sun. I had a signal so sent yesterday's? journal to my husband and replied to some messages. Very pleasant start to the day. For some reason my pack was putting pressure on my right hip which it hadn't before. So I stopped once again to figure out what was wrong and I had packed a few things backwards. I changed the arrangement and then it felt fine. Weird how weight needs to be closer to the body. The sounds for the day was mostly traffic. Not very peaceful at all. I thought it odd, but the trail went up to a road. The trail almost always goes down to a road, so this was a bit odd. Then the trail followed the road for quite some time. I detest road walking and would have gladly yellow blazed that section if given the chance. I passed two groups of people standing around work trucks talking and said hi to both. After I walked past, the first group started talking about the thru-hikers starting to appear like we are a migratory species. I guess it is like that for the locals. The next group had a guy who inquired about the condition of my feet and told me to keep following the road. I walked over I-77 and waved at the cars, trucks and RVs. I finally made it to the parking lot where the trail goes back into the woods. Guess what I found in the parking lot. A trashcan?! I consider it my first trail magic as I love to get rid of my trash. It had a sign by it that stated ""Please...No Deer Carcasses. blue barrels provided & maintained by 78 year old lady & 70 year old gentleman"". Well I didn't leave a deer carcass, but thank you for allowing me to lighten my load a bit. I was very happy to be back in the woods and continued on my way. My plan was to get to Helveys Mill Shelter to filter enough water to dry camp about 5 miles further up the trail. I arrived at the shelter around noon and it was 0.3 of a mile off the trail and the water was 0.3 of a mile past the shelter straight down. That added 1.2 miles to my day, but a hiker needs water. While I was there I met four other hikers. Everyone was talking about the horrible storm coming. One couple and their adorable little dog were staying put. The other two were headed to the next shelter. But the theme was the storm coming. I was not sure what I should do. By then it was 1, but that seemed way to early to stop and the next shelter was too far away for me to reach. I decided to just go. I ran into 3 ladies headed south bound and they were talking about the storm as well. They were concerned about me being on the ridge for the night. There are several campsites up there, but they were all very exposed to the weather. I decided to bypass them and eventually headed down off the ridge. I decided to stealth camp down in this little valley and will tent for the evening. I will let you know tomorrow if I regret my decision. Thursday morning: I heard the wind howling last night, but didn't feel it down in this valley. I had some rain, but that's about it. This was a good place to spend the night. To Trent's Grocery today. Snow may have me adjust for the next couple of days.","Laurel Creek Campsite
",Stealth site north of VA 611,"Apr 05, Wed",15.80
SunSeeker,https://www.trailjournals.com//journal/entry/559305,"Wow what to say about today... I woke up, threw back my tent fly door and had breakfast in bed. I must have disturbed a turkey when I was getting my feed bag out of the tree, because he gobbled until I left. I had a hard time packing up because I was trying to beat the rain but kept messing things up. Was finally out of there by 8 AM. My destination today was Trent's Grocery for a hamburger, shower and laundry. Day started with an uphill which warmed me up. The weather couldn't decide whether it wanted to rain or be sunny. I took my rain jacket on and off several times and finally just left it on even though I get warm with it on. I had some good views today much like the ones I have everyday. These are to be savored because once the trees leaf out the majority of those will be gone. I saw a blue jay but that was about it for wildlife. As I was dropping down into the valley to head to Trent's, I started seeing different kinds of wildflowers. Oh I forget to tell you yesterday that I saw dogwood's blooming or I thought they were blooming anyway. The bushes and trees in the lower elevations are showing signs of life as well. When I arrived at VA 606, I called for a shuttle, but no one was available to come get me. So I did another half mile road walk. I was able to get a delicious hamburger with fries and a Pepsi; however, she wasn't sure if the showers and laundry we're available. Originally, I had planned to just camp there at the store, but I was the only hiker around and didn't want to camp there by myself. I decided to skip the shower and just head back to find a campsite. I bought a few items and walked the half mile back to the trail. I called Woods Hole Hostel to make a reservation for tomorrow night. They don't take reservations, but he thinks there should be room in the bunkhouse. It's 13 miles up the trail and I look forward to being out of the weather for the night. I found a lovely little campsite by Dismal Creek that I'd love to visit in warmer months. Tonight it is just a refuse for me. There are conflicting weather reports about what is coming tonight. So rain and somewhere between 0 and 2 inches of snow. If I don't feel safe hiking out of here tomorrow, I will just hunker down. I have the equipment, plenty of food and water to be fine. I'd be bored out of my mind, but I'll be fine. It isn't really supposed to get below freezing, so I think hiking out will be fine. The trail tomorrow starts with a tough climb up, but that will help me stay warm. I hope to be at the hostel tomorrow afternoon sometime.","Stealth site north of VA 611
",Stealth site at Dismal Creek,"Apr 06, Thu",11.60
SunSeeker,https://www.trailjournals.com//journal/entry/559405,"It rained on and off last night, but no snow. I tend to wake up early, so I had a leisurely breakfast in bed while reading a book on my phone. It was sure colder this morning then it has been making it hard to leave my cocoon of feathers. When I finally started packing up, there were flurries in the air. I had a decent climb of 2,000 ft at the beginning of the hike taking me up to a higher elevation and I pretty much stay up there for the rest of the day. The higher I climbed the more snow I saw on the sides of the trail. The trail stayed pretty clear at first. I crossed many streams today, many with foot bridges. I thanked the trail maintainers many times today for those bridges. Helped keep my feet nice and dry. I still had to rock hop across several streams and the trail itself turned into a small stream in places, but I managed to keep my feet dry. Like the sign says ""bridges freeze before roads"" or in this case ""before trails"", all the footbridges were already snow covered. A set of boot prints across each bridges let me know someone was just ahead of me. Whoever it was dragged their hiking poles across every bridge. For some reason, I thought that funny. I did find it was best to walk outside of those prints as they were icy and slippery. I was very cautious going across as I didn't want to fall.I was enjoying the walk today even with the colder temps and snow. The rhododendron tunnels were especially pretty with a dusting of snow on their leaves. I passed Wapiti Shelter and was soon passed by two younger hikers starting their days hike from there. They were on a mission and not thrilled by the weather one bit. We didn't say much besides hello. I could hear the wind blowing pretty good and I wasn't looking forward to an exposed ridge walk when I reached the top. Luckily for me, this trail did not stay right on the tippy top of the ridge making the majority of my hike wind free. However, when I reached the top the trail was covered with a couple inches of snow and became very rocky. I took my time negotiating the snowy, rocky trail. I didn't take any snack breaks, but chose to eat bars warmed up inside my jacket when I found myself on easier patches of terrain. It was very beautiful and I did try to appreciate the scenery around me.The miles seemed long today, I guess because I was trying to be more cautious and going slower. I finally reached the exit for the hostel. Just a half a mile down and I do mean down a gravel road to my destination. All I could think while walking down was I'd have to walk back up that tomorrow. I met Cheap Sunglasses out for a stroll and he assured me there was plenty of room at the hostel. I think he is doing a work-for-stay there for a couple weeks. I finally arrived and Neville greeted me and said there was room in the bunk house, but since it was so cold out I could take a shower and hang out in the house for the day. I dumped my pack in the bunk house which is not heated and very, very drafty. I think bunk house guests are usually not allowed to hang out in the house, so I'm very glad this rule was bent for the day. It would have been a miserable day otherwise. The hostel owners ask guests to help out while there...kind of in a communal way. I stacked wood, helped with dinner and breakfast, and did some laundry. We still had plenty of time to just hang out and rest. I didn't mind and enjoyed the presence of those around me. I hadn't really talked to anybody for a couple days. The meals were very good and I met some amazing people. Neville was running the show on her own, because her husband, Michael, was away on a mini-vacation before the hiker season starts in earnest. Besides Neville, I met Gator and his family who were visiting him, Sparkles, Dory, Gap, Doc, Tunes and Nepal (I don't quite have her name right). There was never a dull moment and I enjoyed the afternoon very much. If you like to people watch, this was a prime location. When I decided to stop there to get a respite from the weather, I didn't know the bunk house wasn't heated. It is a converted barn I think. The bathroom was outside in another building, so I stopped drinking anything quite early in the evening. I didn't want to climb out of my sleeping bag, down the ladder from the loft, fight with the stupid door and go outside to use the facilities in the middle of the night. Haha. I said stupid door, because it was large and I had the hardest time closing it all the way. I slept in my sleeping bag and stayed nice and toasty. We bunk house guests were invited back into the house at 6:30 to help with breakfast. I was back there at 6:40 to help. The price of my stay included getting my laundry done. When I do laundry on the trail, I do everything except my rain gear. There are extra clothes to wear while waiting for those so I hung out in my rain pants and loaner fleece. However, I didn't think I was ever going to get my clothes back. Neville just kept saying she'd do them soon. She was stretched a bit thin trying to do everything. I went to bed in my rain pants and loaner fleece. The next morning still no clothes. I was so happy when she asked me to help with laundry as I was finally in control of getting my clothes back. I was able to change into my clothes right before breakfast! Made me very happy. Those who know me well know that I'm an extreme introvert. I like meeting and being around people, but it really saps my energy when it is over such a long period of time. Neville is a special soul and I'm glad I had the experience of meeting her and spending time at the hostel. It was amazing. I left there tired, but also rejuvenated.","Stealth site at Dismal Creek
",Woods Hole Hostel,"Apr 07, Fri",13.10
SunSeeker,https://www.trailjournals.com//journal/entry/559409,"After breakfast at the hostel, we all helped clean up and repacked our packs to once again hit the trail. It was a much later start to the day then normal, but it was a short mileage day with easy terrain ahead. The weather was warming up and it promised to be a magnificent day. So, less difficult then yesterday. The day's walk started with the half mile walk up the gravel road to the trail head. Neville did make a comment that the hostel was called Woods HOLE for a reason. Haha. The trail was still a bit snowy, but the sun was out and things were quickly melting. I played leap frog with Nepal for most of the day. Today was a day for brilliant views. I had a short climb and then walked along a cliff with views to the right almost all day. I took many mini-breaks to enjoy the views and all the birds flying around. I even saw a deer today. Lunch came much earlier today with the late start. I found a nice spot in the woods and Nepal came by and joined me. It was nice to hear about her many adventures including time spent in Scotland, Israel and New Zealand over the past year. During the day, I saw quite a few hawks flying just off the edge of the cliffs. The monocular came in handy watching them soar. I thought about sending the monocular home to save a bit of pack weight, but I enjoy it too much. Definitely a luxury item, but it brings me great enjoyment. I have it in easy reach and whip it out often.I came across a couple locals out enjoying the weather at an outcropping of rocks with a great view. I took another break and enjoyed their company and the view. We saw a large amount of smoke out in the distance and they kept trying to count the mountains to figure out where it was coming from. They never did come to a consensus on that, but they thought it was probably a bush fire. I hope whatever it was that it's contained. It was great meeting them. I came to a blue blazed trail to Angels Rest, a couple large boulders over looking Pearisburg. I met a couple of college kids with their dog and they took a picture of me. I talked with them for awhile and then started the long descent into Pearisburg. It is long and it just kept going down. I kept thinking I'm glad I'm going North and down this mountain instead of up. Then I started wondering what the climb out of Pearisburg is going to be like. I met a section hiker named Base Jumper who was climbing up. He was in no hurry to go up, so another conversation was enjoyed. He told me he got his name when a friend was taking his picture at a ledge, he decided to take a step back and fell off the ledge. What?!?! Luckily for him the drop was only 7 feet or so into a bush with stickers. He was cut up, but okay. His friend looked over the edge to see if he was okay and then named him Base Jumper. I finally came to the road to take me into Pearisburg which meant another road walk, 0.9 miles this time, into town. Just as I started walking a truck drives by and offers me a ride. Woohoo!! I hopped in and between us is a magnificent bear skin that he cured. I couldn't stop touching the thing. It was a short, but incredible ride as he talked about the process of curing the hide. Very nice guy and thanks for the ride!I went to the Hostel and as I walked up they asked if I was there for the beer fest. Hmmmmmm.... I said nope, just to get my mail-drop. Beer fest did not sound like a peaceful time to me although it has great appeal for many hikers. I am staying at a little hotel instead. It works better as well, as my sister, Lynn, is coming for a visit tomorrow. I'm right across from a Food Lion and decided to get dinner from there instead of going to a restaurant. I purchased chicken strips, chips, and salad for dinner and some fruits and cheese for breakfast tomorrow. I don't have the great hiker appetite yet and it worked out fine. I cleaned up, talked to Mark and vegged for the rest of the evening. Somehow my backpack has exploded across the entire room, but I will figure that out tomorrow.","Woods Hole Hostel
","Pearisburg, VA","Apr 08, Sat",10.60
